date,open,high,low,close,volume
2017-01-03,71.7197,71.7473,70.7817,71.1036,517304
2017-01-04,71.2599,71.7243,71.0605,71.499,728629
2017-01-05,71.6829,72.2714,70.892,72.0875,1230752
2017-01-06,71.8484,72.4646,71.545,72.1795,724940
2017-01-09,72.2255,72.4646,70.9748,71.0208,464478
2017-01-10,71.1219,71.4898,70.6621,70.9288,899755
2017-01-11,70.7357,71.6001,70.7357,71.4714,549618
2017-01-12,71.3886,72.0048,70.9334,71.2691,641763
2017-01-13,71.1495,71.361,70.6943,71.0484,418831
2017-01-17,71.5725,72.0967,71.2691,71.7289,577351
2017-01-18,71.6921,71.9956,71.2047,71.6277,315838
2017-01-19,70.6713,71.6231,70.6713,70.8553,377954
2017-01-20,70.984,71.4622,70.4782,70.8277,612928
2017-01-23,70.9932,71.1863,70.8001,70.9932,521828
2017-01-24,71.1311,71.4898,70.6805,71.2139,607493
2017-01-25,70.9472,71.2415,70.6713,70.938,482684
2017-01-26,70.8737,71.3886,70.4414,70.7909,387142
2017-01-27,70.8645,71.1587,70.515,70.5978,363057
2017-01-30,70.7044,70.9827,70.2963,70.8992,519476
2017-01-31,70.9549,72.0215,70.7137,72.003,631005
2017-02-01,71.4001,72.108,70.927,71.1311,699151
2017-02-02,71.1682,72.3276,71.1682,72.1514,1004716
2017-02-03,72.3647,72.7728,72.1977,72.374,833013
2017-02-06,72.578,72.8006,72.1606,72.207,341862
2017-02-07,72.2256,72.6337,72.0308,72.2719,279667
2017-02-08,72.3461,73.1531,72.3461,72.8748,390247
2017-02-09,72.7635,73.2087,72.3832,72.4667,416152
2017-02-10,72.1421,73.0232,72.1421,72.9676,258544
2017-02-13,72.949,73.1902,72.5038,73.0139,315360
2017-02-14,72.9119,72.9119,71.9473,72.4296,469279
2017-02-15,71.9009,72.3461,71.3166,72.3461,1172678
2017-02-16,72.3461,72.8655,72.1606,72.8563,489298
2017-02-17,72.9954,73.116,72.4296,72.9954,412907
2017-02-21,72.6893,74.1177,72.6429,73.9878,395361
2017-02-22,73.8765,74.1362,73.4684,73.9415,382297
2017-02-23,74.2012,75.0081,74.0157,74.6649,551202
2017-02-24,74.9432,75.9078,74.7855,75.5368,820868
2017-02-27,75.5461,75.6017,75.1565,75.2956,543005
2017-02-28,75.2493,76.52,75.2029,76.2324,1029127
2017-03-01,75.4719,76.5756,74.9061,76.4272,1420526
2017-03-02,76.2417,77.6979,75.982,77.2805,1144622
2017-03-03,77.4196,77.4196,76.3808,77.0115,701965
2017-03-06,76.8817,77.3918,76.7055,76.9466,700986
2017-03-07,76.5385,77.0672,76.2695,76.5571,763269
2017-03-08,75.7037,76.0469,74.9246,75.073,850591
2017-03-09,74.9246,75.509,74.7586,75.0081,475505
2017-03-10,75.5553,75.7594,75.1287,75.6945,424218
2017-03-13,75.6295,75.9078,75.4487,75.7594,432860
2017-03-14,75.7037,75.982,75.4069,75.9449,606308
2017-03-15,76.1211,77.837,75.8614,77.5402,629439
2017-03-16,77.3269,77.3362,76.3947,76.5663,850284
2017-03-17,76.8724,77.6422,76.7333,77.197,942322
2017-03-20,77.3083,77.5958,76.2695,76.5478,606837
2017-03-21,76.5571,77.7072,76.4458,77.6237,650364
2017-03-22,77.9112,78.3101,77.4382,77.5959,507340
2017-03-23,77.5402,78.3193,77.0672,77.5309,359699
2017-03-24,77.5217,78.3564,77.4382,78.0225,415776
2017-03-27,78.4028,78.579,77.6051,78.0411,606834
2017-03-28,77.8648,78.2915,77.6979,78.0967,441671
2017-03-29,77.9112,77.9112,77.3176,77.466,622141
2017-03-30,77.3454,77.5588,76.8353,77.2434,402884
2017-03-31,77.197,77.7906,76.9837,77.3362,584786
2017-04-03,77.364,77.4846,76.6266,77.4567,497812
2017-04-04,77.262,77.9066,77.0765,77.6701,489443
2017-04-05,77.6701,78.0504,77.3733,77.9298,756693
2017-04-06,77.6701,78.5234,77.3362,78.3564,899629
2017-04-07,78.5234,78.8434,78.004,78.1524,1087844
2017-04-10,78.2266,78.7553,77.8927,78.6347,690358
2017-04-11,78.2451,78.9779,78.0782,78.644,656186
2017-04-12,78.644,79.3025,78.2359,79.1819,886262
2017-04-13,79.2005,79.3303,78.1709,79.0521,690301
2017-04-17,79.2932,79.5808,79.0799,79.5251,801411
2017-04-18,79.59,79.9981,79.488,79.9332,917664
2017-04-19,79.8961,79.9981,78.9871,79.4045,870706
2017-04-20,79.2747,79.3396,78.3935,79.1355,1489008
2017-04-21,79.0892,79.6921,79.0892,79.6086,937113
2017-04-24,79.6364,79.961,79.015,79.9332,882815
2017-04-25,79.6179,80.1465,79.2005,80.1002,980517
2017-04-26,79.9147,80.3506,79.6781,79.9981,717914
2017-04-27,79.7878,80.7037,79.7878,80.4701,685467
2017-04-28,80.2925,80.4327,79.1803,79.5261,1284801
2017-05-01,79.5448,79.6289,78.3299,78.5635,1213950
2017-05-02,79.414,79.4326,78.5354,79.1616,666040
2017-05-03,78.8719,79.2831,78.4607,78.8439,965018
2017-05-04,78.6102,79.0495,78.3579,78.928,728944
2017-05-05,79.3018,79.7691,78.928,79.3205,771477
2017-05-08,79.4327,79.5261,78.6849,79.3579,514689
2017-05-09,79.2458,79.2458,78.47,78.6383,570320
2017-05-10,78.6102,78.8439,78.2925,78.685,665200
2017-05-11,78.5541,78.7784,78.1569,78.7784,662987
2017-05-12,78.8999,79.2925,78.8345,79.2177,691742
2017-05-15,79.0869,79.7037,78.9373,78.9934,867432
2017-05-16,79.0028,79.3299,78.3018,78.4046,700758
2017-05-17,78.4046,78.8906,78.227,78.6009,697916
2017-05-18,78.8626,79.227,78.0588,79.0775,1140194
2017-05-19,79.1056,79.2738,78.442,79.0401,868354
2017-05-22,78.8906,79.8065,78.5541,79.5822,710888
2017-05-23,79.7224,80.7224,79.442,80.171,585180
2017-05-24,80.2177,80.9654,80.2177,80.7879,670175
2017-05-25,80.8907,81.8907,80.6009,81.7412,723040
