date,open,high,low,close,volume
2017-01-03,82.1503,84.5651,81.6517,84.5651,1622010
2017-01-04,84.2522,85.5231,83.431,85.2787,1633789
2017-01-05,84.4282,84.9952,83.8709,84.5944,1165365
2017-01-06,84.4282,85.4009,83.2746,83.343,1150158
2017-01-09,83.1377,84.174,82.8151,83.519,920191
2017-01-10,83.5679,83.7243,81.7006,81.7788,1214427
2017-01-11,81.1531,81.1825,74.3782,76.1379,6215734
2017-01-12,75.61,77.2524,75.4242,76.4312,2264276
2017-01-13,76.6463,77.5652,76.0108,76.0597,1527759
2017-01-17,75.5904,75.5904,73.5667,74.8376,1566909
2017-01-18,75.2189,75.3851,73.2245,74.7497,1345766
2017-01-19,74.0653,75.7762,73.5178,74.7594,2766466
2017-01-20,74.7888,75.5513,73.0975,73.381,2272134
2017-01-23,71.8656,73.2539,71.0542,71.8363,3377290
2017-01-24,71.8656,72.0025,70.233,70.3112,1669490
2017-01-25,70.6338,71.5724,70.3503,71.1715,1465051
2017-01-26,71.2009,71.5039,70.4383,70.7707,1096281
2017-01-27,71.3475,72.55,70.8782,72.2469,1424176
2017-01-30,72.0025,72.8042,71.6212,72.7357,1916128
2017-01-31,71.983,74.4955,70.7218,74.4466,1657463
2017-02-01,74.1924,75.17,73.6645,75.0527,1171006
2017-02-02,73.7231,77.2328,73.6156,76.6658,2336550
2017-02-03,77.1448,77.2817,75.7273,76.2454,1972203
2017-02-06,75.4926,76.441,75.0332,76.3334,1486576
2017-02-07,77.5163,77.6728,75.1603,76.0206,2378274
2017-02-08,75.8055,76.6463,75.6491,76.1868,2046860
2017-02-09,76.6658,77.7021,75.9033,77.663,1651546
2017-02-10,77.5359,78.1714,76.9835,77.6239,1043119
2017-02-13,78.3864,78.5429,77.6337,78.3669,869571
2017-02-14,78.1518,80.7132,78.1518,80.2928,1498160
2017-02-15,79.5791,83.3626,79.5694,83.0009,1860111
2017-02-16,82.6587,82.7467,80.6545,81.2607,1438742
2017-02-17,81.2313,82.7467,80.6936,82.5805,1282001
