date,open,high,low,close,volume
2017-01-03,97.6236,98.4308,96.0836,97.2804,2128273
2017-01-04,97.7071,98.8158,97.5541,98.4679,2071654
2017-01-05,97.8927,98.4864,95.9723,96.9928,1720377
2017-01-06,97.5773,98.3102,97.1783,97.5494,1983879
2017-01-09,96.9186,97.8741,96.4176,97.1691,1858410
2017-01-10,97.4103,98.8853,97.3082,97.9391,1491576
2017-01-11,98.0782,99.3492,97.6979,98.7926,1990710
2017-01-12,97.9855,98.2545,95.6012,96.6866,2302621
2017-01-13,97.5309,98.7647,96.9835,97.6236,1380332
2017-01-17,96.4733,97.3917,96.0465,96.4083,2760414
2017-01-18,97.1691,98.0133,96.1486,97.9576,2524963
2017-01-19,98.3194,98.3658,96.3805,97.1876,2078284
2017-01-20,97.6607,98.3881,97.3082,97.9576,1673141
2017-01-23,97.503,97.8834,96.5753,96.9371,1292112
2017-01-24,97.4752,98.7462,97.4474,98.0504,1294909
2017-01-25,98.9781,99.7296,98.6534,99.5997,2176265
2017-01-26,99.5718,100.2491,99.1265,99.5811,2105178
2017-01-27,99.0802,99.4114,98.5792,98.8853,995369
2017-01-30,98.4029,98.5235,96.4918,97.9391,2425651
2017-01-31,97.837,98.5977,96.631,97.5123,1573609
2017-02-01,98.4586,99.3214,97.0392,97.9298,1579457
2017-02-02,96.8815,97.9947,95.9352,96.8815,1553505
2017-02-03,98.4957,99.1544,97.7257,98.6441,2060512
2017-02-06,97.7999,98.941,97.735,98.44,1191361
2017-02-07,99.0338,99.2564,98.0875,98.8853,1599156
2017-02-08,98.2359,98.2452,96.9,97.6144,2305752
2017-02-09,99.544,101.0747,98.1524,100.5552,2421086
2017-02-10,100.7408,101.2603,100.2676,100.8892,2707760
2017-02-13,100.9634,102.5869,100.9078,101.8633,2189307
2017-02-14,101.3902,102.9673,101.3902,102.4663,2724738
2017-02-15,102.7632,103.8857,101.9468,103.7095,2652202
2017-02-16,103.3477,104.164,103.1436,104.0063,2302048
2017-02-17,102.9977,103.7729,102.6521,103.7729,2518715
2017-02-21,104.5761,104.9683,103.7075,103.8756,1905654
2017-02-22,102.9416,103.6514,102.7829,103.2031,2184768
2017-02-23,103.418,103.6608,102.8482,103.5394,1552419
2017-02-24,102.3999,102.7352,101.7088,102.6988,1388947
2017-02-27,102.7922,103.7302,102.7903,103.6234,1398918
2017-02-28,102.8669,103.4646,102.5027,103.2405,1721678
2017-03-01,105.2765,106.9857,105.1738,106.3039,2602295
2017-03-02,106.3693,106.4627,104.2772,104.4173,2024011
2017-03-03,104.7068,105.6501,104.4173,105.1271,1433976
2017-03-06,104.1371,104.7629,103.913,104.3893,1770036
2017-03-07,104.1931,104.3706,103.6047,103.8943,1890258
2017-03-08,104.931,105.2532,103.6328,103.7542,1748819
2017-03-09,104.0997,104.3437,103.2414,103.6608,1486851
2017-03-10,104.0904,104.436,102.9136,103.7262,1872692
2017-03-13,103.8476,104.4733,103.6141,104.2398,1245016
2017-03-14,103.8943,103.8943,102.9696,103.7355,1285943
2017-03-15,103.9877,104.6321,103.558,104.0344,2223034
2017-03-16,104.2305,104.8563,103.6911,104.2492,1878703
2017-03-17,104.1371,104.2492,102.5961,102.6614,2539562
2017-03-20,102.3999,102.4793,101.8022,101.9143,1797505
2017-03-21,102.7175,102.7362,98.58,98.8509,2713149
2017-03-22,98.2998,99.1404,96.6187,98.4586,1693603
2017-03-23,98.4866,99.9623,98.0477,98.5333,1910126
2017-03-24,99.0096,99.7943,97.8983,98.4773,1725039
2017-03-27,95.8622,97.8702,95.2738,97.5993,2626428
2017-03-28,97.2538,99.3272,97.1604,98.8135,3699815
2017-03-29,98.5146,98.9722,97.7861,98.2158,2085364
2017-03-30,98.3465,100.4386,98.2998,100.2144,1995590
2017-03-31,99.6727,100.4012,99.57,99.6354,1890067
2017-04-03,99.8222,100.2144,97.7861,99.4112,1854812
2017-04-04,98.8509,99.6821,98.8509,99.1777,1650383
2017-04-05,100.1771,100.56,98.3465,98.5146,1709360
2017-04-06,98.4399,99.6074,97.9169,99.2711,2403627
2017-04-07,98.3465,99.4579,97.7955,98.8695,1943780
2017-04-10,98.8882,99.6261,98.2905,98.7481,1108780
2017-04-11,98.1224,98.8042,97.4593,98.4399,2133979
2017-04-12,98.7294,98.7294,96.7308,96.9829,1779717
2017-04-13,96.3292,97.5433,95.8435,96.1237,1509173
2017-04-17,96.1984,97.5807,95.9182,97.4126,1429221
2017-04-18,96.6187,97.6741,96.3292,96.7308,2306797
2017-04-19,97.9076,98.1597,97.0016,97.2911,1855055
2017-04-20,98.0663,99.2338,97.5517,98.8509,1963775
2017-04-21,98.6547,99.4486,98.538,98.6734,2134980
2017-04-24,101.1017,101.6528,100.5787,100.7468,1689191
2017-04-25,101.7088,102.1197,100.7281,100.7655,2666550
2017-04-26,100.8589,101.3352,100.0557,100.1211,1811261
2017-04-27,100.4106,100.4106,99.1964,100.009,1478517
2017-04-28,100.0463,100.5694,99.8502,99.9623,1395004
2017-05-01,100.532,100.6721,99.8595,100.3639,1413479
2017-05-02,100.4106,100.5974,99.9343,100.4573,1512418
2017-05-03,99.9903,101.5967,99.9343,101.3165,2082496
2017-05-04,102.7362,104.2025,101.6528,101.9236,2464224
2017-05-05,102.3626,102.5587,101.2045,101.55,1679966
2017-05-08,101.2978,101.4379,100.6721,101.1111,2122678
2017-05-09,101.3259,101.5594,100.5133,100.7562,1456150
2017-05-10,100.4199,101.5267,99.9436,101.2978,1574955
2017-05-11,100.9056,101.3119,99.514,100.6721,1720100
2017-05-12,100.0183,100.2985,98.8415,99.1964,2247280
2017-05-15,99.6167,100.532,99.1964,100.3452,1884543
2017-05-16,100.4012,100.7655,100.009,100.6814,1557865
2017-05-17,98.7855,99.3085,96.2825,96.5907,2040076
2017-05-18,96.5907,97.4032,95.9649,96.6187,3823275
2017-05-19,97.2302,98.4156,96.9762,97.8323,2447656
2017-05-22,98.1992,98.4532,97.3713,98.0957,1222272
2017-05-23,98.0863,99.2435,97.9546,98.9236,1526230
2017-05-24,99.3376,99.3376,98.3497,98.7449,1420042
2017-05-25,99.0741,99.9114,98.8389,99.7421,1009234
2017-05-26,99.3564,99.7327,98.7072,98.8484,1668008
2017-05-30,98.425,98.7825,98.1051,98.6508,1069137
2017-05-31,98.7825,98.8013,97.2725,98.6414,1890834
2017-06-01,99.3376,100.4007,98.3686,100.3818,2031543
2017-06-02,99.3752,100.617,99.1118,100.1184,1899358
2017-06-05,100.0149,100.3442,99.2905,99.3188,1329698
2017-06-06,98.3121,98.4815,96.8257,97.0891,2070351
2017-06-07,97.1361,97.71,95.9884,97.4184,1766112
2017-06-08,97.5501,100.062,97.456,99.1682,2339504
2017-06-09,99.8456,101.5296,99.7421,101.3697,2032756
2017-06-12,101.4167,102.4563,100.7864,101.9435,2088681
2017-06-13,102.3481,102.5927,101.4167,101.6519,5447749
2017-06-14,100.7676,101.8918,99.4975,101.6989,2215899
2017-06-15,100.9275,102.047,100.6076,101.8683,1699013
2017-06-16,102.1599,102.2352,101.2521,101.332,2290338
2017-06-19,102.047,102.4327,101.7272,102.0564,1170329
2017-06-20,101.6049,101.9247,100.9715,101.0686,1035164
2017-06-21,101.2474,101.2568,98.3968,98.679,2096034
2017-06-22,98.3968,98.3968,97.042,97.1926,1925509
2017-06-23,97.4748,97.7853,96.8633,97.2396,2599220
2017-06-26,97.7853,98.4438,96.4211,97.5313,2149314
2017-06-27,97.8511,99.7609,97.5595,98.4062,1678031
2017-06-28,99.3658,101.1157,99.3658,100.9087,2271035
2017-06-29,102.5456,103.2512,100.9369,101.9624,2923584
2017-06-30,102.6585,102.8937,101.6613,101.7366,2152801
2017-07-03,102.5833,104.7847,102.5833,103.6558,1923259
2017-07-05,103.8816,104.0227,103.0254,103.6934,2026144
2017-07-06,103.8533,106.0454,103.4864,104.2391,3178459
2017-07-07,104.6718,105.0575,103.731,104.7659,1935848
2017-07-10,104.5025,105.1987,104.4366,104.7471,1205245
2017-07-11,104.86,104.9917,103.8063,104.0979,1064199
2017-07-12,104.0133,104.6906,103.6464,104.6248,1382200
2017-07-13,104.6906,105.5006,104.4648,105.3021,1193479
2017-07-14,104.0039,105.2081,103.4018,104.8129,1363908
2017-07-17,104.6906,105.0105,103.9098,104.6906,985432
2017-07-18,103.9098,104.6436,103.5052,104.0509,1437038
