date,open,high,low,close,volume
2017-01-03,206.3329,207.1043,203.8349,205.2768,938730
2017-01-04,205.9655,207.4625,205.4788,206.7829,723274
2017-01-05,204.5788,209.336,201.8696,208.987,956644
2017-01-06,207.4625,210.1074,206.9574,209.7125,697170
2017-01-09,209.7125,210.4013,207.6462,208.2799,601720
2017-01-10,208.2064,208.863,206.5533,206.9115,1166994
2017-01-11,205.9839,205.9931,200.7216,201.8236,1468240
2017-01-12,201.1716,201.8604,196.1664,199.5644,1514688
2017-01-13,199.5552,199.5552,196.4695,196.644,997559
2017-01-17,197.195,200.0833,197.0756,199.9226,842356
2017-01-18,199.8308,200.2532,196.5705,198.0032,1056045
2017-01-19,197.4154,198.4072,196.5613,197.7552,601060
2017-01-20,197.8195,200.4828,196.2215,200.1797,1040790
2017-01-23,200.2073,203.1461,200.1063,202.2736,733823
2017-01-24,202.0441,204.7625,201.741,204.239,798524
2017-01-25,204.1012,204.4594,200.7216,201.043,792020
2017-01-26,201.2175,203.0726,198.995,200.4369,517511
2017-01-27,200.7308,201.5481,197.7093,198.894,573242
2017-01-30,198.3705,199.5644,197.0205,197.443,508716
2017-01-31,197.7277,199.6746,196.7542,197.4521,540071
2017-02-01,197.5164,198.8251,195.1562,195.8817,675471
2017-02-02,195.7899,198.4164,195.7899,197.4705,658914
2017-02-03,198.9583,200.3083,197.8195,198.8573,747667
2017-02-06,198.8573,199.592,197.0389,198.0858,545719
2017-02-07,198.1042,199.5093,196.2582,198.8113,666687
2017-02-08,198.9767,202.5675,198.8481,201.7685,688058
2017-02-09,201.7226,201.7226,199.491,200.6389,391021
2017-02-10,200.4553,201.8879,199.4083,201.8512,442289
2017-02-13,202.1175,203.1277,200.6848,202.0992,464623
2017-02-14,202.0992,202.439,197.4521,199.1971,513439
2017-02-15,198.0032,200.616,196.4787,199.3624,640935
2017-02-16,200.1797,205.1023,200.1797,202.6318,822611
2017-02-17,202.9533,207.3707,202.0441,207.3339,1151438
2017-02-21,206.3604,209.4829,204.8268,209.1431,832991
2017-02-22,209.4829,210.9615,206.489,207.7748,817489
2017-02-23,210.3095,212.5963,204.0645,208.537,1146931
2017-02-24,208.9595,211.136,207.1686,209.7676,757627
2017-02-27,210.1717,210.2636,208.4727,209.4278,487410
2017-02-28,209.6299,210.7687,207.9492,208.8952,1039767
2017-03-01,209.4278,211.8524,206.7094,210.6126,793567
2017-03-02,210.1717,211.4575,208.2248,208.4452,816228
2017-03-03,207.6003,208.8998,205.9655,208.1146,617767
2017-03-06,208.087,209.7034,206.636,209.3176,424320
2017-03-07,208.4268,209.4003,207.4992,209.4003,667610
2017-03-08,208.6289,208.6289,205.3135,205.5523,861334
2017-03-09,205.7176,207.0033,203.5686,204.1931,676020
2017-03-10,205.1666,206.4247,200.7583,202.1083,767597
2017-03-13,202.5347,203.3503,199.8516,201.3576,894007
2017-03-14,201.1167,203.758,200.125,203.2946,668569
2017-03-15,203.2298,207.317,202.7015,206.798,742691
2017-03-16,206.5477,207.0853,203.6561,204.3975,798037
2017-03-17,205.1668,209.1103,204.8656,206.2048,1477814
2017-03-20,206.4087,207.6599,204.4995,207.2706,721969
2017-03-21,207.3911,208.9945,206.455,207.8638,954977
2017-03-22,207.9565,209.7452,206.1029,209.2447,759277
2017-03-23,208.3643,211.0705,208.0121,209.3838,843017
2017-03-24,209.5506,210.5515,206.5107,206.5941,635639
2017-03-27,205.4634,208.4384,204.3605,204.7405,576157
2017-03-28,204.7127,206.0565,202.8405,205.899,760143
2017-03-29,205.3336,205.6209,201.7747,203.8507,703500
2017-03-30,203.0444,204.6339,201.2927,203.341,923930
2017-03-31,203.4244,205.1807,202.1093,202.8869,1004687
2017-04-03,202.9703,204.0732,200.2482,203.2576,856764
2017-04-04,203.2112,205.5653,201.9971,204.1844,745131
2017-04-05,203.9063,207.1131,203.7488,206.0195,667120
2017-04-06,205.5931,207.2428,205.1668,206.3438,550537
2017-04-07,206.7331,207.7618,206.316,207.2336,435228
2017-04-10,207.2428,209.4672,206.8165,209.3096,518890
2017-04-11,209.4486,210.5793,209.1242,209.8008,505439
2017-04-12,208.9574,210.2086,207.0575,207.8823,638251
2017-04-13,207.1502,209.7359,207.1224,209.4301,441147
2017-04-17,210.3476,214.2958,209.2447,214.268,694614
2017-04-18,213.2393,215.2134,211.5988,214.2587,604326
2017-04-19,214.7222,214.7222,212.5812,213.1558,453783
2017-04-20,213.3875,213.5358,211.4783,212.609,752881
2017-04-21,212.4978,213.3783,211.6174,211.6544,819809
2017-04-24,212.1734,212.2661,206.279,209.8935,976356
2017-04-25,209.8935,210.153,208.2531,209.0316,526442
2017-04-26,209.1057,209.1057,206.9555,207.5394,731934
2017-04-27,204.8239,207.456,195.5762,197.4094,2272411
2017-04-28,196.3992,197.3816,193.2017,194.0544,1423353
2017-05-01,194.9349,196.047,190.0043,192.0618,1152457
2017-05-02,191.8579,195.009,191.0886,192.0988,1035332
2017-05-03,192.8496,193.2759,188.6975,190.4862,997540
2017-05-04,190.134,192.8496,187.1868,192.4325,1232436
2017-05-05,192.5808,194.629,191.1998,193.0071,858177
2017-05-08,193.2852,193.489,191.8115,193.1925,1009129
2017-05-09,192.7291,193.0535,191.6354,192.8403,803976
2017-05-10,192.6642,196.1861,192.5437,193.6281,683844
2017-05-11,192.8403,193.9803,192.0247,193.211,912864
2017-05-12,192.933,194.0359,192.2008,193.3686,766099
2017-05-15,193.1183,194.6846,193.0627,194.3788,834262
2017-05-16,194.3324,194.6568,191.9876,192.9052,999674
2017-05-17,192.1915,198.5031,192.1915,197.3631,1665329
2017-05-18,197.7524,200.3381,196.8348,200.3011,1652290
2017-05-19,199.8562,200.3658,198.1509,198.7811,2114691
2017-05-22,199.0035,200.8664,198.2992,199.8191,938054
2017-05-23,200.023,201.8952,199.365,201.302,839852
2017-05-24,201.1167,202.961,200.7459,201.6449,773581
2017-05-25,201.821,202.3493,200.4644,201.2001,1018483
2017-05-26,201.8859,202.0249,200.1111,200.5513,976297
2017-05-30,200.5976,200.9498,198.3362,198.6606,711444
2017-05-31,198.8553,199.9952,198.5031,199.5874,2060042
2017-06-01,199.4577,199.5411,194.9071,196.7329,1251077
2017-06-02,197.4094,198.6328,196.8904,198.2621,1064611
2017-06-05,198.0675,198.1694,195.4168,195.8802,919015
2017-06-06,195.8802,195.8802,192.451,192.6827,1354989
2017-06-07,192.6364,194.5085,192.4881,194.5085,1303180
2017-06-08,194.629,196.2231,191.6076,195.4724,1858388
2017-06-09,194.2583,195.4539,191.8023,192.3676,1275994
2017-06-12,192.4706,194.9786,191.6939,193.7527,1489783
2017-06-13,193.5842,195.0535,192.9947,195.0254,1431831
2017-06-14,194.6979,197.4024,194.2299,196.4104,1104447
2017-06-15,195.9799,199.0962,195.5869,199.0307,855424
2017-06-16,199.3302,200.3689,197.7674,199.9478,943787
2017-06-19,200.4625,200.4625,197.2339,198.1885,726564
2017-06-20,197.9639,198.3944,193.8182,198.1604,937318
2017-06-21,198.5067,199.7092,197.9171,198.6751,585908
2017-06-22,198.2166,198.5301,196.4011,197.627,632189
2017-06-23,197.6738,201.1644,197.6738,199.4331,703832
2017-06-26,200.4625,201.782,198.3756,198.8529,573893
2017-06-27,198.385,199.2591,196.1484,196.7754,777597
2017-06-28,197.2527,197.889,195.9191,195.9987,627353
2017-06-29,195.2406,195.9331,193.6217,194.2487,669687
2017-06-30,195.3155,196.5227,194.2112,195.1471,620901
2017-07-03,196.4572,199.8355,195.0535,199.0775,562898
2017-07-05,198.6096,198.6377,194.6604,194.7072,756519
2017-07-06,193.7246,194.6043,190.8048,192.1805,1028919
2017-07-07,192.5455,194.3703,192.0205,193.7433,509552
2017-07-10,193.7433,193.8884,190.1123,190.3182,700094
2017-07-11,190.8797,191.3055,189.5134,190.2153,669273
2017-07-12,191.4599,193.5842,190.8797,193.1631,648429
2017-07-13,193.1538,194.1738,191.5909,191.6752,740647
2017-07-14,192.9479,195.0853,192.9104,194.3516,566232
2017-07-17,194.4265,196.2794,193.6778,194.2674,660467
2017-07-18,194.0147,195.6898,192.1711,193.9118,917920
2017-07-19,194.1457,195.0535,193.7714,194.4358,887523
2017-07-20,194.3142,195.381,192.9479,194.2112,703615
2017-07-21,193.9773,195.7273,193.9024,195.5307,439521
2017-07-24,195.512,195.8302,193.9211,195.5869,643574
2017-07-25,195.8208,195.8208,192.7981,194.389,871812
2017-07-26,194.2861,197.7018,193.8369,196.5789,964398
2017-07-27,185.3303,189.0361,179.8183,185.5549,3807216
2017-07-28,185.714,190.4024,185.0121,189.8222,1490254
2017-07-31,190.0468,192.9853,188.7835,192.377,1370148
2017-08-01,189.3169,191.1698,188.119,189.242,933837
2017-08-02,189.3169,191.1698,188.119,189.242,933873
2017-08-03,188.119,189.9345,185.4707,187.4827,870120
2017-08-04,187.4733,189.0174,186.8136,188.5589,672190
2017-08-07,188.5776,188.9332,187.3423,188.1752,534705
2017-08-08,187.8476,188.5682,185.6485,187.8008,717934
2017-08-09,187.623,188.9145,186.9493,187.988,646039
2017-08-10,187.6137,188.5214,186.4158,187.7728,590457
2017-08-11,187.9131,187.9131,184.8062,185.8824,630343
2017-08-14,187.1738,187.9787,186.6537,187.6698,807328
2017-08-15,187.4733,188.7835,186.5094,188.6431,651237
2017-08-16,189.0361,189.6163,186.0415,186.238,876474
2017-08-17,186.1538,187.2581,185.0402,185.0402,728662
2017-08-18,184.2728,185.0402,182.0175,183.6926,793777
2017-08-21,184.3664,188.2313,183.9453,187.5107,993043
2017-08-22,187.7073,189.0174,186.6685,188.6524,796857
