date,open,high,low,close,volume
2017-01-03,90.7084,91.4763,90.1001,90.7284,964562
2017-01-04,91.2868,93.5805,91.2868,91.7156,1432459
2017-01-05,90.3494,92.8226,89.7162,92.7029,2209705
2017-01-06,92.4337,92.9622,91.2769,92.6032,1174031
2017-01-09,92.8126,92.8126,91.576,92.0048,917909
2017-01-10,92.5035,94.2037,91.935,93.5904,1417866
2017-01-11,93.1217,93.7251,91.0674,92.1345,1023489
2017-01-12,91.6159,92.9821,91.3467,92.8724,834932
2017-01-13,92.8824,93.5406,88.4647,89.063,2137985
2017-01-17,90.16,96.2331,90.0933,94.5677,2998257
2017-01-18,94.2686,94.7123,91.3965,93.1018,1361152
2017-01-19,92.7727,93.4309,90.6885,91.3168,945865
2017-01-20,91.6658,92.9522,91.1672,92.5633,988495
2017-01-23,92.0946,93.0121,91.1672,91.945,864520
2017-01-24,92.304,93.7699,91.9051,92.9323,733303
2017-01-25,93.8098,94.7074,93.3212,94.5478,742418
2017-01-26,94.847,95.2359,92.9722,93.042,650072
2017-01-27,93.2913,93.7101,89.8508,90.0503,1052226
2017-01-30,89.8508,92.0647,88.9433,92.0248,924167
2017-01-31,90.3694,93.7101,89.8508,93.5506,1283818
2017-02-01,92.9921,93.0519,89.4021,89.6215,1592275
2017-02-02,88.355,90.509,87.8514,89.1528,1075373
2017-02-03,88.714,88.714,85.9317,87.3278,1727553
2017-02-06,87.4076,89.1029,86.889,88.1854,770255
2017-02-07,87.7965,88.1057,84.9444,85.2436,1850088
2017-02-08,85.443,86.9688,84.2962,86.9489,2845774
2017-02-09,87.4176,88.9433,86.9189,86.9489,1368807
2017-02-10,87.8364,90.0802,87.4674,89.8708,1527722
2017-02-13,89.9206,90.3893,88.6242,88.6841,959552
2017-02-14,88.6641,91.2769,88.6641,90.0104,1123915
2017-02-15,89.7411,90.1899,89.0829,89.6115,957899
2017-02-16,90.0004,90.0403,87.8165,88.1256,909385
2017-02-17,87.9461,90.3993,87.9461,90.0702,1239062
2017-02-21,90.0004,91.2669,89.7611,90.0004,737656
2017-02-22,90.0478,91.265,89.8084,91.1752,694122
2017-02-23,91.245,92.7814,90.2673,90.5467,1585582
2017-02-24,90.417,93.1006,89.7785,91.3548,2207987
2017-02-27,91.2251,92.7116,91.2251,92.113,730295
2017-02-28,91.7239,92.2127,90.7063,91.3847,963219
2017-03-01,92.2626,92.6018,90.7562,92.0232,1134341
2017-03-02,91.8436,92.1529,90.7462,91.7039,1264082
2017-03-03,92.0731,92.6417,89.549,89.8782,954656
2017-03-06,89.6987,90.5866,89.3345,89.988,1334603
2017-03-07,89.3595,90.1127,88.6811,89.539,685779
2017-03-08,89.958,91.5144,89.6188,91.1752,654034
2017-03-09,90.9756,91.6141,90.2873,90.9258,653621
2017-03-10,91.3647,92.1529,90.7163,90.9058,824298
2017-03-13,91.3049,91.7638,89.8483,90.7163,788075
2017-03-14,90.9856,92.113,90.8958,91.3049,753841
2017-03-15,91.9035,92.5819,90.5068,92.1728,1152128
2017-03-16,92.0631,94.9662,91.3099,93.6094,1365916
2017-03-17,94.1382,94.7767,92.7814,94.4275,1249482
2017-03-20,94.228,94.7218,92.6517,93.36,923774
2017-03-21,93.3501,93.7092,91.1203,92.4621,1373472
2017-03-22,92.1728,92.3823,89.3096,90.6364,2385843
2017-03-23,99.1664,99.7649,97.2209,98.3183,4915302
2017-03-24,99.9345,101.87,98.6476,100.7027,2520501
2017-03-27,100.1041,102.269,99.9146,101.2614,1705933
2017-03-28,101.3911,102.8776,101.2864,102.4486,1057520
2017-03-29,101.5807,104.0349,100.9122,103.5959,1049469
2017-03-30,103.1769,104.0349,101.87,103.3764,755890
2017-03-31,103.2866,103.6658,102.728,103.2268,774454
2017-04-03,103.2368,104.005,102.4287,102.9375,793719
2017-04-04,103.2966,103.7655,101.1217,101.5408,956526
2017-04-05,101.7203,103.3565,101.2415,101.7403,822289
2017-04-06,102.1393,103.5959,101.431,101.7303,853896
2017-04-07,101.6804,102.6282,101.4609,101.6605,1326911
2017-04-10,101.7902,103.4662,101.3113,101.4011,781523
2017-04-11,101.4609,101.6006,100.4234,101.1217,852227
2017-04-12,101.032,101.6106,100.583,100.9721,974004
2017-04-13,101.1816,101.7203,99.2362,99.5754,1329956
2017-04-17,99.7949,100.3037,99.336,99.7051,1117732
2017-04-18,99.2861,100.3336,98.7673,99.2861,886530
2017-04-19,99.7051,100.2538,99.0965,99.2162,811937
2017-04-20,99.7849,101.3213,99.5854,101.1716,1497033
2017-04-21,100.4733,100.8524,97.8095,98.029,1521492
2017-04-24,99.7849,102.698,99.7151,102.0695,1954910
2017-04-25,102.1793,102.9275,101.2016,102.6282,1098127
2017-04-26,102.8577,104.4738,102.5584,103.2068,868509
2017-04-27,103.1669,103.6557,102.1493,102.7778,702845
2017-04-28,102.5484,102.5484,99.9844,100.7925,826447
2017-05-01,100.7825,101.3712,99.6003,99.8448,506371
2017-05-02,100.4733,101.3761,99.9944,101.3612,754286
2017-05-03,101.1816,101.6206,99.6153,100.6728,714344
2017-05-04,101.2714,101.5607,99.9944,100.9222,789935
2017-05-05,100.9222,102.7579,100.8723,102.3588,734482
2017-05-08,103.0672,103.1569,101.9797,102.1493,527218
2017-05-09,102.5783,103.1969,102.0695,102.5185,957252
2017-05-10,102.0396,103.1969,101.0818,103.0672,750452
2017-05-11,101.7403,102.4187,99.7151,100.6928,1064950
2017-05-12,99.9545,100.4832,98.3283,99.9545,886137
2017-05-15,100.0044,100.7626,99.9944,100.2538,796066
2017-05-16,99.7722,100.3261,98.5846,98.894,1188802
2017-05-17,98.6045,98.9539,97.1873,97.2772,1159487
2017-05-18,97.6764,100.1714,96.9179,98.894,1498511
2017-05-19,98.9239,100.8651,96.6584,100.2114,1583004
2017-05-22,101.1695,102.5168,100.7802,101.918,1455978
2017-05-23,102.7962,104.2933,101.888,102.1775,1667341
2017-05-24,102.0278,102.1974,100.1714,101.8381,2436554
2017-05-25,107.3772,108.7943,105.7404,106.7684,3913384
2017-05-26,106.3492,106.8382,105.0717,105.0817,1337756
2017-05-30,106.0398,106.7933,104.8222,105.3811,1420599
2017-05-31,105.6805,105.8502,104.1436,105.7404,1278626
2017-06-01,105.8302,107.3572,105.5308,105.9999,984387
2017-06-02,106.2194,106.4789,104.8472,105.7504,673147
2017-06-05,105.5308,105.7703,104.3531,105.0019,1174242
2017-06-06,104.3132,104.8621,103.2753,103.4449,963106
2017-06-07,103.3252,103.6246,101.8481,102.9759,988489
2017-06-08,103.3851,103.934,102.6865,102.9559,638964
2017-06-09,103.0956,105.7753,102.6066,105.3811,751960
2017-06-12,105.1615,107.0378,105.0917,105.9899,1115002
2017-06-13,106.0598,106.0598,104.912,105.4011,752530
2017-06-14,105.8402,106.3692,105.0518,106.2194,694931
2017-06-15,104.7124,105.7105,104.5528,105.451,711046
2017-06-16,105.2713,105.5308,104.4729,104.922,980834
2017-06-19,105.0518,105.6007,104.1336,105.5109,611602
2017-06-20,105.3911,105.3911,104.3032,104.6825,769648
2017-06-21,104.3232,105.3112,104.2434,104.8621,826800
2017-06-22,105.3911,109.902,105.3711,108.8542,1628947
2017-06-23,108.4949,110.3712,107.8462,110.2614,1386908
2017-06-26,110.8403,112.5768,110.8403,112.1078,1243577
2017-06-27,112.2176,112.7365,111.7086,112.2575,901583
2017-06-28,112.8263,115.6308,112.5569,113.1457,1227037
2017-06-29,113.3753,114.2934,112.517,113.5549,1086520
2017-06-30,114.7326,115.1917,113.8643,114.2735,995439
2017-07-03,114.2236,114.9422,114.004,114.6128,561475
2017-07-05,114.4132,114.5928,112.6866,113.2256,801623
2017-07-06,112.8164,113.011,110.3712,110.6606,850480
2017-07-07,111.1197,112.3573,111.0848,111.9481,431258
2017-07-10,111.7784,112.9062,111.2595,111.7784,685072
2017-07-11,111.6686,112.2874,110.5409,111.5389,704569
2017-07-12,112.0479,112.7665,111.4591,111.6088,686001
2017-07-13,112.0579,113.4751,111.2994,113.0659,1037572
2017-07-14,113.4451,113.4751,111.8383,112.3373,568094
2017-07-17,112.7265,114.2835,112.517,113.3852,545462
2017-07-18,113.4751,113.8942,111.9481,112.7166,550868
2017-07-19,113.0759,114.0539,112.5569,113.8443,445181
2017-07-20,114.1637,115.9601,113.5749,115.521,858633
2017-07-21,115.6408,117.4372,115.1467,116.7486,714091
2017-07-24,117.0081,117.0081,115.8404,116.2895,658550
2017-07-25,116.529,119.4832,116.04,118.4951,765455
2017-07-26,118.4951,118.6648,117.2775,118.1757,560458
2017-07-27,118.2755,119.7224,117.9662,118.9243,629401
2017-07-28,119.044,120.2516,118.3354,119.7027,914275
2017-07-31,119.7027,119.7027,117.9362,119.054,697166
2017-08-01,119.4632,120.7506,119.1837,119.4931,557344
2017-08-02,119.4632,120.7506,119.1837,119.4931,557362
2017-08-03,119.7626,121.3694,119.3734,121.0301,654650
2017-08-04,121.06,122.5072,121.06,121.8584,760298
2017-08-07,122.7966,124.7028,121.8934,123.8445,675357
2017-08-08,125.591,125.8605,123.8445,124.0541,845951
2017-08-09,123.3355,124.4533,122.8964,123.8645,610477
2017-08-10,123.1758,123.5451,121.1798,121.3894,857844
2017-08-11,121.1099,124.0641,120.8544,123.6349,686327
2017-08-14,124.3934,124.8375,123.7048,124.124,580574
2017-08-15,123.5651,124.613,121.4992,123.1359,806560
2017-08-16,123.2457,124.3934,122.7473,123.9144,634720
2017-08-17,123.7547,124.583,121.9982,122.058,1150257
2017-08-18,121.2596,121.2696,118.8344,120.8105,1128517
2017-08-21,120.571,120.7007,118.9792,119.8225,898836
2017-08-22,120.1893,121.2175,118.9714,120.1194,1098161
2017-08-23,120.1494,120.7184,118.4623,119.8399,1583175
2017-08-24,127.7866,130.0329,121.7966,126.7084,3806381
2017-08-25,127.3174,129.0645,123.9331,125.6901,1507695
2017-08-28,125.8998,126.2093,124.3823,126.0196,1043649
2017-08-29,125.6602,126.8782,123.5737,126.4089,909765
2017-08-30,126.3191,127.7068,125.75,125.8299,735729
2017-08-31,126.3391,126.6185,125.1411,125.6802,602829
2017-09-01,125.9797,126.6585,125.0712,126.3191,498702
2017-09-05,126.6685,128.5354,126.3341,128.2858,1033401
2017-09-06,129.3041,130.5321,128.4056,128.8948,880964
2017-09-07,129.3241,129.8632,128.156,128.4755,975368
2017-09-08,128.3557,128.3557,127.1277,127.547,648375
2017-09-11,128.196,129.9331,127.8965,129.384,752074
2017-09-12,129.6635,130.0229,127.6169,127.8765,645622
2017-09-13,127.9863,128.9148,126.349,127.2176,765816
2017-09-14,127.1078,127.1078,123.5737,126.2193,822243
2017-09-15,126.9181,128.3657,126.379,127.8865,1187402
2017-09-18,128.3856,128.4256,127.4472,127.7966,932154
2017-09-19,127.8665,128.4855,126.2891,127.2575,759574
2017-09-20,127.547,127.9264,125.76,126.4688,803299
2017-09-21,126.4788,126.8881,125.4805,125.6402,497265
2017-09-22,125.76,125.9996,125.2309,125.8599,433763
2017-09-25,125.3906,126.7484,124.7018,124.9114,611313
2017-09-26,125.0911,127.1477,124.8116,126.4988,787136
2017-09-27,126.2492,126.7184,124.6669,126.1494,837052
2017-09-28,125.9996,125.9996,123.983,125.3108,869820
2017-09-29,125.4505,126.399,124.9713,125.8499,512151
2017-10-02,125.7101,126.7983,124.4722,126.7883,504436
2017-10-03,126.7883,126.7883,125.4306,126.0595,1220414
2017-10-04,126.1094,127.7068,125.9397,127.0778,719355
2017-10-05,126.988,127.5271,125.795,127.1078,909334
2017-10-06,126.968,127.3474,126.0296,127.3174,652069
