date,open,high,low,close,volume
2017-01-03,35.0769,35.5259,34.5688,34.8275,1311247
2017-01-04,34.8974,35.1966,34.825,35.027,1184045
2017-01-05,35.0171,35.1966,34.7278,34.7876,1375364
2017-01-06,34.8575,35.2964,34.638,34.8175,1418526
2017-01-09,34.7377,34.7377,34.0494,34.1092,1282107
2017-01-10,34.219,34.6479,34.0394,34.4883,906049
2017-01-11,34.4783,34.6579,34.2688,34.638,1000207
2017-01-12,34.7377,34.9173,34.0593,34.3187,1400923
2017-01-13,34.3287,34.9472,34.3287,34.8076,865226
2017-01-17,34.7278,34.7876,34.0504,34.0593,1572809
2017-01-18,34.1192,34.199,33.5805,34.199,2304808
2017-01-19,34.2688,34.4783,33.8798,34.3886,1628109
2017-01-20,34.5482,34.8774,34.0294,34.5781,1671895
2017-01-23,34.5781,34.8076,34.0693,34.6879,1406737
2017-01-24,34.9472,37.3815,34.9472,37.3216,4435134
2017-01-25,37.4114,37.9102,37.2717,37.5112,3080663
2017-01-26,37.7406,37.99,37.2518,37.3615,1442149
2017-01-27,37.3116,37.3316,36.3639,36.6133,1845128
2017-01-30,36.4237,36.5335,35.8152,36.4936,1484806
2017-01-31,36.6332,36.6431,35.6157,35.8052,2270033
2017-02-01,36.0746,36.4437,35.456,35.6157,2182212
2017-02-02,35.6855,35.8152,35.2166,35.4461,1104400
2017-02-03,35.9549,36.6233,35.7853,36.5135,1610199
2017-02-06,36.5135,37.5211,36.304,36.5933,2408265
2017-02-07,36.6233,36.8451,35.9848,36.3739,1406767
2017-02-08,36.4437,36.5036,35.8152,36.0845,1128102
2017-02-09,36.1344,36.8926,36.0646,36.8328,1151680
2017-02-10,37.0223,37.2019,36.3539,36.8727,1109199
2017-02-13,37.162,37.6508,36.8427,37.0622,1194830
2017-02-14,36.8527,37.3017,36.4936,37.3017,1445070
2017-02-15,37.3116,37.5112,36.9724,37.3116,1132585
2017-02-16,37.3416,37.6409,36.8827,37.6409,1208376
2017-02-17,37.4114,37.4114,36.4537,37.152,2265173
2017-02-21,36.6033,38.5886,35.9549,38.3791,2819680
2017-02-22,38.4489,38.7283,37.4862,37.571,2089261
2017-02-23,37.6608,37.7606,36.4437,37.0523,1942722
2017-02-24,36.733,37.6708,36.6033,37.6708,1632135
2017-02-27,37.6808,38.2893,37.4214,38.0399,1298458
2017-02-28,37.9102,37.9102,37.0223,37.2318,1936626
2017-03-01,37.8803,38.4689,37.7506,38.1596,2217089
2017-03-02,38.1896,38.3691,37.3815,37.4314,2362327
2017-03-03,37.4214,38.0349,37.4114,37.9501,1326232
2017-03-06,37.571,37.7406,37.2219,37.581,1344271
2017-03-07,37.581,38.0698,37.3116,37.4413,1697991
2017-03-08,37.5511,37.6808,37.1919,37.4014,2098437
2017-03-09,37.172,37.4264,36.4138,36.6332,1463892
2017-03-10,37.0722,37.3216,36.8627,37.2219,1436075
2017-03-13,37.2817,37.8105,37.172,37.581,1308688
2017-03-14,37.152,37.2119,36.5435,37.142,874939
2017-03-15,37.3116,37.9102,37.142,37.561,1435151
2017-03-16,37.7805,37.9072,37.3216,37.3914,885088
2017-03-17,37.4812,37.5311,36.9325,37.172,1695090
2017-03-20,37.0722,37.1919,36.707,37.0123,676691
2017-03-21,37.172,37.172,35.5857,35.8252,2315388
2017-03-22,35.8152,36.4936,35.6057,36.2242,1832615
2017-03-23,36.2541,36.753,36.1244,36.3439,1712749
2017-03-24,36.5435,36.723,35.8651,36.0446,1241727
2017-03-27,35.4959,36.0247,34.9871,35.895,1106322
2017-03-28,35.875,36.5884,35.8052,36.3938,1322498
2017-03-29,36.1943,36.733,35.91,36.6332,1393496
2017-03-30,36.6332,37.162,36.5435,37.0323,2175908
2017-03-31,36.8228,37.3815,36.723,37.0223,1572773
2017-04-03,37.1919,37.4014,36.1544,36.3938,1828996
2017-04-04,36.3938,36.8527,36.0945,36.2641,2193260
2017-04-05,36.314,36.5036,35.1767,35.2166,2821849
2017-04-06,35.1767,35.6655,35.1767,35.5059,1344159
2017-04-07,35.3762,35.875,35.2914,35.7154,1163082
2017-04-10,35.7453,36.314,35.5658,35.7154,962933
2017-04-11,35.6356,35.7154,35.3064,35.5358,1473000
2017-04-12,35.466,35.476,34.3387,34.7477,2037785
2017-04-13,34.6579,35.0869,34.0693,34.0793,1723937
2017-04-17,34.1691,34.8126,34.0593,34.7876,973945
2017-04-18,34.5482,34.9871,34.4185,34.8575,1066108
2017-04-19,35.1069,35.3363,34.8624,34.9672,1560499
2017-04-20,35.3463,35.4061,34.8874,35.1268,1265248
2017-04-21,35.1368,35.2565,34.5881,34.9273,1924912
2017-04-24,35.6057,35.9449,35.3962,35.8451,2074726
2017-04-25,36.0446,36.292,35.7853,35.9149,1266971
2017-04-26,35.9249,36.4736,35.8252,36.2043,1086958
2017-04-27,36.2043,36.3739,35.905,36.0446,908985
2017-04-28,36.0945,36.1943,35.3313,35.3563,1579014
2017-05-01,35.5259,35.8551,35.1567,35.5159,814701
2017-05-02,35.486,35.7503,35.2765,35.4461,1893712
2017-05-03,35.2166,35.5059,34.5582,34.9672,3434990
2017-05-04,35.2166,36.5734,34.8176,34.8874,2404323
2017-05-05,34.9173,34.9822,34.1092,34.4285,2945492
2017-05-08,34.4085,34.8126,34.1491,34.3586,1686967
2017-05-09,34.3287,34.628,34.0693,34.4285,3144524
2017-05-10,34.3287,34.4285,33.2413,33.5905,2680214
2017-05-11,33.4308,33.5705,32.7923,33.5306,1653702
2017-05-12,33.371,33.7291,32.2935,32.4132,1663455
2017-05-15,32.6227,32.7425,32.2436,32.3733,1456810
2017-05-16,32.3733,32.4831,31.6451,31.7448,1705089
2017-05-17,31.1861,31.3358,30.9567,30.9766,1564172
2017-05-18,30.9467,31.3059,30.6075,31.1462,1673112
2017-05-19,31.3657,31.6151,31.2161,31.3657,1350506
2017-05-22,31.5553,31.6451,31.2959,31.5253,1152121
2017-05-23,31.5453,31.7648,31.1961,31.6251,841278
2017-05-24,31.3158,31.4555,31.0864,31.2061,1568694
2017-05-25,31.3857,31.5353,30.8968,30.9367,1446572
2017-05-26,30.9367,31.241,30.6873,30.9966,1682706
2017-05-30,30.817,30.9667,30.6225,30.6773,1212087
2017-05-31,30.6873,30.6873,30.1586,30.5876,2309355
2017-06-01,30.7372,31.3587,30.3681,31.2959,2438002
2017-06-02,31.226,31.6949,31.1163,31.5253,1629250
2017-06-05,31.5852,31.5852,30.9866,31.1861,1761781
2017-06-06,30.8968,31.3458,30.6175,31.1662,1504737
2017-06-07,31.226,31.5253,31.1762,31.3258,2072454
2017-06-08,31.3358,31.9344,31.3358,31.7348,1361350
2017-06-09,31.8047,32.7425,31.8047,32.6327,2124178
2017-06-12,32.6626,32.932,32.3833,32.5828,1688463
2017-06-13,32.6327,33.3311,32.4332,32.922,1208488
2017-06-14,32.8821,32.922,32.074,32.3833,1103568
2017-06-15,31.9643,32.3534,31.6949,31.9044,1996926
2017-06-16,31.7847,32.1638,31.7348,31.9843,1860173
2017-06-19,32.084,32.3634,31.8745,32.3235,1409708
2017-06-20,32.0441,32.1439,31.5553,31.6949,1247047
