date,open,high,low,close,volume
2017-01-03,60.2587,60.5149,59.1068,59.8379,9519838
2017-01-04,60.0849,60.3411,59.7098,59.9019,6221655
2017-01-05,59.664,60.3652,59.5176,59.9751,5998898
2017-01-06,59.9111,60.2679,59.3439,59.9568,6749352
2017-01-09,59.9568,60.6293,59.9202,60.0666,4769160
2017-01-10,60.3411,60.5287,59.9934,60.0483,6076032
2017-01-11,60.1581,60.4875,59.8562,60.4783,8349761
2017-01-12,59.7921,60.5515,59.5218,60.4966,6113613
2017-01-13,60.6156,61.375,60.5332,61.192,6177365
2017-01-17,61.0365,61.2743,57.7792,58.7308,22426310
2017-01-18,59.17,60.4692,58.3831,59.5908,15883201
2017-01-19,59.4444,59.8379,58.8863,58.9595,9429206
2017-01-20,59.6457,60.149,57.2943,57.5322,20936881
2017-01-23,53.6802,53.6802,49.197,50.2126,94436001
2017-01-24,50.3407,51.0268,50.0479,50.3224,41751760
2017-01-25,51.3288,52.134,50.7798,52.0608,27969706
2017-01-26,50.6426,50.7707,48.9499,49.4532,37888156
2017-01-27,50.0021,50.1028,49.4074,49.627,23474353
2017-01-30,49.7642,49.7734,48.9957,49.0506,14853856
2017-01-31,49.0506,49.078,48.3369,48.8859,13995448
2017-02-01,49.078,49.242,48.3644,48.6297,16102109
2017-02-02,48.4467,48.5832,47.916,48.1814,14481242
2017-02-03,48.4467,48.6938,48.2637,48.4742,10965265
2017-02-06,48.7761,48.8676,48.3278,48.3827,8215133
2017-02-07,48.6938,48.7487,48.2729,48.7395,10374100
2017-02-08,48.8493,48.8493,48.2363,48.3918,9229045
2017-02-09,48.4101,48.584,48.2729,48.3827,7615138
2017-02-10,48.584,49.6659,48.4284,49.4074,14042202
2017-02-13,49.9381,50.4413,49.6453,50.2583,14516176
2017-02-14,50.714,50.7981,50.1577,50.7615,13071979
2017-02-15,50.8988,51.6948,50.7707,51.6856,14149193
2017-02-16,51.768,52.0608,51.6445,52.0425,11622895
2017-02-17,52.015,52.0974,51.2831,51.6582,12456638
2017-02-21,51.9967,52.3261,51.768,51.9235,9878152
