date,open,high,low,close,volume
2017-01-03,78.8559,80.6194,78.8559,79.9521,1739482
2017-01-04,79.9998,81.22,79.6185,80.5527,1691293
2017-01-05,80.648,81.506,80.5146,81.0293,1409480
2017-01-06,81.2963,81.3916,80.3001,80.3906,1451059
2017-01-09,80.4192,81.1342,80.1237,80.6004,1333520
2017-01-10,80.8101,82.7262,80.4192,81.9159,1531155
2017-01-11,81.8873,82.6213,81.0484,82.5737,1121795
2017-01-12,82.3925,82.4307,80.8196,81.8778,1370464
2017-01-13,81.6299,82.0112,80.9245,81.1151,1108394
2017-01-17,80.915,81.1342,80.1047,81.0198,1015839
2017-01-18,80.934,82.3163,80.1237,81.5155,1401501
2017-01-19,80.7624,81.9254,80.3239,80.6099,1759170
2017-01-20,80.8673,82.4974,80.5527,81.0675,2201689
2017-01-23,81.0008,81.2009,80.5718,80.9912,2373939
2017-01-24,81.2391,82.3258,81.1819,82.0112,3030881
2017-01-25,82.6976,84.1085,82.4402,83.5746,3403365
2017-01-26,88.7033,91.6013,87.9693,91.1723,7610481
2017-01-27,91.0579,91.1342,89.4087,90.1428,3285680
2017-01-30,90.7815,91.2676,89.2467,89.9902,2137329
2017-01-31,90.0093,90.0474,88.322,89.2562,1884717
2017-02-01,89.5517,90.5813,89.2562,89.9235,2154880
2017-02-02,89.8091,90.3906,89.2371,89.6375,1336668
2017-02-03,89.6185,90.8291,89.5708,90.1046,1578223
2017-02-06,89.7805,90.6957,89.6852,90.3811,1226020
2017-02-07,90.7624,91.0389,90.1523,90.5908,1131355
2017-02-08,90.5527,90.9149,90.1618,90.5336,1495891
2017-02-09,90.6861,91.0103,90.344,90.9149,1348190
2017-02-10,90.9721,91.7252,90.505,91.363,1341050
2017-02-13,91.9826,92.4974,91.6108,91.9921,1177461
2017-02-14,91.9349,92.5355,91.7252,92.0112,906714
2017-02-15,91.649,92.8692,91.2105,92.2305,1357007
2017-02-16,92.1637,92.3258,90.9626,91.4488,1303085
2017-02-17,91.2295,91.3439,90.0188,90.7624,1495032
2017-02-21,90.7719,91.5632,90.4955,91.0293,1632842
2017-02-22,91.0007,91.7157,90.5622,91.4678,2058303
2017-02-23,92.0398,92.8406,90.9626,91.0675,1487550
2017-02-24,91.1628,91.6585,90.2286,91.6585,1215616
2017-02-27,91.4774,92.3639,91.1056,92.1733,1403533
2017-02-28,92.1351,92.6118,91.5918,91.6108,1284841
2017-03-01,92.3449,93.1075,92.0207,92.7643,1247753
2017-03-02,92.9264,92.9264,92.2495,92.6404,828629
2017-03-03,92.3721,92.9948,90.687,91.4716,1827643
2017-03-06,90.6477,90.9926,89.4789,90.8297,1564154
2017-03-07,90.6956,90.9255,90.1208,90.571,1361265
2017-03-08,91.0596,92.056,90.8776,91.3662,1513277
2017-03-09,91.8835,92.0943,90.9063,91.4907,847233
2017-03-10,91.7302,93.6175,91.7302,93.1673,1672998
2017-03-13,93.4163,93.5505,92.3529,92.8224,1165276
2017-03-14,92.717,92.7553,91.4333,91.9123,1040440
2017-03-15,92.1422,92.9278,91.8356,92.6883,781795
2017-03-16,92.832,93.1577,92.4008,92.9182,841069
2017-03-17,92.9373,94.3265,92.8128,93.6942,1697638
2017-03-20,93.79,93.9001,92.9852,93.7996,798027
2017-03-21,94.4223,94.8438,92.5733,92.9757,1075473
2017-03-22,92.6595,94.9109,91.5482,94.6043,1452014
2017-03-23,94.8917,96.2617,94.8917,95.1791,1636412
2017-03-24,95.2462,95.5958,94.0582,94.4318,913873
2017-03-27,93.9912,95.3899,93.2439,95.112,1093571
2017-03-28,95.6869,96.8652,95.5719,96.1084,1372919
2017-03-29,95.8018,96.2186,94.4869,94.7672,1123204
2017-03-30,94.7672,95.5566,94.7672,95.4665,1090753
2017-03-31,95.4761,95.6869,93.9337,93.9912,1499347
2017-04-03,94.1923,94.3265,92.718,93.5984,995929
2017-04-04,93.79,94.4318,93.3205,93.9912,942419
2017-04-05,94.2786,95.3611,93.5601,94.0391,1063835
2017-04-06,93.7517,95.0546,93.0427,94.633,927071
2017-04-07,94.5468,94.6139,92.4775,93.3014,1917788
2017-04-10,93.2918,94.566,93.0427,93.8379,1496486
2017-04-11,93.2056,93.7708,90.868,91.2991,2507790
2017-04-12,91.347,91.8452,90.0058,90.7435,1422517
2017-04-13,90.5998,91.347,89.9196,90.3986,1677913
2017-04-17,90.9255,92.1134,90.389,91.9123,1082459
2017-04-18,91.6919,91.8931,90.6094,91.5386,919843
2017-04-19,92.1326,92.9709,91.5865,91.8835,984152
2017-04-20,92.2763,93.8666,92.2763,93.1289,1744958
2017-04-21,92.899,93.7229,92.832,93.2439,1025017
2017-04-24,94.7001,95.3132,92.8367,93.3493,1783056
2017-04-25,94.0295,95.2653,93.7325,94.9875,1463273
2017-04-26,95.1025,96.6832,94.9779,96.2521,1328867
2017-04-27,96.6065,98.3692,96.0998,96.2808,3007257
2017-04-28,101.8565,105.9568,100.9943,102.1247,6738330
2017-05-01,102.3163,105.6886,101.6266,103.8587,3561206
2017-05-02,104.1653,104.3761,101.9906,103.533,2139139
2017-05-03,103.4468,103.7055,102.6277,103.5618,1280015
2017-05-04,103.8875,104.3378,102.9582,103.3893,2416612
2017-05-05,103.8108,104.3473,103.3318,104.0599,886374
2017-05-08,103.8013,104.4239,103.169,103.4372,864987
2017-05-09,103.6767,104.5773,103.6097,104.2515,879166
2017-05-10,104.309,104.309,103.0348,103.7917,1196750
2017-05-11,103.466,103.7821,102.2014,103.715,985693
2017-05-12,103.5905,104.0024,102.757,103.054,1079347
2017-05-15,102.8049,103.6192,102.4792,103.5809,1005750
2017-05-16,103.8396,103.8396,102.6037,102.8337,786865
2017-05-17,102.278,102.4696,99.174,99.2986,1677159
2017-05-18,99.6435,101.5212,99.3848,100.5727,1087872
2017-05-19,101.32,102.3834,100.6398,101.6936,1144255
2017-05-22,101.7319,102.8385,101.1763,102.7091,940094
2017-05-23,102.5942,103.5043,102.0098,102.6421,1003527
2017-05-24,102.9486,103.8204,102.4313,103.6384,877929
2017-05-25,104.5485,106.34,104.0216,105.6311,1672282
2017-05-26,105.3916,106.7711,105.382,106.4167,1090800
2017-05-30,106.3113,106.4693,105.4443,105.7939,1184033
2017-05-31,106.2751,106.8524,105.6015,106.0153,1774366
2017-06-01,106.429,108.6806,106.1211,108.4881,1430636
2017-06-02,108.9692,110.172,108.9404,109.0943,1086006
2017-06-05,108.8345,108.9731,107.8146,107.8242,917263
2017-06-06,107.5452,108.0648,106.6407,106.66,1522582
2017-06-07,107.2565,108.3631,106.2173,107.9108,1273343
2017-06-08,107.882,109.4022,107.5548,108.5555,1043007
2017-06-09,108.6132,109.2387,104.7452,105.6689,1634347
