date,open,high,low,close,volume
2017-01-03,207.0682,208.0854,204.1496,205.3855,231717
2017-01-04,206.2506,208.0616,205.2429,207.0587,264138
2017-01-05,207.0777,208.5227,206.4502,207.0397,234227
2017-01-06,207.0492,208.5132,205.1953,208.0284,241236
2017-01-09,208.1805,208.19,205.98,206.2696,296620
2017-01-10,206.9826,208.7509,206.3076,208.5988,277888
2017-01-11,208.7414,209.6065,207.3439,209.2357,274224
2017-01-12,208.3136,209.3593,207.2155,208.941,268891
2017-01-13,209.6255,211.1181,208.247,208.4372,230978
2017-01-17,206.9256,209.9773,206.4978,207.1252,239679
2017-01-18,207.9333,211.1181,207.0777,210.272,335275
2017-01-19,210.7378,212.0973,207.496,208.5703,188536
2017-01-20,209.1407,209.3213,207.3344,207.8382,227955
2017-01-23,207.6481,208.6178,206.783,208.3421,148898
2017-01-24,208.5417,209.0456,206.8305,207.6101,207385
2017-01-25,208.8365,209.6445,207.6101,209.0551,204675
2017-01-26,209.8252,210.9184,207.9903,210.9184,278224
2017-01-27,210.5382,211.1941,209.1644,210.2149,105082
2017-01-30,208.9505,210.4906,207.4817,209.5685,151829
2017-01-31,210.1769,210.8899,208.3706,209.0836,295505
2017-02-01,209.4639,211.8216,208.2565,208.6748,317160
2017-02-02,209.2452,212.449,208.9695,211.2322,359104
2017-02-03,212.4586,214.6641,209.7966,210.6808,257442
2017-02-06,211.4889,211.9072,208.8365,211.1466,288946
2017-02-07,211.8786,218.6285,211.8786,216.613,672116
2017-02-08,216.556,218.6095,216.4039,218.1436,331076
2017-02-09,216.5465,218.4574,216.4229,218.4574,370185
2017-02-10,218.7045,219.6172,217.9725,219.332,292438
2017-02-13,218.9042,221.9464,218.6285,221.5851,206398
2017-02-14,220.1781,222.878,220.1781,222.0509,290807
2017-02-15,221.9083,222.8685,220.2542,222.5643,199681
2017-02-16,222.4122,224.7366,222.3266,223.8953,275055
2017-02-17,223.8763,223.8763,222.1365,223.5245,250804
2017-02-21,223.9618,224.5512,222.0034,222.4027,247006
2017-02-22,221.6326,223.7717,221.2048,223.3249,246378
2017-02-23,224.19,224.7984,223.0397,223.7717,193423
2017-02-24,222.8685,225.5019,222.3837,223.4389,194098
2017-02-27,223.3534,223.3534,221.4995,221.5376,166703
2017-02-28,221.7848,223.7051,221.4853,223.5435,336421
2017-03-01,225.654,228.6487,224.3611,227.3558,286326
2017-03-02,226.6237,227.4223,225.2262,225.4829,273619
2017-03-03,225.4259,226.6047,223.477,223.9998,200188
2017-03-06,224.6115,224.6115,222.2986,222.3655,211652
2017-03-07,221.7251,221.9115,220.6786,221.1899,394420
2017-03-08,221.4957,223.6462,221.4957,222.7382,215292
2017-03-09,222.6235,223.4455,221.4671,222.4419,143090
2017-03-10,222.4706,224.9364,222.4419,224.5924,243988
2017-03-13,224.7071,225.1945,223.825,224.6019,230269
2017-03-14,223.7704,224.5159,223.3595,224.3248,118796
2017-03-15,224.5733,225.9304,223.6366,225.8253,194288
2017-03-16,225.9304,225.94,223.9664,225.2423,169592
2017-03-17,225.2327,226.0077,223.6844,225.5481,266040
2017-03-20,225.6055,225.9256,224.2196,224.7644,128119
2017-03-21,225.701,225.701,222.7382,223.1396,170459
2017-03-22,223.1492,224.5637,222.2603,224.0572,184855
2017-03-23,224.0285,224.7644,223.2256,223.6844,128599
2017-03-24,223.694,225.7536,222.4515,223.0727,126111
2017-03-27,221.3046,222.5662,220.7216,221.5148,165043
2017-03-28,221.0943,224.3056,221.037,223.4646,239256
2017-03-29,222.9676,224.0476,222.2651,223.1014,150567
2017-03-30,222.8338,224.9651,221.9975,224.4968,142268
2017-03-31,223.9902,225.2423,223.3977,223.4646,174595
2017-04-03,224.2579,225.5003,222.6426,223.455,226848
2017-04-04,223.3786,226.0356,223.3786,225.6628,150628
2017-04-05,225.443,225.8826,222.9485,223.455,186890
2017-04-06,223.2256,223.8947,221.1803,223.3021,304159
2017-04-07,222.6044,224.2292,222.3177,222.3272,236921
2017-04-10,222.2125,224.1049,221.7729,223.3212,128815
2017-04-11,223.0727,224.9842,221.9832,223.9807,145866
2017-04-12,224.6115,224.6115,222.5089,223.0249,147411
2017-04-13,223.7513,224.3152,220.3202,220.4253,245660
2017-04-17,220.2055,224.5972,220.2055,224.1814,158068
2017-04-18,222.8338,224.2101,222.7812,223.5602,134336
2017-04-19,223.9329,224.1049,222.2508,222.8911,179758
2017-04-20,222.6426,225.0559,221.9736,224.5541,139551
2017-04-21,224.5255,224.9842,223.3786,223.3881,209523
2017-04-24,225.7584,229.3807,225.2041,228.7881,722158
2017-04-25,234.3506,241.7673,231.0724,240.7733,860833
2017-04-26,242.1687,246.871,241.8342,245.5425,491348
2017-04-27,244.472,245.4469,242.2929,242.6752,402452
2017-04-28,241.5474,242.9524,239.6359,240.5726,285607
2017-05-01,241.7195,243.6979,238.059,239.2536,199977
2017-05-02,238.2692,240.2667,236.7352,237.0172,260996
2017-05-03,237.6097,238.2119,235.6982,237.6766,224477
2017-05-04,238.5464,238.9096,235.918,237.3899,275081
2017-05-05,236.9885,237.9251,235.4593,235.5166,245969
2017-05-08,235.2681,236.8834,234.0543,235.2968,214435
2017-05-09,236.1379,236.7018,231.6745,232.3053,262043
2017-05-10,231.8083,233.8536,231.4834,233.2037,221013
2017-05-11,231.5885,234.6326,231.3878,233.6051,250047
2017-05-12,232.8979,234.494,232.6589,233.1559,196556
2017-05-15,234.2741,235.2586,233.3088,233.8727,195120
2017-05-16,234.0448,235.0961,231.6745,233.7198,280308
2017-05-17,231.2826,233.4904,229.5241,230.9577,193101
2017-05-18,230.2409,234.4366,229.6865,233.0603,248299
2017-05-19,232.5729,236.5011,231.9612,233.1464,269673
2017-05-22,232.4869,234.0639,231.9326,233.175,369650
2017-05-23,233.7963,235.6026,230.8239,235.3733,241740
2017-05-24,236.5871,237.0076,235.1152,236.6444,303605
2017-05-25,236.3959,238.3552,236.1044,237.992,254627
2017-05-26,238.0017,238.943,236.7913,238.8566,189961
2017-05-30,237.3004,238.9911,235.9268,238.482,225649
2017-05-31,240.2206,244.6104,238.3427,244.6104,718278
2017-06-01,245.0811,245.9456,243.4577,245.523,275833
2017-06-02,245.1003,245.84,243.7555,245.4557,195453
2017-06-05,245.5326,245.888,243.7843,244.0629,194431
2017-06-06,242.8622,244.2454,241.7095,242.1417,220326
2017-06-07,241.6326,243.0159,241.4501,242.4779,204695
2017-06-08,241.9304,244.4567,241.3349,243.1888,290632
2017-06-09,244.2934,246.3395,243.5154,245.4941,252691
2017-06-12,245.4941,248.2798,244.8121,247.9436,252635
2017-06-13,247.8283,247.8283,244.4951,245.1964,494508
2017-06-14,244.1205,245.3597,241.4789,242.4299,391358
2017-06-15,240.5952,243.0735,240.4127,242.1513,479645
2017-06-16,243.0927,245.888,241.6807,245.5134,7583803
2017-06-19,247.0215,249.6919,246.7813,247.1752,487884
2017-06-20,246.6276,247.7323,243.5442,244.8121,321778
2017-06-21,244.8025,246.9062,244.0149,246.4643,369871
2017-06-22,246.3779,248.0205,245.2828,246.618,368933
2017-06-23,247.0791,247.0791,243.3713,243.9668,469855
2017-06-26,244.8314,246.1954,243.6691,244.1301,299093
2017-06-27,244.255,244.5144,242.2186,243.4193,355911
2017-06-28,244.4567,245.9168,243.6691,245.0139,532044
2017-06-29,246.1089,246.1473,243.8035,245.1003,346097
2017-06-30,244.9947,245.6286,242.4395,244.5528,427446
2017-07-03,245.523,257.7991,244.8794,253.5438,523893
2017-07-05,254.3603,255.2248,252.0261,252.3911,523239
2017-07-06,252.1509,252.7561,250.6236,251.0175,438065
2017-07-07,252.4199,253.659,250.7485,252.8329,281458
2017-07-10,252.1605,256.5167,251.8724,255.1095,477715
2017-07-11,255.7819,255.7819,249.9224,251.9012,523106
2017-07-12,251.6706,254.1777,251.1039,252.3623,310718
2017-07-13,253.2364,253.88,251.5746,253.4285,320536
2017-07-14,252.8906,253.5438,251.5938,253.3517,287839
2017-07-17,252.247,255.0038,250.8638,254.4179,273095
2017-07-18,252.9674,257.8279,252.3238,256.7905,483560
2017-07-19,257.6262,260.1333,256.7905,258.4331,489853
2017-07-20,258.1353,259.1823,257.1651,258.5003,399936
2017-07-21,257.9816,259.7059,257.4245,259.4705,347860
2017-07-24,260.0661,262.764,258.6636,260.4311,452507
2017-07-25,261.9968,266.2426,252.8906,256.2142,662961
2017-07-26,256.3006,256.3006,249.5958,249.7687,521379
2017-07-27,249.3365,249.615,246.9446,249.298,387219
2017-07-28,249.298,250.2778,247.9916,249.615,313188
2017-07-31,249.8167,252.8714,249.8167,252.0453,307842
2017-08-01,253.8127,255.1095,251.6514,253.5822,393735
2017-08-02,253.4477,256.3486,252.6696,254.879,277465
2017-08-03,254.5524,256.3438,254.0385,255.5706,213483
2017-08-04,256.6656,256.8866,253.6494,255.196,211699
2017-08-07,255.2728,255.7723,253.8031,255.1191,235065
2017-08-08,254.8694,255.7531,254.3603,255.6955,289631
2017-08-09,254.8117,258.2314,254.4323,258.1257,249684
2017-08-10,257.9336,259.0671,257.2996,258.6828,330958
2017-08-11,258.875,259.0383,254.4179,254.6196,218581
2017-08-14,255.7915,258.3562,255.5706,258.337,230868
2017-08-15,258.971,260.2534,255.8876,256.8674,258557
2017-08-16,257.9336,259.019,255.5129,256.3871,228143
2017-08-17,256.195,256.7089,251.8339,252.1509,296590
2017-08-18,251.4113,252.881,251.0271,252.6504,659477
2017-08-21,252.7657,252.929,251.2192,252.1221,215160
2017-08-22,252.295,253.2844,251.882,253.2844,254614
2017-08-23,253.1787,255.2488,252.2422,252.4295,194757
2017-08-24,252.4199,252.7273,246.5556,247.4537,369587
2017-08-25,247.3481,250.3066,247.0887,249.98,301985
2017-08-28,248.6544,248.6746,241.8344,242.9198,582611
2017-08-29,241.9112,243.4385,240.8642,242.5356,491116
2017-08-30,241.9784,243.8996,241.0371,241.8248,405476
2017-08-31,241.8151,243.0255,240.3263,242.526,529013
2017-09-01,242.6515,244.1768,239.181,239.7747,540664
2017-09-05,237.6027,237.6027,222.0894,223.1803,1013737
2017-09-06,223.0645,225.7481,219.3189,219.5023,1196038
2017-09-07,219.4251,219.4347,202.9175,204.5972,1196443
2017-09-08,204.5586,218.8169,201.9715,214.7721,1566359
2017-09-11,233.7799,236.7146,222.7459,223.9236,1421876
2017-09-12,223.914,226.8197,221.2496,225.1689,653195
2017-09-13,223.9236,226.0088,221.581,225.2365,480496
2017-09-14,225.2462,225.2462,219.1548,221.3461,558268
2017-09-15,221.6454,223.8174,220.6414,223.634,540138
2017-09-18,223.9622,224.7635,218.3439,218.8169,483580
2017-09-19,218.5466,221.1144,217.4268,218.0543,599726
2017-09-20,217.9674,218.2956,213.9129,217.031,648414
2017-09-21,217.4461,220.7282,217.2144,219.4251,426961
2017-09-22,218.4694,219.4685,216.4325,218.4211,342167
2017-09-25,217.5909,219.6664,215.805,216.1815,536956
2017-09-26,214.5307,215.2644,209.5302,212.6386,888657
2017-09-27,215.2258,215.5492,213.3144,213.4206,736006
2017-09-28,213.324,216.6931,212.1608,215.1582,591891
2017-09-29,215.8243,221.5006,214.9748,220.4773,663780
2017-10-02,219.3285,222.4756,216.7317,221.3365,560014
2017-10-03,220.6318,222.075,219.5602,221.3751,412343
2017-10-04,221.5488,222.1763,219.6664,219.8112,395993
2017-10-05,218.73,220.5063,218.1798,218.8941,450318
2017-10-06,219.4058,220.236,216.8862,217.2144,312060
2017-10-09,217.7743,219.5795,216.2394,218.1894,343745
2017-10-10,218.1701,219.454,216.9248,216.9827,380292
2017-10-11,216.751,216.9924,213.3626,214.801,563982
2017-10-12,215.3609,219.7726,215.3609,218.952,579496
2017-10-13,220.1008,236.116,220.1008,232.1774,934028
2017-10-16,231.6465,232.7856,229.5468,229.8702,562413
2017-10-17,230.9031,230.9031,227.0137,228.2098,439778
2017-10-18,228.8855,229.2524,225.9991,226.8583,323872
2017-10-19,226.4528,229.2331,226.0908,229.0303,237937
2017-10-20,231.0093,231.241,227.5678,228.4704,402268
2017-10-23,228.7697,228.7697,226.5735,227.6788,294192
2017-10-24,227.3699,229.764,225.2751,226.1632,492016
2017-10-25,225.4778,229.8136,223.7305,225.0145,475029
2017-10-26,225.8929,227.9588,223.8609,226.81,371487
2017-10-27,226.4625,230.9031,224.1022,228.7407,534319
2017-10-30,227.6306,232.3946,227.6306,230.8356,645823
2017-10-31,230.7197,235.7106,228.094,229.2234,817826
