date,open,high,low,close,volume
2017-01-03,47.4348,47.8853,46.687,47.7032,1340639
2017-01-04,47.9333,48.8728,47.7032,48.8057,1677173
2017-01-05,48.4126,48.5948,46.4473,46.5911,2511186
2017-01-06,46.524,46.7829,46.1597,46.3035,1608832
2017-01-09,46.2269,46.6487,45.8338,46.3515,945984
2017-01-10,46.9171,47.3197,46.5528,46.9938,931068
2017-01-11,46.9746,47.2814,46.6199,47.1951,1317542
2017-01-12,47.0417,47.406,46.6774,47.3293,788203
2017-01-13,47.4252,47.9812,47.406,47.847,614479
2017-01-17,47.5019,47.9237,46.9363,47.0897,824242
2017-01-18,47.1184,47.4827,46.6487,47.3101,1070409
2017-01-19,47.4923,47.4923,46.3611,46.5816,1049825
2017-01-20,46.6103,47.2095,46.5336,46.8787,1006986
2017-01-23,46.7445,47.1472,46.1885,46.6295,852759
2017-01-24,46.9075,47.3677,46.6774,47.3293,1092390
2017-01-25,47.8087,48.1538,47.3197,47.7511,809683
2017-01-26,47.7895,48.2209,47.2335,47.8662,1684507
2017-01-27,43.5714,44.8464,43.1399,44.3862,3222014
2017-01-30,44.2041,44.3383,43.4755,44.3191,1375102
2017-01-31,44.2424,45.1627,43.6001,45.1148,1680490
2017-02-01,45.5222,46.3419,45.0573,45.2682,1140069
2017-02-02,45.1052,45.9776,44.9422,45.6804,1548556
2017-02-03,45.805,46.6774,45.805,46.6007,1111339
2017-02-06,46.4186,46.6487,46.1885,46.3707,1123006
2017-02-07,46.5528,46.6295,45.249,45.412,1690772
2017-02-08,45.3065,45.3065,44.7984,44.9806,2019927
2017-02-09,45.2778,45.7667,45.2298,45.249,1174911
2017-02-10,45.5462,45.6037,45.0189,45.2586,1357847
2017-02-13,45.4408,45.7955,45.412,45.5462,589625
2017-02-14,45.4024,45.6708,45.2011,45.5079,1348286
2017-02-15,45.3928,46.2556,45.3928,46.1597,739212
2017-02-16,46.2748,46.4953,45.7044,46.0831,1690323
2017-02-17,46.0064,46.5816,45.7188,46.5816,811884
2017-02-21,46.2077,46.7829,46.0926,46.5911,1013107
2017-02-22,46.6104,46.832,46.0227,46.4852,1038368
2017-02-23,46.4274,46.7838,46.0998,46.225,2292701
2017-02-24,45.7144,46.2058,45.2568,46.2058,744374
2017-02-27,46.2925,46.4081,45.9745,46.2058,757655
2017-02-28,46.1769,46.5141,45.8589,46.4755,1168664
2017-03-01,47.1788,47.6798,46.5044,46.543,1525026
2017-03-02,46.3985,46.6489,45.5217,45.7722,3002947
2017-03-03,45.8204,45.936,45.3772,45.753,1456046
2017-03-06,45.5025,45.7722,45.252,45.5795,919873
2017-03-07,45.6084,45.9745,45.4061,45.7915,774957
2017-03-08,46.0613,46.726,46.0034,46.7067,1264804
2017-03-09,46.6393,46.8802,45.6325,45.8011,889188
2017-03-10,46.6489,46.6489,46.0227,46.4466,1520944
2017-03-13,46.4659,46.7646,46.3021,46.5333,653588
2017-03-14,46.4466,46.5526,46.0516,46.4081,567304
2017-03-15,46.4563,46.9283,46.1287,46.9091,782508
2017-03-16,46.9765,47.6943,46.9187,47.5738,989081
2017-03-17,47.6413,47.805,47.2366,47.728,876070
2017-03-20,47.7087,47.9014,47.0632,47.2752,880019
2017-03-21,47.6027,47.7183,46.8224,46.9476,1392371
2017-03-22,46.7838,47.2366,46.4659,46.8031,1138715
2017-03-23,46.7935,47.2752,46.7742,46.9283,967800
2017-03-24,46.9958,47.2559,46.3021,46.4274,835495
2017-03-27,45.3387,45.8108,45.1171,45.4254,1439216
2017-03-28,45.358,46.1191,45.1556,45.7144,1541843
2017-03-29,45.7144,46.3503,45.4928,46.2443,793571
2017-03-30,46.2058,46.8705,46.1825,46.8416,659833
2017-03-31,46.7935,47.1499,46.7935,47.0439,705154
2017-04-03,47.0439,47.0439,45.0304,45.146,1373918
2017-04-04,44.8955,44.91,43.4407,44.2789,2249760
2017-04-05,44.5487,45.1364,43.9032,44.0092,1559445
