date,open,high,low,close,volume
2017-01-03,68.3455,68.9088,67.0928,67.6658,598642
2017-01-04,68.0639,70.2877,67.6821,70.2198,972173
2017-01-05,70.5596,71.521,70.2683,71.4628,1312968
2017-01-06,71.8124,72.5698,71.4056,72.5018,1049783
2017-01-09,72.1134,72.1522,71.2308,71.521,709250
2017-01-10,71.8609,72.4921,71.2831,72.2785,587523
2017-01-11,72.2591,72.7737,71.7444,72.7349,892658
2017-01-12,72.2785,72.2785,70.6277,71.6861,497610
2017-01-13,72.2785,72.9874,71.8124,72.2299,461364
2017-01-17,71.5987,71.7929,69.8799,70.045,421783
2017-01-18,70.1906,70.7636,68.6951,70.7247,755845
2017-01-19,70.9384,71.2297,69.8362,70.1226,311996
2017-01-20,70.1226,70.6373,69.8799,70.5985,332151
2017-01-23,70.0255,70.9287,69.9187,70.8218,399146
2017-01-24,70.9772,72.4727,70.851,72.1037,682964
2017-01-25,73.0651,73.4826,72.5311,73.4244,857736
2017-01-26,72.463,75.5413,72.463,74.9296,953088
2017-01-27,75.1335,75.2015,73.4049,73.7934,906842
2017-01-30,73.4729,73.5021,71.8124,73.3758,706651
2017-01-31,73.1427,73.5312,71.958,72.764,681887
2017-02-01,73.638,74.6771,72.8807,73.2981,575331
2017-02-02,72.3465,73.0651,71.7046,72.2785,780556
2017-02-03,73.2204,74.5023,73.0456,74.143,506862
2017-02-06,73.6283,74.614,73.5894,74.3566,499241
2017-02-07,74.7353,75.017,74.3082,74.6771,749855
2017-02-08,74.1721,74.3178,73.1525,74.2401,539783
2017-02-09,74.7256,75.4928,74.3955,75.3083,412859
2017-02-10,75.7453,75.7453,74.6577,74.6771,411158
2017-02-13,75.2403,75.823,75.1918,75.3374,528825
2017-02-14,75.0461,76.3668,74.8616,76.0075,882274
2017-02-15,76.493,76.93,75.9299,76.7746,349925
2017-02-16,76.9786,76.9786,76.1434,76.7843,519478
2017-02-17,75.9007,76.6581,75.6579,76.5804,403466
2017-02-21,76.8717,77.1242,76.5222,76.9494,500919
2017-02-22,76.3862,77.736,76.3862,77.3476,560413
2017-02-23,77.2893,77.2893,76.0366,76.26,624320
2017-02-24,75.3277,76.493,75.3277,76.2211,544915
2017-02-27,76.2308,77.1339,75.7841,77.1145,400647
2017-02-28,76.862,76.9106,75.3471,76.2891,679740
2017-03-01,77.503,79.5471,77.503,78.6974,862640
2017-03-02,78.7848,78.7848,77.1048,77.2116,522775
2017-03-03,77.1728,77.7749,76.6581,77.4835,375439
2017-03-06,76.8135,77.3604,76.4153,76.8815,457503
2017-03-07,76.8426,77.0271,76.1726,76.4153,481801
2017-03-08,77.5321,77.7846,76.3668,76.3959,427099
2017-03-09,76.7746,77.3185,76.4833,76.93,415430
2017-03-10,76.862,77.4058,76.0949,77.0077,511046
2017-03-13,77.8331,78.0662,76.6678,76.7843,1608685
2017-03-14,76.5513,76.5998,75.0461,75.9686,841372
2017-03-15,76.2891,76.4348,74.512,74.9781,1655685
2017-03-16,75.3568,76.1823,74.9587,75.6579,1389876
2017-03-17,75.5219,75.7744,74.9004,75.6482,23045057
2017-03-20,75.6482,76.26,74.7742,75.4054,1886073
2017-03-21,75.6287,75.6287,71.5696,71.7735,1269577
2017-03-22,71.1326,72.5891,70.6082,72.1619,1066469
2017-03-23,72.0551,73.4244,72.0267,72.6863,1079629
2017-03-24,72.8514,73.3273,71.9871,72.5212,885865
2017-03-27,70.7539,71.6958,70.045,71.6278,1006185
2017-03-28,71.4628,73.4049,71.4628,72.9388,651309
2017-03-29,72.9,72.9777,72.094,72.7737,595395
2017-03-30,72.803,74.1373,72.803,74.1081,583719
2017-03-31,74.0009,74.7606,73.7088,74.2736,950013
2017-04-03,74.3029,74.5658,73.1146,74.2736,1163491
2017-04-04,74.0302,74.5561,73.6795,73.9425,733454
2017-04-05,74.6048,74.8093,72.4718,72.5692,897677
2017-04-06,72.7056,73.962,71.9459,73.6698,645530
2017-04-07,73.1146,74.2542,72.6861,73.8451,891860
2017-04-10,73.7672,74.2347,72.7543,73.3971,533745
2017-04-11,72.8517,73.1049,71.7998,72.803,822654
2017-04-12,72.7543,72.9004,71.6342,71.8388,791466
2017-04-13,71.3518,72.1407,70.709,70.7285,972370
2017-04-17,70.9719,71.868,70.4557,71.7998,452863
2017-04-18,71.157,72.053,70.2999,71.1667,648363
2017-04-19,71.8875,72.3306,70.8161,70.9232,1468454
2017-04-20,71.5368,72.355,70.6018,72.2283,1336094
2017-04-21,72.0725,72.5496,70.9914,71.3031,681700
2017-04-24,73.1828,73.4945,72.7738,73.1244,751198
2017-04-25,73.9133,74.0204,73.1341,73.2315,560788
2017-04-26,73.2607,74.2736,73.0953,73.7672,722874
2017-04-27,73.8354,74.7606,71.605,72.9491,1288236
2017-04-28,72.9004,73.0465,72.1894,72.579,935910
2017-05-01,73.0465,73.7185,72.4037,72.9978,627939
2017-05-02,73.3484,74.147,73.2413,73.8548,843576
2017-05-03,73.5821,74.5074,73.3776,74.4587,561844
2017-05-04,75.0431,75.3742,74.0107,74.4197,620217
2017-05-05,74.7411,74.8872,73.6893,74.0204,673049
2017-05-08,74.0302,74.1178,73.0757,73.6601,494525
2017-05-09,73.7769,74.2931,73.3679,73.5529,513810
2017-05-10,73.3971,73.6114,72.8517,73.5432,409212
2017-05-11,73.2413,73.4653,72.0823,72.9978,553790
2017-05-12,72.4524,72.8419,71.9849,72.4718,640437
2017-05-15,72.8517,73.8547,72.4718,73.738,910950
2017-05-16,73.8451,74.8093,73.738,74.7996,579331
2017-05-17,73.4068,73.4653,69.7302,69.9103,1312270
2017-05-18,69.8616,71.0303,69.5208,70.3194,1139246
2017-05-19,70.5726,71.6245,70.1733,71.1083,565746
2017-05-22,71.5953,71.5953,70.5434,71.2641,624817
2017-05-23,70.8453,71.5953,69.6766,71.4005,713370
2017-05-24,71.3713,71.6342,70.4265,70.9525,563446
2017-05-25,71.4394,72.0628,71.0401,71.7219,434616
2017-05-26,71.5174,71.8972,71.2252,71.7608,535257
2017-05-30,71.2544,71.5368,70.5434,71.0986,417870
2017-05-31,71.1473,71.1473,69.4915,70.3876,947592
2017-06-01,70.9427,71.8972,70.2025,71.8875,882558
2017-06-02,71.2641,71.8095,70.7674,71.42,567339
2017-06-05,71.5855,72.5205,71.4785,71.868,431894
2017-06-06,71.0596,71.9849,70.67,71.6732,750146
2017-06-07,71.9654,72.4231,71.3907,72.0336,568896
2017-06-08,72.0336,74.5509,71.8972,74.0983,1079320
2017-06-09,74.8093,76.5624,74.8093,76.2508,766418
2017-06-12,76.3384,77.3513,76.0657,76.6793,937886
2017-06-13,77.0299,77.4779,76.3092,76.8546,711210
2017-06-14,76.0852,76.9325,75.1794,76.8838,594851
2017-06-15,76.2215,77.1371,76.1729,76.5819,369595
2017-06-16,76.6209,76.9131,75.9878,76.4261,860025
2017-06-19,76.8936,77.3221,76.4456,77.0007,804576
2017-06-20,76.8157,76.8157,75.9683,76.1144,525589
2017-06-21,76.1339,76.3482,75.5008,75.6567,788350
2017-06-22,75.306,75.4326,74.595,75.1794,429961
2017-06-23,75.6956,75.6956,74.4295,74.6243,1833478
2017-06-26,74.858,75.7735,74.4051,75.4716,568328
2017-06-27,75.9488,77.2539,75.9196,76.5917,660196
2017-06-28,77.3026,78.8317,77.0835,78.6077,1051339
2017-06-29,79.9945,80.6586,77.9534,78.6175,874533
2017-06-30,79.184,79.3588,77.9534,78.3441,710036
2017-07-03,78.9886,80.0824,78.5101,79.6918,343348
2017-07-05,79.7895,80.0629,79.35,79.6234,720330
2017-07-06,79.5746,80.5121,79.0668,79.1156,758614
2017-07-07,79.4867,79.7602,78.7835,79.4867,482573
2017-07-10,79.4086,80.6782,78.9496,80.4731,575573
2017-07-11,80.5707,80.5707,79.5941,79.8578,442619
2017-07-12,79.6918,80.4438,79.223,80.3168,462823
2017-07-13,80.5707,81.0493,80.2387,80.6,360698
2017-07-14,79.6332,80.8149,79.2329,80.3754,430056
2017-07-17,80.4145,81.0786,80.0501,80.8344,407569
2017-07-18,80.3266,80.8344,79.9652,80.727,796670
2017-07-19,81.1372,81.186,80.2485,80.8344,395798
2017-07-20,80.8344,81.2739,80.7075,80.7954,468454
2017-07-21,80.5903,81.4497,80.5219,80.7856,446037
2017-07-24,80.6977,82.065,80.6977,81.8892,538768
2017-07-25,82.9635,83.4127,82.6119,83.0025,690808
2017-07-26,83.3639,83.9596,83.0318,83.3736,878030
2017-07-27,82.3872,82.4165,79.3207,80.7954,1745166
2017-07-28,80.6879,81.3032,80.5317,80.9516,483728
2017-07-31,81.313,81.3911,80.8833,81.2446,531049
2017-08-01,81.8599,82.065,81.0493,81.4888,657757
2017-08-02,81.2934,81.6548,80.3691,80.8637,593486
2017-08-03,80.8735,80.8735,80.141,80.4536,606809
2017-08-04,81.1958,81.7378,80.6586,80.9614,610633
2017-08-07,80.9419,81.1958,80.5512,80.9419,363453
2017-08-08,80.7954,81.7915,80.6293,80.9419,389997
2017-08-09,80.3266,80.4731,79.5941,80.0043,651958
2017-08-10,79.6918,79.7211,77.9241,77.9827,625357
2017-08-11,77.8558,78.5101,77.2991,77.4944,520920
2017-08-14,78.3929,79.2133,78.2952,78.3441,454574
2017-08-15,79.184,79.2914,78.0511,78.4613,466053
2017-08-16,78.7445,78.9691,77.8753,78.0511,322154
2017-08-17,77.4749,77.9144,75.9025,75.9318,608426
2017-08-18,75.6877,76.6448,75.3556,76.0295,794162
2017-08-21,76.0783,76.1662,75.5119,75.9025,469416
2017-08-22,76.2248,77.2112,76.1467,77.1526,449446
2017-08-23,76.6057,77.6604,76.6057,77.1624,325934
2017-08-24,77.426,77.719,76.9223,76.9475,640307
2017-08-25,77.3674,77.6702,76.7229,76.9084,420445
2017-08-28,77.2991,77.3137,76.4494,76.5862,307702
2017-08-29,75.5509,76.2248,75.38,75.7267,539323
