date,open,high,low,close,volume
2017-01-03,86.9298,88.6251,86.2536,86.3202,1434366
2017-01-04,86.6726,88.0918,85.8631,86.3107,1528624
2017-01-05,84.4058,84.882,82.9295,84.8154,2110534
2017-01-06,85.0249,85.1969,83.3867,84.3677,1699690
2017-01-09,84.7106,84.7106,83.0724,83.101,975644
2017-01-10,83.7296,84.6153,83.3486,83.7581,1723000
2017-01-11,83.5772,84.0915,81.8628,82.52,1111417
2017-01-12,81.9866,82.7771,81.8152,82.2819,877705
2017-01-13,82.6247,83.2057,81.7104,82.2152,806306
2017-01-17,82.8628,85.844,82.7009,85.3202,2393579
2017-01-18,85.3106,85.3487,83.5867,85.0439,1400974
2017-01-19,85.1297,86.0154,83.501,84.0058,973211
2017-01-20,84.1772,85.2011,83.5391,84.6725,926314
2017-01-23,84.2534,85.1487,83.3295,85.0439,800624
2017-01-24,85.5011,86.1964,85.1782,85.825,638037
2017-01-25,86.3583,87.7203,86.2631,86.8155,1375414
2017-01-26,86.4536,86.9107,85.2349,85.7297,860298
2017-01-27,86.1583,86.3202,83.6343,83.7867,1088398
2017-01-30,83.5296,84.6058,83.1296,84.2344,939022
2017-01-31,82.6343,84.4439,81.8247,84.2248,2011008
2017-02-01,83.9296,84.2629,82.4152,83.2153,2174739
2017-02-02,76.6815,77.1482,72.5574,72.9669,17508098
2017-02-03,72.3478,73.9289,72.2907,72.5478,6439942
2017-02-06,72.5574,73.5574,72.024,72.8907,5378267
2017-02-07,73.3479,73.4717,72.3097,72.3669,2082280
2017-02-08,72.6526,73.9765,72.1954,73.8146,3074548
2017-02-09,74.0051,74.567,73.8527,74.2718,1604288
2017-02-10,74.6813,76.3195,74.6718,75.8243,2330145
2017-02-13,76.2338,76.3481,75.51,75.5671,1648964
2017-02-14,75.2147,76.4338,75.1576,75.71,1848969
2017-02-15,75.8909,76.1862,74.9956,75.4052,1761467
2017-02-16,75.4814,76.1005,74.6337,74.7385,2069514
2017-02-17,74.348,75.329,74.348,74.6623,1802185
2017-02-21,75.0623,75.4528,74.367,74.4718,2495540
2017-02-22,74.1194,74.4527,73.1003,74.3956,2068558
2017-02-23,74.948,75.5766,74.3956,74.9099,1476645
2017-02-24,74.8813,76.129,74.6432,75.4433,1075121
2017-02-27,75.3195,76.1862,75.0242,75.9957,1019915
2017-02-28,75.9862,76.0338,75.148,75.5576,1821326
2017-03-01,76.2529,76.7672,75.1671,76.7386,1550944
2017-03-02,76.3386,77.2244,76.0529,76.872,1757260
2017-03-03,76.8148,77.3291,75.4814,75.9957,1227685
2017-03-06,75.9957,76.2243,75.2433,75.9386,1130600
2017-03-07,75.529,75.7957,74.647,75.3766,1437348
2017-03-08,75.5576,76.8529,75.3576,76.6053,1323279
2017-03-09,76.4434,76.5481,75.6338,75.8909,978682
2017-03-10,76.0148,76.8624,75.7862,76.4815,778150
2017-03-13,76.6053,76.8434,75.1195,75.8052,1052725
2017-03-14,75.9005,76.5196,75.4528,76.2243,702378
2017-03-15,76.1862,77.691,76.1862,77.3863,1041144
2017-03-16,77.1101,77.7673,76.7958,77.1863,610224
2017-03-17,77.3863,77.472,76.1576,76.8624,1586419
2017-03-20,76.872,76.872,75.4433,75.6814,1021806
2017-03-21,75.9671,76.0719,73.786,74.5099,1440073
2017-03-22,74.2146,74.6528,73.7083,74.4908,907722
2017-03-23,75.7862,76.1576,74.9766,75.4528,1027909
2017-03-24,75.4052,76.3672,75.1671,75.9481,1069422
2017-03-27,75.1766,76.691,75.0385,76.5957,878155
2017-03-28,76.5862,78.0244,76.3576,77.7673,846342
2017-03-29,77.5085,79.7893,77.5085,79.5114,1278051
2017-03-30,79.3006,80.096,78.28,78.486,1071755
2017-03-31,78.601,78.8502,77.8823,78.2177,990726
2017-04-03,78.4189,78.6585,77.5948,77.9781,1475001
2017-04-04,77.6235,77.9781,73.4932,74.4994,2182929
2017-04-05,74.6815,77.0581,74.624,76.2052,2002512
2017-04-06,76.5215,78.8789,76.5215,77.3456,1536922
2017-04-07,77.106,77.1444,75.8315,75.9752,1421473
