date,open,high,low,close,volume
2017-01-03,129.9628,132.6022,129.2742,132.4874,1329489
2017-01-04,132.7074,133.3959,131.292,131.9328,850964
2017-01-05,131.6554,133.3051,129.9341,131.7224,822555
2017-01-06,132.3153,133.5107,131.6736,132.4587,659430
2017-01-09,132.9273,133.8741,132.2483,132.2675,828136
2017-01-10,132.9273,133.9601,132.2388,133.4342,883949
2017-01-11,133.9028,136.3127,133.6302,135.4711,1147955
2017-01-12,135.0217,135.3372,132.8986,134.6104,714587
2017-01-13,134.7921,136.0258,134.6822,135.7867,559771
2017-01-17,135.1555,135.1555,133.2907,133.5394,1126886
2017-01-18,134.0175,134.314,133.3099,133.8454,919349
2017-01-19,134.1227,135.1173,133.5872,133.8836,1154622
2017-01-20,134.8304,135.2894,133.5298,134.4192,1754286
2017-01-23,134.6487,134.8208,133.415,133.9028,1058687
2017-01-24,134.2949,137.4602,133.6159,135.825,1678247
2017-01-25,145.0151,148.6491,143.0069,146.3253,4675489
2017-01-26,146.9564,148.1422,145.4263,146.2392,2337438
2017-01-27,145.7802,146.0288,144.1162,144.164,1636760
2017-01-30,143.7623,143.7623,141.3333,142.7869,1964569
2017-01-31,142.7582,143.1025,140.9795,141.5246,2036930
2017-02-01,141.8402,142.6243,140.3483,141.3046,1343500
2017-02-02,140.4535,141.8688,139.9753,141.1994,918733
2017-02-03,141.6585,143.638,141.1038,143.1886,1151355
2017-02-06,142.5956,143.4085,141.9693,143.4085,745585
2017-02-07,143.9153,145.9523,142.7104,142.8825,902456
2017-02-08,142.9686,142.9686,141.2186,142.1366,815092
2017-02-09,142.653,144.0204,141.8115,143.7815,950018
2017-02-10,144.6135,145.149,143.552,144.8334,1060954
2017-02-13,145.0629,146.966,145.0629,145.3689,1362322
2017-02-14,144.8908,145.7802,144.6135,145.5602,1215331
2017-02-15,144.9099,146.0957,144.9099,145.828,836632
2017-02-16,146.0106,146.4479,145.1264,145.9721,859458
2017-02-17,144.7419,146.0202,143.8769,146.0106,691558
2017-02-21,146.4335,146.693,145.1072,145.9241,1292708
2017-02-22,145.0303,147.2889,144.8909,146.9332,1022609
2017-02-23,147.5484,147.8944,144.0596,145.5781,1163822
2017-02-24,144.5593,145.6454,144.1268,145.2609,1005316
