date,open,high,low,close,volume
2017-01-03,22.1183,22.1183,21.6955,21.7866,743870
2017-01-04,21.8907,22.0793,21.7671,21.9817,801233
2017-01-05,21.9167,21.9687,21.741,21.8711,1624352
2017-01-06,21.8256,21.9297,21.6955,21.754,618254
2017-01-09,21.6369,21.7378,21.4808,21.5524,617594
2017-01-10,21.6695,21.7801,21.5068,21.5394,508505
2017-01-11,21.4743,21.6239,21.4418,21.6109,478553
2017-01-12,21.5979,21.6109,21.3507,21.4093,640242
2017-01-13,21.4678,21.8256,21.4678,21.741,264849
2017-01-17,21.6044,21.8972,21.4678,21.6174,495950
2017-01-18,21.6369,21.8646,21.6304,21.7736,333894
2017-01-19,21.8191,21.9037,21.6044,21.715,470637
2017-01-20,21.702,22.2615,21.702,22.1444,1189085
2017-01-23,22.2094,22.2159,21.4914,21.689,887748
2017-01-24,21.8386,22.1476,21.689,22.0403,611202
2017-01-25,22.7559,22.9575,22.2094,22.7233,2472270
2017-01-26,22.9055,23.1982,22.7819,23.0942,949545
2017-01-27,23.1527,23.1982,22.8404,23.1137,791219
2017-01-30,23.1267,23.1982,22.6518,22.886,589010
2017-01-31,22.925,23.0291,22.7819,22.938,558402
2017-02-01,23.0876,23.1462,22.6388,22.7559,596102
2017-02-02,22.7559,22.8014,22.6051,22.7819,528738
2017-02-03,22.886,23.1657,22.8144,23.1397,546702
2017-02-06,23.1722,23.2178,23.0226,23.1267,445365
2017-02-07,23.1982,23.3934,23.1722,23.3934,638063
2017-02-08,23.475,23.4946,23.1878,23.3183,845766
2017-02-09,23.3901,23.7295,23.364,23.6512,637008
2017-02-10,23.8274,23.971,23.6577,23.9383,702126
2017-02-13,24.1211,24.3364,23.8927,23.9775,1095558
2017-02-14,23.8535,23.9449,23.7556,23.86,688449
2017-02-15,23.847,23.9971,23.798,23.9579,420270
2017-02-16,23.9644,24.1146,23.9253,24.1146,411903
2017-02-17,24.0689,24.108,23.971,24.1015,502913
2017-02-21,24.1015,24.1863,23.9644,24.0558,638439
