date,open,high,low,close,volume
2017-01-03,54.5518,54.6378,54.0455,54.3225,1174706
2017-01-04,54.5327,54.8384,54.4085,54.4181,1348602
2017-01-05,54.4372,54.9673,54.399,54.6473,1113141
2017-01-06,54.5422,54.7428,54.3799,54.4754,1147549
2017-01-09,54.5136,54.6473,53.8784,53.8927,1374947
2017-01-10,53.7208,54.1984,53.6539,54.1506,1210824
2017-01-11,54.0837,54.504,53.9882,54.3608,1261200
2017-01-12,54.3608,54.5709,54.1124,54.5422,1081875
2017-01-13,54.59,54.9052,54.5231,54.676,962729
2017-01-17,54.5518,54.6664,54.2843,54.3608,877449
2017-01-18,54.3799,54.8097,54.3321,54.7906,943854
2017-01-19,54.4372,54.8861,54.4372,54.7428,1239418
2017-01-20,54.8575,55.0103,54.5996,54.7906,985396
2017-01-23,54.8384,54.9721,54.4563,54.676,1278509
2017-01-24,54.6951,55.0103,54.5804,54.9625,968096
2017-01-25,55.0198,55.4783,54.9721,55.23,2194621
2017-01-26,55.316,55.4783,55.0007,55.0676,1181846
2017-01-27,55.2586,55.3733,54.8861,54.9339,917999
2017-01-30,55.0198,55.0198,54.7715,54.8766,748542
2017-01-31,54.9052,55.1918,54.7237,54.8097,994829
2017-02-01,54.8001,55.0772,54.2843,54.3512,1877204
2017-02-02,54.4372,54.8384,54.3703,54.781,1638952
2017-02-03,55.0294,55.3064,54.867,55.0007,1736757
2017-02-06,55.0867,55.1727,54.7428,54.7906,903658
2017-02-07,54.8288,55.3255,54.8001,55.0676,1134901
2017-02-08,55.0198,55.2013,54.953,55.1536,1260289
2017-02-09,55.1918,55.3828,55.0676,55.2682,957521
2017-02-10,55.1918,55.7362,55.1536,55.3637,1154917
2017-02-13,55.4783,56.0133,55.4783,55.87,1114384
2017-02-14,55.6025,55.9559,55.5452,55.8127,989429
2017-02-15,55.4879,56.5386,55.4592,56.4622,1299787
2017-02-16,56.2807,56.4718,56.0515,56.4049,1923111
2017-02-17,56.5673,58.0623,55.9751,58.0287,2822494
2017-02-21,57.7899,58.7738,57.7613,58.4777,1821657
2017-02-22,58.6019,58.9553,58.4538,58.9171,1402102
2017-02-23,59.0699,59.2036,58.5063,58.812,1337847
2017-02-24,58.7929,58.8789,58.4204,58.6019,1992917
2017-02-27,58.6305,59.0317,58.6305,58.9839,980862
2017-02-28,58.9266,59.2227,58.8884,59.175,1314944
2017-03-01,59.366,59.5475,58.8598,59.4138,1396059
2017-03-02,59.261,59.5953,59.089,59.4424,1184806
2017-03-03,59.4616,59.4616,59.0795,59.2323,1322646
2017-03-06,58.9744,59.3374,58.9362,59.1559,1429456
2017-03-07,59.0031,59.452,58.898,59.2992,1011372
2017-03-08,59.1654,59.5666,59.0413,59.3278,956312
2017-03-09,59.3469,59.5666,59.2323,59.5093,1526022
2017-03-10,59.7672,59.9965,59.538,59.9583,1080436
2017-03-13,59.8436,60.1684,59.6908,60.1684,1016560
2017-03-14,60.092,60.178,59.858,60.0538,953317
2017-03-15,60.0442,60.9135,59.9009,60.837,1429979
2017-03-16,60.7129,60.9803,60.0729,60.2353,1418492
2017-03-17,60.3594,60.7559,60.2735,60.5314,1771745
2017-03-20,60.4741,60.6174,60.3881,60.3881,777182
2017-03-21,60.646,60.6651,59.6192,59.7768,1725818
2017-03-22,59.9583,60.151,59.8341,59.9392,1385023
2017-03-23,59.8914,60.2639,59.7863,59.8245,1544775
2017-03-24,59.9201,60.0251,59.5666,59.6908,1443173
2017-03-27,59.4329,59.5189,59.1368,59.3183,1192751
2017-03-28,59.1559,59.7099,59.1559,59.6239,1146659
2017-03-29,59.4138,59.6717,59.2992,59.5284,1348314
2017-03-30,59.5572,60.3445,59.5572,60.3157,965964
2017-03-31,60.1813,60.5078,60.1525,60.3061,904093
2017-04-03,60.383,60.4886,59.9509,59.9893,1175311
2017-04-04,60.0565,60.3589,60.0181,60.1141,816341
2017-04-05,60.1717,60.5846,60.1141,60.1909,1275217
2017-04-06,60.1333,60.2485,59.7301,60.1333,1027122
2017-04-07,60.2485,60.5462,60.1645,60.3157,1500877
2017-04-10,60.2293,60.3926,60.0757,60.1621,1069214
2017-04-11,60.1621,60.383,59.9797,60.383,830174
2017-04-12,60.1237,60.1909,59.6436,60.0181,900732
2017-04-13,59.9317,60.1045,59.6917,59.7109,1291469
2017-04-17,59.8837,60.2869,59.8549,60.2677,997708
2017-04-18,60.0661,60.4118,60.0373,60.3541,743817
2017-04-19,60.4598,60.575,60.3301,60.5366,856068
2017-04-20,60.6806,60.6998,60.479,60.4982,1280593
2017-04-21,60.5366,61.0166,60.527,60.8534,1291735
2017-04-24,61.4007,61.4967,61.1415,61.4679,1325737
2017-04-25,61.4871,61.5543,61.2855,61.3431,1450100
2017-04-26,61.3047,61.4583,60.623,60.7094,1684956
2017-04-27,60.9494,61.3335,60.6614,60.815,1533848
2017-04-28,60.3349,61.0166,60.0853,60.479,1553802
2017-05-01,60.6902,60.8246,60.3445,60.7766,1262992
2017-05-02,60.9494,61.0454,60.6614,60.8054,1018583
2017-05-03,60.575,60.767,60.4214,60.4886,1237896
2017-05-04,60.719,60.8534,60.4886,60.5846,2023744
2017-05-05,60.7478,60.9206,60.623,60.7094,1556640
2017-05-08,60.7862,60.966,60.5845,60.6518,1186865
2017-05-09,60.6038,60.8822,60.3349,60.4982,976488
2017-05-10,60.4406,61.1895,60.3599,61.0742,1577884
2017-05-11,61.0358,61.1127,60.6038,60.815,794630
2017-05-12,60.767,60.9494,60.0949,60.1813,1206384
2017-05-15,60.1621,60.4502,60.0085,60.383,1610907
2017-05-16,60.383,60.575,59.6052,59.7013,1091225
2017-05-17,59.3556,59.538,58.7795,58.8083,2063965
2017-05-18,58.9043,59.5284,58.5779,59.2116,1485228
2017-05-19,59.2116,59.2356,58.7603,58.9331,1499129
2017-05-22,59.0388,59.5092,59.0196,59.4228,1053325
2017-05-23,59.5284,59.9125,59.3268,59.8741,1660386
2017-05-24,60.0085,60.0949,59.8357,59.9221,917920
2017-05-25,60.0469,60.3781,59.9605,60.3349,1190764
2017-05-26,60.3061,60.7094,60.2101,60.5558,948896
2017-05-30,60.4982,60.5366,60.2101,60.3733,1592186
2017-05-31,60.4886,61.0935,60.4118,61.0742,2070188
2017-06-01,61.2567,61.8616,60.9782,61.8616,1466658
2017-06-02,61.8808,62.2696,61.7847,62.1016,976757
2017-06-05,61.9288,62.1688,61.6119,61.6407,926288
2017-06-06,61.5927,61.7847,61.3719,61.4487,922327
2017-06-07,61.4295,61.6887,61.2567,61.5543,1050449
2017-06-08,61.5927,61.7944,60.911,61.1607,1056283
2017-06-09,61.1127,61.4679,60.9974,61.3911,968516
2017-06-12,61.3911,61.6311,61.2951,61.6119,602115
2017-06-13,61.5447,62.0008,61.5447,61.8136,613117
2017-06-14,61.8616,61.9192,61.3911,61.5927,1208707
2017-06-15,61.3527,62.2888,61.3527,62.2744,1264920
2017-06-16,62.2744,62.4472,61.852,62.2264,1407535
2017-06-19,62.3128,62.7353,61.9672,62.5145,897934
2017-06-20,62.5241,62.7065,61.9576,61.996,584720
2017-06-21,62.0152,62.2072,61.4295,61.5255,832990
2017-06-22,61.5255,61.6791,61.1895,61.3431,672748
2017-06-23,61.3527,61.5159,61.1511,61.4871,1347972
2017-06-26,61.6215,61.7079,61.3047,61.5063,940562
2017-06-27,61.4007,61.6887,61.3335,61.4295,777540
2017-06-28,61.6887,62.0152,61.6311,61.6695,577393
2017-06-29,61.7178,61.8046,60.5598,61.0134,1340040
2017-06-30,61.3704,61.7419,61.2932,61.4958,1055352
2017-07-03,61.5923,61.9301,61.4958,61.5537,601253
2017-07-05,61.6116,61.8625,61.3414,61.7274,812856
2017-07-06,61.6406,61.6406,61.2257,61.3511,1091625
2017-07-07,61.4765,61.988,61.4235,61.8432,638272
2017-07-10,61.9397,62.2485,61.8336,62.0845,762535
2017-07-11,62.152,62.3739,61.8673,61.988,702620
2017-07-12,62.2967,62.5197,62.0748,62.1713,660089
2017-07-13,62.2292,62.4029,61.7178,62.0555,824960
2017-07-14,62.0748,62.3257,61.9494,62.1906,646495
2017-07-17,62.1616,62.4222,61.9687,62.3739,663443
2017-07-18,62.4029,62.7213,62.1327,62.5573,627516
2017-07-19,62.6538,62.6827,62.316,62.4608,849274
2017-07-20,62.4608,62.6538,62.4029,62.509,608402
2017-07-21,62.3546,62.7117,62.3546,62.6248,825886
2017-07-24,62.6248,62.7117,62.2195,62.2485,720466
2017-07-25,62.4222,62.9722,62.2581,62.702,906540
2017-07-26,62.9047,62.9626,62.2678,62.5283,900576
2017-07-27,62.5283,63.1748,62.3836,63.1073,1127907
2017-07-28,63.2424,63.2424,61.5489,62.0459,1601140
2017-07-31,62.2195,62.2388,61.9011,61.9687,991509
2017-08-01,62.5187,62.702,62.1809,62.4608,590422
2017-08-02,62.2581,62.3932,61.9397,62.2967,799044
2017-08-03,62.2002,62.6731,62.2002,62.5187,705271
