date,open,high,low,close,volume
2017-01-03,105.25,105.65,104.19,105.53,1269323
2017-01-04,105.78,106.095,104.69,105.68,704622
2017-01-05,105.0,105.32,103.145,104.28,691443
2017-01-06,104.4,105.17,103.45,103.52,623640
2017-01-09,103.54,103.68,102.23,102.99,823177
2017-01-10,102.72,102.86,102.06,102.6,910609
2017-01-11,102.3,104.94,102.3,104.71,1244332
2017-01-12,104.21,105.28,103.08,105.12,526170
2017-01-13,104.99,107.17,104.805,105.57,759216
2017-01-17,105.03,107.52,105.03,106.39,2020227
2017-01-18,105.58,107.99,105.58,107.06,782646
2017-01-19,107.02,107.02,105.04,105.76,507786
2017-01-20,106.35,107.17,104.2201,105.53,846603
2017-01-23,105.19,105.57,104.57,104.84,585821
2017-01-24,104.66,104.8,102.94,104.1,1026198
2017-01-25,103.47,103.71,102.29,103.5,1100041
2017-01-26,103.42,105.61,103.42,104.91,1641170
2017-01-27,105.24,105.73,102.8738,104.03,450402
2017-01-30,104.06,104.59,103.45,104.3,458030
2017-01-31,104.46,106.07,104.46,105.26,1092661
2017-02-01,105.78,106.6,103.3,103.86,1082771
2017-02-02,103.91,104.81,103.58,104.39,745953
2017-02-03,105.36,107.06,104.73,105.69,1028218
2017-02-06,105.46,105.46,103.83,104.4,1306143
2017-02-07,104.41,105.01,104.12,104.79,666325
2017-02-08,104.78,107.18,103.51,106.86,1117711
2017-02-09,106.83,107.89,106.37,107.63,1171718
2017-02-10,107.68,107.68,105.89,106.96,768466
2017-02-13,107.14,109.68,105.74,109.62,1067640
2017-02-14,109.45,109.78,108.14,108.73,608701
2017-02-15,108.32,108.52,107.82,108.3,502511
2017-02-16,108.76,109.18,107.3,108.93,689316
2017-02-17,109.18,109.52,108.07,108.47,1008869
2017-02-21,108.79,110.87,108.42,110.71,900604
2017-02-22,111.0,112.08,110.8,111.66,772098
2017-02-23,112.03,112.79,110.16,111.19,578462
2017-02-24,111.24,111.59,110.5,111.16,724010
2017-02-27,110.97,112.95,110.93,112.79,958136
2017-02-28,112.5,116.695,111.77,115.77,2793692
2017-03-01,116.16,116.25,113.0,115.36,1334052
2017-03-02,115.61,116.29,113.84,115.28,1000648
2017-03-03,115.45,115.77,114.77,114.98,1256493
2017-03-06,114.14,115.405,112.73,115.17,1089204
2017-03-07,114.74,116.31,114.74,115.41,904990
2017-03-08,115.08,115.79,114.31,114.65,1070719
2017-03-09,114.36,116.66,114.18,116.59,1369868
2017-03-10,117.28,118.38,116.74,117.8,1357863
2017-03-13,117.89,118.2,116.59,117.64,1623540
2017-03-14,117.59,117.82,115.94,116.12,1342581
2017-03-15,116.57,117.53,115.19,116.69,1437468
2017-03-16,117.26,117.64,115.68,116.14,1012333
2017-03-17,115.77,116.26,115.47,115.65,4900690
2017-03-20,115.65,117.65,115.65,117.06,1077746
2017-03-21,117.21,118.48,116.97,117.08,1058261
2017-03-22,117.0,117.98,116.395,116.88,1171345
2017-03-23,117.12,118.23,116.6,118.13,1885879
2017-03-24,117.92,119.03,117.375,118.29,1090935
2017-03-27,116.77,118.48,116.12,117.8,768109
2017-03-28,117.69,118.71,115.4,118.55,1006214
2017-03-29,118.55,120.04,118.335,119.78,824580
2017-03-30,119.7,120.005,118.58,118.92,815102
2017-03-31,118.74,120.51,118.21,120.37,1366331
2017-04-03,119.95,120.4,118.7,119.55,1122680
2017-04-04,119.49,120.17,119.25,119.44,1226401
2017-04-05,119.84,119.96,118.96,119.08,1005221
2017-04-06,119.5,120.23,118.59,120.07,947390
2017-04-07,120.07,121.56,119.53,121.17,1287267
2017-04-10,121.45,122.37,120.96,121.99,789055
2017-04-11,123.15,124.46,122.43,124.04,1798822
2017-04-12,123.37,123.98,122.1731,123.07,909623
2017-04-13,123.15,124.15,122.6,123.8,997233
2017-04-17,123.68,125.01,123.3,124.97,855595
2017-04-18,124.84,125.45,124.48,125.15,1083898
2017-04-19,125.62,126.19,124.8801,125.07,924581
2017-04-20,125.11,125.32,123.77,124.28,873934
2017-04-21,124.06,124.505,123.19,123.78,656459
2017-04-24,124.0,124.51,122.91,123.46,807816
2017-04-25,124.26,124.44,123.0,124.02,966422
2017-04-26,123.98,124.99,123.11,123.65,752669
2017-04-27,123.98,125.88,122.43,125.33,1087289
2017-04-28,125.04,127.05,124.27,126.49,885172
2017-05-01,126.74,127.84,126.0601,127.25,1317389
2017-05-02,129.01,130.78,127.6101,128.98,1471984
2017-05-03,129.28,129.59,127.56,127.84,1041219
2017-05-04,127.99,129.0,126.78,128.19,945614
2017-05-05,128.53,129.7,128.28,129.62,1049638
2017-05-08,129.97,132.01,129.22,131.42,1251045
2017-05-09,131.18,131.59,129.47,129.75,1048642
2017-05-10,129.8,130.2,128.96,129.19,811669
2017-05-11,128.63,129.19,127.2,127.72,1513152
2017-05-12,127.53,128.23,126.82,127.53,1175229
