date,open,high,low,close,volume
2017-01-03,100.7793,100.974,99.3239,100.6125,643905
2017-01-04,100.6588,102.7632,99.2497,102.6056,1115365
2017-01-05,101.7527,102.207,100.0933,101.3448,571410
2017-01-06,101.1687,102.9023,100.6495,102.4295,589128
2017-01-09,102.2626,102.9207,99.0828,99.602,930164
2017-01-10,99.2682,99.3702,97.924,98.3134,666119
2017-01-11,98.3783,98.8001,97.2844,97.3863,623965
2017-01-12,97.4141,98.5173,96.6632,98.4246,527277
2017-01-13,98.3319,99.0736,98.3134,98.6935,532652
2017-01-17,98.5544,100.3343,98.0631,100.1304,951385
2017-01-18,100.186,101.5673,99.5742,100.9276,702205
2017-01-19,100.6032,101.0204,99.1014,99.5,665950
2017-01-20,99.5742,100.2416,98.8603,100.2138,452141
2017-01-23,99.9821,101.7435,99.9728,101.6137,383999
2017-01-24,101.8825,102.2811,101.0667,101.4004,528067
2017-01-25,101.66,102.4332,100.2694,100.7979,695315
2017-01-26,101.5117,102.9115,101.3634,101.9938,661882
2017-01-27,102.207,102.55,99.9542,101.6044,725587
2017-01-30,101.1872,101.9474,100.4085,101.0852,549456
2017-01-31,100.9091,102.2441,100.8813,101.0204,739628
2017-02-01,101.0852,102.6983,98.9716,99.1014,674273
2017-02-02,99.2312,101.0574,98.8696,100.5754,569293
2017-02-03,101.6229,102.4758,100.7515,100.9369,556851
2017-02-06,100.7793,101.0482,99.8801,100.5939,506791
2017-02-07,100.872,101.9103,99.3146,99.5556,594886
2017-02-08,99.8245,101.0667,99.3795,100.5568,336212
2017-02-09,100.7144,101.2428,100.3343,101.0389,449323
2017-02-10,101.0111,101.8547,100.7422,101.7805,425636
2017-02-13,102.0586,102.5871,100.9184,102.2626,389344
2017-02-14,102.2348,103.3287,101.0574,102.9393,568132
2017-02-15,102.5778,103.4029,101.558,103.0506,524981
2017-02-16,103.3936,104.7007,102.3414,102.6334,574052
2017-02-17,102.5685,103.2128,101.6971,103.1618,383801
2017-02-21,103.0877,104.4133,102.7261,104.126,533359
2017-02-22,104.2279,104.5524,102.9951,104.2187,530141
2017-02-23,104.5802,105.4424,103.3472,103.8571,451429
2017-02-24,103.7551,103.9962,102.5036,103.5883,605163
2017-02-27,103.8757,104.951,103.5002,104.4968,362508
2017-02-28,104.3763,104.6915,103.4492,104.4597,601383
2017-03-01,104.4968,106.9256,103.2638,105.4516,1087074
2017-03-02,105.1086,105.433,102.9672,103.3658,842909
2017-03-03,103.7273,104.3809,102.8281,104.0982,623212
2017-03-06,103.8942,104.9788,103.5975,104.5895,662663
2017-03-07,104.4226,104.7888,103.2731,103.9406,496394
2017-03-08,103.6254,103.8386,102.6149,102.6983,580188
2017-03-09,102.7725,103.1989,100.1489,100.9091,750095
2017-03-10,101.5302,102.1235,98.4988,98.8974,780770
2017-03-13,98.9252,99.4536,98.4895,98.6749,829517
2017-03-14,98.6471,98.6657,97.5995,97.9982,463373
2017-03-15,98.0723,101.3263,98.0723,100.8628,610040
2017-03-16,100.5939,101.6229,100.1304,100.3158,624430
2017-03-17,100.6588,102.0494,100.0191,101.3356,1418442
2017-03-20,101.2799,101.521,100.5197,100.9462,329906
2017-03-21,101.5951,101.5951,98.8696,98.9809,594581
2017-03-22,99.1941,99.3146,97.3122,97.9982,633348
2017-03-23,98.0909,100.4363,98.0909,99.7132,833087
2017-03-24,100.0562,100.3065,98.8418,98.9994,419785
2017-03-27,98.3597,98.9623,97.3214,97.822,445481
2017-03-28,97.9518,98.2299,96.0977,97.8035,538101
2017-03-29,97.8268,97.8922,96.6968,97.7054,762832
2017-03-30,97.6774,98.4899,97.061,98.2098,420504
2017-03-31,98.1444,99.7974,97.5467,99.5733,763668
2017-04-03,99.5266,100.0215,99.0783,99.76,431471
2017-04-04,99.7414,100.5258,99.2184,100.2643,607999
2017-04-05,100.3484,101.4317,100.0309,100.1616,502988
2017-04-06,100.0402,101.7773,99.6293,101.4131,580508
2017-04-07,101.4504,102.1228,100.3858,100.4978,802192
2017-04-10,100.7593,101.6465,100.3764,101.3197,458217
2017-04-11,101.2076,102.0481,100.9508,101.8427,509862
2017-04-12,101.8987,102.2536,101.3944,101.7119,441372
2017-04-13,101.5905,101.6279,100.5819,100.722,259206
2017-04-17,100.7873,102.5244,100.7033,102.4777,392054
2017-04-18,102.0201,102.6832,100.9741,101.4037,401282
2017-04-19,101.6839,102.1508,100.4605,100.8247,592003
2017-04-20,99.8534,100.806,97.8922,99.7974,1312505
