date,open,high,low,close,volume
2017-01-03,164.1749,165.532,162.531,163.5728,342188
2017-01-04,163.8977,166.5833,163.6492,165.1211,326415
2017-01-05,164.6814,165.857,162.2825,164.0984,228702
2017-01-06,164.3851,166.287,163.6588,165.5225,228884
2017-01-09,165.8187,166.5642,165.4173,166.287,338242
2017-01-10,165.9239,168.944,165.9239,168.4661,464172
2017-01-11,168.5521,169.7563,167.8449,169.5556,396358
2017-01-12,169.5078,169.8137,167.1568,169.613,410886
2017-01-13,170.0335,170.6643,168.5808,169.288,231589
2017-01-17,168.5712,168.9583,165.8559,166.698,370144
2017-01-18,167.1663,168.3992,166.6502,167.4435,241661
2017-01-19,167.3001,168.705,166.5355,167.1281,233450
2017-01-20,167.8544,168.1794,166.1389,167.0994,235893
2017-01-23,167.0994,167.7589,164.7101,165.9621,223739
2017-01-24,166.5546,170.0908,166.5546,169.527,316851
2017-01-25,170.7407,171.1899,168.6381,171.0848,333041
2017-01-26,171.037,172.4706,169.8901,172.0501,465189
2017-01-27,172.5853,172.7382,171.3811,172.614,432684
2017-01-30,173.2161,173.5219,171.5149,173.4454,495369
2017-01-31,172.7669,173.5697,170.3345,173.4932,818942
2017-02-01,173.6844,173.6844,170.1673,172.3177,898059
2017-02-02,167.9691,170.5161,156.9974,159.5874,2264402
2017-02-03,162.4259,165.7375,160.5813,162.2634,1233834
2017-02-06,162.8847,163.1427,159.1716,160.4189,802643
2017-02-07,160.7821,160.9975,159.0426,159.4345,565408
2017-02-08,159.6256,159.769,158.3927,159.2338,448354
2017-02-09,159.2911,162.3972,158.8897,161.2312,838080
2017-02-10,161.776,162.5836,161.3364,162.3686,348978
2017-02-13,163.4294,164.9586,163.1714,164.2513,404932
2017-02-14,164.3851,165.4938,162.101,165.2644,576779
2017-02-15,164.863,167.9978,164.6145,167.5868,553152
2017-02-16,167.95,168.1794,164.7196,165.6371,585933
2017-02-17,165.0733,165.9717,164.3851,164.9299,480907
2017-02-21,165.2357,166.0194,164.0124,164.7579,517179
2017-02-22,164.5756,165.1514,163.3472,164.0958,568195
2017-02-23,164.7388,165.0075,163.0785,164.1342,272905
2017-02-24,163.1457,164.4509,161.8597,164.4509,494392
2017-02-27,164.47,165.161,163.424,164.2013,351859
2017-02-28,163.7695,164.1533,162.09,162.829,372842
2017-03-01,165.2954,167.4642,164.662,165.8808,584893
2017-03-02,166.3798,166.5046,163.8463,164.1821,350238
2017-03-03,164.1725,164.1725,162.186,163.6159,435273
2017-03-06,162.733,163.2417,161.8117,162.1956,369784
2017-03-07,162.33,163.1265,161.5622,161.6678,245651
2017-03-08,161.8981,163.2033,161.6582,162.1956,269296
2017-03-09,162.1956,163.3568,160.9,161.5526,300437
2017-03-10,161.6966,163.328,161.6774,162.9921,310338
2017-03-13,162.4835,163.9422,162.258,163.875,460751
2017-03-14,162.9537,163.6351,162.09,162.6179,297051
2017-03-15,163.1073,166.1591,163.0689,165.305,342959
2017-03-16,165.756,166.7445,165.4681,165.9192,338700
2017-03-17,166.5238,166.6293,165.2762,165.9096,341196
2017-03-20,165.9096,166.0247,164.6524,164.8155,224911
2017-03-21,165.6696,166.2742,162.0804,162.7138,357827
2017-03-22,162.186,162.186,159.1822,160.4394,816164
2017-03-23,161.1591,162.0037,159.4126,159.6524,673505
2017-03-24,160.1227,160.6121,158.0594,158.8463,588942
2017-03-27,157.9826,158.5776,155.6938,158.2609,589404
2017-03-28,158.0402,161.4614,157.5507,160.9864,326330
2017-03-29,160.7273,161.7158,160.4586,160.5258,283161
2017-03-30,160.449,162.1188,159.9787,161.5238,260137
2017-03-31,161.1975,162.5315,160.9528,161.8693,596985
2017-04-03,161.8693,162.3286,158.9428,160.4778,454348
2017-04-04,160.497,160.996,157.6083,158.0978,501889
2017-04-05,158.52,159.7772,156.332,156.5623,455747
2017-04-06,156.8886,158.8943,156.4375,157.7811,447420
2017-04-07,157.5795,159.0718,157.474,157.7523,522721
2017-04-10,157.7619,158.7024,157.2628,157.7427,316781
2017-04-11,157.4836,158.568,156.6391,158.5296,530715
2017-04-12,158.4624,159.0574,155.5546,156.0728,799095
2017-04-13,155.8329,156.3703,154.8636,154.8828,489692
2017-04-17,155.3819,156.9174,154.5757,156.9174,671140
2017-04-18,156.0728,157.0224,153.4625,156.7254,808575
2017-04-19,157.8674,158.8559,155.4203,157.1669,957061
2017-04-20,158.6928,166.9652,158.6928,166.1495,1732059
2017-04-21,166.0439,169.1533,166.0439,168.1456,838728
2017-04-24,170.4009,170.6312,166.994,168.1936,657253
2017-04-25,169.0861,169.7867,167.6562,167.8481,522334
2017-04-26,168.0592,168.0592,163.2417,163.3664,1114506
2017-04-27,163.5008,164.3671,163.1553,163.4528,619622
2017-04-28,163.6159,164.0862,160.0651,160.7753,780779
2017-05-01,161.591,161.591,159.9787,160.7369,740831
2017-05-02,160.8137,162.0516,160.5929,162.0421,552996
2017-05-03,162.0421,162.0421,160.0939,160.497,627160
2017-05-04,160.7369,163.1457,160.7273,162.9154,455718
2017-05-05,163.3952,163.6063,161.2647,163.5775,317508
2017-05-08,162.8482,164.2301,162.8482,163.6255,297424
2017-05-09,163.8654,164.6524,163.328,163.8079,310865
2017-05-10,163.7983,164.8539,163.472,163.9518,322354
2017-05-11,163.5775,164.7963,161.639,164.4125,365930
2017-05-12,163.9518,164.3357,162.3779,163.1457,865603
2017-05-15,163.1457,164.4604,163.1457,164.0286,446462
2017-05-16,164.1438,164.4131,162.5699,163.7983,649195
2017-05-17,162.2275,163.3935,158.1414,158.2089,633709
2017-05-18,158.2089,159.4222,156.0791,158.3535,695624
2017-05-19,158.7004,160.223,157.197,159.693,553119
2017-05-22,159.9725,160.7049,157.4909,157.9487,595286
2017-05-23,157.9005,158.3437,156.8501,157.2838,501988
2017-05-24,157.65,157.65,155.472,156.2815,442339
2017-05-25,156.4357,156.5562,153.2276,154.3831,916303
2017-05-26,153.8916,154.942,152.6388,154.8745,493284
2017-05-30,153.8241,155.2504,153.2459,153.853,380140
