date,open,high,low,close,volume
2017-01-03,43.9766,44.066,43.5471,43.8781,3974441
2017-01-04,43.8602,44.1108,43.6992,43.8334,3864044
2017-01-05,43.8871,44.0258,43.4934,43.9676,4844396
2017-01-06,43.8066,44.0213,43.6276,43.8513,4800227
2017-01-09,43.7529,43.9855,43.3771,43.4218,4271417
2017-01-10,43.4844,43.4844,43.1176,43.2876,3569389
2017-01-11,43.1981,43.6813,43.1713,43.6097,2636435
2017-01-12,43.6634,43.9318,43.4308,43.8423,3500530
2017-01-13,43.6902,43.7708,43.3055,43.6634,3590684
2017-01-17,43.7976,44.4955,43.7439,44.4597,4882311
2017-01-18,44.3345,44.5984,44.2897,44.3971,3444536
2017-01-19,44.0929,44.2897,43.7529,43.8871,3738473
2017-01-20,43.9229,44.0625,43.6813,43.896,3598528
2017-01-23,44.0302,44.1108,43.6768,43.6902,3170480
2017-01-24,43.6902,43.9676,43.395,43.4576,5507298
2017-01-25,43.3681,43.4129,43.1534,43.386,4373417
2017-01-26,43.3502,43.6052,43.2518,43.5113,3485689
2017-01-27,43.6097,43.7171,43.2697,43.3771,4255227
2017-01-30,43.5023,43.5471,43.1713,43.5381,4040938
2017-01-31,43.6097,44.3792,43.556,44.2271,5862999
2017-02-01,43.9497,43.9497,43.0416,43.4397,7546863
2017-02-02,43.4666,43.8602,43.3565,43.8245,4380451
2017-02-03,43.8602,43.9676,43.6052,43.6902,3389331
2017-02-06,43.8155,43.9229,43.5918,43.6276,3145729
2017-02-07,43.7171,43.7618,43.4934,43.6366,3710450
2017-02-08,43.7081,44.1466,43.6813,44.0392,3931995
2017-02-09,43.9757,44.2092,43.5829,43.7171,4827948
2017-02-10,43.6723,43.9855,43.6097,43.8871,3502558
2017-02-13,43.896,44.1018,43.7171,44.0392,3348804
2017-02-14,43.8513,43.8602,43.1713,43.4755,5319251
2017-02-15,43.2608,43.3055,42.9029,43.2608,6017601
2017-02-16,43.3151,43.6953,43.2336,43.6681,5632724
2017-02-17,43.6953,43.7722,43.1612,43.2698,7118347
2017-02-21,43.2155,43.7586,43.0616,43.7043,8673399
2017-02-22,43.6862,44.433,43.4599,44.347,7522593
2017-02-23,44.3561,45.1346,44.3017,44.9626,8940869
2017-02-24,45.0803,45.7863,45.0622,45.7139,8351152
2017-02-27,45.6687,45.6687,45.4424,45.5057,4650336
2017-02-28,45.388,46.067,45.3699,46.0036,6668445
2017-03-01,45.5057,45.7773,45.2341,45.3156,7153782
2017-03-02,45.0622,45.7773,44.9354,45.551,5343920
2017-03-03,45.5691,45.8135,45.207,45.5962,5752613
2017-03-06,45.8044,45.8135,45.4061,45.4786,4245231
2017-03-07,45.3518,45.7139,45.3156,45.6234,4507339
2017-03-08,45.2975,45.2975,44.9445,45.0531,4324849
2017-03-09,45.1708,45.2523,44.7634,44.8087,4246931
2017-03-10,45.0531,45.0531,44.6276,44.9264,5128083
2017-03-13,44.8902,45.0712,44.8358,45.0169,4403033
2017-03-14,44.9807,45.2885,44.8992,45.1527,3294214
2017-03-15,45.207,46.0308,45.0803,45.8316,4398583
2017-03-16,45.6687,45.7139,45.2919,45.4333,3785871
2017-03-17,45.6415,46.1213,45.4424,45.8678,9719955
2017-03-20,45.895,46.0579,45.4921,45.6053,3839257
