date,open,high,low,close,volume
2017-01-03,105.7741,106.3546,105.2472,105.7546,1569341
2017-01-04,106.057,109.4719,105.8521,109.0231,1470255
2017-01-05,108.5353,110.9062,108.3255,109.8524,1816692
2017-01-06,109.9207,113.1405,109.9207,111.8136,2203850
2017-01-09,111.5209,111.6282,110.0671,110.5257,1491704
2017-01-10,110.233,110.233,108.1352,108.6426,1572841
2017-01-11,108.7597,109.3646,107.8523,109.2475,1296628
2017-01-12,109.1695,110.311,108.2133,109.8524,1155332
2017-01-13,110.1744,110.8476,109.2378,109.6866,838213
2017-01-17,109.2182,111.6184,109.2182,111.1696,1649427
2017-01-18,111.638,111.8331,110.1939,111.6184,1706817
2017-01-19,111.4623,112.4673,111.4526,111.6184,1027572
2017-01-20,112.0575,113.3356,111.6282,113.1795,1450517
2017-01-23,113.082,113.521,112.1063,113.2869,902982
2017-01-24,113.5503,114.3699,112.7502,114.0772,1100997
2017-01-25,114.565,117.6091,114.1552,117.5018,1502653
2017-01-26,117.7067,119.2385,117.7067,118.175,1495942
2017-01-27,118.097,118.1653,117.4921,117.7555,718552
2017-01-30,118.0287,118.0287,116.1554,117.6872,754208
2017-01-31,117.4433,118.3312,116.7505,117.2579,1283185
2017-02-01,117.736,117.8726,116.1749,116.6627,764477
2017-02-02,116.2627,117.6189,115.9066,117.4921,782877
2017-02-03,118.6336,119.9752,118.1654,119.6191,1118404
2017-02-06,119.1507,120.1752,118.9263,119.8923,1164616
2017-02-07,122.2046,125.3658,121.9607,122.7803,2341737
2017-02-08,122.9364,123.6682,121.6095,122.0388,917887
2017-02-09,122.1656,123.3852,121.9807,123.1413,850334
2017-02-10,123.1413,123.4833,122.4095,123.2193,1056246
2017-02-13,123.8535,124.2731,123.0047,123.4535,1016643
2017-02-14,123.2876,124.3267,123.1364,123.834,1254885
2017-02-15,123.4437,125.5512,123.2291,125.2097,908024
2017-02-16,125.1219,125.8244,124.3511,125.4829,832139
2017-02-17,125.2585,127.2489,124.9463,127.2196,1339162
2017-02-21,127.1514,128.0587,126.7708,127.5807,1273529
2017-02-22,127.2284,128.0603,127.1696,128.0016,906394
2017-02-23,127.6101,128.4714,126.6411,128.0016,713414
2017-02-24,127.2577,128.1778,126.7488,128.0407,971038
2017-02-27,127.659,127.9624,126.9936,127.2284,946656
2017-02-28,127.2382,127.3948,126.4747,126.7194,1432736
2017-03-01,128.3148,128.4127,127.062,127.2382,2468476
2017-03-02,127.385,127.9135,126.9446,127.2382,2024651
2017-03-03,127.3458,127.7666,126.7096,126.8858,1239226
2017-03-06,126.3768,128.0505,126.3768,127.659,796810
2017-03-07,127.4926,128.4127,127.4926,127.9135,773605
2017-03-08,128.2756,128.5007,127.5709,127.8058,655630
2017-03-09,127.9624,128.7259,127.7275,128.2756,705320
2017-03-10,128.7063,129.274,127.8743,128.8922,1166533
2017-03-13,129.1957,130.1255,129.1467,129.7731,871887
2017-03-14,129.5284,130.2527,128.7748,129.3621,619261
2017-03-15,128.951,129.4403,126.1811,127.5807,2640596
2017-03-16,127.7569,129.044,127.7569,128.9412,1035691
2017-03-17,128.5105,128.8335,127.1109,127.2284,2153129
2017-03-20,127.1599,127.4633,126.4649,126.9347,1261416
2017-03-21,127.7373,128.2071,125.0555,125.4764,1063631
2017-03-22,125.5253,125.9569,124.5759,125.7602,2042672
2017-03-23,125.8092,127.2773,125.1632,126.4062,858652
2017-03-24,126.7292,128.0212,126.1517,126.9347,982362
2017-03-27,125.8092,126.3377,125.2513,125.7211,1147761
2017-03-28,125.5841,126.4747,125.1191,125.9853,774961
2017-03-29,125.8777,125.9511,125.036,125.5841,774203
2017-03-30,125.5938,126.7488,125.3296,126.6509,641943
2017-03-31,126.416,128.7259,126.1419,127.9624,1408046
2017-04-03,127.708,128.9216,125.9266,126.602,1628138
2017-04-04,126.1322,126.2426,124.8891,126.0832,1365385
2017-04-05,126.7096,128.8433,125.7651,127.4045,1494262
2017-04-06,127.2871,127.8841,126.4258,127.199,895809
2017-04-07,126.9641,127.8058,126.6313,127.2871,976925
2017-04-10,127.2871,127.5709,126.1126,126.8369,821471
2017-04-11,126.7096,126.8564,125.7798,126.4551,806624
2017-04-12,127.1501,127.1501,125.6917,126.1909,650093
2017-04-13,125.7994,126.5139,125.5351,125.5547,610390
2017-04-17,126.6705,128.0799,126.4454,127.982,820696
2017-04-18,127.3654,128.3148,127.0228,127.7471,796738
2017-04-19,128.2952,128.3931,127.5416,127.796,1002204
2017-04-20,128.0603,129.3816,128.0603,129.0684,985392
2017-04-21,129.0978,130.008,128.5986,128.7259,1274221
2017-04-24,130.4583,131.7111,129.8416,131.0553,2049153
2017-04-25,131.5349,133.8447,129.9885,132.729,2012912
2017-04-26,133.0813,133.1107,131.3196,131.3783,1110748
2017-04-27,131.8089,132.406,131.3881,132.22,839384
2017-04-28,131.6523,132.083,131.1042,131.3391,1422006
2017-05-01,131.7502,132.6156,131.2706,132.1515,940982
2017-05-02,131.9851,133.2281,131.9851,132.5822,955752
2017-05-03,132.2102,132.866,131.7991,132.4843,753065
2017-05-04,133.0617,134.6473,132.6409,133.7077,2005785
2017-05-05,133.6588,135.1171,133.4239,134.6278,1056274
2017-05-08,134.5592,134.9507,133.5315,133.9524,1116539
2017-05-09,133.9035,134.7746,133.9035,134.3929,850368
2017-05-10,134.0209,135.0095,133.5903,134.941,787366
2017-05-11,134.3831,134.4838,133.5903,134.4222,727468
2017-05-12,134.0111,134.4222,133.4728,133.7958,720345
2017-05-15,133.9524,135.538,133.6784,135.4401,662717
2017-05-16,135.4401,136.4874,134.9605,136.0665,1097284
2017-05-17,135.0388,135.4793,133.5903,133.6588,986082
2017-05-18,133.7175,135.3227,133.326,134.5299,909451
2017-05-19,134.7648,136.0372,134.1286,135.2052,752265
2017-05-22,135.4891,136.2427,135.2835,135.8316,601968
2017-05-23,135.6359,136.2721,134.7354,135.2639,812543
2017-05-24,135.7352,137.1586,135.2394,136.9524,759994
2017-05-25,137.3451,138.317,137.2666,138.1108,506279
2017-05-26,138.0519,138.5231,137.2273,137.6396,973151
2017-05-30,137.4727,138.3359,137.193,138.2286,635887
2017-05-31,138.2483,140.3098,137.9587,140.192,1437530
2017-06-01,140.5846,142.6363,140.4619,141.0656,1798602
2017-06-02,141.419,141.9884,140.457,141.5172,1175041
2017-06-05,141.5467,142.0277,141.1245,141.7528,583953
