date,open,high,low,close,volume
2017-01-03,161.6953,164.8824,159.6909,164.8824,2751178
2017-01-04,165.1442,166.2457,163.9073,166.2006,1991723
2017-01-05,162.2325,166.7875,160.8646,166.4895,2186382
2017-01-06,165.7221,169.8297,164.8643,168.6835,2251406
2017-01-09,168.3765,169.5502,167.2931,167.8528,1953957
2017-01-10,167.1396,167.8438,165.8124,166.2999,2666132
2017-01-11,165.8575,166.5617,163.9344,164.3136,2151684
2017-01-12,163.9705,165.4241,163.5191,165.3067,1243227
2017-01-13,165.1081,167.0041,164.756,166.1374,1740392
2017-01-17,166.4624,168.6203,166.2548,167.3292,1888496
2017-01-18,167.0312,168.9905,166.7784,168.4487,1330267
2017-01-19,167.5007,167.6271,164.9772,165.1533,1939683
2017-01-20,165.072,167.0673,163.51,166.6069,2673598
2017-01-23,166.4715,167.2163,165.9577,167.0312,2150161
2017-01-24,167.2028,167.3653,165.6047,166.2548,2315194
2017-01-25,166.0381,166.327,164.4039,164.6838,2063823
2017-01-26,165.1442,165.6047,164.2052,164.4039,1891267
2017-01-27,164.8373,164.9366,161.1897,162.0745,2194028
2017-01-30,162.4808,162.4988,159.4652,160.4764,1716136
2017-01-31,161.623,166.1916,161.623,165.9207,3403230
2017-02-01,167.3743,167.9341,163.8622,163.8983,2925130
2017-02-02,163.6996,165.6905,163.6996,165.1894,1535135
2017-02-03,166.2186,167.4014,165.9207,167.3292,1805307
2017-02-06,166.345,167.4827,164.0969,164.3858,1179405
2017-02-07,164.44,165.5505,161.1806,161.6682,1812945
2017-02-08,161.8487,163.5471,161.307,163.0767,1406110
2017-02-09,163.4288,165.1081,163.2301,164.3136,1298499
2017-02-10,164.4321,166.538,164.1404,166.0093,1193506
2017-02-13,166.6747,167.5499,164.578,165.6172,1250551
2017-02-14,165.0794,166.2736,163.9581,164.9517,1079669
2017-02-15,164.4868,164.8515,161.214,162.7638,1954942
2017-02-16,163.0738,164.8788,162.7729,163.3473,1373065
2017-02-17,163.5114,165.9637,162.6271,165.0885,1657816
2017-02-21,165.4896,169.2182,165.0429,168.7989,1521200
2017-02-22,168.498,169.282,167.3767,168.3795,1469191
2017-02-23,168.3795,169.3732,167.3995,168.6439,1043707
2017-02-24,168.3704,168.3841,165.8269,168.0057,1213072
2017-02-27,168.6895,170.7953,168.0149,169.8655,1313752
2017-02-28,169.2638,169.9019,166.6383,168.106,1841808
2017-03-01,167.9875,168.5436,166.1186,166.3921,1845940
2017-03-02,165.909,166.4286,163.7302,165.1341,1566503
2017-03-03,165.4714,165.6628,163.01,163.5478,1732025
