date,open,high,low,close,volume
2017-01-03,94.1591,94.4669,93.1515,94.3456,1113877
2017-01-04,94.5882,96.2208,94.383,95.1573,1389056
2017-01-05,95.1573,95.3998,93.4034,94.9334,2008573
2017-01-06,94.6442,96.2395,94.4203,96.0156,934812
2017-01-09,96.0249,96.6779,94.4856,94.5789,1005383
2017-01-10,94.2617,94.8774,93.3754,94.2803,929748
2017-01-11,94.1497,95.6424,94.0378,95.2785,1469994
2017-01-12,95.2879,95.9969,94.4856,95.008,806865
2017-01-13,94.7748,95.4651,94.383,94.9427,635987
2017-01-17,95.1479,96.538,94.8587,96.4634,772175
2017-01-18,96.5566,97.2563,96.4727,96.8179,1015435
2017-01-19,96.6686,96.6686,94.9427,95.2319,740200
2017-01-20,95.3625,96.0435,94.7841,95.5678,789851
2017-01-23,95.7357,96.538,95.1386,95.3439,1207715
2017-01-24,95.2506,95.9876,95.036,95.7823,1228929
2017-01-25,95.7637,95.801,94.7748,95.689,1013414
2017-01-26,95.5211,96.0995,94.7841,95.4185,845607
2017-01-27,95.6984,95.703,94.3316,94.6348,576128
2017-01-30,94.952,94.952,93.0209,94.0564,1151642
2017-01-31,94.1591,95.6331,93.89,95.5211,947568
2017-02-01,94.7748,95.3625,94.0284,94.6162,681022
2017-02-02,94.7748,95.8663,94.0378,95.829,636966
2017-02-03,96.0622,96.3048,95.7543,95.8943,571929
2017-02-06,96.0902,96.3467,95.1153,95.717,461901
2017-02-07,95.7637,96.0529,95.2412,95.6704,533319
2017-02-08,95.6237,97.4243,95.6237,97.219,795768
2017-02-09,97.2843,97.6202,96.552,96.6966,751078
2017-02-10,96.4167,97.5082,96.4167,97.3496,632195
2017-02-13,97.3869,98.1613,97.2936,98.1053,538624
2017-02-14,97.7321,98.1146,96.8458,97.331,576716
2017-02-15,96.4074,97.3683,96.2674,97.3216,690842
2017-02-16,97.5362,98.8143,97.4429,98.7956,662117
2017-02-17,98.805,99.0195,97.8441,98.749,893862
2017-02-21,98.5344,99.5606,98.235,99.3367,777646
2017-02-22,99.4767,100.3536,99.0848,99.9618,637340
2017-02-23,100.4096,101.7996,100.1204,101.2305,921028
2017-02-24,101.0999,101.9909,101.0999,101.7716,1082837
2017-02-27,101.7716,101.781,101.0626,101.5104,879638
2017-02-28,101.7903,103.5069,101.3798,102.8911,2057898
2017-03-01,102.49,103.227,101.4358,102.2941,1182576
2017-03-02,101.9489,102.8818,101.6504,102.3874,1152404
2017-03-03,102.4527,102.4527,101.072,101.9022,773174
2017-03-06,101.6317,102.5833,101.3425,102.5646,1033544
2017-03-07,102.4247,103.5722,102.1728,103.1617,1122735
2017-03-08,101.9582,102.3967,100.9973,101.1652,859074
2017-03-09,101.2399,102.0515,100.6521,100.8014,756160
2017-03-10,101.6037,102.1914,101.072,102.0608,812066
2017-03-13,102.0608,102.546,101.753,102.3967,645915
2017-03-14,101.9302,102.49,101.5477,101.8369,524441
2017-03-15,102.3034,104.3278,102.1168,103.7681,916592
2017-03-16,104.0759,104.0759,102.3127,102.7699,791115
2017-03-17,103.0311,104.0293,102.9938,103.3296,1361369
2017-03-20,103.4695,103.7867,102.434,102.9844,901533
2017-03-21,103.062,104.876,102.6672,104.5752,1002040
2017-03-22,104.9136,105.8064,104.6927,105.2144,1104331
2017-03-23,105.299,106.2859,104.5095,104.876,976660
2017-03-24,104.923,106.0133,104.7068,105.7125,940106
2017-03-27,105.487,106.3517,104.5658,104.8948,769887
2017-03-28,104.8008,105.44,104.641,105.3366,786911
2017-03-29,105.0452,105.2708,104.4249,104.594,812246
2017-03-30,104.1335,104.2181,103.4755,103.6071,886243
2017-03-31,103.4755,104.4813,103.4755,103.8609,1271278
2017-04-03,103.8421,104.1241,102.6014,103.2594,1301508
