date,open,high,low,close,volume
2017-01-03,75.4086,76.2963,74.7023,75.6472,1815219
2017-01-04,77.0695,78.6445,76.8404,78.53,3318906
2017-01-05,78.4727,79.1218,77.2795,77.9668,2841614
2017-01-06,78.215,78.9213,77.2604,78.6922,2350312
2017-01-09,78.1481,78.759,77.4895,77.6709,1960403
2017-01-10,77.7186,78.3486,77.3272,77.6041,2398134
2017-01-11,77.3654,79.1218,77.1459,79.0836,3030989
2017-01-12,79.2172,79.2172,77.4513,78.3581,2411830
2017-01-13,78.7972,79.6945,78.74,79.16,2191358
2017-01-17,78.3868,78.6445,76.4968,76.5541,2014733
2017-01-18,76.5732,76.7306,75.2845,76.5063,2372678
2017-01-19,76.5732,76.745,74.8168,75.17,2242080
2017-01-20,75.4659,75.8,74.8932,75.4182,1614649
2017-01-23,75.17,75.5613,74.4073,74.9886,1073626
2017-01-24,75.2941,77.1936,74.6736,76.8595,2736073
2017-01-25,71.5905,74.8359,71.0656,74.2632,6598966
2017-01-26,73.595,74.1295,72.5259,73.0986,4242362
2017-01-27,73.0223,73.0891,72.44,72.545,2299350
2017-01-30,72.3636,72.8504,71.7241,72.7359,2077535
2017-01-31,72.5068,72.9459,72.125,72.7359,2481364
2017-02-01,73.385,73.91,72.5545,72.8695,2515917
2017-02-02,72.1823,72.8027,71.6668,72.5164,2535650
2017-02-03,73.5282,74.015,73.0223,74.015,2280682
2017-02-06,73.5186,74.2441,73.2275,73.805,1354700
2017-02-07,74.1486,74.1773,73.5377,73.9768,2158524
2017-02-08,73.3182,73.9768,72.545,73.8336,2589475
2017-02-09,74.015,74.6927,73.5377,74.3968,1814843
2017-02-10,74.6641,74.6927,73.8145,74.5591,1952175
2017-02-13,74.96,76.1245,74.96,75.6854,1546163
2017-02-14,75.6854,78.0622,75.6854,77.7472,3357369
2017-02-15,78.0145,78.5681,77.7854,78.1863,1792953
2017-02-16,76.9263,77.6518,76.8022,77.0886,2366674
2017-02-17,76.2963,77.0695,76.1341,77.0027,1214219
2017-02-21,77.1268,77.5754,76.5254,76.8691,2186581
2017-02-22,76.3632,76.7085,75.8859,76.5636,2175068
2017-02-23,76.8691,76.9359,75.8487,76.1913,1502135
2017-02-24,75.3323,75.8191,74.9504,75.3609,2135431
2017-02-27,75.3609,75.8382,75.2845,75.6091,2206170
2017-02-28,75.0841,76.2772,74.8932,76.0863,2754199
2017-03-01,77.4895,78.864,77.4895,77.9381,4164409
2017-03-02,78.1291,78.1291,76.6782,76.7163,2139594
2017-03-03,76.1722,76.9741,76.1436,76.5732,1820265
2017-03-06,76.0291,76.2963,75.6936,76.0004,1526807
2017-03-07,76.0768,76.3345,75.7141,75.9813,2051895
2017-03-08,76.9836,77.2795,76.2295,76.2868,2093084
2017-03-09,76.7736,76.8977,76.1341,76.2772,2350510
2017-03-10,76.6782,77.0313,75.9241,76.2772,2215025
2017-03-13,76.5159,77.2127,75.8668,75.9241,2415109
2017-03-14,75.5804,75.7427,75.0745,75.5422,1972168
2017-03-15,75.6759,76.4681,75.5518,76.0386,2208418
2017-03-16,76.2772,77.2795,76.0959,76.9454,2816718
2017-03-17,77.0313,77.0981,74.7882,75.0363,3939643
2017-03-20,74.5877,75.065,74.0913,74.225,2404508
2017-03-21,74.6927,74.7786,72.6786,72.8409,4562673
2017-03-22,72.4782,73.7191,71.8482,73.2991,2495869
2017-03-23,73.2132,74.4063,72.8982,73.7573,2946101
2017-03-24,73.9768,74.1868,73.2227,73.7,2684220
2017-03-27,72.124,74.6545,71.9436,74.5591,3236679
2017-03-28,74.3109,76.4013,74.1677,75.7904,3081778
2017-03-29,75.7904,76.2772,75.4754,75.7045,2065675
2017-03-30,75.9251,76.9226,75.5031,76.7691,1622608
2017-03-31,76.3567,77.2583,76.1937,76.3567,1478928
2017-04-03,76.4143,76.6061,74.6111,75.599,1954904
2017-04-04,75.3017,75.7429,75.1194,75.4743,1056025
2017-04-05,76.0977,77.2487,75.34,75.3976,2556423
2017-04-06,75.2729,76.1745,74.6964,75.6565,1545032
2017-04-07,75.129,76.1361,74.8317,75.5606,1017759
2017-04-10,75.5414,75.8004,74.659,75.2153,2172325
2017-04-11,74.659,75.2921,74.1411,75.1194,2403209
2017-04-12,74.8125,74.9851,74.1411,74.5535,2142079
2017-04-13,74.3905,75.6278,74.026,74.1411,1966465
2017-04-17,74.3425,75.3113,73.8342,75.2729,1734662
2017-04-18,74.6015,74.9947,73.8054,74.5344,1735903
2017-04-19,75.2249,75.551,74.4384,74.6878,1668488
2017-04-20,75.3496,75.4647,74.3521,75.1194,2103281
2017-04-21,75.1002,75.5798,74.2466,74.5248,1509376
2017-04-24,76.0977,76.7404,75.6469,76.5294,2159359
2017-04-25,77.0089,77.7906,76.8171,77.3254,2446702
2017-04-26,77.6899,80.5002,77.6228,80.1357,3676577
2017-04-27,80.4234,81.3634,79.9631,81.2675,2940294
2017-04-28,81.2291,81.8908,80.4426,80.4714,2712928
2017-05-01,81.0181,81.0469,80.2124,80.5098,2225627
2017-05-02,80.6536,80.7975,79.7712,79.9439,2069337
2017-05-03,79.4931,80.5098,79.2341,80.3563,1782290
2017-05-04,80.9606,81.325,80.0734,80.2988,1927247
2017-05-05,80.5673,80.6632,79.9726,80.1837,1256904
2017-05-08,80.4714,80.692,79.6993,79.9822,1292370
2017-05-09,80.0973,80.7975,79.8384,80.0398,1378354
2017-05-10,79.7425,80.1837,79.589,80.1453,788089
2017-05-11,79.7904,80.011,78.8792,79.4451,1866453
2017-05-12,79.1094,79.2917,78.3901,79.1957,1555909
2017-05-15,79.3396,79.8408,79.2149,79.4068,1875461
2017-05-16,79.119,79.6369,78.4668,79.5123,1338786
2017-05-17,77.9585,78.6203,76.1841,76.5581,2460966
2017-05-18,76.5198,77.2007,76.0402,76.6253,1586071
2017-05-19,76.7595,78.016,76.5102,77.5077,2252326
2017-05-22,77.9297,78.064,77.0952,77.5077,1515600
2017-05-23,77.6324,78.486,77.2199,78.1791,1041753
2017-05-24,78.3038,78.5244,77.9297,78.4668,1653569
2017-05-25,78.7641,79.4163,78.4956,78.7833,1219921
2017-05-26,78.4572,78.908,78.275,78.6394,1268173
2017-05-30,78.1982,78.5723,78.0736,78.3421,1262987
2017-05-31,78.1599,78.3517,77.4309,78.1311,1815142
2017-06-01,78.5339,79.5027,78.1455,79.4355,1312864
2017-06-02,78.6394,79.6081,78.3901,79.3012,1254979
2017-06-05,80.433,80.9222,79.6561,79.6753,2472760
2017-06-06,79.1766,79.9918,78.6299,79.8959,2168411
2017-06-07,80.0398,80.9989,79.7041,80.9414,2031515
2017-06-08,81.162,82.946,80.9318,82.4856,2173797
2017-06-09,82.8692,83.9324,82.8165,83.7804,1884543
2017-06-12,83.7325,84.4614,83.1953,83.5502,1595299
2017-06-13,84.2888,85.9481,84.2504,84.9697,3128373
2017-06-14,84.3559,85.1903,83.9435,85.1616,1703754
2017-06-15,84.6149,85.6124,84.5094,85.1712,1476984
2017-06-16,85.3822,85.4301,84.3463,84.6436,3223733
2017-06-19,85.0081,86.2742,84.8738,85.8617,1953358
2017-06-20,85.5548,86.1495,85.3054,85.5069,1025980
2017-06-21,85.6795,85.9576,85.1136,85.7275,1223282
2017-06-22,85.4397,85.7179,84.9601,85.0561,1195716
2017-06-23,85.1232,85.1712,83.2529,83.6749,3446950
2017-06-26,83.8859,84.3079,83.4735,84.2312,1527595
2017-06-27,84.6149,85.0561,84.1832,84.3079,1236498
2017-06-28,85.363,86.2646,85.2671,85.996,2293160
2017-06-29,88.0669,88.0669,85.7263,86.3427,1877896
2017-06-30,86.7666,87.017,86.1019,86.4294,1540832
2017-07-03,87.0748,88.2403,86.7377,87.7298,684717
2017-07-05,87.9899,88.6063,87.2193,88.1632,1505875
2017-07-06,88.1825,88.3848,87.2385,87.2771,1361040
2017-07-07,87.7587,88.1247,87.2578,87.5275,1691044
