date,open,high,low,close,volume
2017-01-03,150.7543,151.046,149.1009,150.5014,1991448
2017-01-04,152.8355,154.0025,151.9699,153.6524,2972285
2017-01-05,146.4167,147.1947,140.0465,142.721,10511832
2017-01-06,142.9544,145.9499,142.3806,145.3372,4441941
2017-01-09,145.8818,146.7571,145.0065,146.1444,2129903
2017-01-10,145.8818,146.1444,144.9871,145.1427,2152805
2017-01-11,144.9093,146.0277,144.3452,144.9093,1836206
2017-01-12,144.423,144.423,142.6821,143.4796,1973774
2017-01-13,143.6547,145.5803,143.3046,145.1816,1721698
2017-01-17,147.1364,152.4465,147.1364,149.5094,3708594
2017-01-18,149.4316,149.9568,146.2125,146.3486,2263148
2017-01-19,146.7863,146.7863,144.9871,145.4831,1560563
2017-01-20,145.4344,146.2125,144.2479,145.9596,1973760
2017-01-23,145.9791,149.4413,145.9304,147.3893,2470165
2017-01-24,147.1364,149.1593,146.4556,148.8481,1899522
2017-01-25,149.169,150.1221,148.5057,149.8595,2178003
2017-01-26,149.558,150.3652,145.6873,145.8526,2790487
2017-01-27,145.0065,145.8818,143.9367,144.8315,2712559
2017-01-30,145.2594,145.2594,142.9544,144.2674,1566279
2017-01-31,143.9367,145.9304,143.8589,145.6484,1793903
2017-02-01,147.5935,147.7588,144.6467,145.7359,1700768
2017-02-02,146.3681,147.0391,144.9093,145.1718,1290696
2017-02-03,145.7846,146.0569,144.6856,144.9773,1671462
2017-02-06,144.7926,145.9985,144.3063,145.6581,940231
2017-02-07,146.4675,148.5446,146.4675,148.2228,1116502
2017-02-08,148.2325,150.9727,148.2325,150.7387,2274940
2017-02-09,150.1536,152.5427,149.588,151.8601,2347769
2017-02-10,151.2653,152.0356,150.2102,151.5871,1555989
2017-02-13,151.4993,151.9479,150.178,151.6261,1969192
2017-02-14,151.2555,152.806,150.8655,152.0161,1160187
2017-02-15,151.6553,152.4257,151.2069,152.3282,941395
2017-02-16,152.7767,154.7466,152.2794,154.571,2291840
2017-02-17,154.22,157.7598,153.3618,157.3112,2435208
2017-02-21,156.6676,157.0868,155.3706,156.1118,2186330
2017-02-22,155.4292,156.5798,154.6783,156.219,1161143
2017-02-23,156.7359,158.4424,149.471,149.783,3591883
2017-02-24,150.2316,156.5896,149.9293,154.9026,4422453
2017-02-27,154.142,154.6295,152.806,153.8787,1918715
2017-02-28,153.9372,155.5072,153.4008,154.8636,1528567
2017-03-01,156.1118,156.6578,155.0196,155.6437,1523823
2017-03-02,155.6339,155.6339,154.1225,154.493,962092
2017-03-03,154.3857,155.0098,153.9762,154.8148,1366772
2017-03-06,154.7563,155.1854,153.5959,153.8787,1382516
2017-03-07,153.5861,154.4345,152.5622,153.3033,1460672
2017-03-08,152.5622,153.04,151.4993,152.494,1416774
2017-03-09,152.8255,152.8548,151.2555,151.9186,989988
2017-03-10,152.7475,153.6544,152.3184,153.6446,999903
2017-03-13,152.7182,154.5125,152.2794,154.454,1251398
2017-03-14,154.0249,155.3706,153.5959,155.1659,1030240
2017-03-15,155.3219,158.3058,155.3219,158.0913,1773644
2017-03-16,157.8865,158.5301,157.2722,158.0133,1044814
2017-03-17,158.7252,158.8714,157.3307,157.7305,2301041
2017-03-20,157.789,158.7349,157.3112,158.5106,814804
2017-03-21,159.2322,161.7579,159.0372,160.5194,2345695
2017-03-22,160.3927,161.1923,159.164,160.1196,920732
2017-03-23,159.4273,159.9636,158.1401,158.6764,1056544
2017-03-24,158.7739,160.2561,158.6325,159.9831,1151617
2017-03-27,159.3395,159.9051,158.5052,159.6125,1288911
2017-03-28,157.4477,158.969,156.9601,158.3936,1225946
