date,open,high,low,close,volume
2017-01-03,72.8455,73.8333,72.0514,72.7777,2609426
2017-01-04,73.0779,73.2668,72.1482,72.6228,1683879
2017-01-05,72.3032,73.0005,71.6059,72.216,1832555
2017-01-06,72.4581,73.0973,71.9739,72.5937,1609218
2017-01-09,73.5621,74.5306,72.8552,73.2619,2331287
2017-01-10,73.3007,75.0729,73.2716,74.8695,1768561
2017-01-11,74.8889,76.235,74.0948,75.9348,2119898
2017-01-12,73.7946,74.4822,72.3129,74.3272,4265199
2017-01-13,74.4822,76.0123,74.2691,75.8573,1963387
2017-01-17,75.1891,75.9542,74.0706,74.4628,2392146
2017-01-18,74.947,76.7677,74.7243,76.7677,3106093
2017-01-19,76.3803,76.942,75.7125,75.9832,4062382
2017-01-20,82.3168,86.0937,82.0166,85.8709,15776664
2017-01-23,86.0646,88.1952,84.9509,87.3236,6523246
2017-01-24,87.4591,89.8124,87.4591,89.3573,4553330
2017-01-25,90.0642,90.8196,88.4373,88.9699,3223492
2017-01-26,89.0958,89.7156,88.0693,88.1371,2344718
2017-01-27,88.66,89.5219,88.3695,89.1055,1706221
2017-01-30,88.5438,90.1417,87.372,90.0545,2482193
2017-01-31,89.6757,89.8302,87.6941,89.1123,2486505
2017-02-01,90.8608,91.7836,88.6946,89.1123,3804797
2017-02-02,88.1992,88.9132,87.4804,88.5004,2524583
2017-02-03,88.7044,89.2775,88.277,88.9375,1272523
2017-02-06,88.8306,88.9569,88.1118,88.7724,1458764
2017-02-07,88.7821,89.5591,88.5586,89.1512,1305566
2017-02-08,88.986,89.6951,88.3352,89.0638,1861650
2017-02-09,89.4329,90.4624,88.6266,89.8214,2753403
2017-02-10,90.074,90.0934,88.7918,89.5689,1947332
2017-02-13,90.0351,90.6276,89.6271,89.9768,1290117
2017-02-14,89.6757,89.8311,87.937,89.1706,1610538
2017-02-15,89.3843,89.9574,88.6364,89.4912,1562561
2017-02-16,89.6951,89.9088,88.9763,89.7826,1287095
2017-02-17,89.598,93.9011,89.2872,93.5903,5406554
2017-02-21,93.8623,94.7171,92.9589,93.804,2578203
2017-02-22,93.7263,94.3868,93.2892,93.94,1397948
2017-02-23,94.0857,94.1634,91.599,92.5801,1640306
2017-02-24,91.5407,92.2789,90.3557,91.9875,1448447
2017-02-27,91.8321,92.9395,91.1619,92.8909,1243010
2017-02-28,92.8715,93.1046,91.3076,92.0944,1722652
2017-03-01,93.2212,94.3674,91.667,93.9691,2322497
2017-03-02,94.2022,94.7753,91.9973,92.0458,2348763
2017-03-03,92.3081,92.5898,91.463,92.2012,1505851
2017-03-06,91.5116,92.9686,90.7491,92.7161,3186353
2017-03-07,92.4926,92.7549,91.5087,92.3275,1545443
2017-03-08,93.6,94.1342,92.6578,93.9205,4069504
2017-03-09,93.4543,94.8725,92.3372,94.3577,2826163
2017-03-10,94.9405,95.873,94.7073,95.3679,2259550
2017-03-13,95.6593,96.4946,95.2513,96.2032,2399531
2017-03-14,95.9118,96.1061,95.1445,95.9604,1214414
2017-03-15,95.8827,96.5335,95.3096,96.2712,1528958
2017-03-16,96.3781,96.3781,95.193,95.2999,1796943
2017-03-17,95.6884,95.7855,94.7171,95.125,2423569
2017-03-20,95.1445,95.9798,94.3674,95.3776,1290754
2017-03-21,95.5524,95.8147,92.6092,92.7841,1804767
2017-03-22,92.7355,94.008,91.8807,93.9691,1736058
2017-03-23,93.7748,94.5034,93.2773,93.736,1111649
2017-03-24,94.5714,95.533,94.1051,94.5131,1270823
2017-03-27,93.6486,94.9152,92.5995,94.4062,1203234
2017-03-28,94.5228,95.873,93.7846,95.125,1152861
2017-03-29,95.0473,95.0473,94.2217,94.4451,1088837
2017-03-30,94.5034,95.6787,94.2799,95.329,1200076
