date,open,high,low,close,volume
2017-01-03,111.0709,111.7624,110.3217,111.1766,731724
2017-01-04,111.628,112.3196,111.2006,111.8777,940081
2017-01-05,115.3643,115.9166,112.9343,113.6739,1944385
2017-01-06,113.9044,114.2501,112.8766,113.5394,1016491
2017-01-09,113.5394,114.1829,112.8959,113.0111,923847
2017-01-10,113.2993,114.3942,112.7902,113.0976,936318
2017-01-11,113.3185,113.4529,112.3292,113.3281,959413
2017-01-12,113.2704,114.1637,112.0218,114.0677,961242
2017-01-13,114.2213,114.74,113.5202,114.6151,813779
2017-01-17,113.645,114.0869,112.7806,113.6258,935685
2017-01-18,113.8467,117.1316,113.2801,115.4508,1649333
2017-01-19,115.2779,116.1231,114.692,114.9321,637271
2017-01-20,115.6236,115.8638,114.7784,115.2491,910118
2017-01-23,114.7688,115.7869,114.5383,115.7101,942401
2017-01-24,115.931,118.3034,115.4508,117.8232,1345790
2017-01-25,118.2458,119.8594,118.0345,119.3792,1605072
2017-01-26,118.3322,121.353,115.7965,119.1967,1943675
2017-01-27,119.7153,121.4346,119.4968,120.0899,983973
2017-01-30,123.6821,123.6821,119.1967,120.1187,1136353
2017-01-31,119.9651,120.2052,118.3226,119.1006,1245911
2017-02-01,118.7837,118.7837,116.6129,117.8136,1543940
2017-02-02,118.0825,118.0825,116.1135,117.5254,984182
2017-02-03,118.1881,119.0046,117.8232,118.6396,699301
2017-02-06,118.2842,118.8159,117.3429,117.7559,628277
2017-02-07,118.0153,118.2554,117.0644,117.2853,847730
2017-02-08,116.8819,117.4005,116.3056,117.3141,657730
2017-02-09,117.3525,118.5435,117.3525,118.217,489892
2017-02-10,118.63,119.2159,118.2074,118.8413,395936
2017-02-13,119.6289,121.8092,119.6289,121.4154,1300850
2017-02-14,121.108,121.4634,119.917,120.8199,547512
2017-02-15,120.695,121.9629,120.5413,121.7035,591362
2017-02-16,121.6171,121.9052,120.6184,121.4058,642070
2017-02-17,121.0888,121.6843,120.3781,121.6459,486607
2017-02-21,121.5787,122.5296,121.2041,122.2222,683426
2017-02-22,121.7516,122.664,121.2761,122.2606,674863
2017-02-23,122.5103,122.8753,121.3193,122.0973,858667
2017-02-24,121.4634,122.7217,121.0696,122.7217,568584
2017-02-27,122.3839,123.8216,122.1813,123.1365,703638
2017-02-28,122.8084,123.3198,122.0366,122.683,932233
2017-03-01,124.468,125.8864,124.3426,124.7575,999580
2017-03-02,124.1207,124.854,123.4549,123.5996,513586
2017-03-03,123.561,123.918,122.6444,123.5417,535766
2017-03-06,122.5865,125.0952,122.5865,124.0435,743725
2017-03-07,123.8409,124.2316,123.2716,123.4163,783699
2017-03-08,123.3584,124.2268,123.3295,123.7637,617502
2017-03-09,123.426,123.9566,122.9725,123.1461,686181
2017-03-10,123.6286,124.6803,123.3102,124.6513,540248
2017-03-13,125.1917,126.5811,124.7768,126.1083,1560207
2017-03-14,125.539,125.9443,124.6706,125.1338,727108
2017-03-15,125.5969,126.6438,125.0566,126.4653,922323
2017-03-16,132.0905,132.0905,125.8719,126.5328,883049
2017-03-17,126.8319,127.3819,125.9443,126.7162,1739190
2017-03-20,126.9381,127.681,126.1614,126.6004,635431
2017-03-21,126.996,127.1889,124.8057,125.018,742454
2017-03-22,124.9312,126.3785,124.2557,126.0118,816028
2017-03-23,126.0986,127.3433,125.6838,126.5521,656557
2017-03-24,126.5907,127.3723,125.6558,126.2048,568496
2017-03-27,124.9022,126.6583,123.5803,126.2144,687392
2017-03-28,126.0022,127.8258,125.7609,127.4591,652290
2017-03-29,127.0925,127.681,126.6872,127.3723,606961
2017-03-30,127.2275,128.3178,127.1021,127.9801,483573
2017-03-31,127.7003,128.6266,127.3723,128.2021,827187
2017-04-03,128.4433,128.7231,126.7934,127.7486,702613
2017-04-04,127.6328,127.9801,126.7644,127.3047,926321
2017-04-05,127.4784,128.5687,126.1662,126.4942,896046
2017-04-06,126.5811,128.4915,126.5811,127.7582,850510
2017-04-07,127.681,128.3275,127.3626,127.6231,705301
2017-04-10,127.7003,128.3854,127.0346,127.8644,832495
2017-04-11,127.6521,128.2021,126.967,127.9222,715424
2017-04-12,128.067,128.3757,127.3337,127.6135,1128359
2017-04-13,127.4495,127.8644,125.9829,125.9829,697911
2017-04-17,126.2916,126.9381,125.5004,126.5618,1350689
2017-04-18,126.0986,126.8126,125.4715,126.6004,938480
2017-04-19,127.2565,128.2696,126.0697,126.446,965691
2017-04-20,127.1021,128.26,126.6583,128.0477,1060793
2017-04-21,132.1291,133.0553,129.2924,132.7273,2897151
2017-04-24,134.0878,135.1395,131.6659,132.5826,2048971
2017-04-25,133.036,133.7886,131.8879,132.0615,1189935
2017-04-26,132.2642,132.6115,130.9326,131.5212,1229618
2017-04-27,131.3958,132.5729,131.0195,132.5247,1022888
2017-04-28,132.351,132.6811,131.2124,131.3668,1421751
2017-05-01,131.251,131.9265,130.566,131.3282,807778
2017-05-02,131.8203,132.4185,131.0388,132.1773,896302
2017-05-03,132.1001,132.4861,131.2703,131.4923,633790
2017-05-04,131.444,133.4895,131.4344,133.3255,1459527
2017-05-05,133.4509,134.2035,133.4509,133.7404,906045
2017-05-08,133.422,134.1071,132.9107,133.7886,770452
2017-05-09,133.8465,134.3627,133.5667,133.972,523460
2017-05-10,134.0202,134.7149,133.6536,134.1939,1040540
2017-05-11,132.6212,133.4123,130.6142,133.2483,1753440
2017-05-12,134.4641,134.5219,131.994,132.1773,2173439
2017-05-15,132.187,132.7755,131.7238,132.6019,1133983
2017-05-16,132.9975,132.9975,131.4923,132.1291,937458
2017-05-17,131.4826,131.83,129.5915,129.7169,1278005
2017-05-18,129.7941,130.7397,128.5697,130.2283,1288855
2017-05-19,130.3248,132.4185,130.2669,131.7528,1220830
