date,open,high,low,close,volume
2017-01-03,93.1808,93.8471,92.543,93.1713,1105063
2017-01-04,93.6948,94.7324,93.4949,94.6277,1213369
2017-01-05,94.6943,95.4557,94.2469,94.8847,2072718
2017-01-06,94.8752,95.3892,94.542,94.9894,880151
2017-01-09,94.8847,94.8847,93.2189,93.552,1347704
2017-01-10,93.5996,93.9614,91.2675,91.772,2558125
2017-01-11,91.8482,92.286,91.0105,91.0676,1591202
2017-01-12,90.8011,91.1152,90.287,90.8391,2101483
2017-01-13,91.4959,93.0856,91.258,92.9238,1608380
2017-01-17,92.8381,94.0851,92.8381,93.1998,1339402
2017-01-18,93.2855,94.4468,93.2189,93.4759,1138538
2017-01-19,93.276,93.7329,92.7334,92.8476,993586
2017-01-20,93.2474,93.4188,92.4669,92.9238,908163
2017-01-23,92.3907,92.9333,91.2294,91.5626,1698117
2017-01-24,91.5626,92.5906,89.9539,92.2194,2209321
2017-01-25,92.6192,93.1427,92.0385,92.3241,2238881
2017-01-26,92.4193,92.7477,91.3151,91.4198,1304976
2017-01-27,91.3722,91.8196,90.6012,90.763,1017448
2017-01-30,90.9153,90.9439,89.8777,90.8772,1179788
2017-01-31,90.6583,92.0338,90.3442,91.8767,1299295
2017-02-01,91.7149,92.3146,91.0581,91.7815,1300455
2017-02-02,92.2194,92.5326,91.277,91.3341,1094598
2017-02-03,91.9719,92.9714,91.5055,92.3336,1519722
2017-02-06,92.4574,92.4574,91.5816,91.8386,1904311
2017-02-07,91.7625,91.9719,89.9634,90.3251,3250780
2017-02-08,90.3442,92.0671,90.0967,91.02,2693851
2017-02-09,91.1057,92.2622,90.7535,92.0195,1655168
2017-02-10,92.0195,92.2765,91.258,91.3341,1562382
2017-02-13,91.753,91.9148,91.0676,91.5816,1653209
2017-02-14,92.4954,95.2845,89.5922,94.7133,4140293
2017-02-15,94.2374,94.5706,93.5901,94.266,2634823
2017-02-16,94.0565,95.5034,93.7805,94.9989,1864863
2017-02-17,95.1131,97.2263,94.8371,96.7028,2856531
2017-02-21,96.2745,97.0074,95.4653,95.6938,2355679
2017-02-22,95.3321,95.9603,94.9608,95.3987,1062457
2017-02-23,95.1893,96.3125,95.056,95.2369,1036330
2017-02-24,95.3898,96.6993,94.5488,96.5559,1729522
2017-02-27,96.2501,96.3958,94.931,95.1222,1634084
2017-02-28,95.3803,96.2501,94.673,95.9538,1657121
2017-03-01,96.0302,96.4317,95.2082,95.256,1325826
2017-03-02,94.5965,95.1461,94.0612,94.1377,1430743
2017-03-03,94.0039,95.4472,93.9179,95.4376,1912114
2017-03-06,95.1031,95.2465,93.8127,93.8892,987212
2017-03-07,93.8892,94.023,92.5081,92.704,1546043
2017-03-08,92.4842,92.8856,91.9967,92.4937,1952768
2017-03-09,92.3599,92.8378,91.968,92.5128,1298885
2017-03-10,93.0672,93.1915,92.207,92.8091,854361
2017-03-13,92.5415,93.2393,92.379,93.1819,1494259
2017-03-14,93.2393,93.7841,92.7136,92.8187,735826
2017-03-15,92.8474,93.9848,92.7136,93.5738,981482
2017-03-16,93.6503,94.1377,93.3157,93.8892,980333
2017-03-17,94.3862,94.9788,92.7327,94.0326,1612338
2017-03-20,94.2429,94.5009,93.6503,94.2811,1303656
2017-03-21,94.3862,95.2465,93.6503,93.698,1820668
2017-03-22,93.9083,94.0995,93.0577,93.201,887145
2017-03-23,92.7996,93.5929,92.7709,92.9525,872850
2017-03-24,92.9907,93.4113,92.465,92.7327,586677
2017-03-27,92.3217,92.6944,91.8916,92.1974,1032123
2017-03-28,91.9967,92.3026,91.2703,92.0445,1392545
2017-03-29,91.9202,92.465,91.514,92.3886,1115744
2017-03-30,91.9585,92.293,91.2798,91.3467,1307644
2017-03-31,91.1365,91.9298,90.9931,91.4806,1453659
2017-04-03,91.7386,92.0158,90.974,91.2416,1328255
2017-04-04,91.0696,91.5188,90.4196,91.3659,1538493
2017-04-05,91.2416,91.9871,90.9071,91.2416,1446521
2017-04-06,91.3945,92.7136,91.3754,91.7577,1449565
2017-04-07,91.6239,91.9776,90.974,91.1556,995676
2017-04-10,91.0504,91.8533,90.8593,91.6526,827382
2017-04-11,91.5379,91.5379,90.5247,91.3563,1092248
2017-04-12,91.3085,91.4892,90.9644,91.3372,835178
2017-04-13,91.2798,91.385,90.3814,90.3814,855934
