date,open,high,low,close,volume
2017-01-03,66.8605,67.0721,66.2439,66.9433,3907138
2017-01-04,67.2653,68.3144,67.2653,67.9187,5316224
2017-01-05,66.5568,66.9157,65.1949,66.7684,7096253
2017-01-06,66.2347,66.4648,65.4986,65.7378,5235096
2017-01-09,65.8391,66.1335,65.6642,65.7286,3814266
2017-01-10,65.6826,66.2623,65.3422,65.7286,4681789
2017-01-11,65.9587,66.1887,65.632,65.8943,3479904
2017-01-12,65.7286,65.9863,65.1397,65.563,4163181
2017-01-13,65.3974,65.6826,64.4404,64.5876,5332594
2017-01-17,65.1121,66.3268,64.9925,65.2777,5426688
2017-01-18,62.5724,62.5724,61.0541,61.5142,19063189
2017-01-19,61.0357,61.5418,59.8671,60.1707,12274917
2017-01-20,60.1707,60.1891,58.6892,58.9837,12983487
2017-01-23,58.9561,59.3978,58.4776,58.7537,7908974
2017-01-24,58.7537,59.2782,58.5282,59.269,6084409
2017-01-25,59.5634,59.9637,59.499,59.8119,5702524
2017-01-26,59.6738,59.729,59.0021,59.0481,4393109
2017-01-27,59.3978,59.6002,57.9117,58.6156,7471906
2017-01-30,58.6156,59.0205,58.4224,59.0021,5220543
2017-01-31,58.7076,59.3518,58.3856,59.3334,5735135
2017-02-01,58.8733,59.0389,58.3948,58.588,5307383
2017-02-02,58.8089,59.0481,58.5788,58.5972,5518350
2017-02-03,58.7629,59.2137,58.45,58.6616,4965670
2017-02-06,58.68,58.8457,58.3028,58.358,6003260
2017-02-07,58.7813,59.0389,58.3856,58.496,4256011
2017-02-08,58.4408,59.729,58.3212,59.6002,4510987
2017-02-09,59.5818,61.2243,59.453,61.1093,7754811
2017-02-10,61.2013,61.6154,60.0143,60.4836,5520829
2017-02-13,60.9386,61.0129,59.9264,60.1864,4218239
2017-02-14,59.9171,60.9758,59.9171,60.9665,5117112
2017-02-15,60.8272,61.2463,60.5857,61.0593,3974019
2017-02-16,61.0779,61.1522,60.3907,60.5486,3324994
2017-02-17,60.5857,61.1987,60.2886,61.0965,4235409
2017-02-21,61.533,61.6537,61.0965,61.4865,4838643
2017-02-22,61.3472,61.5515,60.9201,61.2358,3029411
2017-02-23,61.3287,61.4308,60.2421,60.3443,4867949
2017-02-24,60.6043,61.8859,60.2978,61.7651,6909008
2017-02-27,61.6537,62.2945,61.5051,62.1366,6839214
2017-02-28,53.3143,55.4131,53.2122,54.5773,45305358
2017-03-01,54.5866,55.0974,53.2586,53.7044,22807965
2017-03-02,53.8622,54.3451,53.6301,53.8158,10976567
2017-03-03,54.0851,54.1223,53.0172,53.2586,9081381
2017-03-06,53.2122,53.2586,52.0049,52.0978,11313404
2017-03-07,52.0978,52.4042,51.1227,51.2063,13236473
2017-03-08,51.4849,51.587,51.0763,51.0948,9417328
2017-03-09,51.0763,51.4013,50.5284,51.262,10878125
2017-03-10,51.4013,51.8935,51.1227,51.4106,7591344
2017-03-13,51.4292,51.6427,50.9277,51.2527,7522155
2017-03-14,51.262,51.4199,50.7791,50.8441,6000109
2017-03-15,50.7048,50.807,50.259,50.6769,8525531
2017-03-16,50.5191,51.0317,50.3798,50.6955,6354148
2017-03-17,50.7977,50.872,50.4169,50.4169,14193773
2017-03-20,50.6584,50.7419,50.0919,50.4912,9163965
2017-03-21,50.5284,50.5748,49.4279,49.5811,9146733
2017-03-22,49.544,49.8369,49.0054,49.7576,5868981
2017-03-23,49.6647,49.8133,49.2654,49.349,5722368
2017-03-24,49.4511,49.5393,49.1354,49.3304,4351791
2017-03-27,49.2189,49.9108,49.0796,49.5254,7644406
2017-03-28,49.3954,49.8504,49.3861,49.7761,4395777
2017-03-29,49.8226,51.6149,49.7297,51.2156,9848633
2017-03-30,51.132,51.4564,50.9555,51.3084,4870217
2017-03-31,51.262,51.791,51.197,51.2527,7457846
2017-04-03,51.2806,51.2899,50.0083,50.1755,6970903
2017-04-04,49.9804,50.1383,49.2004,49.6183,6578316
2017-04-05,49.7297,49.999,48.9589,48.9868,6810845
2017-04-06,49.3675,50.2683,49.2839,49.7483,8672416
2017-04-07,49.6554,49.9526,49.1911,49.4418,5780100
2017-04-10,49.6647,50.4633,49.5904,49.9526,4978139
2017-04-11,49.9712,50.0547,49.349,49.8783,4917545
