date,open,high,low,close,volume
2017-01-03,36.4221,36.6004,36.1232,36.369,7643718
2017-01-04,36.5426,36.986,36.5329,36.933,6695438
2017-01-05,36.3449,36.8848,36.1473,36.7065,9958592
2017-01-06,36.6534,36.8977,36.5426,36.6245,6948926
2017-01-09,36.5667,36.9137,36.5667,36.6824,6437774
2017-01-10,36.5908,37.2174,36.5426,36.9668,7690792
2017-01-11,36.9186,37.0405,36.4076,36.745,5806984
2017-01-12,36.6245,36.6824,36.2582,36.6004,6780182
2017-01-13,36.5474,36.8559,36.5281,36.6004,5233970
2017-01-17,36.6727,37.2126,36.6342,36.9957,6864244
2017-01-18,37.1065,37.1499,36.7595,36.9619,6430914
2017-01-19,36.88,36.9716,36.1762,36.1907,8398752
2017-01-20,36.3016,36.4148,35.9545,36.3883,8272390
2017-01-23,36.2389,36.3323,35.8581,35.9063,6104922
2017-01-24,36.0172,36.1232,35.8099,35.9545,7966476
2017-01-25,36.1136,36.4028,35.9786,36.3594,6617068
2017-01-26,36.3835,36.4896,36.1521,36.1811,4746310
2017-01-27,36.2967,36.3768,35.6556,35.7954,5186446
2017-01-30,35.8003,35.8244,35.3761,35.6894,5352902
2017-01-31,35.405,36.1473,35.3086,36.1136,10055498
2017-02-01,36.1859,36.2871,35.82,35.9979,7634876
2017-02-02,35.9786,36.4076,35.8147,36.1184,8669182
2017-02-03,36.0364,36.5522,36.0027,36.3787,8495292
2017-02-06,36.1762,36.4606,36.1232,36.3112,7469258
2017-02-07,36.3596,36.5192,36.2773,36.3886,4672270
2017-02-08,36.3354,36.6498,36.3015,36.524,7997728
2017-02-09,36.6159,37.015,36.5772,36.8142,6351626
2017-02-10,36.8771,37.3415,36.7223,37.2689,7343116
2017-02-13,37.3947,37.5349,37.0561,37.1964,6972182
2017-02-14,37.148,37.801,37.0706,37.7671,8086718
2017-02-15,37.8445,37.9558,37.5881,37.8397,6765708
2017-02-16,37.7526,37.7671,37.0609,37.1625,10997412
2017-02-17,37.0658,37.4624,36.9448,37.3366,12285850
2017-02-21,37.4382,37.443,36.7731,36.8771,17787708
2017-02-22,37.2834,37.5833,36.495,36.9303,18270594
2017-02-23,37.148,38.1541,37.148,37.6365,18138844
2017-02-24,37.5349,38.1154,37.5011,37.8493,10806876
2017-02-27,37.8493,38.1492,37.8034,38.0283,8866178
2017-02-28,37.8397,38.0525,37.5059,37.9461,12518716
2017-03-01,38.2024,38.2121,37.6704,37.9461,12873098
2017-03-02,37.8639,38.558,37.7816,38.4008,7851478
2017-03-03,38.2605,38.3427,37.9267,38.1251,5851814
2017-03-06,37.9751,38.1928,37.905,38.0186,5672372
2017-03-07,37.9074,38.2121,37.8348,37.8735,6364344
2017-03-08,37.8348,38.1444,37.7913,37.9461,6377898
2017-03-09,37.9026,37.9945,37.651,37.6994,5659630
2017-03-10,37.8687,37.9316,37.2737,37.8155,5935982
2017-03-13,37.7236,37.9558,37.5398,37.7574,4938352
2017-03-14,37.8542,38.038,37.7381,37.8639,4767620
2017-03-15,37.8493,38.3669,37.8106,38.2992,6538108
2017-03-16,38.454,38.5265,38.1941,38.3185,7679452
2017-03-17,38.5072,38.5217,38.096,38.3185,10223462
2017-03-20,38.3137,38.3185,37.6897,37.8155,7905308
2017-03-21,37.9703,38.0767,37.5688,37.772,5887662
2017-03-22,37.7526,38.0839,37.5785,38.038,5003334
2017-03-23,38.0815,38.2508,37.8639,37.9364,5504444
2017-03-24,37.859,38.0283,37.6849,37.9364,5612212
2017-03-27,37.651,37.9654,37.5543,37.8977,6205382
2017-03-28,37.859,38.1589,37.8058,38.0718,9353096
2017-03-29,38.1202,38.6765,37.9896,38.541,6476644
2017-03-30,38.4298,38.6184,38.3766,38.5846,3762186
2017-03-31,38.5217,38.6813,38.2218,38.2508,5431392
2017-04-03,38.3524,38.3862,37.7913,37.888,7079872
2017-04-04,37.8784,37.888,37.0609,37.1044,10850038
2017-04-05,37.148,37.2737,36.6691,36.7272,9552844
2017-04-06,36.9303,37.4261,36.9303,37.148,7544340
2017-04-07,37.0609,37.1431,36.7997,36.8046,7189754
2017-04-10,36.8094,37.1577,36.6643,36.7707,6252058
2017-04-11,36.7465,37.2496,36.6691,37.2399,8550058
2017-04-12,37.3463,37.3463,37.0561,37.2883,7882186
2017-04-13,37.2544,37.4237,37.1335,37.1528,5706940
2017-04-17,37.2834,37.3318,36.8529,36.9932,5060264
2017-04-18,37.0029,37.3366,36.8868,37.1673,4344596
2017-04-19,37.3124,37.3608,37.119,37.1964,4035376
2017-04-20,37.327,37.888,37.3197,37.8106,6308354
2017-04-21,37.7913,38.0138,37.6946,37.9993,6104360
2017-04-24,38.275,38.3282,37.8252,38.0283,4829322
2017-04-25,38.0718,38.1904,37.859,38.1057,4545184
2017-04-26,38.1928,38.4443,38.0477,38.1734,4404086
2017-04-27,38.1879,38.2581,37.9606,38.1976,4598466
2017-04-28,38.1783,38.1879,37.7574,38.038,5419230
2017-05-01,38.1589,38.1782,37.5591,37.5591,4067744
