date,open,high,low,close,volume
2017-01-03,141.3846,142.8144,141.2257,142.6556,1966906
2017-01-04,142.9336,145.0287,142.2783,144.1351,2167219
2017-01-05,144.3535,144.7408,143.7577,144.3535,1683578
2017-01-06,144.2542,146.4486,144.1152,146.2302,2016228
2017-01-09,145.972,147.5905,145.972,146.4486,1967207
2017-01-10,146.7564,148.2657,146.2599,146.7366,1806625
2017-01-11,146.7465,147.2827,142.8492,145.1876,2764303
2017-01-12,145.1479,145.9521,144.1054,144.9393,2239606
2017-01-13,145.0585,145.9869,144.4925,145.2571,1839728
2017-01-17,144.6415,144.84,143.5294,144.0258,1651515
2017-01-18,144.8103,144.9691,142.5464,143.6386,1377132
2017-01-19,143.3606,143.6982,142.4272,143.301,1435920
2017-01-20,143.8868,144.1152,142.3081,142.4967,1750006
2017-01-23,142.1492,143.4003,141.5633,141.7818,1508582
2017-01-24,142.2187,142.6456,139.0115,139.9846,2988471
2017-01-25,140.5009,142.0102,139.7761,141.4243,2224918
2017-01-26,141.5137,142.457,140.9676,142.0896,2934176
2017-01-27,142.9932,144.8301,142.7449,144.423,2107766
2017-01-30,144.5024,144.5322,141.6527,142.2783,3158625
2017-01-31,145.6145,151.4232,145.0486,151.314,5340687
2017-02-01,151.1949,154.0049,150.4104,151.8601,3601963
2017-02-02,151.3339,151.3339,149.1693,150.5991,1751819
2017-02-03,151.0757,151.2974,149.3281,150.3608,1817142
2017-02-06,149.9934,151.0757,149.3579,151.0062,1624932
2017-02-07,151.0459,152.1183,150.7182,151.9296,1479308
2017-02-08,151.3041,153.141,150.619,152.4162,1467821
2017-02-09,152.5155,154.1737,152.2971,153.6474,1505007
2017-02-10,153.5878,154.3921,153.1807,153.7964,1482866
2017-02-13,153.9056,155.6919,153.3992,155.246,1636548
2017-02-14,154.8389,156.2191,154.3226,156.1695,1429800
2017-02-15,155.3851,157.2518,155.3751,157.1426,1423317
2017-02-16,156.8943,157.4305,156.3284,156.5964,1252905
2017-02-17,156.5071,158.1752,156.2737,157.5199,1207502
2017-02-21,157.5199,158.2844,156.8447,157.51,1242218
2017-02-22,157.222,157.9766,156.5766,156.9043,1282983
2017-02-23,157.4702,157.9965,156.5865,157.6092,1124977
2017-02-24,157.222,157.8575,156.4674,157.8575,832828
2017-02-27,157.2419,158.1653,156.9043,157.361,1220207
2017-02-28,157.083,158.1256,156.4078,156.5667,1674213
2017-03-01,158.344,159.754,157.788,158.6915,1722556
2017-03-02,158.8703,158.8703,157.8619,158.0759,1414396
2017-03-03,157.5993,159.2873,157.5397,159.0291,1204035
2017-03-06,157.5894,158.1653,156.4376,156.5964,1413379
2017-03-07,155.8815,156.8248,155.4844,156.1496,1166721
2017-03-08,156.2787,156.8447,155.534,156.3879,1105385
2017-03-09,156.6064,157.1227,155.9709,156.666,1102589
2017-03-10,157.0631,158.344,157.0333,158.205,1206266
2017-03-13,158.3341,158.3341,156.6942,158.0658,1324287
2017-03-14,157.5192,157.7279,156.9874,157.3701,1036534
2017-03-15,157.6186,160.6696,157.39,160.0635,2548153
2017-03-16,157.062,158.523,155.8892,157.052,3208734
2017-03-17,157.5689,158.1155,155.4221,156.9228,2654091
2017-03-20,157.1713,157.4297,155.4022,155.7799,1280593
2017-03-21,156.5054,156.734,153.4145,154.5872,1593396
2017-03-22,154.8357,155.5414,153.3846,154.3785,1309578
2017-03-23,154.3487,154.9947,153.0765,153.7027,1643432
2017-03-24,153.484,154.7164,152.7486,153.0964,1938975
2017-03-27,152.5001,154.3984,151.6752,153.6431,1418568
2017-03-28,153.6927,154.4315,152.5995,153.6927,1113892
2017-03-29,153.4045,153.6381,152.0032,153.0368,1075037
2017-03-30,153.1561,153.7623,152.51,152.9672,1054176
2017-03-31,152.4504,153.2057,152.2814,152.6591,1219626
2017-04-03,152.6591,154.2593,152.5597,153.6331,2084836
2017-04-04,153.5238,154.0108,151.5758,151.7845,2701327
2017-04-05,152.3311,153.1461,151.6951,151.8243,2012985
2017-04-06,151.8441,152.5796,151.2677,152.0131,2430973
2017-04-07,152.1324,152.7684,151.6305,152.1721,1323729
2017-04-10,152.2814,153.812,152.2814,152.51,1019550
2017-04-11,151.9535,152.7486,150.9795,151.9336,985987
2017-04-12,151.9237,152.0131,150.8105,151.5261,1253664
2017-04-13,151.0093,152.023,150.8403,151.2478,934603
2017-04-17,151.8342,152.9771,151.3969,152.7585,1274616
2017-04-18,152.1025,152.9374,151.3671,152.3311,886616
2017-04-19,153.0269,153.7126,151.9833,153.5138,1291133
2017-04-20,153.822,154.9053,152.8763,154.4083,1592737
2017-04-21,154.3189,154.8755,153.6431,154.0903,1992271
2017-04-24,155.5712,156.6744,155.0742,156.3762,1198329
2017-04-25,157.4595,158.4534,157.1514,157.8372,2171285
2017-04-26,161.1369,167.0902,160.0039,166.9809,4182918
2017-04-27,167.6467,167.7263,164.9832,165.6789,2287878
2017-04-28,165.5099,165.5795,163.7607,164.3173,1507040
2017-05-01,165.3509,166.5137,165.003,165.5994,1431186
2017-05-02,165.5795,166.474,164.7347,166.2255,1562420
2017-05-03,166.2255,167.5772,165.8876,167.2889,1785191
2017-05-04,167.3287,169.1922,167.0802,169.0779,1247439
2017-05-05,169.0382,170.1016,168.6009,170.0122,1681257
2017-05-08,170.3799,170.6184,168.7499,169.3463,3636198
2017-05-09,170.6184,172.149,169.9525,171.0657,1806536
2017-05-10,169.8929,171.6123,169.1574,169.9227,1860097
2017-05-11,168.8394,170.0221,168.422,169.9625,1126898
2017-05-12,169.6544,171.006,169.3661,170.4693,1107444
2017-05-15,170.4495,172.467,170.3302,171.2048,2280780
2017-05-16,171.2843,171.7018,170.7278,171.2148,1482308
2017-05-17,170.1513,171.9403,169.7935,169.9227,1367983
2017-05-18,169.9823,172.1987,169.8233,170.688,1553223
2017-05-19,171.0657,171.6421,170.1811,170.4793,1130920
2017-05-22,170.3004,171.3241,169.7538,171.0458,1044510
2017-05-23,172.3279,172.5764,170.6979,170.7774,1078676
2017-05-24,170.7576,171.3837,170.2308,171.2744,827903
2017-05-25,171.4135,172.0099,170.9067,171.8409,764475
2017-05-26,172.2484,172.4969,171.821,172.3577,683280
2017-05-30,172.1092,172.5167,171.3638,172.1888,1114235
2017-05-31,172.7155,173.3069,171.7216,171.7316,1836450
2017-06-01,171.7316,173.7491,171.2744,173.7491,1014538
2017-06-02,173.928,175.3095,173.1031,175.3095,1075195
2017-06-05,175.1803,175.7667,174.2312,175.3592,874253
2017-06-06,174.9219,175.4984,174.6635,174.9915,1443047
2017-06-07,175.0114,175.4288,174.4448,175.2598,897834
2017-06-08,174.9815,175.2797,172.7851,173.7392,2016352
2017-06-09,174.2262,174.8921,173.0037,173.8585,1238363
2017-06-12,173.9181,174.1169,170.9862,172.318,1695224
2017-06-13,172.6064,174.1781,172.4174,174.009,912184
2017-06-14,174.4168,174.4168,172.865,173.6509,1337309
2017-06-15,172.9048,173.3226,171.6714,173.2132,1150402
2017-06-16,173.6409,174.387,173.0839,173.9393,1944695
2017-06-19,174.6953,175.7796,174.1681,175.322,1154833
2017-06-20,175.1131,175.9885,174.3372,174.7451,1299607
2017-06-21,175.5608,175.9487,174.1582,174.6755,1348035
2017-06-22,175.1032,175.4414,173.3823,174.5461,964527
2017-06-23,174.8247,174.8247,172.2881,173.5216,1633704
2017-06-26,174.0687,174.0786,172.0295,172.3179,1297056
2017-06-27,172.0593,173.3823,171.2237,172.7855,1207950
2017-06-28,173.7006,175.3419,172.8501,174.8446,1009910
2017-06-29,174.6755,175.1728,172.2881,172.9745,1252062
2017-06-30,173.5017,174.2825,173.064,173.5514,819727
2017-07-03,174.4069,175.2723,173.4917,173.4917,612254
2017-07-05,173.6807,175.511,173.3127,174.8147,1186823
2017-07-06,173.8598,174.8644,173.3723,174.1184,2290556
2017-07-07,174.8744,177.0529,174.4765,176.5555,1345748
2017-07-10,176.8639,177.3513,175.8094,176.7346,1492518
2017-07-11,176.7147,178.1968,175.9549,177.6994,2127065
2017-07-12,178.2664,179.7685,178.1172,179.2512,1101632
2017-07-13,179.6193,179.7486,178.3659,179.0821,927411
2017-07-14,178.913,180.3156,178.4256,179.9973,871939
2017-07-17,180.1266,181.4396,179.2931,179.8381,1297250
2017-07-18,179.6491,180.0072,177.9083,178.4057,1433309
2017-07-19,179.112,179.6889,178.3062,179.2015,932294
2017-07-20,180.1564,181.8077,180.1564,180.5941,1109796
2017-07-21,180.3355,181.8972,180.1031,181.2208,786786
2017-07-24,181.181,181.9072,180.6538,181.2009,805743
2017-07-25,180.813,181.3203,178.5549,179.1816,1440728
2017-07-26,174.2477,175.8094,169.284,174.1383,3944043
2017-07-27,174.9241,176.0681,173.4121,174.3472,2479063
2017-07-28,174.377,175.5697,172.6195,175.0435,1326913
2017-07-31,175.6801,176.1178,174.377,174.6058,1276212
2017-08-01,175.0037,175.9786,174.2328,175.4016,752054
2017-08-02,174.944,175.6602,174.5859,175.511,1370096
2017-08-03,175.0733,175.2926,173.9592,174.8147,933121
2017-08-04,175.0037,175.9786,174.2328,175.4016,752054
2017-08-07,175.4215,176.4958,174.7585,176.4162,792038
2017-08-08,175.5807,175.9189,173.0142,173.0739,1648660
2017-08-09,169.3636,173.0938,169.3636,172.3478,4284555
2017-08-10,171.0248,172.4771,170.408,170.8358,2266656
