date,open,high,low,close,volume
2017-01-03,116.8468,116.8468,114.1789,114.7865,1955430
2017-01-04,114.758,115.584,114.1409,114.1694,1780156
2017-01-05,113.2579,113.4573,111.3496,112.3465,2696487
2017-01-06,111.8718,112.7073,111.6724,112.2895,1532295
2017-01-09,112.1756,112.2705,111.3686,111.3875,1526223
2017-01-10,110.7894,111.7673,110.5615,111.2546,1758807
2017-01-11,111.2926,112.1756,111.2641,111.7009,1433626
2017-01-12,111.3211,111.3401,110.0204,110.8464,1679167
2017-01-13,111.3401,111.8907,110.7989,111.1312,1543846
2017-01-17,111.0932,112.1851,110.7229,111.5205,1607915
2017-01-18,112.1091,112.5933,111.2166,112.5459,1486815
2017-01-19,112.8971,112.9351,111.4825,112.0237,994748
2017-01-20,112.5743,112.8782,111.6819,112.0521,1222280
2017-01-23,112.1851,112.2791,111.492,112.0711,1593340
2017-01-24,112.5553,113.125,110.2862,110.9318,3038258
2017-01-25,111.397,112.6503,111.397,111.7198,1536121
2017-01-26,111.7009,112.4414,111.7009,112.1566,1360824
2017-01-27,112.4129,112.4414,111.492,112.1281,961452
2017-01-30,112.0521,112.0521,111.2356,111.5679,1200979
2017-01-31,111.5964,111.8528,111.0932,111.8243,1478048
2017-02-01,111.7388,112.261,110.3716,110.647,1402592
2017-02-02,110.6565,111.8528,110.6565,111.6819,1081967
2017-02-03,112.4319,112.6503,111.6534,111.8243,1355201
2017-02-06,110.571,111.9762,110.571,111.7198,987950
2017-02-07,112.1281,112.242,111.4635,111.8053,1161710
2017-02-08,111.5489,112.0142,111.4255,111.8528,905125
2017-02-09,111.9287,113.144,111.8945,112.7737,1099914
2017-02-10,112.9826,114.1314,112.9731,113.6757,1203168
2017-02-13,111.435,114.027,111.3591,113.6567,1519190
2017-02-14,113.6567,114.2358,113.4478,114.1599,1397061
2017-02-15,114.5492,114.872,114.0365,114.8625,1416088
2017-02-16,114.9289,115.6315,114.6251,115.6315,1502915
2017-02-17,115.565,115.8309,114.9574,115.7834,1334680
2017-02-21,115.6505,116.2581,114.9384,115.4036,1245572
2017-02-22,115.2802,116.2297,115.1378,115.7359,1184887
2017-02-23,116.2202,116.8563,115.5556,116.1727,1134121
2017-02-24,116.1727,116.4765,115.584,116.0872,1698631
2017-02-27,115.698,116.5525,115.4606,115.8689,914370
2017-02-28,115.8784,116.7423,115.6315,116.0588,1966038
2017-03-01,117.5494,118.8311,116.7613,118.6697,2619558
2017-03-02,119.1444,119.1444,118.176,118.2235,1531378
2017-03-03,118.4798,118.8311,117.7203,117.8532,1519150
2017-03-06,117.7582,117.9956,116.1062,116.1347,2417939
2017-03-07,116.429,116.429,115.5271,115.9638,1773937
2017-03-08,116.804,117.1954,115.5629,115.7443,2193455
2017-03-09,116.1357,116.7562,115.8589,116.3744,1707311
2017-03-10,116.7753,117.2909,116.2312,117.2622,1281900
2017-03-13,116.9854,117.3481,116.2885,116.613,1069149
2017-03-14,116.2503,117.2813,116.2312,117.0617,903619
2017-03-15,117.4245,117.5677,116.7658,117.415,1117836
2017-03-16,117.4054,117.9209,116.7372,117.1763,1166606
2017-03-17,117.3768,117.5868,116.6321,117.5582,3103637
2017-03-20,117.4054,117.4054,116.4794,116.8135,1485856
2017-03-21,117.224,117.2813,115.897,116.1739,1240214
2017-03-22,116.3935,116.6417,115.6775,116.4985,996369
2017-03-23,116.1262,116.7372,115.6393,115.792,1054211
2017-03-24,115.8779,115.9066,114.7896,115.2956,1334242
2017-03-27,114.7228,115.6202,114.5701,115.5247,1087729
2017-03-28,115.2861,116.3648,114.9806,116.2789,1187291
2017-03-29,116.0021,116.0689,115.0378,115.0665,1133677
2017-03-30,114.9042,115.7634,114.9042,115.5438,1093148
2017-03-31,115.4483,115.5104,114.7228,115.076,1114709
2017-04-03,115.1047,115.329,114.3696,114.9233,1135511
2017-04-04,115.1715,115.3147,114.7514,115.1429,901835
2017-04-05,115.4961,116.0307,115.0856,115.4293,1284644
2017-04-06,115.5152,115.582,114.7419,115.076,1226491
2017-04-07,114.5605,115.3051,114.3696,114.7037,1063596
2017-04-10,114.5891,115.9161,114.5701,115.6202,997568
2017-04-11,115.2001,115.8684,114.9233,115.6966,1262552
2017-04-12,115.582,116.1166,115.0569,115.9543,1352865
2017-04-13,115.6584,115.9352,114.9042,115.0665,1062320
2017-04-17,115.7252,116.4126,115.267,116.3935,874413
2017-04-18,115.9257,116.1166,115.0474,115.2765,1086510
2017-04-19,115.7634,115.9066,114.5128,114.9424,1051487
2017-04-20,112.7084,113.9972,112.0212,113.4913,3559875
2017-04-21,114.1309,114.1309,113.1476,113.7013,2100677
2017-04-24,115.477,115.8779,114.3314,115.1047,1957578
2017-04-25,115.6393,116.1834,115.4388,115.8207,1763313
2017-04-26,115.9543,117.415,115.897,116.4794,2433209
2017-04-27,116.5749,116.8899,116.1071,116.6226,1658222
2017-04-28,116.6321,116.8135,116.0021,116.1453,1290210
2017-05-01,116.2694,116.2694,115.6584,115.687,1660802
2017-05-02,115.5152,115.8732,114.6656,114.9042,1162987
2017-05-03,114.656,115.6202,114.656,115.3338,841464
2017-05-04,115.9161,116.1357,114.8183,115.3338,1035978
2017-05-05,115.5343,115.8207,115.1333,115.8016,1286323
2017-05-08,115.8016,116.0402,115.2956,115.5247,1390461
2017-05-09,115.4483,115.6679,114.3696,114.5128,1467555
2017-05-10,114.2073,115.4961,114.2073,115.2192,1448825
2017-05-11,114.7133,115.2669,114.2646,115.076,1370787
2017-05-12,114.7037,115.4961,114.5806,115.1238,1127477
2017-05-15,115.1047,115.8589,114.7133,114.7992,1174617
2017-05-16,114.8183,115.2001,114.3314,114.4937,1168694
2017-05-17,113.9686,115.1047,113.6688,114.7992,1399381
2017-05-18,114.6846,116.3457,114.3218,115.4006,2123477
2017-05-19,115.372,115.7061,114.5605,115.3147,1573690
2017-05-22,115.3529,116.594,115.2097,116.1357,1272565
2017-05-23,116.0498,116.5844,115.897,116.1453,1128622
2017-05-24,116.2503,116.6283,116.0593,116.5176,1116659
2017-05-25,117.0331,118.3219,116.8326,118.1119,1849307
2017-05-26,117.9878,118.3028,117.7491,118.0546,925556
2017-05-30,117.7682,118.5988,117.5773,118.1214,1139156
2017-05-31,118.2551,119.2957,117.9353,119.1907,2124394
2017-06-01,119.3052,119.7635,118.8088,119.7157,1429154
2017-06-02,119.6489,120.0976,119.3243,119.4771,1210828
2017-06-05,119.3339,120.0403,119.2623,119.6966,1052393
2017-06-06,119.5152,119.7635,118.3983,118.4078,1277672
2017-06-07,118.9456,119.176,118.3406,118.5903,1138891
2017-06-08,118.5134,119.5697,118.2926,118.8591,1826505
2017-06-09,118.936,120.2707,118.8591,120.2515,1038530
2017-06-12,120.2323,120.7988,119.8194,120.674,1534069
2017-06-13,120.578,121.0869,120.3379,121.0869,1297601
2017-06-14,121.375,123.0746,121.0485,122.873,1573501
2017-06-15,122.8538,124.1453,122.7481,123.8908,1820623
2017-06-16,124.3325,124.4478,123.1514,124.2941,2471303
2017-06-19,124.2557,124.3421,122.9306,123.1706,1405926
2017-06-20,123.2475,124.0184,123.1994,123.6316,1163701
2017-06-21,123.6316,123.9676,123.2859,123.4683,1115255
2017-06-22,123.0746,123.5931,123.0554,123.209,1117052
2017-06-23,122.9114,123.5259,122.1144,122.5849,1899307
2017-06-26,122.5273,123.0746,122.2296,122.8634,1004866
2017-06-27,123.2763,123.2763,122.268,122.316,1027598
2017-06-28,122.6521,123.3243,122.3256,122.7001,1324710
2017-06-29,123.1226,123.1322,120.9525,121.3654,1909062
2017-06-30,121.4902,121.8743,120.7988,121.4998,1186460
2017-07-03,121.9319,123.1418,121.6534,122.2776,932749
2017-07-05,122.4024,122.4024,121.1157,121.3462,1402623
2017-07-06,121.4806,121.9991,120.9909,121.1637,1014593
2017-07-07,121.7495,122.22,121.0005,122.1144,987142
2017-07-10,121.5382,121.9319,120.77,120.77,1518082
2017-07-11,120.9525,121.0101,119.4065,120.0786,937740
2017-07-12,120.6164,120.8949,120.0114,120.2707,1034520
2017-07-13,120.2707,120.6788,119.8048,120.4435,886707
2017-07-14,120.2707,120.9621,119.6657,120.722,1382377
2017-07-17,121.0293,121.2597,120.4627,121.2117,937396
2017-07-18,121.0389,121.0773,120.0979,120.5396,1407679
2017-07-19,120.9621,121.5478,119.6369,121.4326,1324127
2017-07-20,118.379,120.4243,118.0045,119.6177,2219351
2017-07-21,119.4353,120.2227,118.6191,120.1747,1373057
2017-07-24,120.2707,121.5478,120.2227,121.3558,1392792
2017-07-25,122.7097,123.113,122.1336,122.3928,1578172
2017-07-26,122.2488,122.4985,120.7028,120.9909,1288911
2017-07-27,120.3283,121.2165,119.8962,120.8757,1694031
2017-07-28,121.0965,122.4024,120.7268,122.1528,1277677
2017-07-31,122.4409,123.1706,122.2776,122.9978,1077258
2017-08-01,123.3915,124.1117,123.0458,124.0733,1518986
2017-08-02,123.8908,124.7454,123.4491,123.6123,1402260
