date,open,high,low,close,volume
2017-01-03,74.195,74.5327,73.0662,73.2302,1253422
2017-01-04,73.1434,74.4459,72.7574,74.0889,1415042
2017-01-05,73.6451,74.4169,72.304,72.9697,1514973
2017-01-06,73.1434,73.3556,72.439,72.5162,1464486
2017-01-09,72.5645,72.9697,72.0531,72.7188,877730
2017-01-10,72.5548,74.1371,72.4776,73.6644,962614
2017-01-11,73.8959,74.2336,72.9986,73.8091,715499
2017-01-12,73.8091,73.9731,72.6706,73.2784,608002
2017-01-13,74.4169,74.6485,73.2207,73.3749,1299121
2017-01-17,73.3556,75.4975,73.3556,74.6388,1062618
2017-01-18,74.6388,75.0055,72.989,73.7223,1154797
2017-01-19,73.51,74.0214,71.6479,72.1592,1465518
2017-01-20,72.3619,72.6995,71.6479,72.5741,1265747
2017-01-23,72.2171,72.4969,71.4443,72.0821,1090569
2017-01-24,72.3619,72.632,71.5032,72.5162,1650446
2017-01-25,72.9986,73.4425,71.7637,72.5838,1171952
2017-01-26,72.6224,73.1434,71.8409,72.3522,899795
2017-01-27,72.5355,72.5452,71.4935,71.7444,853471
2017-01-30,71.59,71.9229,70.6927,71.8601,1715535
2017-01-31,71.5225,71.7733,70.1524,71.0786,2112525
2017-02-01,70.6927,71.4549,69.0911,69.8244,4076846
2017-02-02,72.4776,73.3267,70.4515,71.1172,6506603
2017-02-03,70.876,71.1558,69.4674,70.7024,2283663
2017-02-06,70.5962,71.3295,69.9884,70.7024,1459360
2017-02-07,70.7699,71.3102,70.2489,70.6059,1254365
2017-02-08,70.5576,71.069,69.477,70.4612,2955495
2017-02-09,70.4322,71.5418,70.0077,70.9532,3385279
2017-02-10,70.9822,71.9952,70.741,71.6382,1593616
2017-02-13,71.8601,71.9277,70.4901,70.5866,1050285
2017-02-14,70.5673,71.1028,70.5383,70.8181,894984
2017-02-15,70.7795,71.0757,70.0945,70.1717,1892373
2017-02-16,70.3164,70.4901,68.0105,68.3578,3179855
2017-02-17,68.3096,69.7472,68.0105,69.6411,3440232
2017-02-21,70.3357,70.4322,69.0911,70.355,2529768
2017-02-22,70.4322,70.8471,69.6893,69.7568,1561999
2017-02-23,70.1828,70.5313,68.6436,68.7307,1637397
2017-02-24,69.0889,69.5971,68.4597,68.8953,2849376
2017-02-27,68.9534,69.9505,68.2758,69.0405,2696996
2017-02-28,69.0792,69.4471,67.8789,68.6436,2128432
2017-03-01,69.3793,69.9736,68.7598,69.6213,2517611
2017-03-02,69.7085,70.662,69.4858,70.2699,2209373
2017-03-03,70.086,70.207,69.3503,70.0763,1502010
2017-03-06,70.0763,70.0763,68.8082,69.4858,1522315
2017-03-07,69.2922,69.5729,68.9824,69.147,1067721
2017-03-08,69.2632,70.7443,69.118,70.3764,1448153
2017-03-09,70.2699,70.4539,69.6504,69.6697,1597799
2017-03-10,69.7181,70.3086,69.5923,70.1925,1066792
2017-03-13,70.1925,70.4345,67.9757,69.4084,2330170
2017-03-14,68.5468,69.9505,68.5468,69.4471,1312211
2017-03-15,69.873,70.207,69.1373,69.9505,1509378
2017-03-16,69.9408,70.7927,69.5342,69.6117,1822224
2017-03-17,70.1054,70.5313,68.9147,69.0889,2148520
2017-03-20,69.0115,69.3261,68.2274,68.6533,1994933
2017-03-21,68.7114,68.8905,65.9041,65.9912,3916847
2017-03-22,65.9234,66.7027,65.5653,66.5817,1700960
2017-03-23,66.9399,67.4142,66.5527,67.0851,1374203
2017-03-24,67.0851,67.5161,66.6979,66.814,1504531
2017-03-27,66.33,66.785,66.0009,66.2332,1724486
2017-03-28,66.1461,66.359,65.5362,65.7976,2083218
2017-03-29,65.846,66.5139,65.604,66.2816,1592763
2017-03-30,66.1945,66.6204,66.0202,66.4559,1074156
2017-03-31,66.3494,67.056,66.3106,66.7656,1159330
2017-04-03,66.7269,67.0367,65.9138,66.0009,2117331
2017-04-04,65.8169,67.0173,65.3813,66.785,2920957
2017-04-05,66.9786,67.7337,66.0202,66.0686,2063252
2017-04-06,66.2816,67.6707,66.0928,67.3077,2452823
2017-04-07,67.298,67.8692,66.998,67.7046,1515657
2017-04-10,67.7627,69.2437,67.7046,68.1596,3230941
2017-04-11,67.9273,69.1368,67.2206,68.2177,1694723
2017-04-12,64.9651,65.2458,62.5063,62.545,9102440
2017-04-13,62.2933,63.2032,61.4801,61.5092,3469869
2017-04-17,61.8189,61.9254,61.0445,61.5189,2322051
2017-04-18,61.4995,62.3417,61.2091,61.6737,2174171
2017-04-19,61.7705,62.3707,61.7221,62.0029,1644418
2017-04-20,62.3998,63.1936,62.3998,62.8354,1997600
2017-04-21,63.1064,63.6001,62.8935,63.5033,2076725
2017-04-24,64.0454,64.8586,63.4259,63.4646,2398284
2017-04-25,63.4065,63.4743,62.545,62.8838,2031448
2017-04-26,63.1839,63.6679,63.0484,63.2129,2446703
2017-04-27,62.1771,62.4288,59.1665,60.183,6486490
2017-04-28,60.241,60.3088,59.4037,59.9313,3230281
2017-05-01,60.1539,60.1539,59.1762,59.4376,1881341
2017-05-02,59.3892,60.6476,59.2633,60.6379,2442370
2017-05-03,60.4831,61.122,60.0958,60.5992,2336423
2017-05-04,60.0184,60.1926,59.1084,59.5731,2679779
2017-05-05,59.9216,59.999,59.3311,59.97,1361748
2017-05-08,60.3475,60.3572,59.4376,59.6893,1477111
2017-05-09,59.8538,59.97,59.3989,59.8635,1273056
2017-05-10,59.9506,59.9506,58.9245,59.002,1509620
2017-05-11,58.7696,58.9729,57.8887,58.334,1690860
2017-05-12,58.1404,58.2662,57.5499,58.1501,1654077
2017-05-15,58.3534,58.7019,57.3176,57.3563,2031214
2017-05-16,57.6177,57.6951,56.5819,56.8142,1617882
