date,open,high,low,close,volume
2017-01-03,49.0409,50.7561,48.9817,50.7068,2107009
2017-01-04,50.7659,51.6235,50.7659,51.5742,1432311
2017-01-05,51.4559,52.2248,51.4264,51.7319,1213252
2017-01-06,51.8009,52.491,51.5644,52.215,1141419
2017-01-09,52.422,53.3781,52.422,52.6388,1814001
2017-01-10,52.5501,52.9937,52.2248,52.3234,1096789
2017-01-11,52.3037,52.7078,51.8108,52.0375,1473274
2017-01-12,52.008,52.5698,51.5939,52.491,968627
2017-01-13,52.5994,53.4471,52.5353,53.2204,1590003
2017-01-17,52.9444,53.2106,52.56,52.836,1016205
2017-01-18,52.905,53.5851,52.6881,53.0233,1309123
2017-01-19,52.9346,53.1514,52.215,52.6191,1154845
2017-01-20,52.7374,52.7374,52.1375,52.6684,1290417
2017-01-23,52.6487,52.7078,51.8108,52.3037,1792239
2017-01-24,52.3924,52.5304,51.8995,52.4318,2091812
2017-01-25,52.4023,53.5161,50.4998,50.9729,4697730
2017-01-26,50.8349,51.2095,50.4012,50.5195,2629710
2017-01-27,50.6082,50.8546,50.3815,50.5491,1045900
2017-01-30,50.5885,50.5885,49.8196,50.5392,1408162
2017-01-31,50.5195,50.5293,49.9132,49.9576,1787654
2017-02-01,50.3815,50.4505,49.2676,49.6027,2462907
2017-02-02,49.7999,50.7659,49.7999,50.273,1871317
2017-02-03,50.3026,52.2051,50.204,52.1164,2919830
2017-02-06,51.9587,52.2889,51.5644,52.077,1450170
2017-02-07,52.0375,52.7078,51.5249,52.6881,1663362
2017-02-08,52.7078,52.9641,52.284,52.8261,1410161
2017-02-09,52.9346,53.1021,52.491,52.9247,1286039
2017-02-10,52.7966,53.0627,52.56,52.8261,929047
2017-02-13,52.9838,53.4669,52.6783,53.2599,903401
2017-02-14,53.1416,53.4669,52.9247,53.2401,840197
2017-02-15,53.2007,53.6196,53.2007,53.4866,552384
2017-02-16,53.4471,53.7232,52.8656,53.181,1115235
2017-02-17,53.1711,53.6936,53.0036,53.6936,892499
2017-02-21,53.7922,54.4723,53.526,54.2653,1149931
2017-02-22,53.9302,54.4329,53.9006,54.2456,845639
2017-02-23,54.3047,54.6596,53.8414,54.3442,706665
2017-02-24,54.078,54.3935,53.664,54.3935,981261
2017-02-27,54.1273,54.561,54.1273,54.2062,850821
2017-02-28,54.1963,54.2062,53.6344,53.7034,753165
2017-03-01,54.0386,54.6892,53.7626,54.492,1138560
2017-03-02,54.3146,54.5315,53.9794,54.0879,638328
2017-03-03,54.0287,54.3343,53.8316,54.1667,2114399
2017-03-06,53.7922,53.8119,52.6891,53.2993,1455212
2017-03-07,53.3683,53.7922,53.2993,53.4866,769561
2017-03-08,53.5654,53.6246,52.9148,53.2401,925495
2017-03-09,53.25,53.4964,52.9346,53.388,755207
2017-03-10,53.6443,54.3146,53.6443,54.1667,1773733
2017-03-13,54.0583,54.1963,53.7922,53.9597,754158
2017-03-14,53.7823,53.8612,52.9198,53.3486,704887
2017-03-15,53.5457,53.6137,52.9937,53.25,826998
2017-03-16,53.3683,53.5063,53.0923,53.1514,1525992
2017-03-17,53.3289,53.3289,52.6388,52.6388,1420881
2017-03-20,52.7078,52.7867,52.0967,52.4811,1163433
2017-03-21,52.6589,52.6589,51.217,51.2565,1203080
2017-03-22,51.3849,51.9083,51.1478,51.6021,962507
2017-03-23,51.4639,51.8787,51.2022,51.6318,779949
2017-03-24,51.7206,52.007,50.9799,51.1676,1096496
2017-03-27,50.5652,51.2268,50.3281,51.1775,1228507
2017-03-28,51.1676,52.333,51.0491,52.0762,1929159
2017-03-29,52.0762,52.4317,51.9182,52.3527,1507741
2017-03-30,52.0959,52.728,52.0268,52.5996,1330845
2017-03-31,52.6687,53.2761,52.6194,52.7971,1598315
2017-04-03,52.8169,53.1427,51.8194,52.1749,1054958
2017-04-04,52.0564,52.3626,51.6614,51.9972,1093385
2017-04-05,52.1552,52.7774,51.8688,52.0663,1202008
2017-04-06,52.1157,52.5206,51.9379,52.2046,764503
2017-04-07,52.1354,52.6589,51.9873,52.0268,890035
2017-04-10,52.0268,52.3823,51.9972,52.1552,826235
2017-04-11,51.9873,51.9873,51.2565,51.6021,937631
2017-04-12,51.296,51.8392,51.2367,51.612,1024435
2017-04-13,51.6416,51.9972,51.3256,51.4737,1445840
2017-04-17,51.6811,52.1305,51.5528,52.1058,892705
2017-04-18,51.9182,52.3725,51.8885,52.333,930763
2017-04-19,52.5008,53.2514,52.2984,52.8564,1682678
2017-04-20,53.0835,53.0835,52.4811,52.9749,811517
2017-04-21,53.0539,53.1823,52.6095,52.8268,1439300
2017-04-24,53.3304,53.5872,52.6885,53.1428,1674066
2017-04-25,53.2416,53.7946,53.0193,53.6366,1734180
2017-04-26,55.1575,57.745,55.1575,57.4685,5344549
2017-04-27,57.4981,58.1104,57.0932,57.1623,3338545
2017-04-28,57.1525,57.1525,56.155,56.5994,1618593
2017-05-01,56.7377,56.7377,56.3426,56.3821,876068
2017-05-02,56.5895,57.0932,56.1846,56.7377,1418926
2017-05-03,56.1253,56.8759,55.6069,56.787,2062369
2017-05-04,56.9747,57.6166,56.787,56.8265,1423795
2017-05-05,56.9154,57.1426,56.4315,56.7475,969373
2017-05-08,57.745,58.1124,57.2808,57.5771,1656876
2017-05-09,57.6364,57.7598,57.1327,57.2117,816773
2017-05-10,57.0142,57.3993,56.8414,57.3401,943236
2017-05-11,57.0932,57.2611,56.6093,57.2315,666946
2017-05-12,57.1228,57.2314,56.7673,57.0438,736439
2017-05-15,57.0636,58.2388,57.0636,57.9327,1079242
2017-05-16,57.903,58.2191,57.6462,57.7944,1190932
2017-05-17,57.3006,57.7944,57.0339,57.2315,1637942
2017-05-18,57.1426,57.587,56.866,57.0537,648168
2017-05-19,57.3598,58.1499,57.1722,57.7746,771317
2017-05-22,57.9327,58.7227,57.6067,58.6931,1375843
2017-05-23,58.7524,58.782,58.0018,58.0413,1471586
2017-05-24,58.0215,58.6289,57.9129,58.6141,831230
2017-05-25,58.9795,59.4626,58.703,58.9005,2169613
2017-05-26,58.94,59.2758,58.8017,58.8412,803227
2017-05-30,58.6042,58.9301,58.3079,58.6141,871927
2017-05-31,58.8807,58.9598,58.4265,58.8116,824491
2017-06-01,58.9104,59.1178,58.3079,58.7524,1999849
2017-06-02,58.7425,58.8906,58.0018,58.4956,1867230
2017-06-05,58.6141,58.7721,58.4166,58.5746,956515
2017-06-06,58.5746,58.8807,58.3474,58.6141,916875
2017-06-07,58.6734,59.1277,58.545,58.6339,634396
2017-06-08,58.6734,58.9795,58.3277,58.6141,1204206
2017-06-09,58.7227,59.8881,58.5351,58.7326,1568424
2017-06-12,58.5153,58.6832,57.7746,58.5746,1048305
2017-06-13,58.8116,59.4239,58.5647,58.8906,787396
2017-06-14,59.0486,59.1474,58.1203,58.5055,853511
2017-06-15,58.1697,58.8511,57.6265,58.6437,890558
2017-06-16,58.4067,58.4857,57.9425,58.2191,1174912
2017-06-19,58.4857,58.861,58.2289,58.3771,806009
2017-06-20,58.3375,58.753,58.1001,58.1594,758272
2017-06-21,58.1001,58.5205,57.833,58.1594,888876
2017-06-22,58.2782,58.8124,57.6648,58.5848,967335
2017-06-23,58.5848,58.753,58.0209,58.1397,1766833
2017-06-26,58.3672,58.7827,57.9715,58.1001,771039
2017-06-27,57.9913,58.1496,57.6351,57.8033,789757
2017-06-28,57.9616,58.1891,57.5263,58.1298,744071
2017-06-29,58.1397,58.1397,56.9229,57.3977,788412
2017-06-30,57.6648,58.1792,57.3779,57.6252,1324295
2017-07-03,57.9814,58.11,57.368,57.368,522856
2017-07-05,57.467,57.922,57.3581,57.7637,828528
2017-07-06,57.3383,57.4373,56.913,57.002,657829
2017-07-07,57.2295,58.7233,57.1603,58.0308,1381213
2017-07-10,57.833,58.4068,57.5956,58.2584,757826
2017-07-11,58.2979,58.9509,57.7934,58.7629,1287665
2017-07-12,59.1883,59.861,59.0795,59.5345,926466
2017-07-13,59.6533,60.1776,59.4554,60.0094,730920
2017-07-14,60.2369,60.7612,59.9995,60.0193,675130
2017-07-17,59.9797,60.2765,59.1883,59.8511,844661
2017-07-18,59.861,60.9195,59.3763,60.8701,1144488
2017-07-19,60.9393,61.2361,60.4447,61.0382,1035997
2017-07-20,61.0086,61.2163,60.6722,60.7513,1214033
2017-07-21,60.692,60.9789,60.4744,60.9096,893619
2017-07-24,60.9393,61.9484,60.9393,61.7307,1270449
2017-07-25,61.9484,63.0564,61.429,62.2254,1717564
2017-07-26,63.5411,64.2435,62.5221,63.3334,2214116
2017-07-27,63.4422,63.5411,62.3243,62.4133,1971927
2017-07-28,62.354,63.1553,62.1274,63.1256,855094
2017-07-31,63.2047,63.3531,62.7398,62.7794,754062
2017-08-01,63.0959,63.4521,62.7101,63.3136,829007
2017-08-02,63.3037,63.363,62.6804,63.0069,1173905
2017-08-03,62.8981,63.2344,62.72,63.0366,838896
2017-08-04,63.4323,63.739,63.1355,63.4224,801354
2017-08-07,63.3235,63.5609,63.1553,63.4916,784883
2017-08-08,63.4125,63.6499,63.1454,63.3432,671695
2017-08-09,63.3235,63.6598,63.1108,63.5609,940656
2017-08-10,63.3432,63.5807,62.631,62.7497,1284018
2017-08-11,62.6013,62.8486,62.1314,62.3836,945197
2017-08-14,62.8684,63.4224,62.5419,63.1553,638997
2017-08-15,63.1058,63.4817,63.1058,63.4521,579646
