date,open,high,low,close,volume
2017-01-03,69.372,70.1078,68.9191,69.4191,4847913
2017-01-04,69.4852,69.7871,69.111,69.3342,4507084
2017-01-05,69.1455,69.5323,68.7681,68.7964,4301121
2017-01-06,68.7587,70.0795,68.3719,69.9569,5244559
2017-01-09,70.2965,70.9664,69.971,70.1361,4782977
2017-01-10,70.4003,70.5984,69.872,70.3814,3712482
2017-01-11,70.4192,70.9475,70.2494,70.9475,4361427
2017-01-12,70.7588,70.8909,69.9003,70.6173,4408340
2017-01-13,70.5984,71.0419,70.5041,70.7588,3372528
2017-01-17,70.4475,70.7117,70.089,70.2777,4413082
2017-01-18,70.5041,70.6079,70.0512,70.1739,5531370
2017-01-19,70.0229,70.5796,69.6927,69.7022,4468534
2017-01-20,69.9663,70.655,69.9663,70.523,6661449
2017-01-23,70.5701,71.457,70.4192,71.4475,6895107
2017-01-24,71.8815,72.9476,71.6174,72.7212,8561560
2017-01-25,73.325,74.2685,72.825,74.1364,8119910
2017-01-26,73.608,74.9761,73.5986,74.7779,8991521
2017-01-27,75.0627,75.433,73.8095,74.0848,9737561
2017-01-30,73.6006,74.1275,73.4392,73.9614,8355246
2017-01-31,73.4867,73.6196,71.4454,71.7207,11129400
2017-02-01,72.2144,72.9835,72.0245,72.4138,7815792
2017-02-02,71.7872,72.2524,71.5308,72.053,4434547
2017-02-03,72.4328,72.6844,72.1859,72.6322,4546974
2017-02-06,72.5182,72.6084,72.015,72.3663,4632971
2017-02-07,72.5087,72.8648,72.1954,72.3283,4500917
2017-02-08,72.6227,72.6796,72.0815,72.11,5864697
2017-02-09,72.4423,72.4898,71.4644,71.4928,6950510
2017-02-10,71.7967,71.8346,70.7523,71.3599,6289845
2017-02-13,71.7112,71.9106,71.5783,71.7017,5466207
2017-02-14,71.6447,71.8156,71.4928,71.8156,4000042
2017-02-15,71.8251,71.9771,71.1415,71.8441,5731485
2017-02-16,71.9676,72.4613,71.7017,72.3948,4882048
2017-02-17,72.2619,72.5752,71.8346,72.5752,3955507
2017-02-21,72.9075,73.2303,72.7176,73.1828,5104736
2017-02-22,73.2968,73.3727,72.917,73.3253,4057056
2017-02-23,73.3253,73.4677,72.8126,73.2398,4921742
2017-02-24,73.0499,73.3348,72.5372,73.3348,3516648
2017-02-27,73.4012,73.4297,72.879,73.2873,3055990
2017-02-28,73.1639,73.2683,72.5942,72.7461,4770485
2017-03-01,73.2303,74.2272,72.8031,74.1987,5332504
2017-03-02,74.3981,74.7779,74.0041,74.1323,7605753
2017-03-03,74.2462,74.2462,73.5436,73.9234,3994816
2017-03-06,73.762,74.4883,73.4867,74.3507,4066406
2017-03-07,74.3886,76.3065,74.2557,75.1197,10556762
2017-03-08,75.4235,75.8982,75.1577,75.3286,5386547
2017-03-09,75.471,75.7511,74.8159,75.1292,4255437
2017-03-10,75.6894,76.5534,75.2906,76.2685,5118433
2017-03-13,76.259,76.9901,76.1261,76.9236,6082583
2017-03-14,76.8572,77.0993,76.5439,76.9901,4271542
2017-03-15,77.3034,77.8066,76.8667,77.6832,3668808
2017-03-16,77.8446,78.025,77.2654,77.5787,4195617
2017-03-17,78.082,78.2718,77.3224,78.044,9232193
2017-03-20,77.8446,78.1104,77.4173,77.4648,4383020
2017-03-21,77.7876,77.9336,75.6419,75.7178,6221003
2017-03-22,76.0407,76.7053,75.5564,76.6103,4307268
2017-03-23,76.6103,76.9426,76.1736,76.5913,3335343
2017-03-24,77.7781,77.9016,76.3635,76.5154,4100261
2017-03-27,75.9077,76.7337,75.6799,76.4584,3260892
