date,open,high,low,close,volume
2017-01-03,48.6299,49.2678,48.6,49.0884,1484454
2017-01-04,49.2977,50.3043,49.1282,50.1349,2467105
2017-01-05,49.8558,50.7628,49.6066,50.0651,1522793
2017-01-06,50.0751,50.1898,49.6465,49.6964,823753
2017-01-09,49.5867,49.8259,49.3475,49.3774,1713648
2017-01-10,49.6266,50.0153,49.2379,49.7761,1802725
2017-01-11,49.8857,50.105,49.507,49.816,1471831
2017-01-12,49.7362,49.801,48.7993,49.6066,1190029
2017-01-13,49.6764,49.806,49.0983,49.3276,1074349
2017-01-17,49.0884,49.1183,48.4505,48.59,1338055
2017-01-18,48.59,49.1178,48.4006,48.9289,1489040
2017-01-19,49.198,49.4272,48.8591,49.2578,1182692
2017-01-20,49.5468,49.6116,48.9189,49.188,1287071
2017-01-23,49.2379,49.816,48.2054,48.7196,1696315
2017-01-24,48.7694,49.5867,48.6398,49.2179,3147646
2017-01-25,45.3407,47.0451,43.5167,46.5766,16894753
2017-01-26,46.5667,49.2279,46.4969,48.3508,5446897
2017-01-27,48.3906,49.0186,47.5036,47.6132,3445201
2017-01-30,47.3441,47.663,46.6564,47.2943,2115237
2017-01-31,47.1148,47.2943,46.477,47.2145,1754750
2017-02-01,47.5135,47.7627,46.9055,46.9354,1221834
2017-02-02,46.6065,47.4039,46.4171,47.384,1904279
2017-02-03,47.5335,48.1913,47.5335,48.1514,1601483
2017-02-06,48.0019,48.4106,47.9222,48.1215,722537
2017-02-07,48.271,48.6394,47.8624,48.0518,1159597
2017-02-08,48.0019,48.0219,47.4537,47.8524,741124
2017-02-09,48.0318,48.6398,47.992,48.5003,1127685
2017-02-10,48.7395,49.0983,48.4206,48.7395,1276130
2017-02-13,48.9986,49.2279,48.8093,49.0285,1581122
2017-02-14,48.8192,49.0983,48.6,49.0385,942801
2017-02-15,49.0684,49.203,48.8691,48.9986,1039849
2017-02-16,48.9986,49.0485,48.291,48.8491,1839732
2017-02-17,48.5103,48.5202,47.5833,48.1913,1828611
2017-02-21,48.3408,48.4804,47.8724,48.0518,1905531
2017-02-22,47.8026,48.3508,47.673,48.2511,1145100
2017-02-23,48.3607,48.4355,47.0251,47.055,1980669
2017-02-24,46.6165,47.2943,46.5776,47.0152,3689584
2017-02-27,47.384,47.8425,47.065,47.7029,3003534
2017-02-28,47.7428,48.0019,47.0949,47.1448,2579492
2017-03-01,47.8026,49.5269,47.683,49.4173,3289155
2017-03-02,49.2877,49.3575,48.6498,48.6697,1794046
2017-03-03,48.7295,48.9687,47.8524,47.9023,1489430
2017-03-06,47.2245,48.1215,47.2245,47.9122,1393460
2017-03-07,47.6331,48.0717,47.5086,47.6929,1495409
2017-03-08,47.7328,47.9372,47.4636,47.8824,1404204
2017-03-09,47.9522,48.1815,47.2044,47.2941,1612352
2017-03-10,47.5932,47.6231,47.0348,47.4935,1234657
2017-03-13,47.4536,47.7528,47.2442,47.2442,1104861
2017-03-14,46.985,47.1146,46.6559,47.0648,1112191
2017-03-15,47.2542,47.8325,47.1545,47.7029,977184
2017-03-16,47.8625,47.9422,47.2143,47.5135,964776
2017-03-17,47.6431,47.9323,47.2642,47.6032,2082490
2017-03-20,47.6431,48.1018,47.4237,47.4935,1258848
2017-03-21,47.7727,47.7927,46.3867,46.646,1988210
2017-03-22,46.5961,47.1844,46.3269,46.985,1081599
2017-03-23,46.9152,47.2642,46.7207,46.7756,1012313
2017-03-24,46.8354,46.8903,45.8283,46.0178,1573062
2017-03-27,45.4793,46.4017,45.0605,46.2272,1168589
2017-03-28,46.1574,47.2741,46.0377,46.8554,948311
2017-03-29,46.6958,47.1445,46.5562,46.9551,909668
2017-03-30,46.975,47.4138,46.8254,47.1844,939910
2017-03-31,47.0847,47.5683,47.0747,47.4536,2165491
2017-04-03,47.4237,47.5234,46.4764,46.7856,1547969
2017-04-04,46.6559,47.1545,46.5961,47.0648,999166
2017-04-05,47.3041,47.7129,46.7756,46.8055,1383078
2017-04-06,46.8554,47.3639,46.5861,47.2841,638266
2017-04-07,47.4038,47.8625,47.0576,47.5334,1088107
2017-04-10,47.5434,48.2713,47.4337,48.022,1461302
2017-04-11,47.7927,47.8724,47.2243,47.8625,1165115
2017-04-12,47.7328,47.7328,47.1944,47.324,1492415
2017-04-13,47.0548,47.4835,46.3967,46.4066,1661088
2017-04-17,46.7058,46.8753,46.3678,46.7158,1299450
2017-04-18,46.4964,47.314,46.3867,47.2044,2613660
2017-04-19,45.8682,46.7357,45.4993,45.8782,2938847
2017-04-20,45.8482,46.1424,45.23,45.7784,3776420
2017-04-21,46.0277,46.8753,46.0277,46.5263,2681627
2017-04-24,47.2243,47.8325,46.641,46.8155,2289462
2017-04-25,46.965,47.2343,46.8254,46.8952,1748066
2017-04-26,46.8554,47.2741,46.8554,47.0149,1631193
2017-04-27,47.0149,47.2044,46.7457,46.9451,955453
2017-04-28,47.0049,47.0348,46.4764,46.5263,1710211
2017-05-01,46.5762,46.6061,45.9579,45.9978,1724484
2017-05-02,45.9679,46.0776,45.5391,45.6189,2460814
2017-05-03,45.5591,46.1474,45.4693,46.0975,1290296
2017-05-04,46.1574,46.3269,45.7984,46.1175,768868
2017-05-05,46.1972,46.4964,46.0776,46.4864,750780
2017-05-08,46.4764,46.7955,46.4216,46.5562,960801
2017-05-09,46.5662,47.1944,46.3867,46.9451,1417085
2017-05-10,46.9152,46.975,46.3867,46.7457,853447
2017-05-11,46.5562,48.5305,46.4066,48.4308,4784442
2017-05-12,48.4408,48.4707,47.5733,47.9422,1859072
2017-05-15,47.9522,48.1616,47.7328,47.8325,848428
2017-05-16,47.8824,48.1815,47.6331,48.0419,890828
2017-05-17,47.3739,47.5234,45.9878,46.0576,2342273
2017-05-18,45.9579,46.3967,45.3297,45.9978,1124771
2017-05-19,46.1175,46.7756,46.0676,46.3568,1246907
2017-05-22,46.8454,47.0947,46.5861,46.646,1105982
2017-05-23,46.8155,47.0149,46.4864,46.985,1213075
2017-05-24,47.0448,47.5683,47.0448,47.334,663403
2017-05-25,47.4437,48.209,47.3838,48.032,1049630
2017-05-26,47.9323,48.361,47.8126,48.022,758457
2017-05-30,47.9223,48.2015,47.6929,47.8525,1628043
2017-05-31,48.0021,48.0129,47.319,47.663,1387846
2017-06-01,47.7428,48.1117,47.2941,47.5833,1215354
2017-06-02,47.6032,47.8625,47.531,47.6132,1076964
2017-06-05,47.5234,47.7578,46.8055,46.9052,1051710
2017-06-06,46.5861,47.2243,46.4465,46.8254,970111
2017-06-07,47.015,47.0349,46.6958,46.7257,1167147
2017-06-08,46.6658,46.9651,46.4264,46.8753,1422752
2017-06-09,46.9252,47.2344,46.8454,47.1746,1227826
2017-06-12,47.1945,47.3242,46.7556,47.1247,997943
2017-06-13,47.1846,47.6534,47.0349,47.5636,868017
2017-06-14,47.414,47.6335,47.1048,47.2843,627725
2017-06-15,47.015,47.2644,46.7556,47.1746,978713
2017-06-16,47.1347,47.5437,46.9651,47.3242,2142226
2017-06-19,47.5237,48.227,47.2843,47.9826,1262069
2017-06-20,47.8529,47.9327,46.7456,46.7656,982396
2017-06-21,46.8853,46.9551,45.9526,46.0773,1609879
2017-06-22,46.0773,46.3865,45.2343,45.2593,1666748
2017-06-23,45.2593,45.9975,44.8902,45.6683,5240563
2017-06-26,45.778,46.0174,45.4289,45.4588,1460062
2017-06-27,45.4787,46.4824,45.3989,46.3366,2597618
2017-06-28,46.6259,47.2045,46.5112,46.8653,899406
2017-06-29,46.9651,47.3841,46.1172,46.5262,1161619
2017-06-30,46.7955,47.2843,46.5362,46.9851,1169945
2017-07-03,47.2743,47.8829,46.8853,47.6135,454347
2017-07-05,47.5936,48.0225,47.434,47.9128,1317552
2017-07-06,47.8529,47.9776,47.2943,47.3142,1375963
2017-07-07,47.4639,48.232,47.414,47.9427,1168038
2017-07-10,47.9627,48.661,47.7432,48.4016,930627
2017-07-11,48.4016,48.7408,47.9778,48.6111,1188140
2017-07-12,48.8804,49.1398,48.5612,48.6909,1080513
2017-07-13,48.8405,49.1498,48.7108,49.07,932128
2017-07-14,49.2395,49.6485,49.1797,49.5189,967662
2017-07-17,49.4191,49.7383,49.2296,49.3991,912057
2017-07-18,49.2894,49.6485,49.07,49.4191,1872452
2017-07-19,49.9777,50.0276,48.3617,48.5512,3114123
2017-07-20,48.631,49.6485,48.4614,48.5113,2187481
2017-07-21,47.8829,48.5762,47.7232,48.3717,2538195
2017-07-24,48.3318,48.7657,48.0824,48.6709,1464034
2017-07-25,49.0999,49.4191,48.5163,49.1697,1499214
2017-07-26,49.3094,49.5987,48.5911,48.9901,1125221
2017-07-27,48.9802,48.9802,48.0724,48.3816,978101
2017-07-28,48.3717,49.2096,48.0624,49.1298,953305
2017-07-31,49.1298,49.2096,48.8505,49.0101,1078882
2017-08-01,49.07,49.2196,48.9103,49.1897,808450
2017-08-02,49.2395,49.6186,48.9901,49.2395,1174672
2017-08-03,49.1498,49.2894,48.8006,48.9203,1011735
2017-08-04,49.07,49.2196,48.9103,49.1897,808450
2017-08-07,49.2196,49.3193,48.641,49.2794,858035
2017-08-08,49.1797,49.3692,48.7906,48.9403,1047286
2017-08-09,48.9502,49.1298,48.3916,49.0101,1275822
2017-08-10,48.8305,48.9403,48.1123,48.1223,1172572
2017-08-11,48.0624,48.6161,47.6335,48.3617,966039
2017-08-14,48.7408,49.0301,48.3916,48.8305,637713
2017-08-15,48.8605,49.0301,48.7108,48.9702,697294
2017-08-16,49.05,49.469,48.8804,49.0101,1050877
2017-08-17,48.8704,48.9403,47.9826,48.0026,910352
2017-08-18,47.9228,47.9726,47.434,47.5736,1037036
2017-08-21,47.6434,47.6434,47.1247,47.414,1021145
2017-08-22,47.5836,48.1023,47.3841,47.9427,1211788
2017-08-23,47.7731,48.3417,47.681,47.8729,1143919
2017-08-24,47.9527,48.0624,47.6035,47.823,918482
2017-08-25,48.0824,48.5013,47.833,48.3118,1244130
2017-08-28,48.4215,48.5712,47.9128,47.9726,730408
2017-08-29,47.7532,48.1722,47.6721,48.0425,1339219
2017-08-30,48.1123,48.9275,48.0425,48.8505,896809
2017-08-31,49.0001,49.2296,48.8006,48.9702,1154001
2017-09-01,49.1797,49.5388,49.1099,49.1099,792357
2017-09-05,49.0201,49.3792,48.4016,48.5812,1582939
2017-09-06,48.8804,49.0999,48.5013,48.6709,1211354
2017-09-07,48.7009,48.7108,48.3318,48.5911,749446
2017-09-08,48.4814,49.1298,48.3916,49.1198,740709
2017-09-11,49.868,51.0651,49.5288,51.0651,2883742
2017-09-12,51.105,52.302,51.075,52.2821,2788971
2017-09-13,52.1823,52.7609,52.1025,52.2222,1727521
2017-09-14,52.0326,52.3121,51.4538,51.6534,1471346
2017-09-15,51.5436,51.843,51.0147,51.5037,2331737
2017-09-18,51.6734,52.3819,51.6335,52.352,1365649
2017-09-19,52.3919,52.7611,52.1723,52.6314,1261402
2017-09-20,52.6613,53.4697,52.6613,53.0106,1407604
2017-09-21,53.0306,53.2302,52.801,52.9507,971909
2017-09-22,52.9308,53.0954,52.5715,52.9807,1065197
2017-09-25,52.9907,53.1304,52.3789,52.9607,631176
2017-09-26,53.0106,53.2801,52.821,53.0206,1078949
2017-09-27,53.32,53.9587,53.0505,53.8489,1597944
2017-09-28,53.6094,53.9387,52.8909,53.4697,984385
2017-09-29,53.5295,53.784,53.1603,53.769,722972
2017-10-02,53.8988,54.4975,53.7092,54.4576,1237246
2017-10-03,54.5175,54.5774,54.1582,54.3878,1348769
2017-10-04,54.3678,54.8967,54.1083,54.8768,1585918
2017-10-05,54.9865,55.6452,54.9366,55.5354,1369114
2017-10-06,55.3757,55.6751,55.2161,55.3757,855884
2017-10-09,55.5254,55.6851,55.0265,55.2161,637113
2017-10-10,55.3757,55.3757,54.1484,54.288,1424203
2017-10-11,54.3479,54.4377,53.6194,53.809,2701320
2017-10-12,53.809,53.9986,53.305,53.4397,2994644
2017-10-13,53.4996,53.6693,53.1304,53.1503,3174145
2017-10-16,53.2302,53.4946,52.9617,53.2302,1123505
2017-10-17,53.0805,53.3399,52.7013,52.9607,1520200
2017-10-18,53.1204,53.5695,52.801,53.4597,3233381
2017-10-19,52.2222,53.0206,50.9648,52.9907,4174257
2017-10-20,53.2202,53.9187,52.6913,53.6293,3015183
2017-10-23,53.6493,54.0185,53.4896,53.5894,1750091
2017-10-24,53.5894,54.5275,53.5894,54.3079,1740387
2017-10-25,54.1782,54.4576,53.4098,53.5994,1241634
2017-10-26,53.8788,54.2081,53.0805,53.6493,1187875
2017-10-27,53.4597,53.789,52.7312,52.9208,1693984
2017-10-30,52.6913,52.831,52.3195,52.4917,1348815
2017-10-31,52.5516,52.821,52.3819,52.6314,1398155
2017-11-01,52.9008,53.4397,52.8509,53.29,1508847
2017-11-02,53.1803,54.4157,52.821,54.1682,1311814
2017-11-03,54.0585,54.4476,53.6992,54.4377,1217265
2017-11-06,54.4377,54.5774,54.0884,54.3179,837179
2017-11-07,54.3379,54.6872,53.9587,54.1682,781880
2017-11-08,54.1682,54.8368,53.9686,54.7371,1082719
2017-11-09,54.9167,55.1262,53.9088,54.288,922312
2017-11-10,54.0984,54.6373,53.8988,54.1582,1104346
2017-11-13,53.9187,54.0734,53.4697,53.5894,1875099
2017-11-14,53.4198,53.7191,53.2302,53.4597,875945
2017-11-15,52.8909,53.1204,52.2222,52.362,1366782
2017-11-16,52.5316,53.0904,52.3919,52.7911,1631290
2017-11-17,52.6314,53.4198,52.5017,52.8609,1467992
2017-11-20,53.0805,53.4597,52.7412,53.3699,1503712
2017-11-21,53.6693,53.8988,53.4896,53.5794,1217245
2017-11-22,53.5994,53.7391,53.3,53.4198,953783
2017-11-24,53.5595,53.6892,53.1703,53.1902,523302
2017-11-27,53.2401,53.6693,53.1154,53.3699,1081223
2017-11-28,53.6293,54.278,53.4796,54.2081,1527613
2017-11-29,54.298,54.8568,54.258,54.7271,904240
2017-11-30,54.9267,55.715,54.4077,55.5953,1656091
2017-12-01,55.5953,55.6851,53.2701,54.777,1451405
2017-12-04,55.5254,56.3537,55.0664,55.0664,1975479
2017-12-05,55.3658,55.3658,53.8688,53.8988,1342883
2017-12-06,53.8688,54.3778,53.799,53.809,1281588
2017-12-07,53.7191,54.9067,53.6992,54.6772,1088815
2017-12-08,54.9466,55.0863,54.6073,54.7271,1087983
2017-12-11,54.7969,55.0664,54.4077,54.5175,1016870
2017-12-12,54.5674,54.9366,54.4476,54.4576,842074
2017-12-13,54.4277,55.0589,54.2491,54.5075,1132174
2017-12-14,54.5574,54.817,54.1581,54.2879,823903
2017-12-15,54.5774,55.5058,54.5375,55.1265,2583254
2017-12-18,55.406,56.1647,55.1963,56.0948,1143350
2017-12-19,56.1647,56.4842,55.9551,56.2546,1271692
2017-12-20,56.6988,57.2229,56.4642,56.9035,1732308
2017-12-21,57.173,57.6122,56.8136,57.0831,2160819
2017-12-22,56.9983,57.143,56.609,56.6639,947577
2017-12-26,56.7238,57.0732,56.6838,56.7837,473470
2017-12-27,56.9534,57.0682,56.6239,56.8735,852067
2017-12-28,56.9035,56.9334,56.7337,56.9035,455614
2017-12-29,57.0831,57.0831,56.4842,56.4941,603342
2018-01-02,56.8036,57.2229,56.4742,57.2029,1186756
2018-01-03,56.9334,57.6971,56.9035,57.5324,1131159
2018-01-04,57.7021,57.8019,57.2029,57.4825,1190114
2018-01-05,57.8518,58.4109,57.3028,58.4009,2244135
2018-01-08,58.5407,58.6106,57.8818,58.2512,1237538
2018-01-09,58.331,58.5992,58.1613,58.351,934984
2018-01-10,58.3011,58.5107,58.0815,58.3011,570878
2018-01-11,58.4109,59.0199,58.4009,58.9899,1047652
2018-01-12,59.2894,60.0831,59.1696,60.0481,1214072
2018-01-16,60.3576,60.4375,58.2611,58.6804,1584291
