date,open,high,low,close,volume
2017-01-03,106.0142,107.0564,104.4361,105.915,990280
2017-01-04,106.5304,108.3864,105.5577,107.9993,991397
2017-01-05,107.3542,108.6346,106.4311,107.9596,1169118
2017-01-06,108.2475,108.4956,106.9075,107.7016,728797
2017-01-09,107.8405,110.8976,107.7214,110.709,1090980
2017-01-10,110.7189,112.0886,110.5155,111.503,886071
2017-01-11,111.2946,111.9497,109.8058,111.2946,448610
2017-01-12,111.1358,111.7413,109.8157,111.5626,665962
2017-01-13,111.1953,112.1532,111.0068,111.8306,459340
2017-01-17,111.8901,114.1234,110.9373,113.4484,791178
2017-01-18,113.776,113.776,112.2177,112.7537,493144
2017-01-19,112.1879,113.0216,110.7686,110.9174,644207
2017-01-20,111.106,112.1234,110.9472,111.91,467013
2017-01-23,111.4038,111.4038,109.0619,110.5998,757359
2017-01-24,110.9571,111.5229,110.0341,111.3939,430109
2017-01-25,111.4236,113.5675,111.4236,113.1507,1133566
2017-01-26,112.8628,113.8058,111.9993,112.2673,510902
2017-01-27,112.714,112.714,111.3244,112.0886,440787
2017-01-30,112.1085,112.178,110.1929,111.91,667691
2017-01-31,112.2078,112.5601,110.6494,111.7909,758730
2017-02-01,112.2872,113.6271,111.5527,113.0911,724930
2017-02-02,112.8033,113.0117,111.513,111.91,622442
2017-02-03,112.3566,113.4981,112.2971,113.0018,734388
2017-02-06,113.2599,113.6767,111.9844,112.0589,344389
2017-02-07,112.3765,113.6767,111.1259,112.5452,1050304
2017-02-08,112.1581,113.0613,111.5725,112.9323,510308
2017-02-09,112.8132,115.4137,112.8132,115.4038,795856
2017-02-10,115.2747,115.8703,115.1457,115.5824,659171
2017-02-13,115.9993,117.0861,115.7611,117.0018,713109
2017-02-14,116.8529,120.5749,116.6345,120.3963,1508943
2017-02-15,120.0985,121.5576,119.8008,121.498,856142
2017-02-16,121.2697,121.7958,120.4261,121.2201,679017
2017-02-17,120.4558,122.0538,120.2673,122.034,605083
2017-02-21,122.1829,124.0985,122.1829,123.7213,735199
2017-02-22,123.5526,123.5526,122.5402,122.828,563070
2017-02-23,123.1059,123.8504,122.8777,123.6221,337828
2017-02-24,123.771,125.1407,122.7983,125.0414,723164
2017-02-27,124.664,126.1341,124.1574,125.8063,657483
2017-02-28,124.7832,125.4785,123.8693,124.7633,1014609
2017-03-01,127.9519,128.8757,124.6242,124.7236,1521625
2017-03-02,123.909,124.3163,121.7833,122.0118,833738
2017-03-03,122.2204,124.7683,122.0416,124.7434,791531
2017-03-06,124.813,126.298,124.3461,125.7169,1082570
2017-03-07,124.6938,125.1209,122.1508,122.9256,834110
2017-03-08,123.0647,123.9786,122.5978,122.9852,507116
2017-03-09,123.0349,124.2269,121.843,123.1144,703888
2017-03-10,122.9952,123.2634,120.4721,121.0085,855287
2017-03-13,121.2866,121.7138,120.3032,121.1674,524997
2017-03-14,119.9456,120.3529,118.5053,119.2503,789090
2017-03-15,119.4788,121.0085,119.2503,120.6608,638690
2017-03-16,120.9489,120.9489,118.4357,119.896,449579
2017-03-17,120.1443,120.2933,118.7635,119.2801,821020
2017-03-20,119.439,119.8165,117.9689,118.7039,471136
2017-03-21,118.8331,119.4788,117.0153,117.2835,726430
2017-03-22,117.5914,118.1824,116.7272,117.9291,534454
2017-03-23,117.9887,119.444,117.7112,118.0384,628786
2017-03-24,118.7735,122.0714,118.4953,121.078,1428421
2017-03-27,121.8032,127.6341,121.8032,125.1308,2173204
2017-03-28,124.505,124.8924,122.4588,124.6342,1355678
2017-03-29,124.2567,125.1507,123.6011,123.7302,619794
2017-03-30,123.323,125.409,122.9554,124.8229,585206
2017-03-31,124.7633,125.2401,123.3428,123.621,782081
2017-04-03,123.8296,124.5249,123.1641,124.2368,581238
2017-04-04,124.0978,124.2368,121.0383,122.2204,874779
2017-04-05,122.7965,125.6474,122.419,122.8263,595471
2017-04-06,122.8263,123.3031,121.5946,123.1541,411870
2017-04-07,122.9952,123.015,121.8131,122.4389,320612
2017-04-10,122.27,123.1541,121.8131,122.6276,453698
2017-04-11,121.9621,122.5879,119.8662,122.0515,702817
2017-04-12,122.3197,122.4886,120.8694,122.2402,280612
2017-04-13,122.4588,122.4588,120.8595,120.9986,382156
2017-04-17,120.2039,121.2171,119.7569,121.1873,407173
2017-04-18,120.79,121.1873,116.4689,119.0913,1396395
2017-04-19,119.5284,120.184,119.1509,119.29,496079
2017-04-20,119.2006,119.2006,116.0716,118.3364,1164403
2017-04-21,118.2172,118.5152,117.3729,118.0483,468811
2017-04-24,119.4191,120.3032,118.9125,120.0946,564769
2017-04-25,120.3728,121.1178,119.7271,120.6112,781192
2017-04-26,119.7172,122.5879,115.5153,117.6808,1502537
2017-04-27,117.8695,118.5549,117.0947,117.4225,678419
2017-04-28,117.4027,120.0648,117.4027,119.9556,761648
2017-05-01,119.9158,120.5913,119.1013,119.6377,604501
2017-05-02,120.0946,124.5646,120.0946,123.5713,1050651
2017-05-03,123.5316,124.664,121.7734,122.8859,1175991
2017-05-04,122.3594,123.0846,120.4622,121.684,1683289
2017-05-05,121.9025,122.0813,120.641,121.1774,656739
2017-05-08,121.1674,121.8727,119.9655,120.5118,624224
2017-05-09,120.641,122.4091,120.5814,121.684,509608
2017-05-10,121.6343,123.1591,121.5747,122.7866,428149
2017-05-11,122.2899,122.9157,120.7502,122.0118,467861
2017-05-12,121.9025,122.131,120.5714,121.4754,281441
2017-05-15,121.1476,121.9522,120.6608,121.0383,474021
2017-05-16,121.7336,121.9522,120.0152,120.0549,269756
2017-05-17,119.4092,120.194,117.8099,117.8099,536960
2017-05-18,117.8695,118.5251,117.4921,117.6311,603369
2017-05-19,118.6741,118.9622,117.4921,117.8894,518968
2017-05-22,117.6709,119.3894,117.6709,119.0814,438072
2017-05-23,119.2205,119.6377,117.8795,118.0483,291752
2017-05-24,116.3696,116.8563,114.2339,115.2869,1423555
2017-05-25,115.7835,117.1643,115.4557,116.5285,585637
2017-05-26,116.7371,116.7371,114.671,115.2968,579264
2017-05-30,115.3267,115.5553,114.4319,114.4617,537204
2017-05-31,114.4021,114.5015,112.4634,113.0003,911826
2017-06-01,113.1892,115.4957,113.1742,115.1278,771840
2017-06-02,115.446,115.9331,112.9804,113.4874,696849
2017-06-05,113.209,114.6606,112.9108,114.1734,684457
2017-06-06,114.1933,114.3325,112.7318,112.8412,506816
2017-06-07,112.7219,113.8453,111.5686,112.2844,552248
2017-06-08,112.2546,112.6026,109.8586,111.678,1020132
2017-06-09,111.4294,113.0201,111.2008,112.7716,573377
2017-06-12,112.8014,115.5951,112.8014,114.9191,997855
2017-06-13,115.5255,116.132,114.7998,115.1676,635352
2017-06-14,115.8437,116.3209,114.8793,116.2115,440576
2017-06-15,116.2115,116.4997,114.2629,115.3565,473539
2017-06-16,115.4758,115.6746,113.9845,114.4021,880246
2017-06-19,114.3027,115.2869,113.2985,114.8495,989364
2017-06-20,114.5512,114.9588,113.3383,113.4675,576008
2017-06-21,113.8652,114.7103,111.837,112.5628,726720
2017-06-22,112.5728,115.8635,112.2745,114.5413,841696
2017-06-23,114.9688,115.1179,113.6962,114.76,1087706
2017-06-26,114.929,116.2513,114.412,115.2074,379971
2017-06-27,115.1974,118.1104,115.1974,117.3548,900027
2017-06-28,118.011,120.7848,117.9613,119.721,970253
2017-06-29,119.9298,121.8188,119.1146,121.1725,1123663
2017-06-30,121.61,121.8884,120.2778,121.3714,698703
2017-07-03,121.6299,121.7243,120.745,120.8345,314311
2017-07-05,121.0035,121.7989,120.576,121.61,509153
2017-07-06,120.9339,121.0806,118.6572,119.045,511945
2017-07-07,119.5619,121.5205,118.8561,121.3316,675520
2017-07-10,121.0831,121.4112,119.8701,121.0433,472324
2017-07-11,121.1626,121.8188,120.4269,121.431,559845
2017-07-12,122.1369,122.7235,121.4807,122.0971,715579
2017-07-13,122.3855,122.7981,121.3416,122.3556,588393
2017-07-14,122.2363,123.5288,120.3175,123.4393,409390
2017-07-17,123.3995,123.8191,122.3358,123.3797,710873
2017-07-18,123.7276,123.9165,121.8884,122.7434,524611
2017-07-19,122.6539,123.5884,122.2662,122.9621,550749
2017-07-20,123.0118,125.368,122.9174,124.2744,865037
2017-07-21,124.0955,124.3739,123.2802,123.6978,443517
2017-07-24,123.668,124.2645,123.1908,123.6083,663512
2017-07-25,122.6837,123.499,120.0093,122.1866,1195775
2017-07-26,118.1502,118.1502,110.5247,112.2248,3511053
2017-07-27,111.2803,111.7774,109.0831,109.7194,1496122
2017-07-28,109.7095,111.4593,109.0632,110.8528,1413262
2017-07-31,111.1212,111.1212,108.6258,110.1867,981069
2017-08-01,110.2265,110.4054,107.7907,108.0094,1043583
2017-08-02,110.2265,110.4054,107.7907,108.0094,1043603
2017-08-03,107.8702,108.6755,107.1345,107.7509,840840
2017-08-04,108.1685,108.1685,107.1047,107.4626,587468
2017-08-07,107.393,107.7509,106.4187,106.6275,734346
2017-08-08,106.2099,107.8304,105.2952,106.7368,673325
2017-08-09,106.9854,107.0152,105.3201,106.2298,1025327
2017-08-10,105.8619,106.2099,104.3209,104.7584,1271262
2017-08-11,105.166,107.6913,104.5496,106.9655,852168
2017-08-14,107.4825,107.8901,106.9058,107.0649,857753
2017-08-15,107.6913,108.0989,106.9555,107.6217,659461
2017-08-16,107.5322,108.1286,107.5322,108.0492,421022
2017-08-17,107.562,108.5761,106.0528,106.5579,1159692
2017-08-18,106.369,108.3772,105.9514,107.3632,765169
2017-08-21,107.5222,108.2878,107.0152,107.214,610647
2017-08-22,107.2836,107.9895,106.7965,107.8503,401728
2017-08-23,107.4924,107.7608,106.7667,107.3433,290337
2017-08-24,107.7111,108.7202,107.3085,107.9895,320911
2017-08-25,108.1784,108.9936,107.5024,108.3077,286411
2017-08-28,108.5463,109.1527,107.9398,108.4369,748890
2017-08-29,107.7608,107.7608,105.9912,106.3093,694185
2017-08-30,106.3093,106.7074,105.3739,106.0207,790300
2017-08-31,106.578,108.2498,106.2595,107.603,529572
2017-09-01,107.6925,108.8469,107.2548,108.5682,767526
2017-09-05,108.4886,109.0359,107.3343,107.5234,604505
2017-09-06,108.0508,108.0508,106.0008,106.9462,540011
2017-09-07,106.9362,110.2301,106.9362,109.5136,1235602
2017-09-08,108.9862,110.2898,108.6478,109.9614,439494
2017-09-11,110.8968,112.2203,109.9017,112.0412,803220
2017-09-12,111.9417,112.1407,111.1456,111.9119,470806
2017-09-13,111.9218,112.0512,110.7078,111.0162,291343
2017-09-14,110.9565,111.2949,109.9216,111.0162,414595
2017-09-15,111.0162,111.1506,109.6181,110.1306,661309
2017-09-18,110.3495,110.449,107.7025,108.3891,725959
2017-09-19,108.3991,108.5085,106.2993,107.4636,650639
2017-09-20,107.384,109.633,107.1054,109.6131,533744
2017-09-21,109.7126,109.7126,107.7423,107.9015,540085
2017-09-22,108.3394,109.4489,107.8468,108.7573,525113
2017-09-25,108.3792,109.4439,107.0656,107.3641,579851
2017-09-26,107.8318,108.7474,107.394,108.4787,679166
2017-09-27,108.7673,109.5484,107.7721,109.2449,640146
2017-09-28,109.0857,109.4539,108.1702,109.1952,547866
2017-09-29,108.9961,110.5983,108.9961,110.3993,621941
2017-10-02,110.5286,112.2004,110.5286,111.683,973604
2017-10-03,111.7029,112.1905,110.3843,112.0611,424697
2017-10-04,112.3497,113.4344,111.1556,111.5536,570257
2017-10-05,111.3745,112.3099,111.3148,111.5934,626096
2017-10-06,111.2451,112.0213,109.4041,109.6032,667481
2017-10-09,109.4539,109.4539,106.2098,106.6078,795411
2017-10-10,106.8765,107.9612,105.0554,106.0605,727975
2017-10-11,105.971,107.3343,105.971,107.2248,810689
2017-10-12,106.9263,106.9661,104.7071,105.4037,1057552
2017-10-13,102.3985,105.563,100.7664,105.0355,1203799
2017-10-16,104.747,105.553,104.2892,105.0853,1003872
2017-10-17,105.6127,108.5682,104.9957,107.9314,1400064
2017-10-18,108.2299,109.8022,107.8816,107.9911,814615
2017-10-19,107.6627,110.3694,107.1751,110.0012,805400
2017-10-20,110.5386,112.5089,109.8818,112.3,1359783
2017-10-23,112.5189,113.305,112.1208,112.4094,464607
2017-10-24,112.2104,112.6184,110.6481,110.9565,1038363
2017-10-25,109.9614,110.0908,106.0406,109.9614,1816509
2017-10-26,108.8568,109.0459,102.5278,103.3538,2763048
2017-10-27,103.3538,104.5589,102.0203,102.9856,1249657
2017-10-30,102.6273,103.4135,100.8162,101.7815,1116108
2017-10-31,101.6621,103.5528,101.3237,102.1994,777961
2017-11-01,101.9506,102.6074,100.2888,101.6223,1338530
2017-11-02,101.1645,102.9458,101.1645,101.9009,942431
2017-11-03,102.3188,102.3188,100.9257,101.1147,656496
2017-11-06,101.4232,102.0999,100.7565,101.2541,591287
2017-11-07,101.4929,102.3985,100.1594,100.5575,576361
2017-11-08,100.0599,100.7465,99.0747,100.249,715666
2017-11-09,100.0997,100.6361,98.607,99.3036,1149761
2017-11-10,98.826,99.1643,96.368,97.2338,1507922
2017-11-13,96.8954,98.2687,95.1241,97.2835,1763544
2017-11-14,96.9054,97.1044,95.5321,96.5272,1121040
2017-11-15,96.0396,96.2287,94.7957,95.3032,1029052
2017-11-16,96.0297,98.1791,96.0197,97.9005,1043165
2017-11-17,97.7612,98.2587,96.6964,96.7461,688757
2017-11-20,96.7561,96.771,95.4525,96.4078,824733
2017-11-21,96.6168,98.4677,95.761,98.2886,866834
2017-11-22,98.0299,101.1048,97.8706,100.0898,757618
2017-11-24,99.8509,100.0997,98.5871,99.9903,384329
2017-11-27,99.8808,100.9356,99.3534,100.249,747119
2017-11-28,100.5973,102.0104,99.8708,101.8312,556429
2017-11-29,102.2094,107.8418,102.1298,106.9462,1747273
2017-11-30,107.3147,110.522,106.5328,107.9223,1618247
2017-12-01,108.0418,108.5597,104.6851,107.6334,1055359
2017-12-04,107.8725,109.9642,105.7807,105.8405,876466
2017-12-05,105.6811,106.5079,103.6293,105.5317,1014805
2017-12-06,105.5317,107.4641,104.8545,107.235,1113268
2017-12-07,107.1752,111.0897,106.5776,109.9044,1556196
2017-12-08,110.0638,111.2092,109.3765,111.1196,1492658
2017-12-11,111.5877,112.1455,110.1933,110.5419,1015623
2017-12-12,112.524,113.6745,111.4284,111.9961,1025252
2017-12-13,112.2352,114.5261,111.2889,113.4304,1101559
2017-12-14,113.2412,114.4364,112.3647,112.4842,1046491
2017-12-15,112.7033,113.779,112.2302,112.9922,1335920
2017-12-18,112.8577,114.3368,112.1156,112.6734,875148
2017-12-19,112.6834,113.5101,111.2192,112.5937,926074
2017-12-20,111.8567,112.5937,110.9104,112.3348,668803
2017-12-21,113.0021,115.1138,112.3547,114.3169,1157404
2017-12-22,114.0878,114.8249,113.6695,114.6058,714520
2017-12-26,114.805,115.7512,113.3109,113.9285,484269
2017-12-27,113.7492,114.2671,112.9722,113.7093,368831
2017-12-28,114.2273,114.4464,113.3906,113.9185,299353
2017-12-29,114.1376,114.6655,112.8726,112.9025,507291
2018-01-02,113.7093,115.2632,112.9025,115.1436,754023
2018-01-03,114.7153,114.7153,111.8666,112.9424,845938
2018-01-04,113.6994,113.6994,111.7172,112.3447,689234
2018-01-05,112.9822,112.9822,110.2929,111.528,1201769
2018-01-08,111.3487,111.3543,108.8187,109.7152,1543797
2018-01-09,109.9442,110.9254,108.1912,110.3526,1228576
2018-01-10,110.3227,111.1196,109.491,109.9243,732925
2018-01-11,110.0339,114.5161,110.0339,114.4763,982290
2018-01-12,114.546,116.3588,114.3667,116.1895,1637289
2018-01-16,116.1995,116.5381,114.79,115.9604,620400
2018-01-17,116.3489,116.5082,115.2731,115.5919,642591
2018-01-18,116.2194,116.9465,115.1636,116.8568,803328
2018-01-19,117.574,119.7255,116.4385,117.6238,1839851
2018-01-22,117.7433,117.7433,115.7712,117.3449,710168
2018-01-23,117.4445,117.6537,115.3628,116.7871,410252
2018-01-24,117.5043,117.6338,116.3389,117.5242,684019
2018-01-25,118.1517,118.7992,117.0063,118.6597,359808
2018-01-26,118.8091,120.8709,118.2314,120.7514,991013
2018-01-29,120.8311,121.4088,119.6458,119.7952,632848
2018-01-30,119.2374,125.3133,117.2553,122.0463,905324
2018-01-31,122.2156,122.365,117.4943,121.0203,1124853
2018-02-01,120.5124,122.0861,118.7693,120.8112,594092
2018-02-02,119.9446,120.8112,117.8828,118.829,638383
2018-02-05,118.6796,119.4665,113.0918,113.0918,1045625
2018-02-06,111.6375,116.9963,111.0648,116.3987,1035230
2018-02-07,115.8807,118.2414,115.2935,116.6576,497671
2018-02-08,116.5182,118.9087,114.4165,114.4165,669718
2018-02-09,115.552,115.811,111.0002,114.8249,917580
2018-02-12,115.1536,116.2891,113.4902,115.1536,430050
2018-02-13,114.1874,116.0027,113.55,115.7413,387223
