date,open,high,low,close,volume
2017-01-03,107.5799,108.0921,106.7604,107.1701,2390713
2017-01-04,107.375,107.8872,107.0584,107.1981,1830848
2017-01-05,107.0956,108.0083,106.9559,107.254,1856238
2017-01-06,107.0956,107.7103,106.6486,107.4681,1766993
2017-01-09,107.0956,107.273,106.63,106.8814,1965231
2017-01-10,106.7511,106.9187,105.6149,106.0899,2892614
2017-01-11,105.8291,106.6021,105.8291,106.332,2302714
2017-01-12,106.3599,106.3599,105.5125,106.0806,1917017
2017-01-13,106.3506,106.7185,106.1899,106.3879,1788059
2017-01-17,105.8757,106.2668,105.6149,106.2296,2474702
2017-01-18,106.5089,107.5147,106.183,107.0584,2040741
2017-01-19,107.0677,107.2353,106.1721,106.4158,1847951
2017-01-20,106.5741,107.0956,106.4624,107.0584,2372903
2017-01-23,107.0863,107.1329,106.2947,106.5928,1689541
2017-01-24,106.7231,108.2661,106.3041,108.0735,2157169
2017-01-25,108.2411,109.0792,107.9058,108.9489,2045040
2017-01-26,108.9302,109.2934,108.5298,108.893,1796389
2017-01-27,108.9582,110.0664,108.5764,109.9733,2283856
2017-01-30,109.8056,109.8149,108.269,108.9861,2910274
2017-01-31,104.1249,104.1249,101.21,101.6291,12755479
2017-02-01,100.3812,101.089,96.1346,98.1089,14684612
2017-02-02,98.053,98.4349,97.2335,97.8761,4353420
2017-02-03,98.4349,99.8318,98.0856,99.5989,4859749
2017-02-06,99.2916,99.6455,98.477,98.7701,3444272
2017-02-07,99.0681,99.1706,98.0717,98.4255,3589511
2017-02-08,98.5373,99.0867,98.2579,98.8632,3398534
2017-02-09,98.9098,99.6548,98.7329,99.1426,2415983
2017-02-10,99.1799,100.1111,98.9564,99.9621,4012807
2017-02-13,100.2601,101.0703,100.1391,101.0424,3877734
2017-02-14,101.21,101.8247,100.2229,101.4987,5878825
2017-02-15,101.387,101.6664,100.8375,101.5267,2843007
2017-02-16,101.4422,101.4703,100.0909,100.6164,5150040
2017-02-17,100.3724,100.4522,99.8563,100.3161,2918957
2017-02-21,100.3161,101.2263,100.0346,101.0856,3822504
2017-02-22,98.946,100.2504,98.7583,99.1149,5234438
2017-02-23,99.4715,99.556,98.4299,98.6176,3976338
2017-02-24,98.4017,99.6498,98.3173,99.6404,2717389
2017-02-27,99.6029,100.1941,99.2369,100.1566,2776155
2017-02-28,100.1096,100.4005,98.9835,99.2463,3794023
2017-03-01,100.3818,100.7665,100.119,100.2879,3386203
2017-03-02,100.4005,100.4005,99.3401,99.4246,2490864
2017-03-03,99.5935,100.0345,99.2416,99.4058,2732468
2017-03-06,99.0211,99.8187,98.7489,99.5654,2481871
2017-03-07,99.4715,99.8375,99.0117,99.1337,2186453
2017-03-08,99.1337,99.5747,98.7583,99.2181,2269931
2017-03-09,99.5935,99.6967,99.1149,99.3777,2301041
2017-03-10,99.7249,100.2692,99.2369,100.1566,2957149
2017-03-13,99.9689,100.8791,99.7624,100.8697,2644493
2017-03-14,100.5882,100.8041,99.8844,100.2504,2748905
2017-03-15,100.6821,101.6205,100.2692,101.1044,3253779
2017-03-16,101.1607,101.2733,100.6821,101.1607,2409354
2017-03-17,101.2639,102.2586,101.0199,101.4891,4412150
2017-03-20,101.3953,101.536,100.3442,100.5225,2370885
2017-03-21,100.8838,101.4797,99.8187,99.9501,3088511
2017-03-22,100.3724,100.5695,99.3589,99.9595,2282185
2017-03-23,99.9689,100.3067,98.8803,99.1431,2414231
2017-03-24,99.1806,99.3214,98.3455,98.58,2526873
2017-03-27,98.0451,98.5143,97.3601,98.3267,2148455
2017-03-28,98.2704,99.9595,98.0639,99.6498,3191558
2017-03-29,99.1431,99.8,98.9648,99.4997,1889305
2017-03-30,99.2932,100.2598,98.8616,100.0909,1721627
2017-03-31,99.922,101.0668,99.922,100.6915,2478107
2017-04-03,101.0293,101.0983,99.5466,99.8469,2645891
2017-04-04,99.753,100.1284,99.19,100.0627,2138746
2017-04-05,100.3536,101.1419,99.9783,100.1659,2622852
2017-04-06,100.1941,100.3536,99.9501,100.1003,2824589
2017-04-07,99.7624,100.0346,98.4487,98.5237,3211791
2017-04-10,98.9554,100.2973,98.8803,99.8656,3687682
2017-04-11,99.6123,99.6217,98.7489,99.2369,3029394
2017-04-12,98.5894,98.8522,97.7636,97.8105,3035960
2017-04-13,97.7636,98.1193,97.3132,97.3507,2840947
2017-04-17,97.651,98.4111,97.5196,98.4111,1723842
2017-04-18,98.0827,98.2891,97.1818,97.6885,3042310
2017-04-19,98.139,98.6178,97.9044,98.0264,2047085
2017-04-20,98.2985,99.2275,98.1296,99.0305,2424747
2017-04-21,99.1994,99.5935,98.9554,99.2557,3040578
2017-04-24,100.1753,100.6258,99.7317,100.3818,2441542
2017-04-25,100.4944,101.1794,100.485,100.7478,2626141
2017-04-26,100.6258,101.902,100.3677,100.9917,4565640
2017-04-27,101.1607,102.5495,99.0774,102.1272,4672779
2017-04-28,102.2867,102.5683,100.485,100.8416,3111976
2017-05-01,100.8041,100.8041,99.9501,99.9783,1976616
2017-05-02,100.0439,100.5225,99.997,100.3349,1908751
2017-05-03,100.3067,100.851,100.0252,100.7384,1908972
2017-05-04,100.7947,101.1888,100.0346,100.4568,1744255
2017-05-05,100.7102,100.9354,100.4287,100.8134,2221532
2017-05-08,100.7478,100.9636,100.1566,100.8979,2508577
2017-05-09,100.9354,101.0293,99.556,99.9501,2336460
2017-05-10,99.5372,99.5935,98.3173,98.6269,3713127
2017-05-11,98.4945,98.608,97.4067,98.5134,3076737
2017-05-12,98.1824,98.6648,98.0405,98.4945,2052281
2017-05-15,98.8918,99.7714,98.5834,99.5917,2592902
2017-05-16,99.5917,99.6579,98.3006,98.8445,2458332
2017-05-17,98.1256,98.504,97.2176,97.3027,3073138
2017-05-18,97.3689,98.031,96.5933,97.6054,2890778
2017-05-19,97.6527,98.2675,97.4351,97.8229,2361194
2017-05-22,97.7567,98.4094,97.525,98.1634,1916008
2017-05-23,98.0594,98.6752,97.7946,98.5607,2099601
2017-05-24,98.2013,99.1377,98.1162,99.0526,1896817
2017-05-25,99.4877,100.2538,99.3458,100.2065,2391811
2017-05-26,100.0836,100.3484,99.8164,100.1403,1825963
2017-05-30,99.7998,101.597,99.5728,101.0295,2400826
2017-05-31,101.3038,101.3904,99.6296,100.2349,5007276
2017-06-01,100.7268,102.2496,99.9795,101.8335,4832320
2017-06-02,101.9091,102.9874,101.1808,101.8429,4182767
2017-06-05,101.6727,102.6091,101.4456,102.1078,2619892
2017-06-06,101.9943,102.0983,101.5402,101.6159,2593850
2017-06-07,101.597,101.6679,100.5281,100.9065,2442255
2017-06-08,100.8687,101.3794,100.4714,100.9727,2322051
2017-06-09,100.7457,101.2659,100.1972,101.2376,2834213
2017-06-12,101.4835,103.0536,101.3984,103.0442,3338155
2017-06-13,103.1577,104.0374,103.0536,103.9049,2507270
2017-06-14,103.9806,104.2644,103.1577,103.4698,2434292
2017-06-15,102.9307,104.359,102.9307,104.2927,2311641
2017-06-16,104.5765,105.0684,104.0752,104.6049,4107588
2017-06-19,104.7941,105.163,104.2572,104.8697,2150895
2017-06-20,104.8508,104.8697,103.6543,103.6779,2081024
2017-06-21,103.8766,103.9144,102.978,103.2807,2796937
2017-06-22,102.8739,103.6212,102.7983,103.1671,1613613
2017-06-23,103.309,105.2765,103.0631,104.3022,4352130
2017-06-26,104.6711,105.5128,104.5292,105.0022,2199684
2017-06-27,104.7279,105.4089,103.7347,103.7347,2154588
2017-06-28,104.4157,104.8792,103.6685,104.1225,2996373
2017-06-29,103.782,104.2738,103.4982,103.8387,2208755
2017-06-30,104.2455,105.0022,103.8108,104.6049,2178072
2017-07-03,104.8981,105.5923,104.5954,104.6238,1288219
2017-07-05,104.586,105.1346,104.2738,104.5387,1628693
2017-07-06,104.1509,104.3779,103.1861,103.3279,1637242
2017-07-07,103.5171,104.6333,103.2523,104.3873,1742740
2017-07-10,104.1319,104.6049,103.8482,104.2455,1698733
2017-07-11,104.2833,104.3968,103.6306,104.113,1785892
2017-07-12,104.6427,105.0967,104.1792,104.586,2195960
2017-07-13,104.4441,105.5413,104.2123,105.144,2285933
2017-07-14,105.0211,106.5156,104.8508,106.3264,3275699
2017-07-17,105.8251,106.1845,105.3474,105.967,2615164
2017-07-18,105.9007,106.0805,105.4931,105.7778,2142605
2017-07-19,105.6737,106.875,105.2386,106.875,2541764
2017-07-20,107.0831,107.0831,106.3453,106.4872,2237064
2017-07-21,106.2696,106.979,106.0805,106.5818,1772938
2017-07-24,106.3926,106.4872,105.9197,106.0805,2296092
2017-07-25,106.7237,107.6033,106.3358,107.0926,2219359
2017-07-26,107.3952,107.4898,106.1088,106.2129,2978405
2017-07-27,104.9927,104.9927,101.1903,101.9564,7446537
2017-07-28,102.5145,103.9617,102.0888,103.7252,4274849
2017-07-31,104.0847,104.988,104.0091,104.3211,3564234
2017-08-01,103.9239,105.4183,103.9049,105.2386,2253084
2017-08-02,103.9239,105.4183,103.9049,105.2386,2256116
2017-08-03,104.9643,105.7305,104.8335,105.4846,2515286
2017-08-04,105.5791,106.0237,105.1062,105.9859,2185439
2017-08-07,105.9386,105.9651,105.39,105.8062,1696021
2017-08-08,106.8845,107.0736,105.7494,105.8345,2809476
2017-08-09,105.9102,106.4115,105.6737,106.3264,1888701
2017-08-10,106.2883,106.5551,105.6689,105.6975,2058232
2017-08-11,106.2407,107.184,106.0501,106.193,2077867
2017-08-14,106.8982,108.4324,106.8124,108.3371,2424918
2017-08-15,108.3275,109.0422,108.156,108.804,1985838
2017-08-16,108.8898,109.9094,108.8421,109.3567,2196283
2017-08-17,109.2042,109.4043,107.589,107.6033,2439860
2017-08-18,107.6129,108.8231,107.3746,108.0036,2249273
2017-08-21,108.0036,108.8231,107.8482,108.4705,1455218
2017-08-22,108.6325,109.4329,108.48,109.2042,1594145
2017-08-23,108.7468,108.7468,107.9273,108.2037,1528406
2017-08-24,108.48,108.5944,107.9083,108.0131,1147527
2017-08-25,108.3847,108.7373,107.994,108.0607,2015061
2017-08-28,108.4324,108.6897,108.2323,108.4324,1928017
2017-08-29,108.2037,109.5949,107.6414,109.4806,2083098
2017-08-30,109.471,110.1972,109.4615,109.5568,1968539
2017-08-31,110.0333,110.0333,108.5277,108.9755,3262164
2017-09-01,109.3186,109.6235,109.0041,109.0041,1549241
2017-09-05,108.7373,108.9851,108.1941,108.5562,1771522
2017-09-06,108.8707,109.1661,108.3752,108.4514,2144441
2017-09-07,108.5181,109.3758,108.5181,109.2709,1616260
2017-09-08,109.2138,109.9761,108.6897,109.633,1645388
2017-09-11,110.0619,110.8909,109.8808,110.7289,2021495
2017-09-12,110.7575,111.9963,110.5193,111.6342,2151706
2017-09-13,111.3388,112.1106,111.1672,111.5484,2302641
2017-09-14,111.2054,111.9486,111.0148,111.8533,2102811
2017-09-15,111.8343,112.4441,111.5865,112.3489,3411257
2017-09-18,112.3774,112.7872,111.8724,112.0534,2292447
2017-09-19,112.0534,112.4251,111.3864,111.4626,2002737
2017-09-20,111.4531,112.8158,111.1577,112.2822,3481829
2017-09-21,112.2822,112.4441,111.5675,111.739,1765739
2017-09-22,111.8629,112.4918,111.6246,112.1297,1883335
2017-09-25,112.5109,112.7205,111.6437,112.6538,2361133
2017-09-26,112.4632,113.3971,111.4817,113.3208,2870741
2017-09-27,113.1017,113.5591,112.8063,113.035,2302377
2017-09-28,112.9778,114.0784,112.7491,113.9783,1629291
2017-09-29,113.9307,114.7502,113.8068,114.4357,2445796
2017-10-02,114.35,115.1123,114.2166,115.1028,1989857
2017-10-03,114.6644,114.8884,113.8831,114.0736,1856994
2017-10-04,113.8831,113.9879,113.0921,113.3971,2309690
2017-10-05,111.2816,112.6347,111.0338,112.6347,4480304
2017-10-06,112.4346,113.1398,111.8724,112.1583,2828294
2017-10-09,112.5776,113.035,111.4139,111.6342,1839218
2017-10-10,112.0916,113.0159,111.7485,112.5585,2064184
2017-10-11,112.5585,113.3208,112.3965,113.3208,1810035
2017-10-12,113.2065,114.369,113.0641,113.9402,2290275
2017-10-13,114.3881,114.4548,112.6728,112.7872,1665486
2017-10-16,113.0254,113.1017,111.9296,112.7681,1247290
2017-10-17,112.4441,112.6633,111.8724,112.1392,1484420
2017-10-18,111.8819,113.1779,111.8819,112.5871,2089301
2017-10-19,112.1392,113.9021,112.1392,113.7973,2119640
2017-10-20,113.9593,114.7597,113.8831,114.1213,2427577
2017-10-23,114.5787,114.7407,113.9974,114.045,2052179
2017-10-24,114.5215,114.7501,113.9879,114.0641,1845623
2017-10-25,113.9498,114.1022,112.8587,112.9873,2836219
2017-10-26,112.7205,115.1028,111.4912,113.7115,4104540
2017-10-27,113.6925,116.0176,113.6925,115.0647,3638275
2017-10-30,114.8455,114.8455,112.2917,112.5299,3441974
2017-10-31,112.9206,113.197,111.92,111.9963,2498983
2017-11-01,112.387,112.6061,111.6628,111.9296,2088585
2017-11-02,112.082,112.2059,109.6235,111.3674,3522331
2017-11-03,111.3674,111.3674,109.7474,110.0237,2957646
2017-11-06,110.1381,110.5383,108.2513,108.5562,3351103
2017-11-07,108.4705,109.452,108.2799,108.5848,2730433
2017-11-08,108.3085,108.3466,107.346,107.8034,2371851
2017-11-09,107.5176,107.6796,106.4598,107.2508,2710938
2017-11-10,107.1068,108.7388,106.851,108.7004,2840098
2017-11-13,109.5068,110.2652,108.9884,110.2172,3301313
2017-11-14,109.7276,109.9196,109.1228,109.5068,3238234
2017-11-15,109.4665,110.3669,109.1374,110.3572,4557366
2017-11-16,109.142,109.6412,108.4516,109.1516,2518380
2017-11-17,108.7964,108.9596,108.0572,108.422,2155351
2017-11-20,108.6524,108.9692,108.3068,108.6716,2811124
2017-11-21,108.5276,109.5692,108.2876,109.3628,2205374
2017-11-22,109.3724,109.6196,109.046,109.2188,1846198
2017-11-24,109.4396,109.622,108.4412,108.614,891718
2017-11-27,108.8828,110.0732,108.8348,109.958,3060515
2017-11-28,110.5052,110.8124,109.814,110.582,2025770
2017-11-29,110.87,114.4892,110.7164,114.278,4122054
2017-11-30,114.278,117.1196,114.2636,116.5916,5654168
2017-12-01,117.014,117.014,114.3356,115.4972,3141930
2017-12-04,117.2156,120.1532,117.2156,118.7708,4535047
2017-12-05,118.8764,119.0396,115.4684,115.5548,3690947
2017-12-06,114.902,115.1516,113.2508,113.558,3346989
2017-12-07,113.6252,115.2188,113.1356,114.9404,3279999
2017-12-08,115.2572,115.3244,113.174,114.7772,3030422
2017-12-11,114.5564,114.6332,112.8572,113.3276,2765450
2017-12-12,113.1932,114.1244,112.9052,113.4332,2540981
2017-12-13,113.7404,114.5564,113.318,113.6636,2738497
2017-12-14,113.3756,113.606,111.6764,112.166,2817363
2017-12-15,112.9532,113.8556,112.6141,113.2796,4997181
2017-12-18,114.0092,115.1228,113.8652,114.0572,2580972
2017-12-19,114.2396,114.71,113.8076,114.2396,2111182
2017-12-20,115.5644,115.9004,113.4908,113.5964,3420036
2017-12-21,113.7356,114.0956,112.7996,113.8364,3377711
