date,open,high,low,close,volume
2017-01-03,104.8436,105.385,104.4732,105.2615,2739627
2017-01-04,105.8599,106.0859,105.0241,105.328,3091396
2017-01-05,105.5844,106.3157,105.0051,105.7554,3344920
2017-01-06,105.8219,107.161,105.48,106.8951,2622291
2017-01-09,107.0376,107.0376,105.68,105.8979,2434378
2017-01-10,106.1353,106.2113,105.48,105.6699,1800921
2017-01-11,106.0118,106.0118,105.0241,105.423,2746199
2017-01-12,105.5559,105.5559,104.193,105.252,2644682
2017-01-13,105.3565,105.6699,104.3308,104.6822,2880618
2017-01-17,104.2643,104.7297,103.9034,104.4447,2240147
2017-01-18,104.6632,105.3185,104.3023,104.8721,2600332
2017-01-19,105.4515,105.9928,104.4922,105.1665,2828243
2017-01-20,105.3755,105.5179,104.5017,105.2235,3134293
2017-01-23,105.271,105.7079,104.4542,104.7961,2296594
2017-01-24,105.1191,106.0783,104.7961,106.0023,3240027
2017-01-25,106.2493,106.8571,103.3145,105.385,5054022
2017-01-26,105.233,105.8884,104.0268,104.8151,3996330
2017-01-27,104.6157,105.328,104.1028,104.1883,2829980
2017-01-30,103.8179,104.0933,102.8111,103.6849,2909899
2017-01-31,103.5615,104.2928,102.9441,104.1598,3945675
2017-02-01,104.1218,104.383,102.4787,102.7447,4670143
2017-02-02,102.6497,103.2195,101.4815,102.9156,4714506
2017-02-03,103.0771,104.2643,103.0486,104.1408,3411707
2017-02-06,104.2928,105.6604,104.1645,105.1191,4229572
2017-02-07,105.7839,106.1163,105.3897,105.6604,2774432
2017-02-08,105.5085,105.5085,104.8066,104.8531,2073053
2017-02-09,104.7391,105.157,104.4732,104.5587,2653958
2017-02-10,104.7107,105.6699,104.5492,105.4705,2679214
2017-02-13,106.0023,106.4677,105.8219,106.3917,2831001
2017-02-14,106.3632,106.6767,105.8504,105.9643,2771931
2017-02-15,106.1746,107.0822,106.1077,106.9198,2624996
2017-02-16,107.1395,107.3211,106.8243,107.0727,2802060
2017-02-17,106.9389,107.3211,106.6332,107.1491,2531804
2017-02-21,107.1873,107.7701,107.044,107.4835,2136895
2017-02-22,107.3402,107.6841,106.7383,107.6363,2205614
2017-02-23,107.6746,107.847,106.9771,107.0918,3471711
2017-02-24,106.8338,107.665,106.7669,107.4453,2917947
2017-02-27,107.5695,107.9325,107.0344,107.7797,2731362
2017-02-28,107.9325,108.1427,107.3282,107.5313,2942507
2017-03-01,108.5726,109.337,108.4016,108.6109,5085491
2017-03-02,108.7542,108.9548,107.6077,107.665,2880797
2017-03-03,107.7988,108.372,107.1682,107.3306,3108508
2017-03-06,106.8434,107.2924,106.5663,106.6809,3772184
2017-03-07,106.872,107.3975,106.5281,107.2733,2457237
2017-03-08,107.4644,107.6363,106.6714,106.7669,2585009
2017-03-09,106.8816,107.3276,102.2765,106.9389,2919791
2017-03-10,107.3784,107.5599,106.3274,107.1395,3220155
2017-03-13,107.5408,107.7012,106.9676,107.302,2976331
2017-03-14,106.8911,107.1682,106.5758,106.8434,2195323
2017-03-15,107.1204,108.2478,106.8816,108.0376,3169053
2017-03-16,107.7414,108.1714,106.9532,107.3306,2933831
2017-03-17,107.6555,108.8688,107.2637,108.3911,7442342
2017-03-20,108.3433,108.993,107.7988,108.4484,3057832
2017-03-21,108.5918,109.0599,106.9867,107.1586,3572132
2017-03-22,107.3593,107.407,106.4516,106.9389,2127037
2017-03-23,106.9389,107.4357,106.5854,106.8529,2288027
2017-03-24,106.9867,107.2733,106.3657,106.8147,2249660
2017-03-27,106.1268,106.9389,105.5249,106.8434,2490820
2017-03-28,106.4421,108.1008,106.3561,107.7128,3257682
2017-03-29,107.5313,107.5313,106.9198,107.0631,1998809
2017-03-30,106.9676,107.6363,106.8625,107.4357,1481596
2017-03-31,107.4835,107.6077,106.8625,107.2064,2483734
2017-04-03,107.2733,107.4644,106.2797,106.9389,2123043
2017-04-04,107.2637,108.1999,107.2351,107.9516,2970932
2017-04-05,108.0949,109.2796,107.4357,107.4835,3011928
2017-04-06,107.5504,107.8943,107.1873,107.3975,2185654
