date,open,high,low,close,volume
2017-01-03,50.6002,51.1663,50.0813,50.3832,3831027
2017-01-04,50.6945,51.0153,50.3219,50.6851,4001490
2017-01-05,50.2134,50.2511,49.3925,50.2322,3196026
2017-01-06,50.1001,50.3171,49.7416,50.1756,2801345
2017-01-09,50.1945,50.3171,49.8171,49.9397,2159633
2017-01-10,50.1001,50.8078,50.053,50.2322,2771954
2017-01-11,50.2322,50.2322,49.1095,49.5529,3670226
2017-01-12,48.6566,49.1472,48.4396,48.9019,4183926
2017-01-13,49.0623,49.3265,48.1943,48.4301,2967289
2017-01-17,48.666,49.7605,48.6471,49.1944,4254992
2017-01-18,49.3925,49.4208,47.6376,48.0244,5713145
2017-01-19,48.4113,49.0434,48.2414,48.5811,5713136
2017-01-20,48.7037,49.1472,48.6471,48.9208,3182687
2017-01-23,48.8453,49.3642,48.4301,49.1566,4080687
2017-01-24,49.1,49.9492,49.0623,49.7039,2753567
2017-01-25,49.9775,50.1756,49.6001,49.6378,3134110
2017-01-26,49.7227,49.8454,48.8924,49.0717,2705249
2017-01-27,49.1849,49.2038,47.6234,47.9018,4443121
2017-01-30,47.8735,48.5056,47.5244,48.449,3723651
2017-01-31,47.3357,48.5905,46.845,48.5717,6358455
2017-02-01,47.8829,48.5056,47.6187,47.7508,5220640
2017-02-02,47.3357,48.3924,47.0054,47.8357,4999769
2017-02-03,47.5055,47.5055,46.2553,46.7601,7584569
2017-02-06,46.6658,47.1564,46.4488,46.5714,4005417
2017-02-07,46.628,46.7129,45.4581,45.5902,6616972
2017-02-08,45.7128,46.4535,45.3354,46.3167,4375181
2017-02-09,46.3639,47.0432,46.2884,46.6752,3070564
2017-02-10,46.9394,47.8357,46.845,47.4772,4266517
2017-02-13,47.6753,48.0339,47.4206,47.5432,4671296
2017-02-14,47.2602,48.1056,47.1092,47.9961,3672263
2017-02-15,47.7225,47.8074,47.2413,47.6659,5715346
2017-02-16,48.0716,48.3452,47.3168,47.5244,7015040
2017-02-17,48.3735,49.8831,47.4961,49.7039,8838068
2017-02-21,49.8548,50.1096,49.3077,49.4586,5527816
2017-02-22,49.9114,50.8927,49.9114,50.4775,5479808
2017-02-23,50.6002,50.9021,49.5199,49.5812,4857113
2017-02-24,49.8548,50.6191,49.3642,50.0624,4573276
2017-02-27,50.0624,50.4775,49.9775,50.0718,3263674
2017-02-28,50.0247,50.1464,49.1944,49.4869,3901294
2017-03-01,49.7039,50.0577,49.2321,49.8454,4175197
2017-03-02,50.1945,50.3643,49.7416,50.3266,3909529
2017-03-03,50.6474,50.7417,49.5246,49.6189,4365010
2017-03-06,49.6473,50.1945,49.5718,50.0152,2930114
2017-03-07,49.5623,49.9492,49.3453,49.6473,2984949
2017-03-08,49.9897,50.4081,49.6473,50.2274,2251094
2017-03-09,50.1609,50.3749,49.828,50.0848,2177228
2017-03-10,50.256,50.5128,50.1894,50.3416,2401326
2017-03-13,50.5033,50.7505,50.1038,50.5033,3247894
2017-03-14,50.4652,50.9978,50.4652,50.6554,2994533
2017-03-15,50.3701,51.4068,50.3701,51.2451,4021963
2017-03-16,51.1976,51.7016,51.0929,51.5019,3076869
2017-03-17,51.6636,51.8538,51.3117,51.3117,8198478
2017-03-20,51.3878,51.6523,50.9122,51.2356,5022947
2017-03-21,51.2071,51.2546,49.7234,50.4557,5345608
2017-03-22,50.1704,50.5413,49.885,50.4937,3457625
2017-03-23,51.0264,51.6065,50.8647,51.2356,4528029
2017-03-24,51.2832,51.5875,51.0787,51.4163,4198461
2017-03-27,51.0168,52.201,50.9122,52.0155,4221503
2017-03-28,52.006,52.9666,51.8728,52.6147,4599310
2017-03-29,52.7764,53.5182,52.6527,53.4517,3284766
2017-03-30,53.0617,53.0617,51.1785,51.4829,5991583
2017-03-31,51.5685,52.4102,51.4924,52.2818,4461281
2017-04-03,52.4625,52.7954,51.9204,51.9679,3417311
2017-04-04,51.7872,52.044,50.9978,51.3022,3082177
2017-04-05,51.4353,51.6749,51.1024,51.2071,3553556
2017-04-06,51.3402,52.3484,51.2071,51.5399,3257522
2017-04-07,51.4829,51.7777,51.3212,51.5495,2874946
2017-04-10,51.7302,52.4625,51.7111,52.025,2530212
2017-04-11,52.006,52.3959,51.9014,52.3674,2548032
2017-04-12,52.1772,52.7574,52.0631,52.3484,5206412
2017-04-13,52.415,52.7859,52.0963,52.1201,3116954
2017-04-17,52.3008,52.4949,52.1391,52.3484,2676158
