date,open,high,low,close,volume
2017-01-03,33.4994,34.075,33.4994,33.8768,4696627
2017-01-04,33.8957,34.9526,33.8296,34.5374,5208353
2017-01-05,34.8582,35.698,34.6883,35.3678,5433241
2017-01-06,35.8302,35.9528,35.1253,35.6603,4167326
2017-01-09,35.934,36.7455,35.8679,36.1793,5021063
2017-01-10,36.368,36.821,35.9528,36.2359,4369066
2017-01-11,36.3775,37.1229,36.1227,36.7077,7388492
2017-01-12,36.5851,36.821,36.2076,36.3586,3140673
2017-01-13,36.368,36.6889,36.0189,36.519,3001769
2017-01-17,36.368,36.6794,36.3113,36.5096,3414910
2017-01-18,36.7077,37.5948,36.6039,37.5193,5689258
2017-01-19,37.491,37.9439,36.7502,37.557,5876377
2017-01-20,37.7646,38.1515,37.3305,37.9628,6330731
2017-01-23,37.9345,38.1326,37.5523,38.0477,3902575
2017-01-24,38.1798,38.8498,37.9165,38.7932,3661727
2017-01-25,38.9631,39.3028,38.4771,38.68,3411171
2017-01-26,38.7083,39.6944,38.6564,39.4915,4514906
2017-01-27,39.5953,39.8312,39.2367,39.6047,3432715
2017-01-30,39.8689,40.1049,39.4443,40.0671,4507022
2017-01-31,40.0105,40.1851,39.4537,39.7651,4849765
2017-02-01,39.8029,40.1049,39.0763,39.3028,3164620
2017-02-02,39.199,39.3877,39.048,39.2367,2523001
2017-02-03,39.2367,39.7085,39.2367,39.5387,2601233
2017-02-06,39.3311,39.9161,39.2367,39.4632,2951189
2017-02-07,39.5764,39.7274,39.1895,39.3216,2593252
2017-02-08,39.3216,39.8642,39.0669,39.6991,4087979
2017-02-09,42.1337,42.464,40.5672,41.4165,14598275
2017-02-10,41.3882,41.7562,40.7843,41.19,6258805
2017-02-13,41.1995,41.2844,40.822,41.0013,4105522
2017-02-14,40.9258,41.9167,40.5956,41.7562,6119258
2017-02-15,41.5769,42.1903,41.5769,42.1431,4021106
2017-02-16,42.2281,42.2752,41.4354,41.6713,3283384
2017-02-17,41.6053,41.7845,41.0108,41.5109,3286468
2017-02-21,41.4354,42.2375,41.2844,42.1809,3423451
2017-02-22,41.8506,42.2281,41.7751,42.0016,3338751
2017-02-23,42.0299,42.1714,41.1051,41.3882,3341514
2017-02-24,41.3693,41.5675,40.6742,41.4165,2690414
2017-02-27,41.4448,41.4826,40.9589,41.0485,2778126
2017-02-28,41.2372,41.308,40.8881,41.0013,3077908
2017-03-01,41.3222,41.5203,40.8126,41.2938,3329457
2017-03-02,41.3693,41.3693,39.7227,39.7463,6928189
2017-03-03,39.7651,40.2228,39.3783,39.9256,3672165
2017-03-06,39.718,40.0388,39.4443,39.8123,2735245
2017-03-07,39.7557,40.7182,39.6991,40.5106,5958200
2017-03-08,40.756,41.5486,40.7182,41.5203,6047520
2017-03-09,41.4165,41.9638,41.1594,41.9355,5638202
2017-03-10,41.7657,41.9921,40.9919,41.2655,4597720
2017-03-13,41.4457,41.6068,40.8579,40.9053,3497055
2017-03-14,40.9053,41.2845,40.6399,41.1044,2369287
2017-03-15,41.3035,41.7869,41.0001,41.6732,3685393
2017-03-16,41.6732,41.8533,41.5026,41.749,2823406
2017-03-17,41.8059,41.8249,41.0854,41.1423,5573065
2017-03-20,40.7537,41.1613,40.3745,40.6399,3344922
2017-03-21,40.8958,40.9717,39.8483,39.9099,2979497
2017-03-22,40.0806,40.5355,39.8152,40.3555,3215510
2017-03-23,40.4313,40.9527,40.2797,40.7252,2469369
2017-03-24,40.8864,41.2561,40.5072,40.82,3699654
2017-03-27,41.2845,42.1282,40.3365,42.005,4425941
2017-03-28,42.1187,42.9056,41.8154,42.5738,4502297
2017-03-29,42.5548,43.0004,42.46,42.9435,3141898
2017-03-30,42.8771,43.9673,42.8487,43.9483,4677665
2017-03-31,43.8535,44.2896,43.6425,44.1948,5201405
2017-04-03,44.1853,44.2707,43.3227,43.3322,4786905
2017-04-04,43.3985,43.5502,42.8392,43.1805,2398432
2017-04-05,43.4364,43.626,42.8676,42.9624,2746325
2017-04-06,42.8866,43.2374,42.1093,43.2089,4051990
2017-04-07,43.2184,43.2184,42.5264,42.915,2719858
2017-04-10,43.152,43.2184,42.3178,42.4979,3248343
2017-04-11,42.5833,42.7823,42.0524,42.46,2595230
2017-04-12,42.2989,42.5927,41.8343,42.0334,2193110
2017-04-13,42.223,42.3368,41.4836,41.4931,2033672
2017-04-17,41.4931,41.8059,41.3888,41.6732,2287015
2017-04-18,41.4457,41.9102,41.1897,41.7964,1955463
2017-04-19,41.8817,42.6591,41.8817,42.005,3314682
2017-04-20,42.1377,42.4316,41.9481,42.0239,2148672
2017-04-21,42.005,42.1282,40.7916,40.8579,2824788
2017-04-24,41.3035,41.6921,40.4598,40.5261,3963759
