date,open,high,low,close,volume
2017-01-03,123.4562,124.4552,120.9486,122.0849,1015206
2017-01-04,121.8988,125.3466,121.5168,125.1703,840487
2017-01-05,124.8177,126.0126,123.7206,124.8275,789762
2017-01-06,123.9067,124.4998,120.8409,121.2621,1104371
2017-01-09,121.0466,121.2611,120.0583,120.2042,892373
2017-01-10,120.5079,121.2621,119.881,121.076,687505
2017-01-11,121.2131,121.2131,119.9887,120.9486,489732
2017-01-12,120.8605,120.9486,118.3148,120.0279,833221
2017-01-13,120.2042,121.9477,120.1748,121.8498,898331
2017-01-17,121.8204,121.8204,119.0386,121.125,750973
2017-01-18,121.2327,125.0038,120.2924,124.6903,1572189
2017-01-19,124.9156,125.7579,122.6138,123.7108,1315127
2017-01-20,124.23,127.6484,124.23,127.2077,1304247
2017-01-23,127.3938,127.8443,125.4935,126.8746,1107000
2017-01-24,127.6778,130.6163,127.0509,129.6368,1146705
2017-01-25,131.5272,133.4471,131.3813,132.5067,1574210
2017-01-26,133.1532,134.0152,131.5958,132.4774,955366
2017-01-27,133.0944,133.212,131.1648,131.6056,507760
2017-01-30,131.155,131.155,127.0705,128.05,1739230
2017-01-31,128.0892,128.9022,124.23,125.6992,1485904
2017-02-01,126.3261,127.1097,124.8764,125.6894,1247165
2017-02-02,125.8657,127.4819,124.945,125.3858,1221187
2017-02-03,126.3261,127.2321,125.4837,126.2379,841776
2017-02-06,126.091,126.473,124.0928,125.4543,1271239
2017-02-07,118.2648,122.4375,118.1277,119.3031,4258974
2017-02-08,118.9113,120.4579,116.1393,117.824,2892043
2017-02-09,118.2746,118.9015,117.3245,118.0297,2188674
2017-02-10,118.9896,121.8596,118.7841,120.0867,2229470
2017-02-13,121.9184,126.6004,119.8614,119.9496,2054021
2017-02-14,119.4892,120.263,118.0297,120.2238,1607132
2017-02-15,120.263,121.4286,119.8418,120.5862,1331624
2017-02-16,120.6842,120.9878,117.3441,117.9318,1563890
2017-02-17,117.7849,118.0983,115.8455,116.8837,1471913
2017-02-21,117.5008,119.9104,117.3441,118.8329,1572431
2017-02-22,119.0587,119.9126,117.7827,117.9202,1145364
2017-02-23,118.1066,118.5287,112.6788,114.2002,3562534
2017-02-24,112.6592,116.2319,111.9918,115.643,1792304
2017-02-27,115.1032,120.5016,114.6615,118.3717,1894306
2017-02-28,118.7348,119.6182,117.5864,118.3815,1589995
2017-03-01,120.8942,122.9848,120.2758,122.0818,2632213
2017-03-02,121.9542,121.9738,118.7643,119.0783,1597153
2017-03-03,119.3041,120.0795,118.3422,119.2256,1441028
2017-03-06,118.3226,119.255,117.4981,117.9987,998683
2017-03-07,117.7827,118.0183,115.486,116.1829,1313853
2017-03-08,116.4381,118.1066,116.1829,116.9092,894023
2017-03-09,116.7227,117.7337,113.3463,114.74,1837444
2017-03-10,115.9866,118.0379,114.74,116.5558,1656454
2017-03-13,116.6736,117.5177,115.9964,117.3803,1255746
2017-03-14,116.3693,117.3312,115.4762,115.7608,803198
2017-03-15,115.9571,117.0564,114.74,116.6344,2084715
2017-03-16,117.3018,117.3705,113.6898,114.2394,1955687
2017-03-17,114.3965,115.4467,114.1904,114.318,1759783
2017-03-20,114.6615,114.7989,112.4727,112.9242,1370174
2017-03-21,113.7094,114.0137,111.5991,111.9918,1298004
2017-03-22,111.8936,113.4346,111.2458,113.1696,1231943
2017-03-23,113.15,114.1511,112.2568,113.2579,1193345
2017-03-24,112.826,113.1002,109.4692,110.6569,1661731
2017-03-27,107.9675,110.9612,106.9369,110.4213,1899746
2017-03-28,110.1759,113.307,110.068,112.4825,1699474
2017-03-29,113.1696,116.5853,112.7966,115.9767,2030762
2017-03-30,118.2833,119.3532,114.7008,115.5154,2100540
