date,open,high,low,close,volume
2017-01-03,97.6199,97.6477,96.1649,97.0546,1076325
2017-01-04,97.2585,100.0945,96.9712,99.7423,1236399
2017-01-05,98.9916,99.8628,97.6477,99.6311,1004005
2017-01-06,99.3345,99.8813,98.9823,99.455,1317466
2017-01-09,99.2696,99.5291,98.0926,98.2965,1247623
2017-01-10,98.1019,98.3984,97.1287,97.3141,748854
2017-01-11,97.3234,97.7033,96.3131,96.4336,657000
2017-01-12,96.3966,97.2121,95.9053,96.9156,812737
2017-01-13,96.9619,97.5319,96.0907,96.6561,678021
2017-01-17,96.7209,97.7682,96.5356,97.6941,1073130
2017-01-18,97.7126,98.8155,97.2492,98.4262,824606
2017-01-19,98.1482,98.695,97.4902,97.5087,900838
2017-01-20,97.6014,98.0648,97.138,98.0463,944062
2017-01-23,97.9906,99.5569,97.8609,99.353,591429
2017-01-24,99.6126,100.3123,99.0935,99.8072,628170
2017-01-25,99.974,100.2335,99.1677,99.7886,696478
2017-01-26,99.9192,100.4324,99.8166,100.1058,767848
2017-01-27,100.4417,100.4603,98.949,99.714,617321
2017-01-30,99.714,100.423,99.1729,99.7047,685550
2017-01-31,99.5461,100.5723,99.0469,99.1822,814629
2017-02-01,99.3128,99.8539,96.8591,96.9338,833913
2017-02-02,96.9618,97.7921,96.7285,97.4189,838475
2017-02-03,98.3146,98.7064,97.5495,97.8201,820505
2017-02-06,97.7734,98.1,97.2137,97.5495,732243
2017-02-07,97.6895,98.7344,97.6895,97.7455,645385
2017-02-08,97.8108,98.7344,97.6801,98.2119,395436
2017-02-09,98.2492,98.5571,97.8994,98.3239,562370
2017-02-10,98.3612,99.8446,98.3052,99.3128,653754
2017-02-13,99.686,99.9659,98.6318,99.3128,586311
2017-02-14,99.3128,102.0184,98.4918,101.7198,1369550
2017-02-15,101.6172,101.9531,100.9175,101.7292,881307
2017-02-16,101.5706,102.7274,101.2067,102.6061,909351
2017-02-17,102.5688,102.7834,101.2627,102.4289,764826
2017-02-21,102.4382,103.6324,101.9717,103.4178,748748
2017-02-22,103.6417,104.2295,101.4306,102.4755,656846
2017-02-23,102.6061,103.0353,102.1303,102.5781,599538
2017-02-24,102.6155,103.026,102.1023,102.7461,739165
2017-02-27,102.9607,103.6697,102.4382,103.2499,956904
2017-02-28,103.0726,103.1286,101.8691,102.5035,900807
2017-03-01,102.4755,102.7461,101.7198,101.9437,1064594
2017-03-02,101.9531,101.9531,100.7869,101.5426,867191
2017-03-03,100.9921,101.7898,100.1525,101.4773,669303
2017-03-06,101.0948,101.5239,100.4977,101.0015,492801
2017-03-07,101.0574,101.3373,100.4557,100.6189,443743
2017-03-08,100.2458,100.2458,98.7717,98.7904,786711
2017-03-09,98.7997,99.0143,96.8965,97.1764,988886
2017-03-10,98.016,98.4265,95.6183,96.2807,868075
2017-03-13,96.4487,96.6166,95.5344,95.8982,1155265
2017-03-14,95.9075,96.3647,95.1052,95.581,901759
2017-03-15,95.8049,98.2866,95.8049,97.7455,870989
2017-03-16,97.7361,98.3146,97.1764,97.307,625671
2017-03-17,97.5402,98.7904,97.2043,98.0813,1111899
2017-03-20,98.072,98.2259,96.8405,97.1297,656791
2017-03-21,97.6615,97.8341,95.3851,95.5157,1244969
2017-03-22,95.7396,95.7396,93.9763,94.6574,1111563
2017-03-23,94.5734,96.1035,94.5734,95.3851,1658628
2017-03-24,95.5344,96.0755,93.9857,94.1536,905323
2017-03-27,94.0043,94.4615,92.9221,93.5192,1266962
2017-03-28,93.5658,93.6685,91.9052,93.4632,1161731
2017-03-29,93.258,93.6031,92.7448,93.0154,983075
2017-03-30,92.7262,93.6964,92.2784,93.6405,873068
2017-03-31,93.5845,94.2655,93.0574,93.5845,945886
2017-04-03,93.6218,94.6481,93.3046,94.1256,1084821
2017-04-04,94.1816,95.1798,93.8177,94.8533,2245724
2017-04-05,94.8999,95.469,93.7804,94.051,1036836
2017-04-06,94.051,95.2451,93.5005,95.0399,856113
2017-04-07,94.8999,95.7209,94.6947,94.8067,683033
2017-04-10,94.8253,95.3851,94.6107,95.2172,646024
2017-04-11,95.2358,96.0568,94.9373,95.5997,700701
2017-04-12,95.7863,96.29,95.1612,95.525,641092
2017-04-13,95.4784,95.5623,94.3495,94.4894,537544
2017-04-17,94.844,96.1594,94.7227,96.1501,765623
2017-04-18,95.693,96.4207,95.4131,96.0661,616229
2017-04-19,96.0102,96.29,95.0212,95.3384,840769
2017-04-20,95.4877,95.4877,94.2002,94.76,1136867
2017-04-21,94.6387,95.0026,94.3962,94.788,723053
2017-04-24,95.3664,95.651,92.5862,93.09,1067858
2017-04-25,93.3233,94.051,92.8661,93.8177,1064677
2017-04-26,93.5472,94.023,91.0282,91.0469,1283253
2017-04-27,91.1495,91.7792,89.7827,90.0393,1209341
2017-04-28,89.9273,90.0113,89.1623,89.7874,940453
2017-05-01,90.1512,90.1512,88.9384,89.8247,1431644
2017-05-02,90.0766,90.0766,86.8486,89.8527,1935967
2017-05-03,90.0019,90.1605,88.0334,88.3506,1131034
2017-05-04,88.0498,89.3752,87.514,89.3094,1462401
2017-05-05,89.394,90.1272,88.7172,89.958,831135
2017-05-08,90.1554,90.3528,88.3412,88.9052,750027
2017-05-09,88.7924,88.8864,87.9558,88.7078,1065957
2017-05-10,88.5386,89.8076,88.3365,89.1872,736325
2017-05-11,88.7078,88.83,87.5516,88.36,1121017
2017-05-12,88.2754,88.4634,87.5704,87.6926,760810
2017-05-15,87.6926,88.5386,87.3824,87.7678,707200
2017-05-16,87.937,87.9746,87.2508,87.514,1179023
2017-05-17,86.997,87.9558,86.7526,86.95,1164181
2017-05-18,86.95,88.172,86.6774,87.2696,1786182
2017-05-19,87.2978,88.6796,86.7056,88.4164,1101259
2017-05-22,88.501,88.8582,87.185,87.5422,1582165
2017-05-23,87.702,87.937,87.3636,87.5892,1023714
2017-05-24,87.8242,87.937,87.3965,87.7584,602422
2017-05-25,87.8054,88.1626,87.2226,87.373,535804
2017-05-26,87.5046,87.8054,86.4988,86.9688,846026
2017-05-30,86.9406,87.5234,86.527,86.621,675463
2017-05-31,86.8466,86.8607,85.8408,86.668,1156390
2017-06-01,86.4142,87.4012,86.3484,87.232,929424
2017-06-02,87.5798,87.796,86.8372,87.2978,1174175
2017-06-05,87.232,87.7208,86.762,87.6644,700517
2017-06-06,87.6174,87.8336,85.7092,85.7844,1089634
2017-06-07,85.963,86.5646,85.728,86.48,1216816
2017-06-08,86.6398,86.903,86.0382,86.621,929759
2017-06-09,86.5646,88.3224,86.292,88.031,920289
2017-06-12,87.9182,89.8922,87.9182,89.6384,1140126
2017-06-13,89.3094,90.0238,88.1485,89.1872,825911
2017-06-14,89.629,89.7982,88.1532,88.4258,834594
2017-06-15,87.9746,89.1684,87.843,88.83,573955
2017-06-16,89.0556,89.0556,87.4012,88.2472,1351559
2017-06-19,88.2284,88.2284,87.1662,87.7678,854874
2017-06-20,87.89,88.1344,86.95,87.7678,706976
2017-06-21,87.8524,88.219,86.2732,87.1098,755897
2017-06-22,87.0346,88.5104,86.6586,87.9182,868379
2017-06-23,88.2096,88.9804,88.172,88.5292,1114201
2017-06-26,88.83,89.4974,88.2472,89.065,701510
2017-06-27,88.83,89.3282,88.2284,88.2284,743517
2017-06-28,88.5574,88.7994,87.843,87.8994,753635
2017-06-29,87.5704,88.3694,86.9312,87.749,806319
2017-06-30,87.8524,88.6091,87.2884,88.266,1172263
2017-07-03,88.83,90.3152,88.4916,90.0802,624271
2017-07-05,89.9956,90.0238,88.3882,88.454,916722
2017-07-06,88.1908,88.3694,86.5364,86.8372,1072839
2017-07-07,86.8654,88.8582,86.7808,88.2848,1522127
2017-07-10,89.2718,89.629,87.3636,87.8994,1026235
2017-07-11,88.0028,88.877,87.7302,88.4352,1031352
2017-07-12,88.877,90.2776,88.877,89.5162,774719
2017-07-13,89.6854,90.4844,89.3376,89.817,568283
2017-07-14,90.1366,90.9826,89.9768,90.146,984387
2017-07-17,90.2588,91.415,89.6384,91.2082,1141568
2017-07-18,73.743,74.5702,72.6244,72.9346,2481679
2017-07-19,72.8782,75.7546,72.85,75.7264,2427848
2017-07-20,75.717,75.7922,74.1942,74.448,2259486
2017-07-21,74.401,74.636,73.555,73.9686,1078221
2017-07-24,73.931,74.3728,73.3858,73.4234,1216847
2017-07-25,73.7618,73.8652,73.1414,73.4234,847617
2017-07-26,73.3388,73.6678,73.0756,73.3764,485098
2017-07-27,73.2166,74.2694,72.615,74.2506,962284
2017-07-28,74.307,74.3164,73.6584,74.2224,898520
2017-07-31,74.2694,74.8804,73.602,74.589,1168195
2017-08-01,75.012,76.0648,73.7994,74.7394,1719759
2017-08-02,74.3822,75.435,73.9592,74.0344,1231598
2017-08-03,73.9491,75.1332,73.7881,74.9721,767428
2017-08-04,75.0479,75.6162,74.7543,75.2752,569376
2017-08-07,75.2373,75.2682,74.688,75.0669,1478393
2017-08-08,74.9058,75.2089,74.0439,74.3564,1117562
2017-08-09,74.3564,74.3564,73.6839,73.7692,572116
2017-08-10,73.5608,73.646,72.5283,72.5946,750430
2017-08-11,72.5094,72.8029,71.5622,71.7326,863171
2017-08-14,72.1589,73.4092,72.121,72.8693,919758
2017-08-15,72.7367,72.7367,71.4674,72.2252,970206
2017-08-16,72.3862,72.7746,71.7232,71.8937,908216
2017-08-17,71.7042,72.1021,71.259,71.3253,1116169
2017-08-18,71.0791,71.3443,69.6014,70.0087,1098317
2017-08-21,70.0561,70.3024,69.3267,69.9803,1029775
2017-08-22,70.1508,70.3308,69.1657,69.5067,1019110
2017-08-23,69.393,70.6528,69.3362,70.1508,900267
2017-08-24,70.776,71.2589,70.075,70.094,1505145
2017-08-25,70.2455,71.1264,69.8951,70.757,1263129
2017-08-28,71.5243,71.5243,69.9992,70.5202,1200169
2017-08-29,70.435,70.5676,69.7861,70.2455,649891
2017-08-30,69.6488,70.5676,69.3078,70.3402,1008888
2017-08-31,70.596,70.9086,70.2171,70.5581,1249921
2017-09-01,70.5865,71.2306,70.2929,71.0317,616486
2017-09-05,71.2212,71.4485,69.9424,70.4255,659137
2017-09-06,70.7381,71.1501,70.3592,70.4444,1054861
2017-09-07,70.6055,70.8802,69.3741,69.6393,1176550
2017-09-08,69.4972,70.5392,69.4972,69.9992,1286575
2017-09-11,70.3876,71.0791,69.9803,70.9559,711553
2017-09-12,70.9559,71.1927,70.094,70.3781,645834
2017-09-13,70.2834,70.7286,70.0371,70.5865,1308689
2017-09-14,70.5486,71.6663,70.3876,71.2117,1434956
2017-09-15,71.259,71.5527,70.7665,71.1454,1704004
2017-09-18,71.1075,71.3822,70.5297,70.6244,1347897
2017-09-19,70.596,70.6528,69.4593,69.4972,1382736
2017-09-20,69.4972,69.9566,68.9289,69.9329,1025271
2017-09-21,70.0087,71.8084,69.9898,71.6379,1270738
2017-09-22,71.6474,72.0736,71.2875,71.6663,2078848
2017-09-25,71.6663,72.3294,71.4485,72.0926,868962
2017-09-26,72.0831,73.0777,71.799,72.8977,1570768
2017-09-27,72.7462,72.9546,72.4146,72.7935,1644685
2017-09-28,72.7746,73.4755,72.623,73.2198,1266907
2017-09-29,73.1251,73.3998,72.2915,72.8219,1400437
2017-10-02,72.9356,73.2766,72.5378,72.9451,849606
2017-10-03,72.983,73.2482,72.6704,73.2103,777232
2017-10-04,73.2387,73.5702,72.964,73.5608,611026
2017-10-05,73.6744,74.6974,73.5513,74.0154,925139
2017-10-06,73.8923,74.0628,73.2103,73.9681,437727
2017-10-09,73.8544,74.1196,73.5987,73.6934,677247
2017-10-10,74.7259,75.5026,74.1859,74.7637,1353837
2017-10-11,74.7827,75.5878,74.5648,75.171,1078775
2017-10-12,75.1142,75.3889,74.7353,75.37,806669
2017-10-13,75.7488,76.0614,75.2279,75.6731,610843
2017-10-16,75.6447,75.7394,74.7259,74.7637,921350
2017-10-17,74.489,74.9721,74.0533,74.1481,704479
2017-10-18,74.0912,74.3659,72.7178,72.9356,1554666
2017-10-19,72.7841,72.7841,70.7854,70.8991,2365215
2017-10-20,70.776,70.9654,69.7719,70.5676,1921264
2017-10-23,70.8802,70.9844,70.3497,70.6339,838150
2017-10-24,70.5202,70.577,69.5538,69.753,830340
