date,open,high,low,close,volume
2017-01-03,81.4316,81.9206,80.8926,81.1621,545814
2017-01-04,81.1222,81.8507,81.0723,81.8008,651822
2017-01-05,81.5314,82.0703,81.3517,81.5014,394756
2017-01-06,81.3617,82.24,81.2719,82.22,515856
2017-01-09,81.8707,82.0883,81.3916,81.5713,489648
2017-01-10,81.5613,82.1701,81.2619,82.1003,594588
2017-01-11,81.9006,82.5893,81.731,82.5893,468967
2017-01-12,82.5993,82.5993,81.4715,82.1601,557614
2017-01-13,82.2899,82.5494,82.1202,82.4695,350637
2017-01-17,82.2899,82.2899,81.2519,81.3916,553686
2017-01-18,80.8427,81.0024,80.0542,80.9225,741953
2017-01-19,80.7928,81.3218,80.0408,80.7629,609857
2017-01-20,81.1122,81.3617,80.6032,81.202,500418
2017-01-23,81.0723,81.3218,80.693,81.0223,508975
2017-01-24,81.222,82.0503,81.0922,82.0104,466898
2017-01-25,82.3398,82.8588,82.2599,82.5294,455029
2017-01-26,82.4695,82.5594,82.0903,82.3697,296103
2017-01-27,82.0503,82.6292,81.9705,82.5194,362377
2017-01-30,82.4695,82.5993,82.0703,82.5793,362622
2017-01-31,82.8388,82.8388,81.7909,82.4795,795284
2017-02-01,82.4695,82.759,81.2719,81.6012,544253
2017-02-02,81.3717,82.0502,81.1521,81.9905,532053
2017-02-03,82.6392,83.3578,82.5215,83.3578,542276
2017-02-06,83.0185,83.1582,82.7889,83.1083,362940
2017-02-07,83.1083,83.1183,82.739,82.8488,471153
2017-02-08,82.719,83.5973,82.6492,83.4476,349742
2017-02-09,81.9905,83.9467,81.9905,83.9067,571983
2017-02-10,84.1163,84.5255,83.6073,84.3559,350568
2017-02-13,84.8249,85.0645,84.4656,84.795,407468
2017-02-14,84.6353,84.9347,84.5255,84.9248,448392
2017-02-15,83.9766,84.3259,83.2281,83.6073,762583
2017-02-16,83.9167,84.8249,83.3678,84.1063,526252
2017-02-17,84.1163,84.7351,83.9067,84.7351,645421
2017-02-21,84.6353,85.2541,83.9966,85.0246,1201233
2017-02-22,85.2741,87.2303,81.7409,82.0703,2245503
2017-02-23,82.3098,83.5474,82.24,82.6791,1144253
2017-02-24,82.769,83.8369,82.6392,83.787,1052511
2017-02-27,83.4576,83.6772,83.1083,83.6273,573321
2017-02-28,83.5574,83.6472,82.6192,82.759,863089
2017-03-01,83.3877,84.3259,83.0955,84.1563,765880
2017-03-02,84.0165,84.296,83.2081,83.5075,468687
2017-03-03,83.6772,83.9866,83.1682,83.787,509602
2017-03-06,83.5175,83.767,82.6791,82.7091,958971
2017-03-07,82.4596,82.9885,81.368,81.6811,797095
2017-03-08,81.4316,81.8408,80.3636,80.5533,1415722
2017-03-09,80.683,80.713,79.5552,79.8945,1014491
2017-03-10,80.2039,80.2738,79.6051,79.7848,976798
2017-03-13,79.9444,80.0443,79.2059,79.6051,884117
2017-03-14,79.3556,79.5053,78.9364,79.1959,779455
2017-03-15,79.4354,80.0343,79.2308,79.9145,943320
2017-03-16,79.7448,80.5034,79.7448,80.194,1501054
2017-03-17,80.4934,81.1122,79.9345,81.0323,1313804
2017-03-20,80.7828,80.9425,80.3237,80.7928,1233023
2017-03-21,80.9225,81.2319,79.4354,79.4754,884344
2017-03-22,79.7049,80.4535,79.2757,79.8746,987627
2017-03-23,80.1141,80.4036,79.5352,79.8047,907071
2017-03-24,80.0243,80.3337,79.5452,79.5552,971840
2017-03-27,79.2059,79.8104,79.0163,79.5253,788689
2017-03-28,79.2358,80.2139,79.0861,79.9045,592919
2017-03-29,79.6251,80.3137,79.4554,80.2938,740693
2017-03-30,80.2538,80.7928,79.8846,80.6331,1318957
2017-03-31,80.663,81.4465,80.436,80.9824,861919
2017-04-03,80.9026,81.1321,79.2059,79.685,1019495
2017-04-04,79.8546,80.4834,79.4754,79.7947,666102
2017-04-05,79.8247,80.184,79.2757,79.2957,1174098
2017-04-06,79.3057,79.665,78.9763,79.3456,958297
2017-04-07,79.2558,79.635,79.0961,79.136,732832
2017-04-10,79.156,79.7149,79.156,79.3157,558685
2017-04-11,79.1161,79.4853,78.6594,79.4754,976414
2017-04-12,79.0163,79.5851,78.5372,79.0861,561869
2017-04-13,79.0961,79.4953,78.9564,78.9564,571834
2017-04-17,79.3256,79.9245,79.3256,79.9145,592954
2017-04-18,79.5552,80.6431,79.5552,80.4734,527933
2017-04-19,80.8227,81.1122,80.3936,80.6131,611466
2017-04-20,80.9425,81.4615,80.8527,81.212,647004
2017-04-21,81.2818,81.7409,81.1521,81.4914,460805
2017-04-24,82.2599,82.6492,81.9805,82.4995,615620
2017-04-25,82.7091,83.1283,82.4171,82.8089,549978
2017-04-26,82.6991,83.5275,82.6791,83.0185,779191
2017-04-27,83.0684,83.5175,82.719,82.9885,597066
2017-04-28,82.9885,82.9885,82.3897,82.6492,754313
2017-05-01,82.8388,83.2335,82.2799,82.6093,1193824
2017-05-02,82.7091,83.1183,81.9006,82.0204,1195712
2017-05-03,76.4013,78.8566,76.3514,76.601,4077505
2017-05-04,76.5411,78.2777,75.4532,77.8585,2582126
2017-05-05,78.657,79.6151,78.2927,79.6051,1329700
2017-05-08,79.6151,79.9095,78.9763,79.146,1141567
2017-05-09,78.8865,79.3456,78.8865,79.1061,878820
2017-05-10,78.9065,79.0861,78.2777,78.5472,1008172
2017-05-11,78.1879,78.4873,77.5691,78.128,712593
2017-05-12,77.9982,78.3675,77.7687,77.9483,782943
2017-05-15,77.9982,78.8865,77.9982,78.8166,1103933
2017-05-16,78.8466,78.9663,78.4374,78.6669,804636
2017-05-17,78.3276,78.8566,78.2577,78.3476,1563994
2017-05-18,78.4773,79.0612,78.0681,78.3675,912440
2017-05-19,78.4773,79.4155,78.138,79.2558,1108170
2017-05-22,79.2358,79.7848,79.1859,79.7548,660336
2017-05-23,79.8446,79.8646,79.1859,79.3656,750747
2017-05-24,79.6151,80.2838,79.5352,80.2538,988641
2017-05-25,80.4235,81.4515,80.2339,81.0223,1025144
2017-05-26,81.0423,81.3617,80.3636,80.3936,815426
2017-05-30,80.0542,81.0822,79.9295,80.8926,765461
2017-05-31,81.1022,81.2818,80.2239,80.7329,818033
2017-06-01,80.8926,81.3417,80.663,81.0124,984984
2017-06-02,81.2619,81.731,80.7429,81.701,895322
2017-06-05,81.6711,82.0503,81.2918,81.3118,904694
