date,open,high,low,close,volume
2017-01-03,48.1268,48.7601,47.9217,48.6798,22891725
2017-01-04,48.653,48.8849,48.4568,48.6263,18316075
2017-01-05,48.8582,48.9028,48.4301,48.7333,13840590
2017-01-06,48.3795,48.4786,47.8612,48.0099,15615037
2017-01-09,47.9738,48.0144,47.4781,47.4871,14097190
2017-01-10,47.4961,47.9198,46.8921,47.5592,11787399
2017-01-11,47.433,47.5502,47.0859,47.2888,16142843
2017-01-12,47.2617,47.6764,47.113,47.4871,11052102
2017-01-13,47.5231,47.6854,47.2437,47.3699,9458660
2017-01-17,47.3699,47.6764,47.3248,47.5412,11383490
2017-01-18,47.3428,47.6268,47.0634,47.0995,12930855
2017-01-19,47.3699,47.451,47.0364,47.1986,13286142
2017-01-20,47.415,47.9558,47.3789,47.5231,15473748
2017-01-23,47.2888,47.5051,47.0364,47.2437,15695475
2017-01-24,45.3011,45.7834,44.882,45.1794,43484680
2017-01-25,44.6205,45.0172,44.0256,44.8639,30398594
2017-01-26,43.9445,44.5935,43.7281,44.278,37877112
2017-01-27,44.4853,44.8279,44.4132,44.7107,18361579
2017-01-30,44.6115,44.927,44.3321,44.5034,12148701
2017-01-31,44.3591,44.5935,44.1067,44.1788,16844160
2017-02-01,44.4763,44.5034,43.4938,43.62,26004051
2017-02-02,43.7552,43.8002,43.1783,43.5208,17787157
2017-02-03,43.674,43.8273,43.5659,43.7912,15166438
2017-02-06,43.8724,43.8724,43.2143,43.2954,16151442
2017-02-07,43.3856,43.4126,43.0881,43.3045,12771905
2017-02-08,43.4036,43.7822,43.3585,43.6019,13962834
2017-02-09,43.7371,44.1338,43.638,43.9986,13577346
2017-02-10,44.1157,44.278,43.8904,44.1518,12317356
2017-02-13,43.5118,43.8228,43.3405,43.7642,18305342
2017-02-14,43.5478,43.6921,43.2594,43.5118,20847187
2017-02-15,43.2684,43.3585,43.0881,43.3405,19297054
2017-02-16,43.2954,43.7371,43.1692,43.6831,18706949
2017-02-17,43.5478,44.4403,43.3856,44.3411,23190659
2017-02-21,44.6296,44.7918,44.3772,44.5574,19205958
2017-02-22,44.6205,44.8008,44.6025,44.7738,13653423
2017-02-23,45.0532,45.522,44.7738,45.3507,16211994
2017-02-24,45.3237,45.9231,45.3237,45.6121,14357936
2017-02-27,45.513,45.567,44.891,45.0172,14029458
2017-02-28,45.0352,45.0983,44.5394,44.7377,17699168
