date,open,high,low,close,volume
2017-01-03,82.9281,83.9055,82.0394,82.9577,973870
2017-01-04,83.0762,84.4881,82.8195,84.4288,1092081
2017-01-05,84.1425,84.7053,82.8195,82.8195,540373
2017-01-06,82.859,84.1623,82.5232,83.4909,393966
2017-01-09,83.4909,83.8167,82.7503,82.9972,373864
2017-01-10,83.7081,84.9028,83.1453,84.2314,509362
2017-01-11,84.2215,84.4743,83.4316,84.2116,448313
2017-01-12,84.0833,84.0833,82.696,83.9549,498997
2017-01-13,84.2314,85.3273,84.0873,84.8337,594261
2017-01-17,84.8337,86.058,84.6757,85.6532,744820
2017-01-18,85.9296,86.4431,85.278,86.137,850632
2017-01-19,86.7886,87.0453,85.3175,85.821,876066
2017-01-20,85.8013,86.0679,84.6461,85.0706,598045
2017-01-23,85.0509,85.0509,83.4415,83.5797,678630
2017-01-24,83.8957,85.4853,83.8858,85.3076,737813
2017-01-25,85.5544,87.5785,85.2928,87.1342,795732
2017-01-26,87.0848,87.6081,85.9395,86.0284,554469
2017-01-27,86.1765,87.0355,85.979,86.917,382207
2017-01-30,86.4825,86.6405,84.6263,85.6235,691825
2017-01-31,85.5742,85.8704,84.962,85.5446,731740
2017-02-01,86.1074,86.7393,85.3076,85.6828,594458
2017-02-02,85.4952,85.8901,84.9324,84.9719,469210
2017-02-03,85.4754,86.8281,85.0953,86.4727,455026
2017-02-06,85.9987,86.3641,85.2187,85.5446,552255
2017-02-07,85.8408,86.7689,85.1299,85.2286,456150
2017-02-08,85.0407,85.0407,83.3702,84.3389,717146
2017-02-09,84.7442,85.5251,84.6058,85.2088,785223
2017-02-10,85.8118,86.395,85.0803,86.2961,407859
2017-02-13,86.4345,87.255,86.3752,86.652,631876
2017-02-14,86.2467,86.395,85.5152,85.7525,549438
2017-02-15,85.7525,87.601,85.4559,87.4626,530812
2017-02-16,87.6702,87.8481,86.563,87.0375,475020
2017-02-17,86.5235,87.68,85.2286,86.7607,447720
2017-02-21,80.8198,82.9847,79.9697,81.7589,2813388
2017-02-22,80.3849,81.324,78.9417,79.2481,1641102
2017-02-23,79.2185,79.9005,76.8955,77.281,1268219
2017-02-24,76.4704,78.5463,76.2638,78.5364,983120
2017-02-27,78.7341,80.1526,78.7341,79.9994,937330
2017-02-28,79.772,80.6221,79.1693,79.1987,1281606
2017-03-01,78.9812,82.352,77.7555,80.4146,1423111
2017-03-02,79.9796,80.167,79.001,79.1196,1510400
2017-03-03,79.09,79.6633,78.2102,78.9714,1215465
2017-03-06,78.0718,79.3074,78.0718,79.0405,1007583
2017-03-07,78.9812,79.4854,78.4277,78.5858,864374
2017-03-08,78.7242,78.9516,78.1311,78.3091,768256
2017-03-09,78.1311,78.4969,76.9647,77.5677,886961
2017-03-10,78.4573,78.4573,76.1937,76.6583,1286712
2017-03-13,76.7571,77.5281,76.4012,77.37,917498
2017-03-14,76.7275,77.0833,75.7093,76.4606,747228
2017-03-15,76.8065,77.0537,75.996,76.6583,878136
2017-03-16,77.2711,77.2711,75.8675,76.3321,866058
2017-03-17,76.4309,76.7769,75.9763,76.4408,900958
2017-03-20,76.2925,76.7275,75.561,76.3815,633067
2017-03-21,76.7176,77.1352,75.1162,75.2645,1157303
2017-03-22,75.1755,75.3633,74.4045,75.215,734051
2017-03-23,75.3534,75.6599,74.6121,75.0964,578861
2017-03-24,75.4523,75.6599,74.9192,74.9877,636138
2017-03-27,74.1376,74.8888,73.2084,74.1574,1084224
2017-03-28,73.9003,75.6203,73.8806,74.9383,507359
2017-03-29,74.8196,76.1442,74.6318,75.9367,601625
2017-03-30,76.1739,76.5841,75.65,76.3716,598714
2017-03-31,76.1146,77.3107,76.1146,77.1031,1000880
2017-04-03,77.1723,77.9433,76.6286,77.1426,1781176
2017-04-04,77.1426,77.5973,76.2035,76.4507,698017
2017-04-05,77.5084,78.4376,76.2035,76.4803,944491
2017-04-06,76.767,78.1509,76.4111,78.0916,565368
2017-04-07,78.2992,79.5447,77.9235,79.3173,1178491
2017-04-10,79.2976,80.8495,79.2976,80.2169,880693
2017-04-11,80.118,80.7605,79.5496,80.4244,733275
2017-04-12,80.1279,80.3355,78.1212,78.7539,905354
2017-04-13,78.5957,79.1592,78.052,78.1015,828272
2017-04-17,78.8132,80.0785,78.6353,79.9895,1021928
2017-04-18,79.3272,80.7803,79.3272,79.772,995930
2017-04-19,80.1279,80.6617,79.604,79.9994,700021
2017-04-20,80.6815,81.0274,80.1872,80.5727,585953
2017-04-21,80.7605,80.8198,79.4261,80.2169,548809
2017-04-24,81.3042,82.1642,81.1559,81.2449,1099618
2017-04-25,82.1346,84.3785,80.8297,83.4097,1134499
2017-04-26,83.647,86.1182,83.3801,84.9617,1432778
2017-04-27,84.9024,85.535,83.6667,83.6667,775118
2017-04-28,83.904,83.9139,82.5102,82.9254,906598
2017-05-01,83.2911,83.3801,81.3932,81.4228,710438
2017-05-02,81.2054,81.7886,80.7803,80.9187,944053
2017-05-03,80.7902,81.581,80.4343,81.4723,651966
2017-05-04,81.5019,81.9863,80.7704,81.1164,494947
2017-05-05,81.3339,82.4113,80.6913,82.0456,611470
2017-05-08,81.8973,82.2037,80.3651,81.0966,490424
2017-05-09,81.1065,81.927,79.9005,80.3651,676210
2017-05-10,80.4344,81.6567,80.1672,80.5334,730726
2017-05-11,80.3058,80.3157,79.0785,79.8109,496452
2017-05-12,79.5932,80.0088,79.1478,79.2863,314266
2017-05-15,79.7614,80.0781,79.1577,79.5041,601774
2017-05-16,79.702,79.7416,78.6034,79.1082,648102
2017-05-17,77.7127,78.8212,77.5741,78.5144,646971
2017-05-18,78.2076,78.7519,77.7227,78.5935,865430
2017-05-19,79.1478,81.048,78.8113,81.0184,652476
2017-05-22,81.1668,81.2955,80.3948,80.9095,712804
2017-05-23,81.1569,81.7606,80.4839,81.1668,580647
2017-05-24,81.1569,81.3054,80.5631,81.0777,363616
2017-05-25,81.3549,81.8893,81.0976,81.6419,595166
2017-05-26,81.4835,81.4835,80.286,80.4146,935884
2017-05-30,80.1771,81.7112,80.1771,81.5429,510457
2017-05-31,81.3648,81.538,80.3305,80.9095,793084
2017-06-01,81.5132,82.5425,80.7214,82.1367,639536
2017-06-02,82.2555,84.1756,81.7112,83.3046,671721
2017-06-05,83.0473,83.9083,82.8691,82.8889,504371
2017-06-06,82.4831,82.7306,81.2064,81.4043,563529
2017-06-07,81.4637,82.7207,81.434,82.5029,563324
2017-06-08,82.5623,84.611,82.1862,84.0172,653097
2017-06-09,83.9578,85.5711,83.5619,85.1851,597187
2017-06-12,85.0663,86.442,84.532,86.4123,867844
2017-06-13,86.4123,87.9365,86.3628,87.6,797520
2017-06-14,87.8078,88.2829,86.6845,87.1249,770211
2017-06-15,86.0065,87.7385,86.0065,87.1447,634727
2017-06-16,86.9666,88.0849,86.7785,88.0058,841680
2017-06-19,88.174,88.4907,87.6,88.2928,736630
2017-06-20,87.8573,88.2136,86.6103,87.5901,755884
2017-06-21,87.6891,88.0355,86.8577,87.3031,1032524
2017-06-22,87.5208,87.5208,86.5806,87.4416,490986
2017-06-23,87.402,88.5105,87.1843,87.6099,1917157
2017-06-26,87.6099,88.4709,87.5208,88.0552,417696
2017-06-27,88.1443,88.9856,87.5109,87.5505,400894
2017-06-28,88.2532,89.8367,87.699,89.2726,541252
2017-06-29,89.4804,89.8862,88.4808,89.3617,509386
2017-06-30,89.4211,91.0541,89.4211,90.5592,1042582
2017-07-03,91.0541,92.5387,91.0541,91.5589,457034
2017-07-05,91.5984,92.8455,90.7176,90.7968,512072
2017-07-06,90.8067,91.737,89.52,89.6586,557789
2017-07-07,89.6091,90.146,88.6293,90.0644,388700
2017-07-10,89.5992,90.2623,88.9955,89.5695,474861
2017-07-11,89.7675,90.3415,89.0648,89.9456,777871
2017-07-12,89.8664,91.7865,89.8664,91.0244,731571
2017-07-13,90.2623,90.9947,89.045,89.3122,564323
2017-07-14,89.4211,90.0792,88.9163,88.9163,670543
2017-07-17,88.3522,89.4409,87.6495,88.3423,1057587
2017-07-18,88.0849,88.659,87.7187,88.6392,394628
2017-07-19,88.7184,89.3122,87.9464,89.2726,507434
2017-07-20,89.3419,89.5893,87.214,87.3624,701055
2017-07-21,87.2635,87.5406,85.9471,86.5905,737103
2017-07-24,86.6004,86.9468,85.7393,86.056,834017
2017-07-25,76.7032,78.5045,73.2194,77.6731,6608510
2017-07-26,78.3758,78.3758,73.061,73.259,4425448
2017-07-27,73.2392,74.8623,72.6849,74.8425,2065663
2017-07-28,74.6347,74.9761,73.7612,74.2784,1201520
2017-07-31,74.2685,74.9118,74.2487,74.5852,980999
2017-08-01,72.8829,73.3282,71.8536,72.873,893899
2017-08-02,72.8829,73.3282,71.8536,72.873,893899
2017-08-03,72.8631,72.9917,71.7348,72.675,1327760
2017-08-04,72.8433,74.2685,72.5068,73.8726,559976
2017-08-07,73.1402,73.7182,72.0614,72.4672,569119
2017-08-08,73.1402,73.7182,72.0614,72.4672,569119
2017-08-09,72.0119,72.6651,71.5418,72.3286,524750
2017-08-10,72.1105,72.1898,71.2332,71.6446,881330
2017-08-11,71.7834,72.3484,71.5851,72.1799,1066628
2017-08-14,72.3683,72.5765,71.2976,71.3769,861039
2017-08-15,71.0894,71.2481,70.4153,71.0994,839068
2017-08-16,71.1588,71.595,70.8069,71.5455,711049
2017-08-17,71.2877,71.5752,70.6037,70.7226,1190299
2017-08-18,70.7028,70.7028,69.7922,70.2468,712662
2017-08-21,70.1873,70.2022,69.2356,69.6421,647055
2017-08-22,69.8701,70.2369,69.1464,70.1377,442426
2017-08-23,69.8106,70.0584,69.4041,69.4735,519144
2017-08-24,69.6916,69.989,69.2753,69.5429,627631
2017-08-25,69.8403,70.0882,69.2852,69.5925,652938
2017-08-28,69.8304,69.9395,69.6619,69.8503,518809
2017-08-29,69.424,70.336,69.397,70.0684,603338
2017-08-30,69.8106,70.0089,69.2753,69.8106,653708
2017-08-31,70.2567,70.2567,69.3149,69.9593,524691
