date,open,high,low,close,volume
2017-01-03,138.42,138.42,135.14,136.9,336577
2017-01-04,134.99,137.41,133.21,136.63,604790
2017-01-05,136.62,140.22,136.35,138.73,499992
2017-01-06,138.8,142.13,138.52,140.68,374418
2017-01-09,140.0,140.01,138.15,138.85,274232
2017-01-10,139.41,142.52,138.79,141.09,368600
2017-01-11,141.76,143.66,140.43,143.29,508862
2017-01-12,142.18,144.96,142.13,144.59,382941
2017-01-13,145.3,147.23,145.3,145.78,335476
2017-01-17,146.12,146.3,143.695,145.16,430538
2017-01-18,145.74,146.64,144.227,145.19,376871
2017-01-19,145.49,146.81,143.71,144.96,433137
2017-01-20,145.29,147.75,144.77,146.02,406848
2017-01-23,146.32,147.26,143.25,144.87,461222
2017-01-24,144.9,145.82,142.89,144.57,317930
2017-01-25,145.17,147.09,144.98,145.84,340088
2017-01-26,146.19,146.35,144.395,144.85,290936
2017-01-27,145.56,145.99,144.14,145.32,341880
2017-01-30,144.95,145.15,142.55,145.01,210843
2017-01-31,144.69,145.94,143.32,145.54,370407
2017-02-01,145.81,148.52,145.81,147.8,394767
2017-02-02,147.41,149.18,146.49,148.21,501840
2017-02-03,148.62,150.45,148.13,148.67,322297
2017-02-06,148.43,148.88,147.06,148.01,398270
2017-02-07,148.59,151.93,143.74,146.04,788873
2017-02-08,146.49,146.49,139.43,141.55,1182342
2017-02-09,142.08,144.19,140.82,142.97,672893
2017-02-10,143.0,143.94,142.14,142.55,523932
2017-02-13,142.87,144.13,142.683,143.76,509762
2017-02-14,143.76,144.45,142.23,142.66,706158
2017-02-15,142.98,144.4,141.38,141.55,619965
2017-02-16,139.98,142.42,137.9,141.15,614341
2017-02-17,139.34,139.8,136.67,137.45,524203
2017-02-21,137.56,140.0,137.56,139.71,304856
2017-02-22,139.42,140.6,138.17,139.18,354841
2017-02-23,139.54,139.815,138.56,139.12,405882
2017-02-24,138.78,140.56,138.16,140.56,366483
2017-02-27,139.91,142.75,139.91,141.56,903022
2017-02-28,140.5,142.63,140.19,141.2,483589
2017-03-01,142.96,144.76,142.44,143.97,430908
2017-03-02,143.8,144.57,142.85,143.58,378106
2017-03-03,143.26,143.59,142.2101,142.94,258078
2017-03-06,141.56,143.64,141.168,143.15,327496
2017-03-07,141.82,144.94,137.84,144.43,465285
2017-03-08,144.32,146.59,144.3,144.86,345803
2017-03-09,144.36,144.935,142.5,143.13,272780
2017-03-10,143.45,144.4,141.08,141.18,569231
2017-03-13,141.28,142.51,140.84,142.04,339137
2017-03-14,141.17,142.73,138.77,140.02,328711
2017-03-15,140.38,144.69,140.38,144.25,505781
2017-03-16,144.21,145.36,142.925,143.48,261911
2017-03-17,143.76,145.27,143.14,144.73,390658
2017-03-20,144.85,145.34,140.86,141.05,283609
2017-03-21,141.65,141.89,138.01,138.24,328043
2017-03-22,138.51,139.03,137.31,137.59,311344
2017-03-23,137.46,138.44,136.23,137.36,430235
2017-03-24,137.35,140.26,137.35,139.22,552372
2017-03-27,139.36,141.37,138.0,139.02,425286
2017-03-28,138.73,139.97,136.94,139.35,249824
2017-03-29,139.26,139.26,136.83,137.42,281895
2017-03-30,137.1,139.95,137.1,139.38,253918
2017-03-31,139.18,141.06,137.88,140.21,397275
2017-04-03,140.45,141.28,139.13,141.2,319963
2017-04-04,141.24,141.94,139.7,140.32,280636
2017-04-05,141.42,144.1,141.415,142.58,396470
2017-04-06,142.65,144.17,141.47,143.95,224265
2017-04-07,143.5,144.09,142.53,142.95,243826
2017-04-10,142.66,145.12,142.57,143.41,294912
2017-04-11,143.21,146.17,142.8,146.14,282342
2017-04-12,146.89,146.98,144.43,145.71,291310
2017-04-13,145.49,146.26,144.34,144.81,257990
2017-04-17,145.29,146.73,144.95,146.54,182476
2017-04-18,146.68,147.66,145.16,146.63,239758
2017-04-19,147.17,148.37,146.41,148.3,258917
2017-04-20,148.29,150.7,147.37,150.24,342574
2017-04-21,150.46,150.6,149.02,150.14,380059
2017-04-24,152.04,152.69,150.665,152.65,386370
2017-04-25,153.41,155.2,153.41,153.52,412297
2017-04-26,154.1,154.88,152.92,153.56,244219
2017-04-27,154.06,155.35,153.22,153.38,239805
2017-04-28,154.39,154.39,152.46,153.41,467277
2017-05-01,154.33,158.33,154.0,157.79,392940
