date,open,high,low,close,volume
2017-01-03,54.3941,54.4776,53.6707,54.2457,1678246
2017-01-04,54.2643,54.8671,54.1901,54.6631,1615602
2017-01-05,54.6445,54.8532,54.0046,54.7373,2157742
2017-01-06,54.4869,54.8022,54.255,54.5147,1505013
2017-01-09,54.626,54.8347,53.7727,53.7727,1576224
2017-01-10,53.8284,53.9814,53.4481,53.884,1317226
2017-01-11,53.7449,54.4776,53.68,54.3941,1290876
2017-01-12,54.4405,54.6074,54.0046,54.4405,1171427
2017-01-13,54.2828,54.6353,54.1437,54.4776,835277
2017-01-17,54.7651,55.2845,54.4869,55.0433,1221859
2017-01-18,54.9228,55.303,54.8391,55.0711,936129
2017-01-19,54.6074,54.7836,54.1066,54.3107,1229344
2017-01-20,54.3014,54.5332,53.9582,54.255,1381495
2017-01-23,54.4498,54.5611,54.0695,54.153,1148429
2017-01-24,54.153,54.3385,53.9768,54.1901,1066020
2017-01-25,53.986,54.2179,53.884,53.9211,1324374
2017-01-26,53.8469,54.2921,53.68,54.051,1187178
2017-01-27,54.255,54.3014,53.8748,54.0046,734314
2017-01-30,54.2457,54.2457,53.6058,53.986,1103870
2017-01-31,54.1808,54.7744,53.9304,54.7651,1969688
2017-02-01,54.051,54.2643,53.0586,53.0679,3887804
2017-02-02,52.7897,53.1653,51.9828,53.1606,3431123
2017-02-03,53.2812,53.6985,53.0122,53.4574,1667993
2017-02-06,53.6985,53.7171,53.1792,53.3183,1207573
2017-02-07,53.476,53.8006,53.2348,53.6985,1647593
2017-02-08,53.782,54.3756,53.6522,54.0973,1549874
2017-02-09,54.0788,54.3292,53.68,53.7449,1373133
2017-02-10,53.5109,53.9601,53.4548,53.8478,1974190
2017-02-13,53.9321,54.1847,53.6139,54.166,1022701
2017-02-14,54.0818,54.1099,53.2583,53.6794,1660215
2017-02-15,53.2583,53.5952,52.9962,53.3706,2095713
2017-02-16,53.4642,53.8104,53.2208,53.7917,2264469
2017-02-17,53.9227,53.9976,53.3425,53.8478,1469234
2017-02-21,53.7168,54.4561,53.5826,54.3438,1268587
2017-02-22,54.2596,54.7182,54.166,54.6527,1831552
2017-02-23,54.8398,55.6821,54.7416,55.4762,2731412
2017-02-24,55.7101,55.9441,55.5043,55.6727,3412420
2017-02-27,55.5698,55.8037,55.3826,55.7195,1774154
2017-02-28,55.5043,56.4682,55.5043,56.4027,3494478
2017-03-01,55.7382,56.4635,55.4388,56.0751,2915682
2017-03-02,55.8973,56.7957,55.7382,56.2716,2853953
2017-03-03,56.15,56.3372,54.9662,55.4856,2867434
2017-03-06,55.3732,55.5043,55.158,55.3452,3073394
2017-03-07,55.2984,55.7663,55.2142,55.4856,1776845
2017-03-08,55.027,55.0738,54.5123,54.6339,1566670
2017-03-09,54.6339,54.9896,54.3204,54.3813,1541511
2017-03-10,54.6527,54.9708,54.5497,54.9521,1456238
2017-03-13,54.8585,55.5136,54.8118,55.4388,2854395
2017-03-14,55.3826,55.6821,55.1767,55.3732,1681678
2017-03-15,55.5979,56.7489,55.5604,56.4495,2237783
2017-03-16,56.2716,56.2997,55.6678,55.8786,1830864
2017-03-17,56.1126,56.4682,55.8973,56.1594,3682720
2017-03-20,56.2061,56.4682,55.7008,55.8786,1279926
2017-03-21,55.8412,57.0437,55.8412,56.8425,1820578
2017-03-22,57.0484,57.5163,56.6179,56.9548,1888712
2017-03-23,56.8799,57.3759,56.6086,56.7864,1547900
2017-03-24,56.8519,57.4321,56.7489,57.1607,1576049
2017-03-27,57.4321,57.5818,56.7957,57.0671,2440558
2017-03-28,56.8987,57.2917,56.6741,57.2356,1554481
2017-03-29,57.0952,57.2449,56.7021,57.0203,1430043
2017-03-30,56.7864,56.9361,56.3091,56.5524,1374561
2017-03-31,56.4682,57.0203,56.3652,56.7396,1176562
2017-04-03,56.5805,56.7396,56.0476,56.7115,1669489
2017-04-04,56.6273,57.0016,56.515,56.7208,1227420
2017-04-05,56.8144,57.404,56.6366,57.3385,1567587
2017-04-06,57.1794,57.273,56.8004,56.9174,2061913
2017-04-07,57.1326,57.2262,56.4495,56.4869,2516888
2017-04-10,56.5337,56.7349,56.281,56.6647,2063259
2017-04-11,56.5898,56.8144,56.1968,56.7489,1867259
2017-04-12,56.6179,57.1981,56.5337,57.1794,1431840
2017-04-13,57.1794,57.2075,56.5524,56.7864,1469052
2017-04-17,56.9548,57.0766,56.7302,57.0297,1709750
2017-04-18,57.039,57.3198,56.8706,57.0484,1621807
2017-04-19,57.0016,57.0765,56.3746,56.5992,1717217
2017-04-20,56.4401,56.4401,55.785,55.9347,3188774
2017-04-21,55.9722,56.8145,55.9207,56.4307,2712141
2017-04-24,56.4214,56.8706,56.0377,56.8238,1890497
2017-04-25,56.6086,56.8799,56.4307,56.8332,1374901
2017-04-26,56.8144,57.0671,56.5618,56.6553,1580492
2017-04-27,56.6647,57.1981,56.6179,56.9267,1167721
2017-04-28,56.8332,56.8799,56.5055,56.6366,2859829
2017-05-01,56.6647,56.7208,56.2997,56.4682,1637651
2017-05-02,57.0016,57.2823,56.4775,56.7583,1515249
2017-05-03,56.7676,57.1139,56.7208,56.7864,1849734
2017-05-04,56.6179,57.3853,56.6179,57.3385,1782670
2017-05-05,57.5631,57.9936,57.5116,57.6473,1702564
2017-05-08,57.7222,57.7222,57.2262,57.6099,1175767
2017-05-09,57.5257,57.638,56.9922,57.0297,1489971
2017-05-10,57.2185,57.2279,56.7559,57.0391,1540610
2017-05-11,56.9447,57.1241,56.7429,57.0957,1724163
2017-05-12,57.1524,57.4733,57.0957,57.3789,963611
2017-05-15,57.3506,57.7187,57.1713,57.5866,1285460
2017-05-16,57.5583,57.747,57.1807,57.1901,1942415
2017-05-17,57.445,57.6621,57.058,57.3695,1415182
2017-05-18,57.5771,58.0009,57.0863,57.4922,1571045
2017-05-19,57.5488,57.7093,57.0863,57.5866,3581173
2017-05-22,57.3978,58.2567,57.3978,58.1246,1533499
2017-05-23,58.219,58.606,58.0491,58.1718,1862525
2017-05-24,58.1529,58.5965,58.0868,58.4833,1305912
2017-05-25,58.4833,59.0638,58.3322,58.9741,1073983
2017-05-26,58.9741,59.2288,58.8986,58.9458,859104
2017-05-30,58.9458,59.1912,58.8419,59.059,1271391
2017-05-31,59.0968,59.4366,59.0968,59.2384,2021441
2017-06-01,59.0873,59.6254,58.8325,59.6254,1471457
2017-06-02,59.9274,60.069,59.5593,60.0029,1618827
2017-06-05,59.9085,59.9463,59.3988,59.5027,1189901
2017-06-06,59.5876,59.682,59.1723,59.3139,1659273
2017-06-07,59.3988,59.918,59.1723,59.8236,1165147
2017-06-08,59.7198,59.8047,59.0402,59.446,1446052
2017-06-09,59.1912,59.6159,59.0496,59.5876,1046874
2017-06-12,59.6254,59.9935,59.3044,59.7198,1905392
2017-06-13,59.7198,59.8236,59.4177,59.7764,689164
2017-06-14,60.2106,60.4749,59.984,60.1823,1261340
2017-06-15,60.1256,60.3994,59.8991,60.2955,1717804
2017-06-16,60.4088,60.758,60.305,60.6259,2648879
2017-06-19,60.5693,60.5693,59.984,60.2483,1199042
2017-06-20,60.3333,60.5976,60.22,60.5409,912835
2017-06-21,60.5504,60.607,59.8236,60.2861,995182
2017-06-22,60.2106,60.4324,60.0124,60.0596,1014400
2017-06-23,60.0407,60.3195,59.7198,59.8991,1447655
2017-06-26,59.5687,60.4206,59.38,60.0784,1370973
2017-06-27,59.7764,59.8708,58.9741,59.1534,1353904
2017-06-28,59.4083,59.4555,58.6815,58.7004,1527500
2017-06-29,58.3039,58.3039,57.8037,58.0208,1680126
2017-06-30,58.1623,58.3134,57.8225,57.9358,1669219
2017-07-03,58.0963,58.2001,57.6007,57.681,637873
2017-07-05,57.6998,57.6998,57.1618,57.4167,1152096
2017-07-06,57.2562,57.4827,57.1335,57.3128,1395131
2017-07-07,57.3412,57.7282,57.2279,57.5016,1442955
2017-07-10,57.596,57.7376,57.4072,57.4072,1814725
2017-07-11,57.5111,57.5299,57.0769,57.4261,1308724
2017-07-12,57.7659,58.0255,57.7315,57.9264,1682474
2017-07-13,57.7659,57.8603,57.3789,57.4167,1877986
2017-07-14,57.7659,57.983,57.5866,57.7942,1039385
2017-07-17,57.7942,58.1529,57.596,58.1435,1176871
2017-07-18,58.2379,58.757,58.1246,58.6248,2388478
2017-07-19,58.6532,59.2478,58.4738,59.1817,2174249
2017-07-20,59.3516,59.4555,59.0024,59.2667,1491362
2017-07-21,59.2289,59.8236,59.1393,59.8141,1040874
2017-07-24,59.833,59.9368,58.8939,58.993,1357911
2017-07-25,59.0024,59.0779,58.5682,58.6909,993737
2017-07-26,58.5588,59.2101,58.4266,59.1062,1745324
2017-07-27,59.0496,59.1534,58.5871,58.993,1308926
2017-07-28,58.9269,59.1157,58.7004,58.8608,1259991
2017-07-31,58.8986,59.4932,58.8231,59.4366,1351330
