date,open,high,low,close,volume
2017-01-03,59.5324,59.5324,58.4014,58.6986,2085033
2017-01-04,58.6454,59.355,58.4591,59.151,2070740
2017-01-05,59.7099,60.6058,58.8937,60.4728,2227976
2017-01-06,60.3929,60.9252,59.8695,60.7211,1908648
2017-01-09,60.8542,61.0822,60.3042,60.6768,1806565
2017-01-10,60.2332,60.2332,58.6542,58.8316,3252208
2017-01-11,58.8228,59.4881,58.2905,58.9026,2741114
2017-01-12,58.6276,59.3994,58.3526,59.3018,1611412
2017-01-13,59.1953,59.5058,58.7341,59.1333,1156540
2017-01-17,59.5058,60.0026,59.3816,59.701,1469251
2017-01-18,59.6832,59.9937,59.4082,59.5058,2514796
2017-01-19,59.1776,59.2929,58.5833,58.9026,1770255
2017-01-20,58.6897,59.2562,58.3792,59.222,1540751
2017-01-23,59.3018,60.1534,59.0002,60.0381,1884673
2017-01-24,59.8961,60.3131,59.3905,59.701,1865794
2017-01-25,59.6566,59.8252,58.5744,58.8671,1571058
2017-01-26,58.9736,59.3372,58.4945,58.672,1714592
2017-01-27,58.876,59.0889,58.2601,58.4945,1189199
2017-01-30,58.601,59.0676,58.2816,58.8494,1264225
2017-01-31,58.9736,59.4526,58.6939,58.8139,2561945
2017-02-01,58.6808,59.1421,57.8736,57.9002,2041482
2017-02-02,58.0333,58.947,58.0066,58.8494,1727143
2017-02-03,59.0202,59.5864,58.5437,58.8134,1802357
2017-02-06,58.9303,59.6673,58.8134,59.4786,1807886
2017-02-07,59.6224,59.928,59.128,59.2089,1406851
2017-02-08,59.2359,59.7123,59.2359,59.3527,2013303
2017-02-09,59.3348,59.5594,58.6067,58.7775,1653320
2017-02-10,58.6786,59.2224,58.4718,59.2089,1461978
2017-02-13,59.3258,59.8561,58.9303,59.5864,1747041
2017-02-14,59.7213,59.7572,58.31,58.8853,1346764
2017-02-15,58.6426,59.0471,58.0943,58.9482,1692789
2017-02-16,59.0291,60.1258,59.0291,59.3977,1347396
2017-02-17,59.7033,59.901,58.7685,59.2539,2199334
2017-02-21,59.3527,60.3055,58.8853,60.1707,2031409
2017-02-22,60.9527,61.4031,60.3235,60.8539,2667328
2017-02-23,61.1505,61.9775,60.755,61.8876,1773338
2017-02-24,61.8516,63.0112,61.3213,62.9752,2476806
2017-02-27,62.8404,63.3977,62.7055,62.9572,1572814
2017-02-28,62.9572,63.5774,62.7954,63.2628,2360925
2017-03-01,62.6966,63.0201,62.0314,62.4539,2405909
2017-03-02,62.2291,62.9572,61.7977,62.8763,2183800
2017-03-03,62.8673,62.8673,61.8606,62.5348,1450036
2017-03-06,62.0943,62.4898,61.3482,61.6089,1477410
2017-03-07,61.4022,61.6765,60.8449,61.564,1218098
2017-03-08,60.9527,61.1235,60.1977,60.2426,1869016
2017-03-09,60.1977,60.3325,58.9572,59.146,1913807
2017-03-10,59.3258,60.1527,59.0966,59.4786,2174292
2017-03-13,59.4786,59.919,58.7415,59.3258,2061178
2017-03-14,59.1999,59.4516,58.6606,59.3707,1726433
2017-03-15,59.5685,60.5482,59.4336,60.4404,2294769
2017-03-16,60.2246,60.728,60.1527,60.4853,1708981
2017-03-17,60.6202,61.0606,60.2876,60.4763,3462727
2017-03-20,61.0876,61.3033,60.4134,60.9258,2160784
2017-03-21,61.0426,61.2673,60.6831,60.9617,1933198
2017-03-22,61.1235,61.8426,60.9707,61.7168,1740100
2017-03-23,61.7527,63.1909,61.519,62.5617,2576249
2017-03-24,62.7235,62.8943,62.4988,62.6246,2364081
2017-03-27,62.6966,63.6224,62.5168,63.0381,2424385
2017-03-28,62.9482,63.5325,62.7775,63.4696,1931410
2017-03-29,63.3977,63.8921,63.3168,63.7572,2334579
2017-03-30,63.5774,63.8022,63.146,63.6224,1818718
2017-03-31,63.5055,63.946,63.3527,63.6583,2650445
2017-04-03,63.6583,64.0449,63.3707,63.955,2027353
2017-04-04,63.7842,63.955,63.3258,63.4426,2834835
2017-04-05,63.4606,64.2966,63.3168,64.0898,2141348
2017-04-06,64.0179,64.5932,63.6673,64.3415,2190189
2017-04-07,64.3864,65.1505,64.3864,64.9527,2163490
2017-04-10,64.9617,65.6441,64.737,65.519,1676819
2017-04-11,65.51,65.6988,65.2943,65.4291,1274803
2017-04-12,65.4291,65.7707,65.1235,65.555,1523305
2017-04-13,65.519,65.9055,65.3392,65.4831,1819299
2017-04-17,65.7527,66.0314,65.6539,65.9685,1304026
2017-04-18,66.0134,66.9662,65.8966,66.7325,2449017
2017-04-19,66.6696,66.7415,66.1303,66.3999,2300680
2017-04-20,66.301,66.6157,66.1482,66.5797,1617677
2017-04-21,66.346,66.7684,66.1213,66.2291,2306779
2017-04-24,66.3999,66.4673,64.2067,65.1685,2955251
2017-04-25,65.1595,65.3752,64.8539,65.3213,1112316
2017-04-26,65.1055,65.1505,64.4314,64.5662,1562637
2017-04-27,64.6831,65.3977,64.2876,64.8628,1287730
2017-04-28,64.764,64.764,63.4426,64.2157,1922706
2017-05-01,64.2966,64.7111,63.7572,63.9999,1670932
2017-05-02,64.0898,64.2157,63.2898,63.5954,2528622
2017-05-03,63.8022,63.964,62.5258,62.7505,2182102
2017-05-04,62.6966,62.9258,61.9775,62.7954,1971596
2017-05-05,62.7226,63.651,62.5769,63.5327,1888206
2017-05-08,63.6692,63.681,62.8136,63.4599,1813181
2017-05-09,63.4872,63.5418,62.495,62.8318,1659882
2017-05-10,62.9592,63.8968,62.668,63.7238,1498416
2017-05-11,63.5327,65.1437,63.205,65.08,1856261
2017-05-12,65.253,65.8082,65.0709,65.3986,2421054
2017-05-15,65.5351,66.1177,65.1801,65.2257,1496614
2017-05-16,65.344,65.5169,64.6795,65.171,1395342
2017-05-17,65.2348,66.3361,65.0436,65.7718,2539984
2017-05-18,65.8264,66.5364,65.4441,66.3816,1942588
2017-05-19,66.6365,66.8549,65.8628,66.6638,1910919
2017-05-22,66.6274,66.9642,66.3316,66.8094,1664714
2017-05-23,66.9278,67.2918,66.6456,66.6729,1647723
2017-05-24,66.8276,67.2554,66.8094,66.9278,1124378
2017-05-25,66.9733,67.128,66.5455,66.591,1248940
2017-05-26,66.7457,66.8822,65.8719,66.0175,1381528
2017-05-30,65.9902,66.418,65.8446,65.9902,1245206
2017-05-31,65.9993,66.418,65.8888,66.0266,2493414
2017-06-01,65.881,66.4635,65.344,66.4089,1495177
2017-06-02,66.7548,67.4375,66.6638,67.1644,1484159
2017-06-05,66.9642,67.037,66.5182,66.8731,874212
2017-06-06,67.0006,67.037,66.4089,66.4726,884553
2017-06-07,66.4726,66.7912,66.3179,66.6092,1341027
2017-06-08,66.6001,66.7639,65.6307,66.3543,1110845
2017-06-09,66.2997,66.9551,65.9083,66.8549,1231599
2017-06-12,66.864,67.5012,66.5,67.392,2035312
2017-06-13,67.3191,67.665,67.0552,67.483,1555454
2017-06-14,68.2111,68.8028,67.504,67.756,2332086
2017-06-15,67.4921,68.4569,67.4011,67.9654,1722003
2017-06-16,68.1019,69.2397,67.9927,68.8119,3944156
2017-06-19,68.8756,69.4035,68.6754,69.4035,2035202
2017-06-20,69.449,70.2955,69.1942,70.0134,2215080
2017-06-21,70.0316,70.2682,69.6584,70.2227,1762946
2017-06-22,70.1226,70.7233,69.804,70.5322,1638848
2017-06-23,70.3774,71.1511,70.1954,70.4776,2210166
2017-06-26,70.696,70.9964,70.2409,70.6869,1107704
2017-06-27,70.4685,70.8052,69.5036,69.6311,1476808
2017-06-28,69.6493,70.2864,69.2124,69.6584,1367135
2017-06-29,69.3216,69.4763,67.7742,67.8107,2109900
2017-06-30,68.111,68.6116,67.756,68.1292,1903072
2017-07-03,68.3932,69.0941,68.0291,68.9575,934921
2017-07-05,68.9848,68.9848,67.9472,68.3477,1350956
2017-07-06,68.0473,68.0473,66.4635,66.5091,1490071
2017-07-07,66.5364,66.6729,65.6808,66.3543,1527232
2017-07-10,66.4818,66.6183,65.9811,66.0175,1118028
2017-07-11,66.0631,66.3543,65.6079,66.0904,984365
2017-07-12,66.5637,67.2918,66.5637,67.0916,1020788
2017-07-13,66.9369,67.0461,66.5455,66.7184,956381
2017-07-14,67.2554,67.4466,66.9323,67.128,1087680
2017-07-17,67.1007,67.5285,66.9095,67.219,1286279
2017-07-18,67.2827,67.6468,67.0279,67.4011,1255728
2017-07-19,67.3647,67.6013,66.9642,67.4739,1190693
2017-07-20,67.6468,67.8016,67.0643,67.0825,1327060
2017-07-21,67.0552,67.5285,66.7184,67.2918,1227350
2017-07-24,67.3191,67.4275,66.2633,66.5819,1855047
2017-07-25,66.7275,66.7639,65.7991,66.4544,1623925
2017-07-26,66.4818,66.9733,66.1359,66.7093,1007731
2017-07-27,66.4453,66.8549,65.7172,66.2542,1396760
2017-07-28,67.7196,67.7196,65.9629,66.5091,1365187
2017-07-31,66.6365,67.0006,65.8992,66.8003,2128558
2017-08-01,66.5092,66.6289,66.0302,66.1683,1361389
2017-08-02,65.6444,65.9438,65.3805,65.9265,1455975
2017-08-03,65.9265,66.6092,65.435,66.5,1632550
2017-08-04,66.5092,66.6289,66.0302,66.1683,1361389
2017-08-07,66.1683,66.6289,65.7538,66.2512,1253081
2017-08-08,66.0854,66.4907,65.8459,66.2697,1535993
2017-08-09,66.3249,66.5092,65.5636,65.6248,1222351
2017-08-10,65.5972,65.892,64.9616,65.0353,1486133
2017-08-11,65.3024,65.3024,64.3444,64.851,1346528
2017-08-14,65.0629,66.3065,64.9432,66.0946,1605665
2017-08-15,65.9196,65.9196,65.2379,65.6248,1590694
2017-08-16,65.8183,66.675,65.6709,66.3249,1661414
2017-08-17,66.0762,66.5552,65.4959,65.4959,1368474
2017-08-18,65.5972,65.6617,64.9984,65.0813,1403730
2017-08-21,65.1919,66.4631,65.0076,66.3065,1378290
2017-08-22,66.3065,66.3986,65.1781,65.3393,1176650
2017-08-23,65.3116,66.1407,65.1797,65.938,930152
2017-08-24,65.8736,66.3065,65.6893,65.7814,1510262
2017-08-25,66.1315,66.6473,66.0025,66.2512,1300762
2017-08-28,66.3341,66.417,65.4959,65.6248,931688
2017-08-29,65.8551,66.5368,65.7538,66.2604,1509339
2017-08-30,66.1499,66.979,66.1407,66.7947,2275484
2017-08-31,67.0711,67.6238,66.8961,67.4488,2598013
2017-09-01,67.458,67.9646,67.4211,67.8633,1731227
2017-09-05,68.0383,68.5358,67.8357,68.2226,2400387
2017-09-06,68.3792,68.7476,67.6699,67.8633,2253689
2017-09-07,68.0015,68.3699,67.6929,68.1581,1085289
