date,open,high,low,close,volume
2017-01-03,52.1258,52.7625,51.9291,52.4348,22063790
2017-01-04,52.5846,52.7223,52.0705,52.4816,15036148
2017-01-05,51.9572,52.2662,51.0069,51.667,18831628
2017-01-06,51.7419,52.0284,51.2175,51.5359,18715908
2017-01-09,51.1988,51.3205,50.7306,50.7868,21794061
2017-01-10,50.8898,51.667,50.8055,51.1426,17978219
2017-01-11,51.1239,51.3112,50.2999,51.3112,21100589
2017-01-12,51.1707,51.2924,50.4685,51.0303,20566603
2017-01-13,51.6014,52.622,51.1707,51.7887,37231593
2017-01-17,51.3112,51.461,50.1688,50.3561,26974416
2017-01-18,50.3561,50.8336,49.9441,50.8149,21186749
2017-01-19,50.7868,51.2784,50.431,51.1052,20906892
2017-01-20,51.2644,51.6014,51.1426,51.564,24160823
2017-01-23,51.2269,51.4984,50.7026,50.7962,17227385
2017-01-24,50.8992,51.564,50.6838,51.2175,18523327
2017-01-25,51.8542,53.2119,51.7606,53.0153,32252075
2017-01-26,53.0059,53.6765,52.9872,53.5396,23769752
2017-01-27,53.3992,53.4741,52.8187,52.9872,17185970
2017-01-30,52.5471,52.7353,52.2007,52.5097,15961389
2017-01-31,52.416,52.7906,52.2475,52.7438,22409081
2017-02-01,53.3,53.7996,52.5741,52.7061,21157698
2017-02-02,52.3808,52.7532,52.2253,52.5552,13044449
2017-02-03,53.6205,54.0023,53.1963,53.9881,19879774
2017-02-06,53.809,54.1201,53.2528,53.3094,13940158
2017-02-07,53.6016,53.9127,53.0451,53.1114,14937421
2017-02-08,52.9889,52.9889,52.0037,52.4421,18592180
2017-02-09,52.772,53.5168,52.4798,53.4791,15907818
2017-02-10,53.7524,53.7713,53.4131,53.6016,12268103
2017-02-13,53.7996,54.2153,53.6299,53.809,15325274
2017-02-14,53.8561,54.6763,53.7242,54.6574,16382857
2017-02-15,54.7706,55.6237,54.5726,55.1948,25350371
2017-02-16,55.0157,55.0157,54.2144,54.7894,14694501
2017-02-17,54.2804,54.7706,54.1578,54.7611,15783230
2017-02-21,54.912,55.2702,54.582,54.912,16916750
