date,open,high,low,close,volume
2017-01-03,28.1868,28.7892,27.7463,28.2857,5750551
2017-01-04,28.2857,28.3936,27.9351,28.1958,4273897
2017-01-05,28.2498,28.6903,28.1059,28.5375,7443734
2017-01-06,28.6903,29.3916,28.5734,29.1489,5847221
2017-01-09,28.8252,29.1129,28.5015,28.7083,6145323
2017-01-10,25.6693,26.02,25.5884,25.6244,105692958
2017-01-11,25.6873,25.9391,25.4095,25.8761,21372116
2017-01-12,25.9301,26.0033,25.6693,25.8042,13638948
2017-01-13,25.7323,25.9031,25.6199,25.6783,7703767
2017-01-17,25.8492,25.8492,25.1658,25.5704,9665888
2017-01-18,25.6334,25.7143,25.2236,25.4805,9571972
2017-01-19,25.4715,25.6693,25.3007,25.5794,6709853
2017-01-20,25.6693,25.7053,25.1658,25.3636,11521660
2017-01-23,25.5794,25.6064,25.2063,25.3636,9476681
2017-01-24,25.4356,25.7323,25.2333,25.6064,10927444
2017-01-25,25.5614,25.9301,25.4985,25.9031,7551393
2017-01-26,26.038,26.2807,25.9211,26.047,11390516
2017-01-27,25.8761,25.966,25.2647,25.6244,7952866
2017-01-30,25.5345,25.5794,24.9501,25.3277,7033319
2017-01-31,25.4985,25.984,25.3816,25.9301,13708862
2017-02-01,26.0739,26.2717,25.3547,25.4715,8535276
2017-02-02,25.5614,25.7862,25.2018,25.7503,4914350
2017-02-03,25.8312,26.0649,25.7233,25.975,4755408
2017-02-06,26.3437,26.6943,26.0739,26.2358,9897698
2017-02-07,26.011,26.2627,25.5839,25.6514,5653607
2017-02-08,25.4895,25.6612,25.0849,25.4446,7744958
2017-02-09,25.6693,26.1548,25.6693,25.7772,5639898
2017-02-10,26.011,26.011,25.5255,25.5704,6219709
2017-02-13,25.5165,26.1459,25.5075,26.1099,4798129
2017-02-14,26.0829,26.2755,25.7592,25.975,10654782
2017-02-15,25.9301,26.1683,25.8492,26.0649,5023455
2017-02-16,26.1638,26.2538,25.1389,25.1658,11752910
2017-02-17,25.1389,25.5974,25.1299,25.3547,6406274
2017-02-21,25.6154,26.0425,25.5209,25.957,7566189
2017-02-22,25.6873,25.8941,24.9141,25.1748,15363515
2017-02-23,25.5255,25.6514,25.1299,25.4176,9522991
2017-02-24,25.3097,25.3906,24.8871,25.1479,8715689
2017-02-27,25.2108,25.5614,25.1299,25.3097,9119472
2017-02-28,25.2827,25.9211,25.2557,25.4805,10093383
2017-03-01,25.8761,26.1054,25.7413,25.8851,8215872
2017-03-02,25.6424,26.4426,25.5075,26.1099,9408965
2017-03-03,26.1189,26.8651,26.047,26.6583,6797536
2017-03-06,26.5415,26.8517,26.3347,26.8202,6454588
2017-03-07,26.8292,26.9101,26.2313,26.4516,7527521
2017-03-08,26.4334,26.5242,25.8974,25.9338,8697600
2017-03-09,25.7884,26.2245,25.5296,26.2063,7369029
2017-03-10,26.3789,26.4697,26.0519,26.2699,7794391
2017-03-13,26.1518,26.4425,26.0791,26.2063,4649166
2017-03-14,25.9065,26.0382,25.5159,25.5341,4882092
2017-03-15,25.852,26.279,25.6885,26.1972,6635814
2017-03-16,26.2517,26.288,25.9519,26.0065,6554163
2017-03-17,26.0337,26.2063,25.8641,25.9519,12353324
2017-03-20,25.8793,26.3607,25.8429,26.1064,5279228
2017-03-21,26.2335,26.4152,25.4342,25.7612,7804052
2017-03-22,25.7794,26.0065,25.525,25.8339,5845765
2017-03-23,25.8429,25.9701,25.6522,25.7975,4898274
2017-03-24,25.961,26.2699,25.8929,26.061,4886256
2017-03-27,25.7975,26.0791,25.6613,26.0337,4361080
2017-03-28,26.179,26.3244,25.7884,25.9701,10944920
2017-03-29,25.9701,26.8058,25.902,26.6514,8425484
2017-03-30,26.7786,26.7786,26.3698,26.397,13721493
2017-03-31,26.397,26.9693,26.397,26.8785,9239803
2017-04-03,26.8876,27.1147,26.5878,27.1056,8659061
2017-04-04,27.1237,27.2418,26.8331,27.1782,4859490
2017-04-05,27.2782,27.5507,26.8621,26.9421,7594432
2017-04-06,27.0874,27.4871,26.9151,27.478,5870014
2017-04-07,27.6143,27.7959,27.4871,27.5688,6736846
2017-04-10,27.7323,27.7868,27.5779,27.7233,4685014
2017-04-11,27.7233,27.8777,27.4326,27.5779,4207928
2017-04-12,27.6869,27.8777,27.3962,27.5961,5303783
2017-04-13,27.6324,27.7323,27.2464,27.3054,3898683
2017-04-17,27.3872,27.7596,27.3508,27.4144,5114511
2017-04-18,27.4053,27.7596,27.1964,27.6324,5411685
2017-04-19,27.6688,27.7778,27.2691,27.4598,5757546
2017-04-20,27.4962,27.7005,27.2872,27.4871,4967222
2017-04-21,27.4053,27.4689,26.9966,27.26,7497355
2017-04-24,27.4235,27.5416,27.21,27.2327,4966087
2017-04-25,27.2055,28.0321,27.1328,27.9867,10917523
2017-04-26,27.7778,28.1774,27.7323,27.9594,7149115
2017-04-27,27.7868,28.0684,27.5688,27.9322,5240066
2017-04-28,28.0139,28.0139,27.6506,27.8232,5962496
2017-05-01,27.8232,28.0321,27.6778,27.9776,4483708
2017-05-02,27.9231,27.9958,27.478,27.5507,5965860
2017-05-03,27.4689,28.0775,27.3962,27.8958,10180618
2017-05-04,27.5325,27.7051,26.556,26.824,13769529
2017-05-05,26.8149,27.5098,26.7695,27.478,5970607
2017-05-08,27.6324,27.8504,27.319,27.8232,5142161
2017-05-09,27.7414,27.7859,27.1419,27.3054,4637619
2017-05-10,27.5053,28.023,27.4235,27.9413,7436200
2017-05-11,27.9322,28.0049,27.4417,27.4962,7316749
2017-05-12,27.5234,27.6506,27.2237,27.5416,6050229
2017-05-15,28.0049,28.3864,27.8686,27.9594,6649126
2017-05-16,28.0412,28.1139,27.6915,27.8141,2899200
2017-05-17,27.6052,27.7505,27.2963,27.3327,4518283
2017-05-18,27.0329,27.3962,27.0057,27.1601,5336493
2017-05-19,27.3417,27.6506,27.2555,27.4326,7059752
2017-05-22,27.5779,27.6324,27.2146,27.4689,3610789
2017-05-23,27.5507,27.914,27.5234,27.696,4019716
2017-05-24,27.6143,27.8777,27.2872,27.5053,4757929
2017-05-25,27.4689,27.8141,27.0238,27.1237,7004092
2017-05-26,27.1419,27.16,26.7059,26.9693,5106338
2017-05-30,26.7513,26.8512,26.0246,26.061,7473742
2017-05-31,25.8429,26.0519,25.525,25.9792,10644564
2017-06-01,25.9792,26.3607,25.9792,26.17,3667948
2017-06-02,26.0882,26.2517,25.8702,26.2335,5130810
2017-06-05,26.0882,26.4425,25.9974,26.3335,4525750
2017-06-06,26.2063,26.6332,26.1518,26.5696,5110285
2017-06-07,26.5237,26.7899,26.1199,26.3677,5110418
2017-06-08,26.2668,26.8908,26.23,26.5513,7809310
2017-06-09,26.588,27.0377,26.5604,26.9734,4768175
2017-06-12,27.0652,27.1754,26.7348,27.0469,5977616
2017-06-13,27.0193,27.2488,26.9689,27.1203,5917248
2017-06-14,27.1203,27.1478,26.2117,26.4228,5931807
2017-06-15,26.2851,26.6247,25.8997,25.9731,5195126
2017-06-16,26.175,26.8082,26.1566,26.7256,8328096
2017-06-19,26.744,26.8082,26.3769,26.4962,3869380
2017-06-20,26.2025,26.2025,25.7069,26.0924,8115814
2017-06-21,26.23,26.3769,25.4454,25.5601,7249481
2017-06-22,25.6243,25.8813,25.3765,25.8538,5991810
2017-06-23,25.8997,26.4136,25.762,26.3861,9003049
2017-06-26,26.3952,26.6614,26.23,26.588,3844556
2017-06-27,26.6889,27.056,26.6614,26.7715,7548305
2017-06-28,26.7991,27.3864,26.7594,27.3038,8364046
2017-06-29,27.3681,27.7627,27.2763,27.3497,11878076
2017-06-30,27.4966,27.9233,27.3864,27.7903,6854375
2017-07-03,27.983,28.4694,27.9463,28.295,3062085
2017-07-05,28.2124,28.2675,27.7352,27.8545,6948856
2017-07-06,27.9922,28.24,27.8086,27.9646,5590599
2017-07-07,27.9555,28.0472,27.7214,27.9096,6245917
2017-07-10,27.8912,28.0656,27.7719,27.9371,4915587
2017-07-11,27.9371,28.0014,27.6985,27.9279,3698109
2017-07-12,28.2859,28.4786,28.1574,28.2583,4098041
2017-07-13,28.3868,28.6713,28.2675,28.5979,3801438
2017-07-14,28.5612,29.0293,28.552,28.8457,4441069
2017-07-17,28.8182,29.0201,28.7631,28.8549,2592651
2017-07-18,29.0384,29.1486,28.5796,28.5887,4599676
2017-07-19,28.5887,28.7631,28.4144,28.6805,5844619
2017-07-20,28.8824,29.2358,28.6851,28.8457,6070893
2017-07-21,28.8549,29.0476,28.7172,28.8641,5769625
2017-07-24,28.9375,29.1578,28.9375,29.066,4586143
2017-07-25,29.3413,29.4973,28.9926,29.0017,4716134
2017-07-26,29.121,29.4331,28.9558,29.0109,4663029
2017-07-27,28.965,29.3826,28.9283,29.3505,4622626
2017-07-28,29.2954,29.534,29.2495,29.3597,3464894
2017-07-31,29.3688,29.4331,28.9834,29.1669,3355569
2017-08-01,28.5704,28.689,28.3685,28.4327,4362331
2017-08-02,28.91,29.1256,28.7906,29.0384,3942837
2017-08-03,28.2033,28.9008,27.9922,28.5061,5006683
2017-08-04,28.5704,28.689,28.3685,28.4327,4362331
2017-08-07,28.3501,28.5061,28.1298,28.4694,5057262
2017-08-08,28.3685,28.552,27.8912,27.983,5710441
2017-08-09,28.0197,28.3822,27.9463,28.1115,3547131
2017-08-10,28.1207,28.2033,27.5425,27.5792,3679890
2017-08-11,27.5792,27.7627,27.4966,27.6067,2391786
