date,open,high,low,close,volume
2017-01-03,47.7611,48.1518,47.2309,47.6402,1026224
2017-01-04,47.8913,48.5284,47.603,48.3564,1225205
2017-01-05,48.0215,48.9796,47.9471,48.5796,937151
2017-01-06,48.8121,49.1749,48.3025,48.8214,1139150
2017-01-09,48.6959,49.24,48.1518,48.5517,987985
2017-01-10,48.4866,48.7098,48.0587,48.4401,1342558
2017-01-11,48.4215,49.0075,48.1332,48.7656,979437
2017-01-12,48.4773,48.7284,47.5379,48.561,1317750
2017-01-13,48.8121,49.1377,48.3657,48.6912,1377569
2017-01-17,48.4401,48.5378,47.417,47.8634,1128508
2017-01-18,47.9657,48.5145,47.71,48.068,1100618
2017-01-19,47.9192,48.3098,47.51,47.696,589493
2017-01-20,48.0029,48.9051,47.8634,48.561,1236732
2017-01-23,48.5703,49.4911,48.4122,49.4446,1577188
2017-01-24,49.9376,51.3606,49.8539,50.2724,3313795
2017-01-25,50.4677,52.1977,50.4677,51.7327,2723966
2017-01-26,51.5653,52.0396,50.5235,50.6165,1904874
2017-01-27,51.649,51.7699,50.0027,50.1422,1464984
2017-01-30,50.1887,50.1887,49.0633,50.0027,1331534
2017-01-31,50.0027,50.5979,49.1191,49.6306,1343902
2017-02-01,49.7329,50.3375,48.6354,49.4911,1246129
2017-02-02,50.1794,50.1794,48.4774,49.9097,2106806
2017-02-03,50.1143,51.0165,50.0399,50.5328,1436956
2017-02-06,50.1422,50.5514,49.7143,50.4119,1498445
2017-02-07,50.6165,51.4164,50.0213,50.1329,2154713
2017-02-08,50.1891,52.1663,49.2989,50.6202,4015257
2017-02-09,50.592,50.592,48.7929,49.0178,1968877
2017-02-10,49.2802,49.5791,48.8678,49.1771,1408082
2017-02-13,49.3645,50.1235,48.8772,49.3832,1873507
2017-02-14,49.5425,50.3484,49.3926,50.1516,1464220
2017-02-15,50.1235,50.8169,50.1235,50.4702,2022245
2017-02-16,50.5733,51.3698,50.489,50.9106,1707350
2017-02-17,50.7607,50.7607,49.2052,49.3457,2448489
2017-02-21,49.3832,50.5546,49.2333,50.4421,2297448
2017-02-22,50.1704,50.4046,49.5519,49.8424,1109032
2017-02-23,50.2641,50.592,49.655,49.983,1735109
2017-02-24,50.1048,50.3578,49.505,50.0673,1089181
2017-02-27,49.8237,50.6014,49.6737,50.3484,895365
2017-02-28,50.3953,50.4609,50.0485,50.339,1620258
2017-03-01,50.8169,51.5947,50.6295,51.1262,1339754
2017-03-02,50.9294,51.2199,50.5827,50.6483,1266953
2017-03-03,50.6389,50.742,50.0579,50.6389,919166
2017-03-06,50.086,50.2922,48.4649,48.8772,2382195
2017-03-07,48.6898,48.9147,47.5934,47.6965,2122110
2017-03-08,48.0713,48.6242,47.809,48.0713,3310439
2017-03-09,47.9776,48.1651,47.3499,47.7246,1793353
2017-03-10,48.0151,48.5867,47.6965,48.0151,1467842
2017-03-13,48.1182,48.5399,47.9308,48.0901,1024916
2017-03-14,47.6309,47.9402,47.3967,47.6684,944762
2017-03-15,48.0151,48.732,47.7059,48.5305,1034977
2017-03-16,48.7835,49.4301,48.7273,49.149,1520551
2017-03-17,49.1864,49.5144,48.9803,49.0834,2695428
2017-03-20,49.1396,49.8049,48.643,49.7487,1358982
2017-03-21,49.6737,50.0392,48.0245,48.24,2010716
2017-03-22,48.2869,49.2802,48.0807,49.1583,1229253
2017-03-23,49.1021,50.0392,48.9803,49.58,964766
2017-03-24,49.58,49.7955,48.746,49.1021,1274647
2017-03-27,48.5586,48.5586,47.5747,48.3525,1540954
2017-03-28,48.3337,49.744,48.1182,49.5332,1353235
2017-03-29,49.2146,49.4207,48.7273,48.7554,1497106
2017-03-30,48.568,49.3364,48.4274,49.252,1028191
2017-03-31,49.0834,49.1769,48.6195,48.7554,1640208
2017-04-03,48.6617,49.0646,47.7509,48.0057,1611546
2017-04-04,47.734,48.4274,47.6028,48.3056,1316805
2017-04-05,48.7741,49.0927,48.2588,48.3525,1231541
2017-04-06,48.3899,48.9147,48.062,48.6055,906508
2017-04-07,48.4555,48.5399,47.7715,47.8652,1342753
2017-04-10,47.9214,48.3525,47.6216,47.9683,788436
2017-04-11,47.6965,47.837,47.1905,47.7809,869349
2017-04-12,47.7059,47.8558,46.5627,46.6939,1473752
2017-04-13,46.469,46.8299,46.1316,46.2347,1329624
2017-04-17,46.4502,47.0453,46.394,46.9937,1260889
2017-04-18,46.722,47.9027,46.722,47.4435,2180740
2017-04-19,48.568,49.7955,48.5024,49.5706,3405410
2017-04-20,50.0298,50.2828,49.655,49.7393,1736401
2017-04-21,49.7112,50.1141,49.4582,49.6831,1619962
2017-04-24,50.3297,50.9481,50.2922,50.6202,2196669
