date,open,high,low,close,volume
2017-01-03,20.0864,20.2838,19.9671,20.169,5085678
2017-01-04,20.2149,20.628,20.1874,20.573,4106553
2017-01-05,20.573,20.8116,20.371,20.4811,3856689
2017-01-06,20.5179,20.7382,20.3618,20.7198,3296303
2017-01-09,20.7474,20.8392,20.6464,20.7015,3242362
2017-01-10,20.6739,20.6831,20.3802,20.4077,5102782
2017-01-11,20.3802,20.5087,20.3021,20.4903,5508894
2017-01-12,20.3343,20.4261,20.1736,20.3067,4452397
2017-01-13,20.2975,20.4077,20.2241,20.3526,3919434
2017-01-17,20.3067,20.3526,20.1415,20.2057,2401916
2017-01-18,20.2884,20.3618,20.013,20.0589,5704926
2017-01-19,20.1323,20.3343,18.769,19.3979,15154315
2017-01-20,19.15,19.3153,18.9389,19.2602,9698696
2017-01-23,19.1592,19.1867,18.9021,19.0215,6576843
2017-01-24,18.9939,18.9939,18.6451,18.7461,9922869
2017-01-25,18.8012,18.8746,18.388,18.434,10725180
2017-01-26,18.0943,18.1953,17.672,17.9841,17041165
2017-01-27,17.9474,18.0162,17.8464,17.9841,5022982
2017-01-30,17.9382,18.0162,17.8051,18.0025,5965007
2017-01-31,17.9933,18.0208,17.874,17.9749,5454895
2017-02-01,18.03,18.1126,17.7822,17.9382,5718597
2017-02-02,17.9107,18.1861,17.8648,18.1126,6008966
2017-02-03,18.2687,18.4523,18.2228,18.333,6532202
2017-02-06,18.3513,18.3513,18.1677,18.2044,3651629
2017-02-07,18.2044,18.2687,18.1081,18.2136,2369973
2017-02-08,18.1677,18.434,18.1677,18.2779,7612336
2017-02-09,18.3421,18.7369,18.2962,18.7094,8871055
2017-02-10,18.1218,18.4477,17.7179,18.1218,14984449
2017-02-13,18.1677,18.2595,17.8189,17.929,12411714
2017-02-14,17.8464,18.1585,17.8281,18.0667,6146578
2017-02-15,18.0392,18.0851,17.9336,17.9841,5105131
2017-02-16,17.9841,18.0162,17.874,17.9474,5949424
2017-02-17,17.9015,18.2044,17.8923,18.1953,5810318
2017-02-21,18.1585,18.3605,18.1035,18.1861,4782876
