date,open,high,low,close,volume
2017-01-03,27.6166,27.9089,27.507,27.7353,2650158
2017-01-04,27.8541,28.2058,27.7628,27.982,3678492
2017-01-05,27.8541,28.3063,27.8267,28.2743,3547962
2017-01-06,28.2195,28.3657,28.0185,28.183,2679335
2017-01-09,28.4114,28.7768,28.2013,28.2926,4017580
2017-01-10,28.2835,28.4022,27.9409,28.0734,3687543
2017-01-11,28.0825,28.352,27.8943,28.2835,2322862
2017-01-12,28.119,28.1282,27.781,27.9272,3959095
2017-01-13,27.8815,28.1556,27.8724,27.9911,3611037
2017-01-17,28.0003,28.1739,27.8267,27.9546,2118169
2017-01-18,27.9363,28.1145,27.8084,27.8632,2613544
2017-01-19,27.9272,28.0642,27.4521,27.5983,4006536
2017-01-20,27.6531,27.8176,27.2923,27.6166,6518949
2017-01-23,27.6257,27.9546,27.5618,27.7993,3615938
2017-01-24,27.9363,28.4479,27.9089,28.4388,5071852
2017-01-25,28.6306,29.5168,28.6306,29.4071,6386913
2017-01-26,29.3067,29.4802,28.9686,29.0509,9357155
2017-01-27,29.0509,29.0965,28.3931,28.5393,4277937
2017-01-30,28.4388,28.5484,28.1961,28.4662,3849409
2017-01-31,28.5027,28.7859,28.3748,28.6215,4425312
2017-02-01,28.6215,28.7677,28.0916,28.4205,3624554
2017-02-02,28.3018,28.7768,28.1282,28.722,5669423
2017-02-03,28.384,29.4391,28.2652,29.3341,5458896
2017-02-06,29.0874,29.2792,28.3474,28.7037,5825104
2017-02-07,28.8316,29.3934,28.5941,29.2792,5699380
2017-02-08,29.3615,29.8822,29.3249,29.6081,5467719
2017-02-09,29.6173,30.3024,29.599,30.3024,7199103
2017-02-10,30.2293,30.438,30.0192,30.2933,4083899
2017-02-13,30.3572,31.0607,30.2842,30.8688,7372383
2017-02-14,30.6222,30.6678,30.1197,30.412,4172587
2017-02-15,30.4212,30.7866,30.1298,30.7501,4667902
2017-02-16,30.7957,30.8597,30.467,30.6222,3402205
2017-02-17,30.5765,30.7136,30.4577,30.6222,2754674
