date,open,high,low,close,volume
2017-01-03,135.9461,138.1208,134.9848,137.1916,1196779
2017-01-04,136.8852,137.7451,134.9873,136.9049,589294
2017-01-05,136.9049,139.9495,136.6974,138.4964,1203075
2017-01-06,138.7435,139.5046,137.2806,138.3975,640745
2017-01-09,136.8357,138.9116,136.0746,137.755,855981
2017-01-10,138.3975,140.1867,137.6463,139.7122,963798
2017-01-11,140.3646,142.4899,138.8522,140.8292,1247296
2017-01-12,142.4998,142.6381,136.3712,137.241,1134571
2017-01-13,136.9544,138.4272,135.6644,138.0417,839319
2017-01-17,138.8621,139.821,136.045,137.3399,787781
2017-01-18,135.9856,138.0911,135.6594,136.7468,676528
2017-01-19,136.6183,137.9824,135.9659,136.9445,548446
2017-01-20,138.5557,139.3356,135.8275,136.3909,771040
2017-01-23,135.6496,137.1224,134.8489,135.6001,703787
2017-01-24,136.9642,137.6908,135.5804,136.7072,584515
2017-01-25,136.4997,138.3679,135.6397,138.3086,915113
2017-01-26,139.3465,141.2296,138.704,139.5343,1141014
2017-01-27,139.1784,139.6529,136.5095,137.844,672088
2017-01-30,136.7171,136.7171,131.9625,133.4255,991536
2017-01-31,133.6232,133.8327,132.091,133.6528,830005
2017-02-01,134.5622,134.6512,130.5193,131.9625,1278378
2017-02-02,132.3381,132.5556,129.9954,131.0927,1043766
2017-02-03,131.3694,133.5046,130.1042,133.3167,1135357
2017-02-06,134.2558,134.6512,129.432,129.689,1131233
2017-02-07,128.1667,128.3644,124.6576,125.913,2061256
2017-02-08,124.7268,126.2293,121.0991,125.7252,2355626
2017-02-09,126.3578,128.6906,126.3578,128.147,1249178
2017-02-10,129.5605,131.4979,129.2145,130.1635,1273779
2017-02-13,130.1339,132.0725,129.3525,131.2812,1182612
2017-02-14,131.6472,134.8221,130.1635,134.7628,1383906
2017-02-15,134.3869,134.6639,131.8747,132.8934,1997984
2017-02-16,132.0428,133.566,129.3426,131.6076,2632586
2017-02-17,131.5483,132.6264,129.8767,130.579,1061346
2017-02-21,132.3197,132.3494,129.0755,129.2734,1460297
2017-02-22,127.9974,129.1448,126.7512,126.8996,1816160
2017-02-23,129.2833,129.2833,124.3279,126.1874,894668
2017-02-24,124.961,126.2468,124.1202,124.6543,894792
2017-02-27,125.683,126.133,124.229,124.6049,1015898
2017-02-28,124.0015,125.0203,123.2696,124.3477,872789
2017-03-01,125.9105,127.5721,125.317,127.0479,925270
2017-03-02,125.6632,126.3111,123.4279,123.6059,804595
