date,open,high,low,close,volume
2017-01-03,37.9344,38.0182,37.5431,37.8227,2065117
2017-01-04,37.9065,38.1579,37.8041,37.9903,2542594
2017-01-05,38.0555,38.1672,37.6923,37.9903,2611884
2017-01-06,37.8413,38.2324,37.8134,38.102,1707393
2017-01-09,38.2976,38.3348,37.4968,37.5247,1840817
2017-01-10,37.5899,37.5946,37.2826,37.5154,1761342
2017-01-11,37.562,37.9344,37.4782,37.8879,1870548
2017-01-12,37.8785,38.0927,37.6551,38.0368,2614017
2017-01-13,37.8599,38.0089,37.6458,37.8506,2067953
2017-01-17,38.0555,38.4605,37.953,38.3627,1898273
2017-01-18,38.2696,38.5769,38.1858,38.4838,2539635
2017-01-19,38.2603,38.521,38.0042,38.0741,2494578
2017-01-20,38.1765,38.3069,37.9158,38.2417,2222266
2017-01-23,38.3348,38.4,37.9623,37.9996,2675115
2017-01-24,37.9623,38.0927,37.8366,37.981,2093610
2017-01-25,37.8227,37.9996,37.7109,37.9623,2137653
2017-01-26,37.9437,38.2836,37.8785,38.0927,2902667
2017-01-27,38.1858,38.2789,37.8413,37.9158,2673074
2017-01-30,38.0275,38.0741,37.7109,37.9251,2252581
2017-01-31,38.0462,38.4931,37.9437,38.4745,3268536
2017-02-01,38.1579,38.4046,37.7473,37.832,2721490
2017-02-02,37.8972,38.6141,37.6458,38.5397,3451439
2017-02-03,38.6048,38.8283,38.4978,38.5955,2127396
2017-02-06,38.67,38.7817,38.4698,38.6421,2626749
2017-02-07,38.6328,38.8724,38.5862,38.7911,2972149
2017-02-08,38.8469,39.2939,38.8376,39.1635,2678285
2017-02-09,39.0611,39.3218,38.7538,38.8842,2631077
2017-02-10,38.7538,39.0983,38.6793,39.0518,1897396
2017-02-13,39.089,39.238,38.8934,39.1356,2351971
2017-02-14,39.1263,39.1263,38.6328,38.8469,2110946
2017-02-15,38.6421,38.7771,38.3255,38.7445,1918452
2017-02-16,38.8004,39.0332,38.7166,39.0052,2008565
2017-02-17,39.0425,39.1821,38.8283,39.1076,2294991
2017-02-21,39.0611,39.5732,38.8935,39.508,1813488
2017-02-22,39.4149,39.7129,39.3311,39.5639,2783253
2017-02-23,39.7688,40.0295,39.5965,39.9922,3600606
2017-02-24,40.3554,40.5416,39.9922,40.3554,3090433
