date,open,high,low,close,volume
2017-01-03,58.051,58.1658,55.822,56.5108,4127017
2017-01-04,56.6543,56.8839,55.401,56.0994,3281724
2017-01-05,56.2333,56.549,55.3388,55.4202,2197970
2017-01-06,55.6019,56.7499,55.2766,56.4916,2382416
2017-01-09,56.3673,56.8647,56.1003,56.5012,3551552
2017-01-10,56.4821,56.6064,55.8459,55.9942,2271213
2017-01-11,56.329,56.4342,55.8028,55.9655,2322039
2017-01-12,55.8124,55.9463,55.1044,55.5158,1844904
2017-01-13,55.5254,56.0803,55.2766,55.975,1332552
2017-01-17,55.8028,56.0898,55.0853,55.2288,1996539
2017-01-18,55.0088,55.755,54.5591,55.6211,2254335
2017-01-19,55.3436,55.975,55.3436,55.468,2750706
2017-01-20,55.5732,56.0994,55.1882,55.5158,2663757
2017-01-23,55.4871,55.7588,55.0088,55.4489,2538271
2017-01-24,55.6211,56.4342,55.5828,56.3625,2785527
2017-01-25,57.2091,57.6301,56.5108,56.9795,3856290
2017-01-26,58.118,58.1371,54.3869,54.8844,7146898
2017-01-27,55.0853,55.9559,54.9705,55.9559,4526132
2017-01-30,55.822,56.6256,55.2958,56.5395,3911805
2017-01-31,56.3003,56.3194,55.1331,55.6785,3694854
2017-02-01,55.6689,56.0133,54.7983,54.9035,3148354
2017-02-02,54.607,55.6689,54.1478,55.6211,2401828
2017-02-03,55.7359,55.9511,55.4967,55.6976,1337414
2017-02-06,55.6014,56.1402,55.5629,56.0247,1358892
2017-02-07,56.1305,56.2554,55.8034,55.89,1216701
2017-02-08,55.8996,56.4096,55.7168,56.0247,1357185
2017-02-09,55.967,56.2171,55.6591,55.7457,1500369
2017-02-10,55.8419,56.1017,55.0722,55.813,5044370
2017-02-13,56.0536,57.439,55.9525,57.2562,3862253
2017-02-14,57.1696,57.1937,56.3614,56.525,2394576
2017-02-15,56.5443,57.1793,56.3807,56.6886,2528666
2017-02-16,56.8136,57.3909,56.6789,57.3524,2231739
2017-02-17,57.1408,57.795,56.6212,57.7854,2490596
2017-02-21,57.7277,58.2184,57.4968,57.9874,2233278
2017-02-22,58.1029,58.1895,57.2274,57.5449,2241532
2017-02-23,57.439,57.439,56.4961,56.7078,2212546
2017-02-24,56.3903,56.7655,55.9092,56.7559,2612307
2017-02-27,56.7655,56.8521,56.1498,56.7463,1805683
2017-02-28,56.6886,57.1696,56.4096,56.5924,2562918
2017-03-01,56.9772,57.4775,56.5635,57.4198,1803094
2017-03-02,57.2466,57.5747,56.8521,57.1023,1933849
2017-03-03,57.0157,57.0253,56.1786,56.5154,2340408
2017-03-06,56.5827,56.6982,56.1883,56.5827,1721280
2017-03-07,56.4769,57.1071,56.3518,56.525,1872119
2017-03-08,56.7463,57.1119,56.5924,56.6693,2187212
2017-03-09,56.6693,56.8425,56.323,56.6693,1823572
2017-03-10,57.0927,57.5064,56.881,57.2947,1873385
2017-03-13,57.439,57.7565,57.0927,57.718,1847065
2017-03-14,57.5737,57.7084,56.6905,57.4583,1367612
2017-03-15,57.6411,58.074,57.5064,58.0355,1572932
2017-03-16,58.151,58.507,57.4871,57.7758,1775168
2017-03-17,58.2568,58.2568,57.5641,57.8046,3354222
2017-03-20,57.795,58.3434,57.5641,58.0355,1671887
2017-03-21,58.2665,58.3723,56.587,56.6597,2443975
2017-03-22,56.7078,57.0542,56.4384,56.8329,1364394
2017-03-23,56.6886,56.9965,56.3422,56.6116,2585880
2017-03-24,57.0734,57.2658,56.3807,56.4096,1389549
2017-03-27,55.9862,56.1979,55.6014,55.9958,1884577
2017-03-28,55.967,56.0824,55.6302,55.7745,1908164
2017-03-29,55.7649,56.0343,55.6206,55.8227,2130874
2017-03-30,55.6591,56.0151,55.6206,55.688,1648575
2017-03-31,55.611,55.7745,55.0337,55.6976,6222766
2017-04-03,55.7361,56.0536,54.6402,55.0145,2510480
2017-04-04,54.8124,55.1588,54.7787,54.9664,2424095
2017-04-05,55.0626,55.3031,54.4276,54.5045,2373670
2017-04-06,54.4949,54.4949,54.0042,54.2063,3203754
2017-04-07,54.3121,54.9567,54.1774,54.341,2726174
2017-04-10,54.4468,54.4468,53.7445,53.8695,2363156
2017-04-11,53.7348,53.8407,53.071,53.8407,2372404
2017-04-12,53.5617,54.0427,52.9074,53.0132,2984775
2017-04-13,53.3211,54.2351,52.9651,53.5713,3739794
2017-04-17,53.7541,53.9476,53.3788,53.7926,1709095
2017-04-18,53.5135,54.4468,53.4847,54.3506,2670237
2017-04-19,54.7643,55.3705,54.5142,54.5815,3522253
2017-04-20,54.9567,55.6302,54.7932,55.5244,4330523
2017-04-21,55.2646,55.7168,54.543,55.5052,2219010
2017-04-24,57.1215,58.4108,57.0013,58.3531,7583484
2017-04-25,58.4974,58.4974,57.8816,58.3915,5359076
2017-04-26,58.3819,58.8485,57.5737,57.718,4480369
2017-04-27,60.8161,62.4421,59.8059,61.961,7975094
2017-04-28,61.5473,61.8071,60.4697,60.7199,4066270
2017-05-01,60.8931,61.3838,60.5275,60.9604,2996325
2017-05-02,60.7584,60.8738,60.0849,60.3158,2450785
2017-05-03,60.2773,60.4745,59.777,60.2388,2870702
2017-05-04,60.335,60.6429,60.0464,60.5563,2317514
2017-05-05,60.6141,61.0999,60.133,60.9893,1638515
2017-05-08,61.1817,62.5191,61.0855,62.1246,4535149
2017-05-09,62.1631,62.7355,61.7205,62.24,3068819
2017-05-10,62.317,62.5864,61.7975,62.1727,2471036
2017-05-11,61.7301,62.2352,61.2394,62.1342,2336300
2017-05-12,62.231,62.4438,61.9504,62.202,2357206
