date,open,high,low,close,volume
2017-01-03,57.1149,57.8138,56.5046,57.7056,1778161
2017-01-04,57.7351,58.434,57.7351,58.1781,978281
2017-01-05,58.0796,58.311,57.2823,57.4201,1114552
2017-01-06,57.4299,57.6367,56.8984,57.3807,1169582
2017-01-09,57.3118,57.7548,57.174,57.5579,950590
2017-01-10,57.4595,57.7449,56.9969,57.2626,1596036
2017-01-11,57.2429,57.676,55.8106,56.7507,1724262
2017-01-12,56.6523,56.8393,55.7958,56.1108,1950963
2017-01-13,56.1108,57.0165,55.5891,56.918,1669993
2017-01-17,56.6719,57.6268,56.3766,57.2626,1765386
2017-01-18,57.2724,57.2724,55.5793,55.6679,2612980
2017-01-19,55.5694,55.845,54.585,54.8016,2175946
2017-01-20,54.9788,55.156,54.142,55.1363,5266295
2017-01-23,55.0575,55.5989,54.3192,54.7228,2375759
2017-01-24,54.8213,55.8254,54.398,55.3332,1868357
2017-01-25,55.5596,56.1502,55.3706,56.0222,1754250
2017-01-26,55.9041,56.0321,55.5005,55.7171,1458131
2017-01-27,55.8057,55.8943,54.9197,55.6875,2139586
2017-01-30,55.5989,55.8844,54.9689,55.4611,1459149
2017-01-31,55.3627,55.8352,55.092,55.8155,2243569
2017-02-01,55.8155,56.3176,55.3824,56.0124,1602966
2017-02-02,55.7072,55.9829,55.3332,55.6383,1665138
2017-02-03,56.0025,56.3766,55.4021,56.2486,1168821
2017-02-06,56.0124,56.3668,55.786,56.3668,1855737
2017-02-07,56.5735,56.6916,56.0518,56.5341,1520561
2017-02-08,56.2486,56.4554,55.7466,56.4258,1313868
2017-02-09,56.4751,57.804,56.4258,57.6957,2242553
2017-02-10,57.676,57.8335,57.3463,57.4792,1194735
2017-02-13,57.4595,58.0993,57.0362,57.9221,1344194
2017-02-14,58.5423,58.9656,58.4636,58.8081,2234772
2017-02-15,58.6211,59.6448,58.4252,59.4332,1477426
2017-02-16,59.3397,59.8073,59.064,59.7925,2327353
2017-02-17,59.6842,62.4504,59.6842,61.7022,4224668
2017-02-21,61.0328,62.1058,61.0328,61.525,2491689
2017-02-22,61.5546,61.7711,61.0625,61.3675,1457592
2017-02-23,61.4266,61.6875,61.151,61.4758,1143122
2017-02-24,61.5447,61.845,60.9246,61.8105,1045123
2017-02-27,61.7416,61.9877,61.1313,61.2199,1611110
2017-02-28,61.2199,62.9032,60.9836,62.5291,2533418
2017-03-01,62.7851,63.7892,62.6866,63.4938,1998791
2017-03-02,63.3462,63.3462,62.4897,62.6571,972930
2017-03-03,62.4602,62.6276,61.8696,62.3716,1234240
2017-03-06,62.0861,62.1452,61.525,61.7711,1094315
2017-03-07,61.5841,61.7908,61.1903,61.5743,1050067
2017-03-08,61.525,62.0172,61.3282,61.7121,1314601
2017-03-09,61.6825,61.8696,61.4561,61.84,1515258
2017-03-10,62.3224,62.7162,61.9188,62.411,1478877
2017-03-13,62.3913,63.0016,61.9286,62.9426,1768939
2017-03-14,62.7851,62.8441,62.2535,62.6669,951688
2017-03-15,62.9327,63.2477,62.4504,62.5291,2047581
2017-03-16,62.4307,62.5587,61.7391,62.1157,1899342
2017-03-17,62.3618,62.8441,62.1255,62.2732,1807591
2017-03-20,62.2141,62.3322,61.0919,61.7711,1532399
2017-03-21,61.9975,62.0861,61.2789,61.4266,1512581
2017-03-22,61.6235,61.9286,61.151,61.6727,774850
2017-03-23,61.5546,61.8007,61.2346,61.3478,1122831
2017-03-24,61.4857,61.9385,61.151,61.466,907640
2017-03-27,61.2592,61.7416,60.8852,61.5841,953538
2017-03-28,61.3183,62.1747,61.3183,61.9582,930698
2017-03-29,61.7684,62.695,61.5565,62.0444,1103143
2017-03-30,61.7684,62.0444,61.4825,61.7585,621469
2017-03-31,61.3741,61.8078,61.2952,61.5515,1061380
2017-04-03,61.5811,61.9557,61.2854,61.7487,1303419
2017-04-04,61.6501,61.7487,60.6545,60.9009,1361377
2017-04-05,61.1769,62.0937,60.9601,61.1079,1492269
2017-04-06,61.1671,62.2514,60.9995,62.143,1727195
2017-04-07,62.1923,62.3993,61.4825,61.5712,1319095
2017-04-10,61.4924,62.0641,61.2952,61.7585,725078
2017-04-11,61.5712,62.0937,61.4234,61.7881,1112710
2017-04-12,61.5614,61.6698,61.0291,61.1079,936692
2017-04-13,61.2164,61.2558,60.7826,60.9206,916972
2017-04-17,61.1868,61.5909,61.0586,61.522,579509
2017-04-18,61.2262,61.5515,61.0389,61.2459,948068
2017-04-19,61.66,62.0532,60.9305,61.4628,1193442
2017-04-20,61.7388,62.143,60.8812,61.7881,1307542
2017-04-21,61.8078,62.1233,61.2164,61.6402,1381841
2017-04-24,62.5274,62.695,62.1331,62.4289,1140253
2017-04-25,62.4289,62.9415,62.0641,62.0838,1097002
2017-04-26,62.212,62.5669,62.212,62.3993,883784
2017-04-27,62.3796,62.9316,62.0641,62.5669,739383
2017-04-28,62.3204,62.6901,62.0986,62.3401,1118338
2017-05-01,62.5472,62.6211,62.0444,62.1233,754071
2017-05-02,62.3401,62.4387,62.0346,62.35,923943
2017-05-03,62.3401,63.9174,62.2021,62.902,1614080
2017-05-04,63.109,64.568,62.8626,64.3905,1708917
2017-05-05,64.2723,64.6666,63.9272,64.6567,978002
2017-05-08,64.2624,64.7454,63.6907,64.499,2227730
2017-05-09,63.4935,64.4596,62.0247,62.35,2630601
2017-05-10,62.281,62.4091,61.4135,61.6304,1567116
2017-05-11,61.4332,61.8867,61.2164,61.8078,1214145
2017-05-12,61.8078,61.8078,60.7235,60.7728,1476252
2017-05-15,60.6742,61.2952,60.6052,61.1671,1489948
2017-05-16,61.3051,61.4332,60.7333,61.2755,927674
2017-05-17,61.0784,61.0784,60.4327,60.477,1190909
2017-05-18,60.7333,61.1671,60.2774,60.7826,996945
2017-05-19,60.6446,61.1572,60.2602,60.7432,1455377
2017-05-22,60.6643,61.862,60.6446,61.6994,1349872
2017-05-23,60.5756,62.5028,60.1517,62.2514,2106768
2017-05-24,62.5176,62.7197,61.6501,61.8374,975845
2017-05-25,61.9754,62.35,61.591,62.1726,765664
2017-05-26,62.0937,62.2415,61.6994,61.8275,679908
2017-05-30,61.6797,61.9064,61.4234,61.729,1696060
2017-05-31,62.0247,62.7837,61.5121,62.6162,1412511
2017-06-01,62.833,63.1583,62.0838,63.1485,1187478
2017-06-02,63.3358,63.6216,63.0992,63.5329,859457
2017-06-05,63.8385,63.9075,62.8823,62.9908,640110
2017-06-06,62.9612,63.2372,62.557,62.6457,531139
