date,open,high,low,close,volume
2017-01-03,48.5743,48.866,47.8547,48.2826,1596877
2017-01-04,48.3409,49.0605,48.3409,49.0022,1703035
2017-01-05,48.798,49.1092,48.3117,48.5549,1845990
2017-01-06,48.6327,48.7494,48.195,48.2145,1561643
2017-01-09,48.1853,48.2339,47.8061,48.0103,1090516
2017-01-10,47.9519,48.1464,47.7185,47.7866,1642488
2017-01-11,47.8936,48.1367,47.6602,48.0395,1974591
2017-01-12,47.9033,48.0103,46.6488,46.9698,1784568
2017-01-13,46.8433,47.7963,46.7461,47.4171,2811321
2017-01-17,47.3587,47.3587,46.6002,46.8725,1228913
2017-01-18,46.9406,47.3198,46.785,47.0962,1438906
2017-01-19,47.3296,47.8644,47.3296,47.6991,1966411
2017-01-20,47.845,48.02,47.5241,47.7088,867657
2017-01-23,47.6699,47.7574,46.9503,47.1642,660264
2017-01-24,47.3101,47.913,47.2518,47.7185,2637935
2017-01-25,48.0395,49.1578,48.0297,48.7688,2139386
2017-01-26,48.7299,49.1189,48.4576,48.7105,1067441
2017-01-27,48.9049,49.2647,48.5646,48.6716,1321902
2017-01-30,48.4965,48.6083,47.738,48.1367,1114832
2017-01-31,47.8547,48.0054,47.1642,47.9519,1421747
2017-02-01,47.6991,48.2923,47.1156,47.7963,2180342
2017-02-02,47.7963,48.7785,47.1837,47.456,2547345
2017-02-03,48.0103,48.1853,47.4754,47.8936,2139034
2017-02-06,47.6991,47.6991,45.3846,45.8806,3267733
2017-02-07,45.9681,46.5224,45.4916,45.9195,1841515
2017-02-08,45.8611,45.9195,45.5694,45.7056,1608642
2017-02-09,45.725,46.4349,45.5694,46.3085,1606081
2017-02-10,46.4932,46.9503,46.1723,46.5613,1409875
2017-02-13,46.8239,47.1351,46.4446,46.9503,1606068
2017-02-14,46.8722,47.0674,46.1889,46.511,1747781
2017-02-15,46.3842,46.7892,46.2377,46.5306,1303240
2017-02-16,46.5599,46.7844,46.3256,46.6087,1182971
2017-02-17,46.4134,46.6672,46.0425,46.6575,2819403
2017-02-21,46.677,47.3066,46.4134,47.1748,1450547
2017-02-22,46.4525,47.1553,46.4525,47.0967,2005150
2017-02-23,47.4676,47.6824,46.062,46.3842,1227124
2017-02-24,45.8278,46.9796,45.8278,46.7551,1744418
2017-02-27,46.6672,47.7897,46.6672,47.78,2046271
2017-02-28,47.5945,47.9069,46.9503,46.9698,1711696
2017-03-01,47.5359,48.512,47.4871,48.3656,1657065
2017-03-02,48.3168,48.3656,47.5896,47.7214,1856458
2017-03-03,47.7409,47.9459,47.3895,47.5652,1658874
2017-03-06,47.1357,47.7214,47.1065,47.37,1300684
2017-03-07,47.2919,47.8385,47.165,47.614,1614867
2017-03-08,47.5457,47.7409,46.3646,46.4134,2220914
2017-03-09,46.3451,46.9503,46.2377,46.5306,1026261
2017-03-10,46.9796,47.3114,46.6087,47.1065,1910982
2017-03-13,47.1162,47.5555,47.1016,47.3603,1333841
2017-03-14,47.1455,47.2724,46.5891,46.9015,920017
2017-03-15,47.165,47.7312,47.1162,47.3993,1532192
2017-03-16,47.5555,47.7019,47.0381,47.5848,1187326
2017-03-17,47.7116,48.1216,47.4774,47.985,1855921
2017-03-20,48.0728,48.0923,47.6287,47.6628,951807
2017-03-21,47.8581,48.0338,46.8039,46.9112,1611411
2017-03-22,47.0089,48.1899,46.7746,48.1021,1719773
2017-03-23,48.1216,48.2095,47.5359,47.7214,1142235
2017-03-24,47.9654,48.4242,47.7995,48.0435,1336237
2017-03-27,47.3212,48.0826,46.9796,47.9264,878893
2017-03-28,47.8288,48.7561,47.6043,48.4828,995152
2017-03-29,48.3656,48.5999,48.1118,48.2095,1047188
2017-03-30,48.2485,48.9122,48.0045,48.7073,969373
2017-03-31,48.5999,49.2929,48.5804,49.0196,1230084
2017-04-03,49.0196,49.127,47.9947,48.268,2097617
2017-04-04,48.8146,49.6443,48.8049,49.166,2379805
