date,open,high,low,close,volume
2017-01-03,101.9732,102.0027,100.7166,101.4431,1381230
2017-01-04,101.983,103.4213,101.4922,102.3757,1502751
2017-01-05,102.6702,103.3575,102.2088,103.0335,1453888
2017-01-06,103.22,103.3868,101.7278,103.0433,1820999
2017-01-09,102.8568,105.2414,102.8568,105.0461,1163298
2017-01-10,108.492,113.8228,108.4821,111.5943,3973411
2017-01-11,111.9084,114.0388,111.3489,112.6545,2484963
2017-01-12,111.6335,112.8018,109.9351,112.3404,1546694
2017-01-13,112.5269,113.3025,112.0066,113.0963,1034388
2017-01-17,112.1244,113.6363,111.9673,113.3417,1242217
2017-01-18,113.5479,113.8817,112.63,113.3614,902359
2017-01-19,113.008,113.2691,111.8397,112.4876,934646
2017-01-20,112.7036,113.2338,111.123,111.5746,1401788
2017-01-23,111.3095,112.3796,111.3095,112.0753,1369725
2017-01-24,111.8495,113.2338,111.4274,112.468,1336273
2017-01-25,112.468,114.0682,112.3011,113.8228,1485205
2017-01-26,113.7933,114.137,112.8312,113.2436,1147575
2017-01-27,113.7148,115.6488,113.4105,114.8242,1213179
2017-01-30,114.7064,114.7064,112.8509,113.2828,2850628
2017-01-31,113.7443,118.2112,113.7443,116.1692,2962984
2017-02-01,116.6404,117.0724,115.2071,116.3459,1461410
2017-02-02,115.5997,116.1593,114.9125,115.4721,1685659
2017-02-03,116.0415,116.7876,115.4819,115.9826,1019068
2017-02-06,115.6292,116.1152,114.5984,115.0991,1075180
2017-02-07,115.6783,116.2182,114.9714,115.9532,800086
2017-02-08,115.7176,116.0612,114.7162,115.0107,1010993
2017-02-09,115.3347,115.9434,114.9714,115.4525,1001989
2017-02-10,115.3936,115.66,114.7358,115.1874,780506
2017-02-13,115.2856,115.9629,115.0991,115.5997,659936
2017-02-14,115.2365,115.5997,114.5493,115.0402,1129794
2017-02-15,114.6278,115.5997,114.5792,115.1678,1160216
2017-02-16,115.423,115.8452,113.7541,114.1959,1490726
2017-02-17,114.0879,114.7358,113.2239,114.7358,1220881
2017-02-21,114.8045,115.4033,114.4118,115.0303,1495848
2017-02-22,114.7358,115.1089,114.2351,114.7653,1327892
2017-02-23,114.8929,115.2463,113.381,114.2548,1463677
2017-02-24,113.7933,114.9322,113.5283,114.7849,990259
2017-02-27,114.9616,115.158,114.2057,114.8242,1578240
2017-02-28,114.834,115.3347,114.5002,114.942,1244188
2017-03-01,115.4132,117.2687,115.2071,116.7189,1101843
2017-03-02,116.3361,116.4342,115.3739,115.8648,772240
2017-03-03,115.7765,116.2182,115.158,116.1201,708081
2017-03-06,115.3445,115.6096,114.7947,115.0794,851775
2017-03-07,114.6965,115.1874,114.0879,114.9322,887630
2017-03-08,114.942,115.7372,114.51,115.4525,904833
2017-03-09,115.6881,117.2687,114.8242,117.0036,1116468
2017-03-10,117.0724,118.2014,117.0724,117.8872,1544366
2017-03-13,118.0541,118.437,117.0331,117.6025,1630847
2017-03-14,117.0233,117.524,116.3017,116.5128,961606
2017-03-15,116.9251,117.9756,116.4048,117.4651,1016267
2017-03-16,118.005,118.005,116.6797,117.2294,1081384
2017-03-17,117.1705,119.8605,116.6698,119.4482,2289891
2017-03-20,119.3794,120.0372,118.8886,119.4285,1342973
2017-03-21,119.7721,120.9011,118.3977,118.7708,1339068
2017-03-22,118.7511,120.1648,118.3977,119.1635,1005811
2017-03-23,119.026,119.4972,117.9167,118.2014,999707
2017-03-24,118.2014,118.8984,118.113,118.4566,716485
2017-03-27,117.3276,118.2504,116.6502,118.0934,1450144
2017-03-28,118.6824,119.242,117.7498,118.9769,888909
2017-03-29,118.8687,119.7835,118.7703,119.39,507427
2017-03-30,118.9966,119.9212,118.9277,119.3802,526504
2017-03-31,118.8195,120.4604,118.5539,120.118,860921
2017-04-03,119.9901,120.2852,118.3178,119.3704,971768
2017-04-04,119.6556,119.8081,117.7571,118.7998,577002
2017-04-05,118.79,119.5671,118.0916,118.2194,783901
2017-04-06,118.4555,118.5047,117.6292,118.2391,885907
2017-04-07,118.1604,118.4654,117.8161,117.9243,436757
2017-04-10,118.0227,118.7998,117.8161,118.0719,457851
2017-04-11,117.8555,118.0719,117.306,117.6292,497787
2017-04-12,116.9702,117.6489,116.5865,117.2259,657459
2017-04-13,117.0882,118.2686,116.4095,117.58,688388
2017-04-17,118.0621,119.1835,117.7866,119.1835,555660
