date,open,high,low,close,volume
2017-01-03,42.2044,42.7737,41.2202,41.664,2896301
2017-01-04,41.9246,42.3684,41.8281,42.2623,1907508
2017-01-05,42.3781,42.7158,41.1623,41.5772,2106036
2017-01-06,41.7798,42.1947,41.5965,41.8474,2149119
2017-01-09,41.6062,41.7702,40.8342,41.3939,2105024
2017-01-10,41.6062,42.2526,41.3649,42.0307,1839566
2017-01-11,42.1368,42.3781,41.6255,42.3781,2102743
2017-01-12,42.1175,42.3491,40.95,41.4614,2758249
2017-01-13,41.7702,42.764,41.5193,42.3105,2732528
2017-01-17,41.7316,41.7509,40.1878,40.3036,2889759
2017-01-18,40.6702,41.0272,39.9658,40.9886,2142374
2017-01-19,41.0948,41.4421,40.5641,40.8246,1778526
2017-01-20,40.9983,41.3939,40.7185,40.9693,2370981
2017-01-23,40.7281,41.1141,40.4772,40.8246,2628297
2017-01-24,40.9307,41.4325,39.9079,41.0658,4064768
2017-01-25,41.5193,42.1272,41.4228,41.7605,2584589
2017-01-26,41.8667,42.3684,41.5579,41.9439,2711874
2017-01-27,41.8184,41.8474,41.254,41.6062,1972105
2017-01-30,41.3263,41.529,40.2457,40.7763,3518197
2017-01-31,40.6992,41.336,40.3518,40.7088,2542086
2017-02-01,41.1913,41.7798,40.868,40.9693,2501669
2017-02-02,40.4097,40.8535,40.1202,40.3036,2827504
2017-02-03,40.9983,41.857,40.6509,41.7895,3350623
2017-02-06,41.3939,41.9873,41.0578,41.4614,1410259
2017-02-07,41.5386,41.7412,41.1816,41.3167,1741482
2017-02-08,41.0272,41.0755,40.3421,40.6895,1748126
2017-02-09,41.5386,41.693,40.7667,41.6351,2011134
2017-02-10,41.9053,42.1368,41.5869,42.0404,2458778
2017-02-13,42.3298,43.0342,42.214,42.5325,2197544
2017-02-14,42.5615,43.7021,42.3668,43.5764,2456460
2017-02-15,43.8181,44.0018,43.5474,43.7891,2690844
2017-02-16,43.6151,43.8278,42.9964,43.4024,1977376
2017-02-17,42.9964,43.2864,42.6581,43.1608,1185303
2017-02-21,43.3541,43.7021,42.9868,43.3928,1726311
2017-02-22,43.0641,43.6248,42.9964,43.2478,2276176
2017-02-23,43.3444,43.4701,42.9094,43.3251,1960399
2017-02-24,42.7065,43.0641,42.5325,43.0641,3605293
2017-02-27,43.1608,43.7311,43.0254,43.6054,2298903
2017-02-28,43.4314,43.6538,43.2091,43.4024,2485994
2017-03-01,46.718,46.718,44.4174,44.9781,3320662
2017-03-02,45.1134,45.1326,43.4604,43.4604,2925913
2017-03-03,43.4508,44.0501,43.2574,43.8471,2686381
2017-03-06,43.5281,43.9148,43.1985,43.8181,1706120
2017-03-07,43.8858,44.1516,43.4701,43.7698,1738722
2017-03-08,44.3111,44.7557,43.6489,43.7504,3154365
2017-03-09,43.8374,44.2338,43.5281,43.7698,1963227
2017-03-10,44.0404,44.0404,42.8128,43.4121,2432236
2017-03-13,43.3831,43.8374,43.1608,43.5281,1631996
2017-03-14,43.2188,43.2284,42.2231,43.0061,2488190
2017-03-15,43.2188,43.5861,42.5228,42.6001,2893891
2017-03-16,42.8901,43.1318,42.6195,42.8804,1802727
2017-03-17,42.9288,43.0834,42.0878,42.3005,4240048
2017-03-20,42.1941,42.2908,41.7398,41.7495,2321970
2017-03-21,42.0201,42.0685,39.3812,39.4779,4855426
