date, stocks, balance, growth,,useless
2/4/19, ['DB' : 'GOOG' : 'GOOGL'],5265,4.265,,20190204
2/5/19, ['EQT' : 'FB' : 'ITUB'],5881.90005,0.11717,,20190205
2/6/19, ['WFC' : 'HUM' : 'SU'],8438.056174,0.43458,,20190206
2/7/19, ['FCAU' : 'DELL' : 'SNN'],8852.533493,0.04912,,20190207
2/8/19, ['X' : 'MA' : 'BAM'],12662.57538,0.43039,,20190208
2/11/19, ['BHGE' : 'HSBC' : 'PSX'],14565.63384,0.15029,,20190211
2/12/19, ['DAL' : 'JNJ' : 'PBR'],16390.85341,0.12531,,20190212
2/13/19, ['F' : 'AMOV' : 'AMX'],13243.80956,-0.192,,20190213
2/14/19, ['JPM' : 'MSFT' : 'VZ'],13497.42851,0.01915,,20190214
2/15/19, ['NVDA' : 'DB' : 'ENB'],5838.582651,-0.56743,,20190215
2/17/19, [],5838.582651,0,,20190217
2/19/19, ['AMZN' : 'AU' : 'BHP'],22329.0171,2.82439,,20190219
2/20/19, ['MSFT' : 'LMT' : 'RACE'],24392.88816,0.09243,,20190220
2/21/19, ['DBX' : 'MRK' : 'AMZN'],24674.86994,0.01156,,20190221
2/22/19, ['BABA' : 'GOLD' : 'GM'],34689.16591,0.40585,,20190222
2/25/19, ['INTC' : 'ONCE' : 'GOOG'],10684.2631,-0.692,,20190225
2/26/19, ['T' : 'DISCA' : 'DISCK'],11382.69338,0.06537,,20190226
2/27/19, ['AMZN' : 'CPB' : 'CMCSA'],28390.14469,1.49415,,20190227
2/28/19, ['PCG' : 'OXY' : 'VSM'],24148.37317,-0.14941,,20190228
3/1/19, ['GOOG' : 'GOOGL' : 'JPM'],103705.4301,3.29451,,20190301
3/4/19, ['TSLA' : 'AAPL' : 'QCOM'],-35164.43723,-1.33908,,20190304
