Negative,Polarity,Positive,Subjectivity,author,content,description,publishedAt,source,title,url,urlToImage
1,-0.9999990000010001,0,0.022727272210743815,Jon Fingas,"Throughout 2016 and 2017, Facebook had been pushing for access to individual users' Messenger conversations with chatbots and customer service representatives. Numerous companies balked at the thought of handing over individual financial info, however, and si… [+1216 chars]","Facebook is in hot water again over its data sharing deals -- or rather, attempted deals. The Wall Street Journal has learned that Facebook had spent ""years"" negotiating for access to financial companies' user data. The amount of data it wanted to collect var…",2018-09-18T16:14:00Z,"{'id': 'engadget', 'name': 'Engadget'}",Facebook pushed for access to financial firms' user data,https://www.engadget.com/2018/09/18/facebook-pushed-for-access-to-financial-firm-user-data/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D3500%252C2332%252C0%252C282%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1067%26image_uri%3Dhttp%253A%252F%252Fo.aolcdn.com%252Fhss%252Fstorage%252Fmidas%252F42a5e8a3e071698e41130fdee81c067a%252F204590296%252FRTX2RSM3.jpeg%26client%3Da1acac3e1b3290917d92%26signature%3D5f2617e1cd6b5a98ad4541baf3faaecfa100d24c&client=amp-blogside-v2&signature=283d60a05257d670b00dd0f79866f91ef8006be1
7,-0.9999998571428775,0,0.17948717488494426,"Alicia Adamczyk on Two Cents, shared by Alicia Adamczyk to Lifehacker","If youve ever temporarily lost your credit card and panic-canceled your account, Chase is now offering credit card users an alternative: You can lock and unlock the card from your phone or computer. The feature is live now for credit cards and will debut late… [+1308 chars]","If you’ve ever temporarily lost your credit card and panic-canceled your account, Chase is now offering credit card users an alternative: You can lock and unlock the card from your phone or computer. The feature is live now for credit cards and will debut lat…",2018-09-28T16:30:00Z,"{'id': None, 'name': 'Lifehacker.com'}",How to Lock and Unlock Your Chase Credit Card,https://twocents.lifehacker.com/how-to-lock-and-unlock-your-chase-credit-card-1829387673,"https://i.kinja-img.com/gawker-media/image/upload/s--9ML3Adpw--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/cyi1m5dla2bqtzuvns2i.jpg"
2,-0.99999950000025,0,0.05555555401234573,Rachel Louise Ensign,"﻿ BAC 0.35% Bank of America Corp.s BAC 0.35% purchase of Merrill Lynch &amp; Co., struck on the panic-filled 2008 weekend that Lehman Brothers failed, was supposed to make the lender a top-flight global investment bank. A decade later, the bank is struggling … [+7495 chars]","Bank of America’s purchase of Merrill Lynch was supposed to make it a top-flight global investment bank. A decade later, it is struggling to make good on that promise.",2018-10-13T11:06:26Z,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Bank of America Is Missing Out,https://www.wsj.com/articles/bank-of-america-is-missing-out-on-wall-streets-boom-1539428400,https://images.wsj.net/im-30290/social
0,0.0,0,0.0,Anthony Ha,"Not even Techstars NYC can avoid the end of summer, where 10 startups are wrapping up their participation in the accelerator’s summer program. This also marks the end of Alex Iskold’s tenure as managing director of the program. He’s certainly going out with a… [+3199 chars]","Not even Techstars NYC can avoid the end of summer, where 10 startups are wrapping up their participation in the accelerator’s summer program. This also marks the end of Alex Iskold’s tenure as managing director of the program. He’s certainly going out with a…",2018-10-02T17:13:29Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Meet the 10 startups in Techstars NYC’s summer 2018 class,http://techcrunch.com/2018/10/02/techstars-nyc-summer/,https://techcrunch.com/wp-content/uploads/2017/03/gettyimages-160429443.jpg?w=600
1,0.0,1,0.048780486615110086,Akin Oyedele,The sell-off in US stocks this week may have created a good buying opportunity for a key group of investors — public companies themselves — according to Bank of America Merrill Lynch. It's already been a record-breaking year for share buybacks. Led by the tec… [+2321 chars],"Stocks are getting slammed, which also means they're cheaper to buy. According to Bank of America Merrill Lynch, corporate America is holding the ""dry powder"" that would push the S&P 500 to 3,000 by year-end, or about 4% above where it opened on Wednesday. Tw…",2018-10-10T16:46:00Z,"{'id': 'business-insider', 'name': 'Business Insider'}","BANK OF AMERICA: Corporate America is about to unleash 'dry powder' onto the market that could end the sell-off, and 2 sectors will spearhead the profits",https://www.businessinsider.com/stock-market-has-dry-powder-to-end-sell-off-bank-of-america-2018-10,https://amp.businessinsider.com/images/5bbe2a2094750c3da124f09d-2732-1366.jpg
2,-0.99999950000025,0,0.04651162682531101,Joe Ciolli,"How often do you check a company's credit rating before buying the stock? It might be one attribute that you check in passing, but it's likely not a huge deciding factor, especially in an environment where the stock market at large is rising. However, new res… [+2584 chars]","Theoretically, high-quality companies should command a premium in the stock market while their lesser peers trade at a discount — but the opposite has been true over the past 20 years. Bank of America Merrill Lynch notes this relationship is finally reversing…",2018-09-26T10:04:00Z,"{'id': 'business-insider', 'name': 'Business Insider'}",BANK OF AMERICA: A quirk that's distorted the stock market for 20 years is finally gone — here's what traders should do next,https://www.businessinsider.com/stock-market-recommendations-bank-of-america-20-year-distortion-finally-gone-2018-9,https://amp.businessinsider.com/images/5baa996ce55aa8ab618b456d-1536-768.jpg
2,-0.33333322222225925,1,0.0624999986979167,Joe Ciolli,"There's no denying the sudden surge in bond yields has caught stock investors off-guard. One need not look further than the market action of the past week to realize that. The rationale is simple: When yields rise, bonds become more appealing to investors. An… [+2352 chars]",Spiking bond yields have put major pressure on stocks over the past few days as investors speculate on the negative effect higher interest rates will have on liquidity. Bank of America Merrill Lynch has run an analysis and pinpointed the threshold where 10-ye…,2018-10-09T15:31:00Z,"{'id': 'business-insider', 'name': 'Business Insider'}",Spiking bond yields have become a nightmare for stocks — and Bank of America has found the threshold where traders should dump equities altogether,https://www.businessinsider.com/asset-allocation-bond-yield-threshold-level-to-sell-stocks-baml-2018-10,https://amp.businessinsider.com/images/5bbcbee58053831dbb2846c4-1920-960.jpg
2,-0.99999950000025,0,0.03999999920000002,Olivia Oran,"Welcome to Finance Insider, Business Insider's summary of the top stories of the past 24 hours. Sign up here to get the best of Business Insider delivered direct to your inbox. A senior trading exec at Goldman Sachs explains why he's so worried about the comi… [+2220 chars]","Welcome to Finance Insider, Business Insider's summary of the top stories of the past 24 hours. Sign up here to get the best of Business Insider delivered direct to your inbox. A senior trading exec at Goldman Sachs explains why he’s so worried about the comi…",2018-10-03T17:27:44Z,"{'id': 'business-insider', 'name': 'Business Insider'}",What you need to know on Wall Street today,https://www.businessinsider.com/stock-market-news-today-october-3-2018,
2,-0.33333322222225925,1,0.08823529152249143,BINYAMIN APPELBAUM,"The White House Council of Economic Advisers argued this month that the economic performance, and the benefits for workers, should be judged by the growth of total compensation rather than wages. Even using the White House measure, there is no sign of an acce… [+2334 chars]","Best Buy, the electronics retailer, began offering four weeks of paid time off to its employees, including part-time workers, to take care of family members.",2018-09-25T21:46:22Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",One Reason for Slow Wage Growth? More Benefits,https://www.nytimes.com/2018/09/25/us/politics/wage-growth-benefits.html,https://static01.nyt.com/images/2018/09/26/business/26dc-wages/26dc-wages-facebookJumbo.jpg
0,0.0,0,0.0,Reuters Editorial,"(Reuters) - Visa Inc ( V.N ), Mastercard Inc ( MA.N ), and a number of banks on Tuesday agreed to pay $6.2 billion to settle a long-running lawsuit brought by merchants over the fees they pay when they accept card payments. The card issuers named in the class… [+541 chars]","Visa Inc , Mastercard Inc , and a number of banks on Tuesday agreed to pay $6.2 billion to settle a long-running lawsuit brought by merchants over the fees they pay when they accept card payments.",2018-09-18T11:28:44Z,"{'id': 'reuters', 'name': 'Reuters'}","Visa, Mastercard reach $6.2 billion settlement over card-swipe fees",https://www.reuters.com/article/us-usa-court-creditcards/visa-mastercard-reach-6-2-billion-settlement-over-card-swipe-fees-idUSKCN1LY1PQ,https://s3.reutersmedia.net/resources/r/?m=02&d=20180918&t=2&i=1305605424&w=1200&r=LYNXNPEE8H15P
0,0.0,0,0.0,Varada Bhat,"Brian Snyder/Reuters Bank stocks were rallying Friday after JPMorgan, Citigroup, and Wells Fargo kicked off earnings season with mixed results. JPMorgan said it earned an adjusted $2.34 per share in the third quarter. Analysts polled by Bloomberg had expected… [+644 chars]","Most bank stocks were rallying Friday after JPMorgan, Citigroup, and Wells Fargo kicked off earnings season. JPMorgan was the only major bank trading lower. Watch JPMorgan, Citigroup, Wells Fargo, Bank of America Merrill Lynch, Morgan Stanley and Goldman Sach…",2018-10-12T15:42:00Z,"{'id': 'business-insider', 'name': 'Business Insider'}","Most of the big banks are rallying after JPMorgan, Citigroup, and Wells Fargo kicked off earnings season (JPM, BOA, GS, C, WFC, MS)",https://markets.businessinsider.com/news/stocks/bank-stocks-jpmorgan-citigroup-wells-fargo-kick-off-earnings-season-2018-10-1027613236,https://static3.businessinsider.com/image/5ba0ea06e199f31d138b5a49-2400/2018-04-12t005338z1629523135rc139dc59150rtrmadp3jpmorgan-dimon.jpg
0,0.0,0,0.0,Madeline Shi,"Ever wonder what university you should attend if you want to land that plum Wall Street job? There's a handful that top banks heavily recruit and hire from. That's according to Wall Street Oasis, an online community for financial professionals. As part of its… [+317 chars]","Ever wonder what university you should attend if you want to land that plum Wall Street job? There's a handful that top banks heavily recruit and hire from. That's according to Wall Street Oasis, an online community for financial professionals. As part of its…",2018-10-02T15:30:41Z,"{'id': 'business-insider', 'name': 'Business Insider'}",These are the top 10 colleges if you want to land a job on Wall Street,https://www.businessinsider.com/top-10-colleges-for-landing-wall-street-job-2018-10,https://amp.businessinsider.com/images/5bb37a1092b36915061ac1b7-1136-568.jpg
0,0.0,0,0.0,Varada Bhat,"Bank stocks were rallying Friday after JPMorgan, Citigroup, and Wells Fargo kicked off earnings season with mixed results. JPMorgan said it earned an adjusted $2.34 per share in the third quarter. Analysts polled by Bloomberg had expected earnings of $2.26 pe… [+623 chars]","Most bank stocks were rallying Friday after JPMorgan, Citigroup, and Wells Fargo kicked off earnings season. JPMorgan was the only major bank trading lower. Watch JPMorgan, Citigroup, Wells Fargo, Bank of America Merrill Lynch, Morgan Stanley and Goldman Sach…",2018-10-12T15:42:00Z,"{'id': 'business-insider', 'name': 'Business Insider'}","Most of the big banks are rallying after JPMorgan, Citigroup, and Wells Fargo kicked off earnings season (JPM, BOA, GS, C, WFC, MS)",https://www.businessinsider.com/bank-stocks-jpmorgan-citigroup-wells-fargo-kick-off-earnings-season-2018-10,https://amp.businessinsider.com/images/5bc0b02092b3696eae132bf5-2732-1366.jpg
4,0.11111109876543349,5,0.19148935762788602,Stephen Culp,"NEW YORK (Reuters) - The S&amp;P 500 and the Dow Jones industrial average rose on Wednesday, with the Dow hitting its highest closing level since late January as rising Treasury yields boosted the financial sector and trade worries subsided. The tech-heavy Na… [+2934 chars]","The S&P 500 and the Dow Jones industrial average rose on Wednesday, with the Dow hitting its highest closing level since late January as rising Treasury yields boosted the financial sector and trade worries subsided.",2018-09-19T20:42:33Z,"{'id': 'reuters', 'name': 'Reuters'}","S&P 500, Dow up as rising treasury yields boost banks",https://www.reuters.com/article/us-usa-stocks/sp-500-dow-up-as-rising-treasury-yields-boost-banks-idUSKCN1LZ1IN,https://s3.reutersmedia.net/resources/r/?m=02&d=20180919&t=2&i=1306052027&w=1200&r=LYNXNPEE8I1T7
