Negative,Polarity,Positive,Subjectivity,author,content,description,publishedAt,source,title,url,urlToImage
0.0,0.9999990000010001,1.0,0.0238095232426304,Sanjana  Shivdas,"(Reuters) - Steel and aluminum tariffs imposed by the Trump administration has cost Ford Motor Co ( F.N ) about $1 billion, its chief executive officer said on Wednesday. “From Ford’s perspective the metals tariffs took about $1 billion in profit from us,” CE… [+2674 chars]","Steel and aluminum tariffs imposed by the Trump administration has cost Ford Motor Co about $1 billion, its chief executive officer said on Wednesday.US",2018-09-26T17:08:16Z,"{'id': 'reuters', 'name': 'Reuters'}","Trump's tariffs on metals costs Ford $1 billion, CEO says",https://www.reuters.com/article/us-ford-motor-tariffs/trumps-tariffs-on-metals-costs-ford-1-billion-ceo-says-idUSKCN1M61ZN,https://s2.reutersmedia.net/resources/r/?m=02&d=20180926&t=2&i=1308447841&w=1200&r=LYNXNPEE8P1SE
9.0,-0.9999998888889013,0.0,0.17999999640000008,,"NEW YORK (Reuters) - Ford Motor Co Chairman Bill Ford canceled a multi-stop trip to the Middle East, including a planned appearance at a Saudi investment conference this month, the company said on Sunday, the latest such cancellation after the disappearance o… [+375 chars]","Ford Motor Co Chairman Bill Ford canceled a multi-stop trip to the Middle East, including a planned appearance at a Saudi investment conference, the company said on Sunday, the latest such cancellation after the disappearance of Saudi journalist Jamal Khashog…",2018-10-14T23:24:24Z,"{'id': None, 'name': 'Yahoo.com'}",Ford Motor chairman cancels visit to Saudi investor conference,https://www.yahoo.com/news/ford-motor-chairman-cancels-visit-saudi-investor-conference-214308977--finance.html,https://s.yimg.com/os/mit/media/m/social/images/social_default_logo-1481777.png
4.0,-0.33333327777778704,2.0,0.11320754503381991,Johnny Lieu,"Elon Musk denied he'll be replaced by James Murdoch as Tesla's chairman, an alleged shakeup that was the subject of rumors on Wednesday. Murdoch, who's due to end his stint as 21st Century Fox's CEO, was named in a Financial Times report as the lead candidate… [+976 chars]","Elon Musk denied he'll be replaced by James Murdoch as Tesla's chairman, an alleged shakeup that was the subject of rumors on Wednesday. Murdoch, who's due to end his stint as 21st Century Fox's CEO, was named in a Financial Times report as the lead candidate…",2018-10-11T01:14:21Z,"{'id': 'mashable', 'name': 'Mashable'}",Elon Musk denies being replaced by James Murdoch as Tesla chairman,https://mashable.com/article/elon-musk-denies-james-murdoch-tesla-chairman/,https://i.amz.mshcdn.com/cfXBHfx7yZOCXsBbVojtegjRG54=/1200x630/2018%2F10%2F11%2F78%2Fc03c25b64e674de1be8fdd2700607841.d8684.jpg
4.0,-0.9999997500000625,0.0,0.08333333159722227,"Detroit Free Press, Phoebe Wall Howard, Detroit Free Press","Ford Motor Company announced that it will discontinue the Fiesta subcompact car, the Fusion mid-size sedan and the Taurus full-size car in the U.S. USA TODAY The Ford Motor Co. logo (Photo: Gene J. Puskar/Associated Press) DETROIT Ford Motor Company confirmed… [+5865 chars]","The largest car manufacturing employer in the U.S., with 201,000 employees globally, has an estimated 70,000 salaried workers worldwide.",2018-10-05T20:18:20Z,"{'id': None, 'name': 'Freep.com'}","Ford Motor to tighten operations, cut salaried workforce worldwide",https://www.freep.com/story/money/cars/ford/2018/10/05/ford-salaried-workforce-jobs/1535748002?utm_source=google&utm_medium=amp&utm_campaign=speakable,https://www.gannett-cdn.com/-mm-/74351a63bca5e098d2b2f3484a717d21c29dd5a1/c=0-215-4254-2618/local/-/media/2017/04/05/DetroitFreePress/DetroitFreePress/636270053433713791-AP17095571859807.jpg?width=3200&height=1680&fit=crop
2.0,-0.33333322222225925,1.0,0.06818181663223144,ALAN RAPPEPORT,"The auto industry, arguably the biggest beneficiary of the 25-year-old North American trade pact, is also grappling with downsides from Mr. Trumps trade approach, including his ongoing threat of tariffs on cars and car parts. The chief executive of Ford Motor… [+1702 chars]","Farmers, automakers and other businesses are feeling pain from the president’s steel and aluminum tariffs, which remain in place despite a revised North American Free Trade Agreement.",2018-10-09T17:06:00Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Trump Claims Trade Victories but Businesses Struggle Under His Approach,https://www.nytimes.com/2018/10/09/us/politics/tariffs-trade-businesses-trump.html,https://static01.nyt.com/images/2018/10/09/business/09dc-trade/09dc-trade-facebookJumbo.jpg
5.0,-0.99999980000004,0.0,0.11111110864197538,Nick Carey,"DETROIT (Reuters) - Major automakers on Tuesday posted a hefty drop in U.S. new vehicle sales for September, caused in part by a drop in sales in areas hit by Florence and a tough comparison to the previous September when consumers rushed to replace vehicles … [+3526 chars]","Major automakers on Tuesday posted a hefty drop in U.S. new vehicle sales for September, caused in part by a drop in sales in areas hit by Florence and a tough comparison to the previous September when consumers rushed to replace vehicles damaged by Hurricane…",2018-10-02T14:59:07Z,"{'id': 'reuters', 'name': 'Reuters'}",September a 'tale of two hurricanes' for U.S. new car sales,https://www.reuters.com/article/us-usa-autos-sales/september-a-tale-of-two-hurricanes-for-u-s-new-car-sales-idUSKCN1MC1WC,https://s1.reutersmedia.net/resources/r/?m=02&d=20181002&t=2&i=1310495311&w=1200&r=LYNXNPEE911C0
0.0,0.0,0.0,0.0,Reuters Editorial,"(Reuters) - Honda Motor Co Ltd ( 7267.T ) will invest $2 billion over 12 years in General Motors Co’s ( GM.N ) Cruise autonomous vehicle unit after paying $750 million for a stake in the project, seen as among the leaders in self-driving car development. Hond… [+1141 chars]","Honda Motor Co Ltd <7267.T> will invest $2 billion over 12 years in General Motors Co's Cruise autonomous vehicle unit after paying $750 million for a stake in the project, seen as among the leaders in self-driving car development.",2018-10-03T12:26:59Z,"{'id': 'reuters', 'name': 'Reuters'}",Honda buys in to GM Cruise self-driving unit,https://www.reuters.com/article/us-gm-autonomous/honda-buys-in-to-gm-cruise-self-driving-unit-idUSKCN1MD1GW,https://s3.reutersmedia.net/resources/r/?m=02&d=20181003&t=2&i=1310810129&w=1200&r=LYNXNPEE920YQ
2.0,-0.33333322222225925,1.0,0.07317072992266513,Sharay Angulo,"MEXICO CITY (Reuters) - Auto parts output in Mexico will jump about 10 percent over the next three years as automakers scramble to adhere to stricter content rules laid out in a new North American trade deal, a top industry executive said on Monday. The Unite… [+2442 chars]","Auto parts output in Mexico will jump about 10 percent over the next three years as automakers scramble to adhere to stricter content rules laid out in a new North American trade deal, a top industry executive said on Monday.",2018-10-01T23:00:34Z,"{'id': 'reuters', 'name': 'Reuters'}",Mexican auto parts makers see new trade deal boosting output,https://www.reuters.com/article/us-trade-nafta-autoparts/mexican-auto-parts-makers-see-new-trade-deal-boosting-output-idUSKCN1MB3XU,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png
10.0,-0.99999990000001,0.0,0.21739129962192827,Rosie Perper,"Hello! Here's what's happening on Monday. 1. US President Donald Trump threatened ""severe punishment"" over the disappearance of Saudi critic and journalist Jamal Khashoggi. The Saudi stock market dropped as much as 7% following the president's statements. 2. … [+2247 chars]","Hello! Here's what's happening on Monday. 1. US President Donald Trump threatened ""severe punishment"" over the disappearance of Saudi critic and journalist Jamal Khashoggi. The Saudi stock market dropped as much as 7% following the president's statements. 2. …",2018-10-15T06:26:41Z,"{'id': 'business-insider', 'name': 'Business Insider'}",The 10 most important things in the world right now,https://www.businessinsider.com/the-10-most-important-things-in-the-world-right-now-october-15-2018-10,https://amp.businessinsider.com/images/5bc3da6d21e9cb112d5e8293-750-375.jpg
3.0,-0.9999996666667778,0.0,0.05454545355371903,Reuters Editorial,DUBAI (Reuters) - Bahrain’s foreign minister called for a boycott of the ride-hailing company Uber Technologies [UBER.UL] after its chief executive officer said he will not attend a business conference in the kingdom’s ally Saudi Arabia. Uber’s CEO Dara Khosr… [+3142 chars],Bahrain's foreign minister called for a boycott of the ride-hailing company Uber Technologies [UBER.UL] after its chief executive officer said he will not attend a business conference in the kingdom's ally Saudi Arabia.,2018-10-15T08:31:11Z,"{'id': 'reuters', 'name': 'Reuters'}",Bahrain minister backs boycott of Uber over Khashoggi case,https://www.reuters.com/article/us-saudi-politics-dissident-uber/bahrain-minister-backs-boycott-of-uber-over-khashoggi-case-idUSKCN1MP0RC,https://s2.reutersmedia.net/resources/r/?m=02&d=20181015&t=2&i=1314890201&w=1200&r=LYNXNPEE9E0GD
